拟音	韵别	反切	汉字及注释
toŋ1	东红韵（铜钟韵）	多翁切	东栋(树名，阴去异)
toŋ1	东红韵（铜钟韵）	都翁切	冬(冬天，阳平异)𩂓
tʰoŋ1	东红韵（铜钟韵）	拖翁切	通恫(痛，阳去异)
koŋ1	东红韵（铜钟韵）	哥翁切	公蚣工功攻宫弓躬红(女红，阳平异)
koŋ1	东红韵（铜钟韵）	姑翁切	恭肱供(阴去同)共(地名，阴去异)
kʰoŋ1	东红韵（铜钟韵）	克翁切	空(阴去同)崆箜(箜篌)
hoŋ1	东红韵（铜钟韵）	呼翁切	烘(阴去同)轰
oŋ1	东红韵（铜钟韵）	乌公切	翁嗡
ʦoŋ1	东红韵（铜钟韵）	兹翁切	棕𮪣鬉(散发，马鬃)
ʦʰoŋ1	东红韵（铜钟韵）	雌翁切	聪𩨂囱匆葱从(从容，阳平异， 阳去异)
soŋ1	东红韵（铜钟韵）	思翁切	嵩菘娀𱉣(鸟名)
soŋ1	东红韵（铜钟韵）	苏翁切	淞松
ʦoŋ1	东红韵（铜钟韵）	祖翁切	宗棕琮(阳平同)鬃
ʦoŋ1	东红韵（铜钟韵）	疽雍切	踪纵(纵横，阴上异，阴去异)
ioŋ1	东红韵（铜钟韵）	遇翁切	雍(姓，和睦，阴去异)饔壅(阴上同，阴去同)拥(本上声)邕痈
ɕioŋ1	东红韵（铜钟韵）	虚雍切	凶讻(阴上同)匈汹(阴上同)胸兄
poŋ1	东红韵（铜钟韵）	百翁切	崩(阴去同，真韵同)绷(俗叶江韵)
foŋ1	东红韵（铜钟韵）	弗翁切	风(风云，阴去异)枫疯酆
foŋ1	东红韵（铜钟韵）	夫翁切	丰峰烽蜂锋封葑(阴去同，俗叶姑韵)
ʧoŋ1	东红韵（铜钟韵）	知翁切	中(居中，阴去异)忠衷终螽钟锺盅
ʧʰoŋ1	东红韵（铜钟韵）	痴翁切	充忡翀
ʧʰoŋ1	东红韵（铜钟韵）	枢翁切	冲憧
ʃoŋ1	东红韵（铜钟韵）	舒翁切	舂摏
ʨʰioŋ1	东红韵（铜钟韵）	欺翁切	穹芎
ʨioŋ1	东红韵（铜钟韵）	居雍切	扃(真韵同)坰(真韵同)冏(真韵同)
ʨioŋ1	东红韵（铜钟韵）	居翁切	龚
ɦoŋ2	东红韵（铜钟韵）	胡同切	红(赤色，阴平异)虹荭洪鸿讧宏蕻(阴去同)弘泓黉横(横直，阳去异，真韵同，俗叶江韵)
doŋ2	东红韵（铜钟韵）	陀洪切	同峒(崆峒，山名，阳去异)洞(洪洞，县名，阳去异)桐侗筒铜佟冬(鼓声，阴平异)童僮潼瞳艟彤仝
loŋ2	东红韵（铜钟韵）	勒洪切	咙拢(阳上同)栊珑眬昽胧砻(阳去同)聋笼(鸟笼，阳上异)
loŋ2	东红韵（铜钟韵）	离融切	隆癃窿
loŋ2	东红韵（铜钟韵）	卢宏切	龙
noŋ2	东红韵（铜钟韵）	奴宏切	农侬脓哝
zoŋ2	东红韵（铜钟韵）	慈宏切	从(顺从，阴平，阳去异)𱦏淙琮(阴平同)崇丛
ɦioŋ2	东红韵（铜钟韵）	移洪切	融雄熊
ɦioŋ2	东红韵（铜钟韵）	鱼宏切	容溶榕蓉熔镕庸佣镛荣嵘
moŋ2	东红韵（铜钟韵）	磨洪切	蒙濛朦艨蠓(阳上同)愽萌(真韵同)盲(真韵同，俗叶江韵)虻(真韵同，俗叶江韵)
boŋ2	东红韵（铜钟韵）	婆洪切	蓬篷逢(鼓声，又音缝异)髼(蓬松，头发乱)
voŋ2	东红韵（铜钟韵）	扶宏切	逢(遭逢，又音蓬异)缝(缝纫，阳去异)
boŋ2	东红韵（铜钟韵）	蒲宏切	朋(真韵同，俗叶江韵)棚(真韵同，俗叶江韵)硼(真韵同，俗叶江韵)鹏(真韵同，俗叶江韵)彭(真韵同，俗叶江韵)膨(真韵同，俗叶江韵)蟛(真韵同，俗叶江韵)
voŋ2	东红韵（铜钟韵）	佛宏切	冯
ʒoŋ2	东红韵（铜钟韵）	池洪切	虫种(姓)慵重(重复，阳去异)
ʒoŋ2	东红韵（铜钟韵）	日洪切	戎茸(阳上同)氄(阳上同)
ȵioŋ2	东红韵（铜钟韵）	女容切	浓秾绒
ʥioŋ2	东红韵（铜钟韵）	渠容切	穷邛筇茕蛩琼
