cid	character	initial	final	tone	note
1	多	t	ɔ	24	
2	拖	th	ɔ	24	
3	大	t	ae	33	
4	锣	l	ɔ	24	
5	左	ts	ɔ	35	
6	歌	k	ɔ	24	
7	个	k	ae	55	
8	可	kh	ɔ	35	
9	鹅	ŋɡ	ɔ	24	
10	饿	ŋɡ	ɔ	33	
11	河	h	ɔ	21	
12	茄	kh	ø	21	
13	破	ph	ɔ	55	
14	婆	ph	ɔ	21	
15	磨	mb	ɔ	21	
16	磨	mb	ɔ	33	
17	躲	t	ɔ	35	
18	螺	l	ɔ	21	
19	坐	tsh	ɔ	55	
20	锁	s	ɔ	35	
21	果	k	ɔ	35	
22	过	k	ɔ	55	
23	课	k	ɔ	35	
24	火	f	ɔ	35	
25	货	f	ɔ	55	
26	祸	f	ɔ	33	
27	靴	h	ø	24	
28	把	p	a	35	
29	爬	ph	a	21	
30	马	mb	a	55	
31	骂	mb	a	33	
32	茶	tsh	a	21	
33	沙	s	a	24	
34	假	k	a	35	
35	嫁	k	a	55	
36	牙	ŋɡ	a	21	
37	虾	h	a	21	
38	下	h	a	33	
39	夏	h	a	33	
40	哑	∅	a	35	
41	姐	ts	e	35	
42	借	ts	e	55	
43	写	s	e	35	
44	斜	tsh	e	21	
45	谢	tsh	e	33	
46	车	tsh	e	24	
47	蛇	s	e	21	
48	射	s	e	55	
49	爷	ʒ	a	21	～娭
49	爷	ʒ	e	21	老天～
50	野	ʒ	a	55	
51	夜	ʒ	a	33	
52	瓜	k	ua	24	
53	瓦	ŋɡ	a	55	
54	花	f	a	24	
55	化	f	a	55	
56	华	f	a	21	
57	谱	ph	u	35	
58	布	p	u	55	
59	铺	ph	u	24	
60	簿	p	u	33	
61	步	p	u	33	
62	赌	t	u	35	
63	土	th	u	35	
64	图	th	u	21	
65	杜	t	u	33	
66	奴	l	u	21	
67	路	l	u	33	
68	租	ts	u	24	
69	做	ts	ɿ	55	
69	做	ts	u	55	
70	错	tsh	ɔ	55	
71	箍	kh	u	24	
72	古	k	u	35	
73	苦	f	u	35	～瓜
73	苦	kh	u	35	吃～
74	裤	kh	u	55	
75	吴	∅	ŋ	21	
