fi	[1]开灰恢魁奎	[3]凯海	[5]害悔晦			
wi	[2]回茴	[3]蔼	[4]煨	[5]爱碍汇{～报}会{～议}会{～不～}会{～计}外		
li	[2]☐{～☐[li55]:二胡}	[9a]☐{☐[li31]~:二胡}				
tʃi	[1]知{文}蜘支肢脂之芝枝	[3]纸只{～有}旨指止趾址	[5]智至致置痔治志稚痣			
tʃʰi	[1]雌痴	[2]池驰匙{～羹：汤匙}迟持	[3]齿耻侈矢恃	[5]刺{文}翅	[9a]疵	
ʃi	[1]施师尸诗	[2]时匙配	[3]史驶使{文，～用}使{大～馆}始☐{～样：怎样}屎	[4]市	[5]是示视士仕试氏嗜鼓☐{闭（眼）}	[9a]☐{哪（里），～处：什么地方}
ji	[1]衣伊医	[2]姨儿宜谊仪移夷而疑饴	[3]倚椅	[4]已以拟肄尔	[5]义议易意异二贰	
kʷi	[3]改	[5]盖{瓶～}癐{累}				
kʰʷi	[1]该{应～}	[3]盖{～：盖子}概溉贿溃	[5]慨丐刽桧绘			
fu	[1]枯呼夫肤敷俘孵麸	[2]狐壶乎胡{～子}湖葫糊蝴符扶芙	[3]苦虎府腑俯斧{文}抚	[5]库裤戽户沪护互付附咐赴父腐辅傅赋富副妇{文}负芋	[9a]胡{二～}	
wu	[1]乌坞污	[5]恶{可～}				
kʷu	[1]姑孤辜	[3]古估牯股鼓蛊	[5]故固雇顾			
kʰʷu	[1]箍					
tʃy	[1]猪诸朱{～砂}朱{姓氏}诛蛛株{守～待兔}珠	[3]煮主	[5]注蛀驻住铸著箸			
tʃʰy	[2]除厨	[3]处{～理}	[4]署柱苎储	[5]处{～所}		
ʃy	[1]书舒枢输{～赢}输{运～}	[2]殊瑞	[3]暑鼠	[5]树{～木}庶恕戍竖		
jy	[1]于{在～}于{姓氏}迂	[2]如鱼渔余姓氏余{多～}儒愚虞娱榆愉	[3]淤	[4]雨宇羽语与预{又}禹	[5]誉预{又}御{～用}御{驾～}遇寓逾愈喻裕	
pa	[1]巴疤笆芭	[2]爸	[3]把{～握}	[5]霸坝罢	[9a]吧{酒～}	
pʰa	[2]爬琶耙把	[4]怕				
ma	[1]☐{张（嘴）}	[2]麻痲	[4]马码	[5]骂	[9a]妈	
fa	[1]花	[5]化				
wa	[1]洼蛙	[2]华{～山}华{中～}桦	[5]话	[9b]画		
ta	[3]打	[5]答搭				
tʰa	[1]他	[5]塔榻塌				
na	[2]拿𤶸{～[nɐn23]：疤}	[4]那哪	[9a]☐{向}			
la	[5]𢶍{～擸:垃圾}					
tʃa	[1]植渣抓	[5]诈炸榨眨				
tʃʰa	[1]岔叉杈差{～别}	[2]茶搽查	[5]插			
ʃa	[1]沙纱砂痧	[3]耍洒{潇～}	[4]擸{𢶍～:垃圾}			
ja	[4]也					
ka	[1]家加珈嘉	[3]假{真～}贾姓氏	[5]假{放～}架驾嫁稼价鸽甲肿夹{～纳}			
ŋa	[1]亚{～洲}丫鸦	[2]牙芽蚜衙	[3]哑	[4]雅瓦	[5]鸭亚{～军}	
ha	[1]虾{鱼～}虾{～蟆}哈{～腰}☐{欺负}	[2]霞瑕暇	[5]夏{春～}夏{姓氏}厦{～门}厦{高楼大～}下{～降}下{～面}	[9a]蛤		
kʷa	[1]瓜	[3]寡剐	[5]挂{又}卦			
kʰʷa	[1]夸跨垮	[5]挂{又}				
ʔa	[1]阿{～姨}阿{～胶}					
pɛ	[4]八伯	[5]百				
pʰɛ	[4]帕柏拍珀魄	[5]劈	[9a]☐{扑克}			
mɛ	[4]抹{～布}					
fɛ	[4]法发{头～}发{～财}					
wɛ	[4]挖					
tʃɛ	[4]扎轧窄责矺					
tʃʰɛ	[4]察擦拆策册					
ʃɛ	[4]撒萨杀煞					
kɛ	[4]格革隔					
ŋɛ	[4]押压握轭					
hɛ	[4]客吓{恐～}吓{～一跳}					
kʷɛ	[4]刮					
tœ	[1]爹					
tʰœ	[2]☐{吐（口水）}	[4]踢				
tʃœ	[1]遮	[3]姐者	[4]蔗爵嚼卓桌绰勺芍酌	[5]借{～钱}谢着{～衫}只{一～}		
tʃʰœ	[1]奢车{～马炮，又}车{火～}	[2]邪斜	[3]且扯	[4]尺	[5]雀鹊赤	
ʃœ	[1]些赊	[2]蛇畲	[3]写舍{～得}	[4]舍{宿～}社	[5]泻卸射{～箭}射{发～}麝赦锡	
jœ	[2]爷耶椰	[4]惹野嘢东西	[5]夜			
kœ	[4]脚					
kʰœ	[2]茄					
ŋœ	[3]𦧲{吐（果皮）}					
hœ	[1]靴					
pɔ	[1]波菠坡玻	[4]博驳	[5]薄{～荷}播			
pʰɔ	[1]樖棵	[2]婆	[3]颇	[5]破簸		
mɔ	[1]魔摩	[2]磨{～刀}	[5]幕	[9a]磨{石～}	[9b]摸	
fɔ	[1]科	[3]火伙{～计}伙{～食}	[5]课货	[9b]颗棵		
wɔ	[1]锅窝蜗	[2]和{～气}和{～诗}禾	[5]祸	[9a]倭莴		
tɔ	[1]多	[3]朵躲椭	[5]惰堕			
tʰɔ	[1]拖	[2]驼舵	[3]妥{做～:做完}	[4]托拓妥{～当}		
nɔ	[5]糯					
lɔ	[2]罗{姓～}锣萝萝啰螺脶讹{又}	[4]烙络骼	[5]骆			
tʃɔ	[3]左佐阻	[5]作昨助座坐{文}				
tʃʰɔ	[1]搓初	[2]锄	[3]楚础	[4]坐{白}	[5]挫错{～误}错{～杂}	
ʃɔ	[1]梭唆梳疏{～远}蔬	[2]傻	[3]锁琐所	[4]朔塑索		
kɔ	[1]哥戈歌	[4]觉{自～}各阁搁角	[5]个			
kʰɔ	[4]确					
ŋɔ	[2]蛾鹅俄讹{又}	[3]裸	[4]我	[5]饿卧恶{～人}☐{打喊～：打哈欠}		
hɔ	[2]河何荷{～花}荷{薄～}	[3]可	[4]壳	[5]贺		
kʷɔ	[3]果裹	[4]郭廓国	[5]过			
kʰʷɔ	[4]霍姓氏霍{～乱，又}藿	[5]霍{～乱，又}				
pɵ	[1]杯	[5]贝辈背{～书}背{后～}				
pʰɵ	[1]胚坯	[2]培陪赔焙裴	[5]配倍佩沛			
mɵ	[2]梅苺霉枚玫媒煤	[4]每	[5]妹			
tɵ	[1]堆	[5]待代袋对队兑怠				
tʰɵ	[1]胎推	[2]台抬苔{舌～，青～}	[3]腿	[5]退褪		
nɵ	[4]女	[5]内				
lɵ	[2]来雷	[4]吕旅屡儡垒	[5]虑滤累{极～}累{连～}累{～积}类泪			
tʃɵ	[1]灾栽追锥	[3]宰滓嘴载{年～}	[5]序叙聚罪最赘坠醉在再载{～重}载{满～}			
tʃʰɵ	[1]吹炊趋崔催	[2]徐才{～气}才{刚～}材财裁随榄锤	[3]取娶采彩睬	[5]趣菜脆翠		
ʃɵ	[1]虽衰艘须{必～}需腮鳃	[2]垂谁	[3]水髓	[5]絮绪墅碎岁税睡瑞粹遂隧穗帅		
jɵ	[4]乳锐蕊					
kɵ	[1]车{～马炮，又}居该{唔～：多谢}	[3]举矩	[5]据锯巨拒距句具惧			
kʰɵ	[1]拘驹区驱	[2]渠{水～}瞿	[4]佢{俗字，第三人称单数}			
ŋɵ	[1]哀埃{尘～}	[2]呆				
hɵ	[1]虚圩嘘	[3]许浒	[5]去			
pai	[3]摆	[5]拜败				
pʰai	[2]排牌	[4]派				
mai	[2]埋	[4]买	[5]卖迈			
fai	[5]块快筷					
wai	[1]歪	[2]怀槐淮	[5]坏			
tai	[5]带大{～夫}大{～小}戴					
tʰai	[4]太态泰贷					
nai	[4]奶乃	[5]耐奈痢				
lai	[1]拉	[5]赖荔癫{又}				
tʃai	[1]斋	[5]债寨				
tʃʰai	[1]猜钗差{出～}	[2]豺柴	[3]踩	[5]蔡		
ʃai	[3]玺	[4]舐	[5]赛晒			
kai	[1]皆阶佳街	[3]解{讲～，～开}	[5]介芥尬疥界届戒			
kʰai	[3]楷					
ŋai	[1]挨{～近}埃{～及}	[2]涯挨{～打}崖	[3]矮	[5]艾癞{又}☐{～虱：脏}		
hai	[1]楷	[2]孩鞋谐	[4]蟹	[5]械懈		
kʷai	[1]乖	[3]拐	[5]怪			
pɐi	[1]卑碑悲	[3]比界彼{又}	[5]被{～动}避秘泌庇备鼻臂篦蓖痹			
pʰɐi	[1]披	[2]皮疲脾琵批	[3]彼{又}鄙	[4]婢被{棉～}	[5]屁譬	[9a]丕
mɐi	[2]弥糜靡眉楣媚微	[4]尾美	[5]未{～来}味昧寐			
fɐi	[1]非飞妃	[2]肥	[3]毁匪翡			
tɐi	[1]知{白}	[5]地				
nɐi	[4]你	[5]腻	[9a]蚭{☐[nɔŋ31]～：蜻蜓}			
lɐi	[2]离{～别}篱璃梨厘{～米}狸	[4]履李里{公～}里{～面}理鲤	[5]利莉痢吏			
tʃɐi	[1]资姿咨兹滋	[3]子紫姊梓	[5]自字巳寺饲			
tʃʰɐi	[2]脐瓷糍磁慈辞词祠	[3]此	[4]似	[5]砌次厕刺{白}		
ʃɐi	[1]斯撕厮私狮司丝思{～念}	[3]死	[5]四肆伺侍思{意～}事赐			
kɐi	[1]几{～乎}饥{～饿}饥{～荒}肌机讥基箕	[3]已纪{年～}杞几{～个}	[5]寄技妓纪{～念}记忌既	[9a]几{茶～}		
kʰɐi	[2]奇{～怪}骑其棋期旗祈祁岐	[4]冀徛{立}企{＂徛＂的俗写}企{～业}				
ŋɐi	[4]耳饵					
hɐi	[1]希稀牺熙欺	[3]岂起喜嬉	[5]气汽器弃戏饩{喂（猪）}			
pɔi	[1]跛	[5]蔽弊币闭毙陛	[9a]稗			
pʰɔi	[1]批{即加}					
mɔi	[2]迷谜	[4]米				
fɔi	[1]挥辉徽	[5]废肺吠费	[9a]痱			
wɔi	[1]威	[2]为{行～}维惟唯遗违围	[3]委萎慰	[4]讳伟纬苇	[5]卫惠慧为{～什么}位畏胃谓猾	
tɔi	[1]低	[3]底抵	[5]帝蒂弟第递隶			
tʰɔi	[1]梯	[2]题提堤蹄啼	[3]体	[5]替涕剃		
nɔi	[2]尼泥					
lɔi	[2]犁黎倪	[4]礼	[5]例丽厉励			
tʃɔi	[1]挤剂	[3]仔	[5]祭际滞制{～度}制{～造}济			
tʃʰɔi	[1]妻栖	[2]齐				
ʃɔi	[1]筛{米～}西犀	[2]柿	[3]洗使{白，～用}	[5]世势誓逝细婿		
jɔi	[2]☐{（质量）差}					
kɔi	[1]鸡	[5]计继髻				
kʰɔi	[1]稽溪	[3]启	[5]契			
ŋɔi	[2]危桅	[4]蚁	[5]隘艺毅伪魏			
hɔi	[1]閪{女阴}	[5]系联{～系，～统}系{～鞋}带系{是}				
kʷɔi	[1]归龟圭闺	[3]鬼诡轨	[5]桂跪柜贵癸季			
kʰʷɔi	[1]亏规窥盔	[2]携逵葵	[4]愧			
pau	[1]包胞鲍	[3]饱	[5]爆			
pʰau	[1]抛	[2]刨	[3]跑剖	[5]豹泡{～茶}泡{水～}炮		
mau	[2]矛茅描谋	[4]卯某亩	[5]貌牡戊茂贸谬	[9a]猫{文}		
fau	[2]浮{文}	[3]否				
tau	[1]兜	[3]斗{十升为一～}抖纠{～缠}纠{～正}	[5]斗{～争}豆逗	[9b]痘		
tʰau	[1]偷	[2]头投	[3]敨	[5]透		
nau	[3]纽扭	[5]闹				
lau	[2]捞{～鱼}肴淆楼篓流硫琉刘留榴溜捞{～鱼}	[3]搂	[4]柳	[5]漏陋馏		
tʃau	[1]周舟州洲邹㷮干	[3]爪找蛋走酒帚	[5]罩笊奏就袖昼纣宙皱骤咒			
tʃʰau	[1]秋{～千}秋{～天}鍬揪抄抽鳅	[2]囚巢绸稠筹酬	[3]钞炒吵丑{子～寅卯}丑{～陋}	[5]凑臭嗅☐{带（小孩）}		
ʃau	[1]梢修羞馊收	[2]愁仇	[3]稍叟搜手首守	[5]兽受授寿售哨潲嗽漱秀绣锈瘦		
jau	[1]休{文}忧优悠幽	[2]柔尤犹由邮油游	[3]揉酉薅挠	[4]有友诱	[5]右佑{又}幼	[9b]柚釉
kau	[1]交郊胶绞茭教{～书}勾{～当}沟	[2]嚿	[3]九久韭饺狡搅搞狗苟	[5]饺较教{～育}窖垢够构购旧救究咎臼炎柩舅{白}校{～对}觉{睡～}		
kʰau	[2]求球☐{躲}	[4]舅{文}	[5]靠抠叩扣寇			
ŋau	[1]勾{～引}钩欧殴	[2]熬牛	[3]呕殴	[4]咬藕偶{～然}偶{配～}	[5]坳沤怄	
