汉字	注释	音标
多		tɔ1
拖		tʰɔ1
驼		tʰɔ2
大		tʰai5
锣		lɔ2
左		θɔ3
歌		kɔ1
哥		kɔ1
可		kʰɔ3
鹅		ŋɔ2
饿		ŋɔ5
河		hɔ2
贺		hɔ5
茄		kʰiɔ2
波		pɔ1
坡		pʰɔ1
破		pʰɔ5
婆		pʰɔ2
磨	~刀	mɔ2
磨	石~	mɔ5
朵		tɔ3
糯		nɔ5
螺		lɔ2
锉		tsʰɔ5
坐		tʰɔ1
座		tʰɔ5
唆		θɔ1
锁		θɔ3
果		kɔ3
过		kɔ5
课		kʰɔ5
火		fɔ3
货		fɔ5
禾		vɔ2
祸		hɔ5
靴		hɛ1
疤		pa1
把		pa3
霸		pa5
怕		pʰa5
爬		pʰa2
耙	犁~	pʰa2
麻		ma2
马		ma1
骂		ma5
拿		na2
茶		tʰa2
榨		θa5
叉		tʰa1
查		tʰa2
沙		θa1
家		ka1
加		ka1
假	真~	ka3
嫁		ka5
牙		ŋa2
芽		ŋa2
虾		ha1
下	方位	ha1
下	动词	ha5
哑		a3
姐		θia3
借		θia5
写		θia3
泻		θia5
邪		tʰia2
斜		tʰia2
谢		tʰia5
遮		tʃa1
蔗		tʃa5
车		tʃʰa1
扯		tʃʰa3
蛇		ʃa2
射		ʃa5
赊		tʃʰa1
舍	~不得	ʃa3
社		ʃa1
惹		niɛ1
爷		ia2
野		ia1
夜		ia5
瓜		kua1
垮		kʰua3
瓦		ŋa3
花		fa1
化		fa5
补		pu3
布		pu5
铺	~设	pʰu1
部		pʰu5
簿		pʰu1
步		pʰu5
墓		mu5
都		tu1
赌		tu3
肚	猪~	tu3
土		tʰu3
兔		tʰu5
涂		tʰu2
图		tʰu2
杜		tʰu5
肚	腹~	tu3
度		tʰu5
炉		lu2
卤		lu1
路		lu5
露		lu5
租		θu1
祖		θu3
做		θɔ5
粗		tʰu1
醋		tʰu5
错		tʰɔ5
苏		θɯ1
姑		ku1
箍		kʰu1
鼓		ku3
枯		kʰu1
苦		kʰu3
裤		fu5
吴		ŋ2
五		ŋ3
虎		hu3
胡		hu2
湖		hu2
户		hu1
乌		vu1
女		ni3
吕		li3
徐		tʰi2
猪		tʃu1
除		tʃʰu2
苎		tʃʰu1
初		tʰɔ1
锄		tʃʰɔ2
助		θɯ5
梳		θɔ1
煮		tʃu3
书		ʃu1
鼠		tʃʰu3
薯		ʃu2
车	~马炮	ki1
锯		ki5
去		hi5
鱼		ŋ2
语		ŋi3
虚		hi1
许		hi3
余		hi2
夫		fu1
斧		fu3
符		fu2
扶		fu2
辅		pʰu3
舞		hu1
雾		mu5
娶		tʰi3
鬚	鬍~	θi1
厨		tʃʰu1
柱		tʃʰu1
住		tʃʰu5
数	名词	θu5
朱		tʃu1
主		tʃu3
蛀		tʃu5
输		ʃu1
竖		ʃu5
树		ʃu5
句		ki5
区		kʰi1
具		kʰi5
雨		hi3
芋		i5
戴		tai5
台		tʰɔi2
待		tʰɔi5
代		tʰɔi5
袋		tʰɔi5
来		lɔi2
栽		θɔi1
菜		tʰɔi5
财		tʰɔi2
该		kɔi1
改		kai3
开		hɔi1
碍		ɔi5
海		hɔi3
哀		ɔi1
爱		ɔi5
贝		/
带		tai5
太		tʰai5
蔡		tʰɔi5
盖		kɔi5
害		hɔi5
拜		pai5
排		pʰai2
埋		mai2
阶		kai1
界		kai5
械		kai5
挨	~着	ŋai1
摆		pai3
派		pʰai5
牌		pʰai2
稗		pʰai5
买		mai1
卖		mai5
奶		nai1
债		θai5
筛		θi1
晒		ʃai5
街		kai1
鞋		hai2
蟹		kai1
矮		ŋai3
败		pʰai5
毙		pi5
例		li5
祭		θɛ5
世		ʃi5
闭		pi5
批		pʰi1
米		mi3
低		tæi1
堤		tæi1
梯		tʰɔi1
体		tʰi3
替		tʰi5
题		tʰi2
提		tʰi2
弟		tʰi5=/tʰɛ1-
第		tʰi5
泥		næi2
犁		læi2
礼		li1
妻		tʰi1
齐		tʃʰɛ2
西		θi1
洗		θɛ3
细		θɛ5
鸡		kæi1
启		pʰi3
杯		pui1
背	~脊	pɔi5
配		pʰui5
赔		pʰui2
倍		pʰui5
梅		mɔi2
妹		mɔi5
堆		tui1
对		tui5
推		tʰui1
腿		tʰui3
退		tʰui5
队		tui5
雷		lui2
催		tʰui1
罪		tʰui5
碎		θui5
块		kʰuai5
