字	注释	张集	大杨集	李老家	田庙	郑集	站集	店集	芒种桥	
狱		y²⁴	y²⁴	y²⁴	y²⁴	y²⁴	y²⁴	y²⁴	y²⁴	
胸		ɕyŋ²⁴	ɕyŋ²⁴	ɕyŋ²⁴	ɕyŋ²⁴	ɕyŋ²⁴	ɕyŋ²⁴	ɕyŋ²⁴	ɕyŋ²⁴	
凶		ɕyŋ²⁴	ɕyŋ²⁴	ɕyŋ²⁴	ɕyŋ²⁴	ɕyŋ²⁴	ɕyŋ²⁴	ɕyŋ²⁴	ɕyŋ²⁴	
容		yŋ⁵²	yŋ⁵²	yŋ⁵²	yŋ⁵²	yŋ⁵²	ʐuŋ⁵²	ʐuŋ⁵²	ʐuŋ⁵²	
勇		yŋ⁴⁴	yŋ⁴⁴	yŋ⁴⁴	yŋ⁴⁴	yŋ⁴⁴	ʐuŋ⁴⁴	ʐuŋ⁴⁴	ʐuŋ⁴⁴	
用		yŋ⁴¹	yŋ⁴¹	yŋ⁴¹	yŋ⁴¹	yŋ⁴¹	ʐuŋ⁴¹	ʐuŋ⁴¹	ʐuŋ⁴¹	
欲		y⁴¹	y⁴¹	y⁴¹	y⁴¹	y²⁴	y⁴¹	y²⁴	y⁴¹	
足		tsy²⁴	tsy²⁴	tsy²⁴	tsy²⁴	tɕy²⁴	tsy²⁴	tsy²⁴	tsy²⁴	
从		tsʰuŋ⁵²	tsʰuŋ⁵²	tsʰuŋ⁵²	tsʰuŋ⁵²	tsʰuŋ⁵²	tsʰuŋ⁵²	tsʰuŋ⁵²	tsʰuŋ⁵²	
松		suŋ²⁴	suŋ²⁴	suŋ²⁴	suŋ²⁴	suŋ²⁴	suŋ²⁴	suŋ²⁴	suŋ²⁴	
诵		suŋ⁴¹	suŋ⁴¹	suŋ⁴¹	suŋ⁴¹	suŋ⁴¹	suŋ⁴¹	suŋ⁴¹	suŋ⁴¹	
俗		sy⁵²	sy⁵²	sy⁵²	sy⁵²	sy⁵²	sy⁵²	sy⁵²	sy⁵²	
宠		tʂʰuŋ⁴⁴	tʂʰuŋ⁴⁴	tʂʰuŋ⁴⁴	tʂʰuŋ⁴⁴	tʂʰuŋ⁴⁴	tʂʰuŋ⁴⁴	tʂʰuŋ⁴⁴	tʂʰuŋ⁴⁴	
重	~复	tʂʰuŋ⁵²	tʂʰuŋ⁵²	tʂʰuŋ⁵²	tʂʰuŋ⁵²	tʂʰuŋ⁵²	tʂʰuŋ⁵²	tʂʰuŋ⁵²	tʂʰuŋ⁵²	
重	~要	tʂuŋ⁴¹	tʂuŋ⁴¹	tʂuŋ⁴¹	tʂuŋ⁴¹	tʂuŋ⁴¹	tʂuŋ⁴¹	tʂuŋ⁴¹	tʂuŋ⁴¹	
