#ɿ
ʦ [224]支枝肢资姿咨脂趾芝之址吱{～呀：大声嚷嚷}滋{【又】}[53]纸[45]紫籽{儿}纸只姊止滓子指滋{～味儿}[31]自至字志{～气}
ʦʰ [224]呲{～打：责骂}眵{～马糊：眼屎}[53]瓷雌辞词磁慈祠[45]此齿{～轮儿}[31]刺赐翅次伺
s [224]斯撕施丝私思司师狮尸诗虱室涩□{～□uei33：磨蹭}[53]时[45]死屎使史驶始什{家～儿}[31]匙是氏四肆视示似祀巳士柿市驷{～牛：母牛}寺饲事试饰□{～耐人：难看，腻歪，丢人}伺{【又】}

#ʅ
tʂ [224]知{～道}织值职只汁{儿}炙置{位～}执{～行}质{～量}植{【又】}稚{幼～}制{～大钱儿：中间有眼儿的铜制钱币}[53]直侄{儿}殖[31]制治智致志{【又】人名用字}秩植{～树}置{～办}痔
tʂʰ [224]痴吃尺[53]池驰迟持[45]耻[31]斥赤{～卫队}
ʂ [224]湿失{消～}释{～放}适识{～字}[53]拾十石实食蚀[31]世势誓逝{～世}氏式饰
ʐ [31]日

#i
p [224]逼屄[53]鼻荸{～荠}[45]彼比秕{～子}[31]蔽{隐～}蓖{～麻}闭箅{～子}弊{作～}毙币陛庇痹{麻～}毕必碧璧{人名用字}弼{～马温}壁={～虎}臂{前～}避={～开}
pʰ [224]披={雨～}批匹{一～布}劈{～开：动词}僻{偏～}坯={砖～子}[53]皮疲脾{～气}琵{～琶}啤痹{【又】}[45]劈{～柴：名词}比{【又】}痞{～子}脾{～脏}[31]屁辟{开～}
m [224]眯[53]迷谜弥{阿～陀佛}篾{竹～子：从竹子上剥下来的皮儿}[45]米[31]秘泌密={秘～}蜜
t [224]低堤滴[53]嫡笛敌狄提{人站在高处用器具往上方提重物}□{后～～：脑袋后的大疙瘩，大后脑勺}[45]底抵的{目～}牴[31]帝弟第递地
tʰ [224]梯踢剔[53]题提{【又】}蹄啼[45]体[31]替涕剃屉{抽～}
n [224]衣-{～胞儿}妮[53]泥倪{姓}尼[45]你[31]腻逆溺
l [53]犁黎离篱璃{琉～瓦}梨厘狸{～猫}[45]礼李里理鲤[31]例厉励丽隶荔利痢吏立笠粒栗力历沥莉俐{伶～}藜{蒺～}
ʨ [224]鸡稽{～查队}寄饥肌基机几{茶～}级鲫积脊籍击激急吉技犄[53]集及急{【又】}疾极蒺{～藜}知{～了}吉{【又】人名用字}[45]挤几{～个}己戟{兵器}给{【又】}[31]祭际穄{～子}济荠{～菜}剂计继系{～鞋带}妓冀纪{～律}记忌既季即迹绩寂{圆～}痣辑{编～}
ʨʰ [224]妻企{～图}欺期辑{～本儿：订本儿}七漆{～湿：洇湿}乞{～丐}蹊{～跷}膝{～盖}[53]齐脐畦奇骑岐鳍杞{枸～}其棋旗岂歧启{～示}[45]起祈[31]去{来～}砌契{～约}器弃气汽泣荠{荸～}□{～咾晌：下午两点之后}
ɕ [224]西犀溪牺嬉熙{人名用字}希稀袭{偷～}吸悉息熄媳惜昔夕锡析膝{【又】护～}[53]习席[45]洗喜[31]细系{联～}戏淤{液体沸腾溢出汤：～咾一锅台}
