IPA	调值	调类	Hanzi
fan	212	3	反返
fan	24	2	凡烦樊繁
fan	32	1	帆番蕃幡藩翻
fan	52	5	犯饭泛范贩梵
fei	212	3	匪诽菲悱斐翡
fei	24	2	肥淝
fei	32	1	飞妃非菲啡绯扉蜚霏
fei	52	5	吠肺狒废沸费痱
fu	212	3	脯抚甫斧府俯辅
fu	24	2	弗伏扶芙福服俘浮
fu	32	1	夫肤孵敷
fu	52	5	父副付负妇附富腹
fɑŋ	212	3	仿访纺
fɑŋ	24	2	防妨房
fɑŋ	32	1	方坊芳
fɑŋ	52	5	放
fə	24	2	佛
fən	212	3	粉
fən	24	2	坟汾焚
fən	32	1	分芬吩纷氛酚
fən	52	5	分份奋忿粪愤
fəu	212	3	缶否
fəŋ	212	3	讽
fəŋ	24	2	冯逢缝
fəŋ	32	1	丰风枫封疯峰烽锋蜂
fəŋ	52	5	凤奉俸缝（~隙）
fᴀ	212	3	法
fᴀ	24	2	乏伐罚阀笩
fᴀ	32	1	发
fᴀ	52	5	发珐
i	212	3	乙已以迤蚁倚椅齮
i	24	2	仪夷迤饴怡宜贻姨胰移痍遗颐疑彝
i	32	1	一伊衣医依咿揖噫
i	52	5	亿义艺忆益议屹亦异抑呓役译易驿肄奕疫意翌溢毅薏熠臆翼癔
in	212	3	尹引饮殷蚓隐瘾
in	24	2	吟訚垠银淫寅霪
in	32	1	因阴茵荫音姻氤殷喑
in	52	5	印饮荫胤
iŋ	24	2	仍迎萤荧盈莹营萦楹蝇潆嬴瀛
iŋ	32	1	应英莺婴罂缨樱鹦膺鹰
iŋ	52	5	应映硬
iɑŋ	212	3	壤嚷
iɑŋ	24	2	瓤扬羊阳杨飏徉洋
iɑŋ	32	1	嚷央泱殃鸯秧
iɑŋ	52	5	让怏样漾恙烊
iɔ	212	3	扰杳咬舀窈
iɔ	24	2	饶娆尧肴轺姚窑谣摇徭遥瑶
iɔ	32	1	幺夭吆妖要腰邀
iɔ	52	5	绕药要钥曜耀
iə	212	3	若惹
iə	52	5	热
iən	24	2	人壬仁任（姓）
iən	52	5	刃认任韧妊
iəu	212	3	友有酉黝
iəu	24	2	柔揉糅蹂尤由邮犹油柚疣莜鱿游
iəu	32	1	优攸忧幽呦悠
iəu	52	5	肉又右幼柚囿诱釉鼬
iɛ	212	3	也冶野
iɛ	24	2	爷邪耶揶
iɛ	32	1	耶掖椰噎
iɛ	52	5	业叶页曳夜咽液谒腋靥
iɛn	212	3	冉染奄俨衍掩眼演偃魇
iɛn	24	2	然髯燃延严言妍岩炎沿盐研阎蜒筵颜檐
iɛn	32	1	咽恹殷胭烟焉阉淹腌湮嫣燕
iɛn	52	5	厌砚咽艳宴验谚堰雁焰燕赝
iᴀ	212	3	哑雅
iᴀ	24	2	牙芽玡蚜崖涯睚衙
iᴀ	32	1	丫压呀押哑鸦桠鸭
iᴀ	52	5	轧亚压讶氩揠
kan	212	3	扞杆赶敢感橄擀
kan	32	1	干甘杆肝泔柑竿尴
kan	52	5	干赣
kei	212	3	给
ku	212	3	古谷汩股骨贾蛊鼓
ku	32	1	估咕沽孤姑骨（~朵儿）辜
ku	52	5	固故顾雇锢
kuan	212	3	莞馆管
kuan	32	1	关观纶官冠棺鳏
kuan	52	5	贯冠惯盥灌罐
kuei	212	3	轨诡鬼柜刽贵桂跪
kuei	32	1	归圭龟规闺硅瑰
kuæ	212	3	拐
kuæ	32	1	乖掴
kuæ	52	5	怪
kuŋ	212	3	巩汞拱
kuŋ	32	1	工弓公功攻供宫恭躬
kuŋ	52	5	共贡供
kuɑŋ	212	3	广犷
kuɑŋ	32	1	光胱
kuɑŋ	52	5	逛
kuə	212	3	果裹
kuə	24	2	国
kuə	32	1	过郭聒锅
kuə	52	5	过
kuən	212	3	衮滚磙
kuən	52	5	棍
kuᴀ	212	3	剐寡
kuᴀ	32	1	瓜呱刮
kuᴀ	52	5	卦挂褂
kæ	212	3	改
kæ	32	1	该垓
kæ	52	5	丐钙盖溉概
kɑŋ	212	3	岗港
kɑŋ	32	1	冈扛刚肛纲钢缸罡
kɑŋ	52	5	杠
kɔ	212	3	搞缟槁镐稿
kɔ	32	1	皋高羔膏篙糕
kɔ	52	5	告诰
kə	212	3	葛
kə	32	1	戈疙咯哥胳鸽搁割
kə	52	5	个各
kən	32	1	根跟
kən	52	5	亘
kəu	212	3	苟狗枸
kəu	32	1	勾佝沟钩
kəu	52	5	勾构购诟垢够
