白-读- 文=读=	阴平	阳平	上声	阴去	阴入	阳入				
	21	24	44	52	43	13				
tsɿ	资姿资兹滋支枝肢之芝知蜘脂(~油)孜咨孳孜龇辎淄栀吱鸡几(~乎)叽肌机讥饥基嵇稽羁奇(~数)期(满~)箕畸		仔籽梓紫姊子指址止趾芷纸脂(~肪)旨祉滓几(~何)虮挤己	制智致至志痣置桎帜挚稚翅季记纪计系(~带子)祭穄寄剂济继既际冀						
tsʰɿ	雌差(参~)蚩嗤痴魑蹊溪妻凄期欺栖及(来不~)	瓷慈磁糍词辞祠饲池驰迟匙弛持剚(~鱼)其麒旗棋奇(~怪)骑崎齐(~心)脐祁祈耆鳍芪	此耻齿起岂杞启	刺赐次疵伺滞雉字自治峙痔莳(~秧)器契弃气汽忌技妓企						
sɿ	厮斯撕私司丝思师狮施尸诗西牺茜栖硒栖兮嘻嬉奚希稀唏烯犀樨羲曦熙携	时鲥	死史使驶始屎矢喜蟢熹洗徙玺孟(姓)	四泗俟肆世势誓视示试侍恃逝恣事似氏市是巳祀柿仕士寺戏系(~统)细						
zɿ	医衣依伊矣	夷姨怡饴贻眙疑颐遗移黟宜谊仪沂	以倚椅已	意亿懿忆臆薏易艺义议蚁异诣肄翼翌毅刈						
tɕʰi				去						
ȵiᶽ		尼泥		腻						
piᶽ	屄		匕比彼鄙	闭秘泌陛蔽毙						
pʰiᶽ	批披砒	皮纰啤脾琵疲	丕痞疲(老派)庇邳毗	屁被坒郫璧避譬箅篦敝弊币备-						
miᶽ	眯咪	迷谜醚弥猕糜靡	米							
niᶽ		呢(~子服)倪霓	你							
liᶽ	哩(轻声)	厘犁梨离=(距~)篱璃漓黎	李礼里狸理俚娌鲤	利痢俐莉厉沥励砺吏例隶丽郦骊俪蠡莅荔离-(~他不远)						
tɕiᶽ	低氐嘀堤		底抵诋邸	帝谛柢						
tɕʰiᶽ	梯	提题啼蹄堤	体绨	去替剃递嚏屉地第弟涕娣						
pɯ			补	布怖						
pʰɯ	铺(~床)潽(~出来)□(~气：喘气)	蒲匍葡菩	普普谱甫捕辅-脯哺	铺(店~)埠步部蔀簿						
fɯ	夫呋衭麸肤敷孵	符扶芙孚浮烰俘蜉巫诬	府拊俯腑腐辅=斧釜抚	副付咐附驸富负赋傅赴计阜父妇						
vɯ	乌污	吴蜈吾梧无芜毋胡-(~子)	五伍俉捂武鹉午仵忤侮舞	焐悟(醒~)雾恶(可~)瓠误晤务护-(~短)戊						
