字	注释	音
東		tʊŋ55
凍		tʊŋ33
鶇		tʊŋ55
通		tʰʊŋ55
俑		jʊŋ25
桐		tʰʊŋ22
洞		tʊŋ22
筒		tʰʊŋ22
筒	郵筒，筒骨	tʰʊŋ25
銅		tʰʊŋ22
僮	書僮	tʰʊŋ22
僮	僮族；〔～族〕：壯族	ʦɔŋ22
僮	僮族；〔～族〕：壯族	ʦɔŋ33
童		tʰʊŋ22
同		tʰʊŋ22
仝		tʰʊŋ22
聾		lʊŋ22
朧		lʊŋ22
嚨		lʊŋ22
瓏		lʊŋ22
籠		lʊŋ22
隆		lʊŋ22
窿		lʊŋ55
聰		ʦʰʊŋ55
囪		tʰʊŋ55
囪		ʦʰʊŋ55
蔥		ʦʰʊŋ55
叢		ʦʰʊŋ22
嵩		ɬʊŋ55
嵩		sʊŋ55
衷		ʦʊŋ55
衷		ʦʰʊŋ55
忠		ʦʊŋ55
中	中間	ʦʊŋ55
中	中獎	ʦʊŋ33
忡		ʦʰʊŋ55
蟲		ʦʰʊŋ22
沖		ʦʰʊŋ55
崇		ʦʰʊŋ22
眾		ʦʊŋ33
螽		ʦʊŋ55
終		ʦʊŋ55
充		ʦʰʊŋ55
絨		jʊŋ22
功		kʊŋ55
工		kʊŋ55
蚣		kʊŋ55
公		kʊŋ55
攻		kʊŋ55
躬		kʊŋ55
宮		kʊŋ55
弓		kʊŋ55
空		hʊŋ55
穹		kʰʊŋ22
訌		hʊŋ22
洪		hʊŋ22
虹		hʊŋ22
烘	烘包	hɔŋ33
烘	烘焙	hʊŋ55
紅	紅色	hʊŋ22
鴻		hʊŋ22
翁		jʊŋ55
雄		hʊŋ22
熊		hʊŋ22
熊		jʊŋ22
融		jʊŋ22
楓		fʊŋ55
風		fʊŋ55
蓬		pʰʊŋ22
篷		pʰʊŋ22
蜂		fʊŋ55
梵		faŋ22
馮	馮姓	fʊŋ22
矇		mʊŋ22
濛		mʊŋ22
朦		mʊŋ22
檬		mʊŋ55
蒙		mʊŋ22
夢		mʊŋ22
豐		fʊŋ55
窮		kʰʊŋ22
董		tʊŋ25
桶		tʰʊŋ25
動		tʊŋ22
攏		lʊŋ13
總		ʦʊŋ25
孔		kʰʊŋ25
俸		fʊŋ22
懵		mʊŋ13
棟		tʊŋ22
痛		tʰʊŋ33
弄		lʊŋ22
粽		ʦʊŋ33
送		ɬʊŋ33
送		sʊŋ33
仲		ʦʊŋ22
銃		ʦʰʊŋ33
貢		kʊŋ33
