"来源：鲍厚星.湖南邵阳方言音系[J].方言,1989(3):196-207."						
"轉錄者：DaiDzao"						
"拼音"	"IPA"	"調號"	"調值"	"單字"		"1阴平55，2阳平12，3上声42，5阴去35，6阳去24，7入声33"
	"tsɿ"	1	55	"知蜘支枝肢梔栀[~子花]只[~有]资姿咨兹滋之芝辎[~重]隻=蛰[惊~]"		
	"tsɿ"	3	42	"紫纸脂姊旨指子梓滓止趾址掷"		
	"tsɿ"	5	35	"翅致至志誌[地方~]痣制智"		
	"tsɿ"	7	33	"执汁织职质侄姪置"		
	"tsʰɿ"	1	55	"雌瘫嗤"		
	"tsʰɿ"	3	42	"此侈耻齿"		
	"tsʰɿ"	5	35	"直值"		
	"tsʰɿ"	6	24	"刺赐次"		
	"tsʰɿ"	7	33	"赤尺斥秩殖植"		
	"dzɿ"	2	12	"池驰瓷餈糍[~巴]迟稚慈磁持辞词祠"		
	"dzɿ"	6	24	"字牸[牝牛]治柿峙恃"		
	"sɿ"	1	55	"斯厮撕施私师狮尸司丝思诗"		
	"sɿ"	3	42	"死豕矢屎使史驶始"		
	"sɿ"	5	35	"四肆试式世势饰"		
	"sɿ"	7	33	"适释石湿十什[~物]拾[~起来]食蚀识实失室厕[茅~]"		
	"zɿ"	2	12	"时鲥嗣饲匙[钥~]"		
	"zɿ"	6	24	"是氏豉[豆~]视示似祀事巳[辰~]自寺侍痔逝誓嗜日"		
	"pi"	1	55	"屄"		
	"pi"	3	42	"比批彼"		
	"pi"	5	35	"蔽臂闭痹滗[~米汤]"		
	"pi"	7	33	"笔毕必逼碧璧壁敝弊币毙斃"		
	"pʰi"	1	55	"批披匹"		
	"pʰi"	3	42	"譬丕鄙劈庇"		
	"pʰi"	6	24	"屁弼"		
	"pʰi"	7	33	"僻辟"		
	"bi"	2	12	"皮疲脾琵枇"		
	"bi"	6	24	"被婢避备鼻篦陛"		
	"mi"	1	55	"眯搣[~掰]"		
	"mi"	2	12	"迷眉媚糜弥靡"		
