cid	character	initial	final	tone	note
1	多	t	uɤ	24	
2	拖	th	uɤ	24	
3	大	t	a	51	
4	锣	l	uɤ	42	
5	左	ts	uɤ	44	
6	歌	k	ɤ	24	
7	个	k	ɤ	51	
8	可	kh	ɤ	44	
9	鹅	ɣ	ɤ	42	
10	饿	ɣ	ɤ	51	
11	河	x	ɤ	42	
12	茄	tɕh	iɛ	42	
13	破	ph	ɤ	51	
14	婆	ph	ɤ	42	
15	磨	m	ɤ	42	～刀
15	磨	m	ɤ	51	～面
16	磨	m	ɤ	51	
17	躲	t	uɤ	44	
18	螺	l	uɤ	42	
19	坐	ts	uɤ	51	
20	锁	ɕ	yɤ	44	又
20	锁	s	uɤ	44	又
21	果	k	uɤ	44	
22	过	k	uɤ	51	
23	课	kh	ɤ	51	
24	火	x	uɤ	44	
25	货	x	uɤ	51	
26	祸	x	uɤ	51	
27	靴	ɕ	yɛ	24	
28	把	p	a	44	
29	爬	ph	a	42	
30	马	m	a	44	
31	骂	m	a	51	
32	茶	tʂh	a	42	
33	沙	ʂ	a	24	
34	假	tɕ	ia	44	
35	嫁	tɕ	ia	51	
36	牙	∅	ia	42	
37	虾	ɕ	ia	24	
38	下	ɕ	ia	51	
39	夏	ɕ	ia	51	
40	哑	∅	ia	44	
41	姐	tɕ	iɛ	44	
42	借	tɕ	iɛ	51	
43	写	ɕ	iɛ	44	
44	斜	ɕ	iɛ	42	
45	谢	ɕ	iɛ	51	
46	车	tʂh	ɤ	24	
47	蛇	ʂ	a	42	白
47	蛇	ʂ	ɤ	42	文
48	射	ʂ	ɤ	51	
49	爷	∅	iɛ	42	
50	野	∅	iɛ	44	
51	夜	∅	iɛ	51	
52	瓜	k	ua	24	
53	瓦	∅	ua	44	
54	花	x	ua	24	
55	化	x	ua	51	
56	华	x	ua	42	
57	谱	ph	u	44	
58	布	p	u	51	
59	铺	ph	u	24	
60	簿	p	ɤ	42	
61	步	p	u	51	
62	赌	t	u	44	
63	土	th	u	44	
64	图	th	u	42	
65	杜	t	u	51	
66	奴	n	uŋ	42	
67	路	l	u	51	
68	租	ts	u	24	
69	做	ts	ou	51	～饭
69	做	ts	uɤ	51	～作业
70	错	tsh	uɤ	51	
71	箍	k	u	24	
72	古	k	u	44	
73	苦	kh	u	44	
74	裤	kh	u	51	
75	吴	∅	u	42	
76	五	∅	u	44	
77	虎	x	u	44	
78	壶	x	u	42	
79	户	x	u	51	
80	乌	∅	u	24	
81	女	ȵ	y	44	
82	吕	l	y	44	
83	徐	ɕ	y	42	
84	猪	tʂ	u	24	
85	除	tʂh	u	42	
86	初	tʂh	uɤ	24	
87	锄	tʂh	uɤ	42	
88	所	f	ɤ	44	白
88	所	ʂ	uɤ	44	文
89	书	f	u	24	白
89	书	ʂ	u	24	文
90	鼠	f	u	44	
91	如	ʐ	u	42	
92	举	tɕ	y	44	
93	锯	tɕ	y	51	
94	去	tɕh	y	51	
95	渠	tɕ	y	42	
96	鱼	∅	y	42	
97	许	ɕ	y	44	
98	余	∅	y	42	
99	府	f	u	44	
100	付	f	u	51	
101	父	f	u	51	
102	武	∅	u	44	
103	雾	∅	u	51	
104	取	tɕh	y	44	
105	柱	tʂ	u	51	
106	住	tʂ	u	51	
107	数	ʂ	uɤ	44	
108	数	ʂ	uɤ	51	
109	主	tʂ	u	44	
110	输	ʐ	u	24	～赢
110	输	ʂ	u	24	～运输
111	竖	f	u	51	白
111	竖	ʂ	u	51	文
112	树	f	u	51	白
112	树	ʂ	u	51	文
113	句	tɕ	y	51	
114	区	tɕh	y	24	
115	遇	∅	y	51	
116	雨	∅	y	44	
117	芋	∅	y	42	
118	裕	∅	y	42	
119	胎	th	ai	24	
120	台	th	ai	42	
121	袋	t	ai	51	
122	来	l	ai	42	
123	菜	tsh	ai	51	
124	财	tsh	ai	42	
125	该	k	ai	24	
126	改	k	ai	44	
127	开	kh	ai	24	
128	海	x	ai	44	
129	爱	ɣ	ai	51	
130	贝	p	ei	51	
131	带	t	ai	51	
132	盖	k	ai	51	
133	害	x	ai	51	
134	拜	p	ai	51	
135	排	ph	ai	42	
136	埋	m	ai	42	
137	戒	tɕ	iɛ	51	
138	摆	p	ai	44	
139	派	ph	ai	51	
140	牌	ph	ai	42	
141	买	m	ai	44	
142	卖	m	ai	51	
143	柴	tʂh	ai	42	
144	晒	ʂ	ai	51	
145	街	tɕ	iɛ	24	
146	解	tɕ	iɛ	44	
147	鞋	ɕ	iɛ	42	
148	蟹	ɕ	iɛ	51	
149	矮	ɣ	ai	44	
150	败	p	ai	51	
151	币	p	i	51	
152	制	tʂ	ʅ	51	
153	世	ʂ	ʅ	51	
154	艺	∅	i	51	
155	米	m	i	44	
156	低	t	i	24	
157	梯	th	i	24	
158	剃	th	i	51	
