参考材料：《浙江金华市孝顺镇方言音系》《吴语金衢片方言语音比较研究》《金华县志》											
汉字	IPA	声调	备注								
支	tsɿ	1							声调	调类	调值
枝	tsɿ	1							1	阴平	334
肢	tsɿ	1							2	阳平	113
栀	tsɿ	1							3	阴上	533
资	tsɿ	1							5	阴去	53
姿	tsɿ	1							6	阳去	242
咨	tsɿ	1							7a	阴入甲	445
脂	tsɿ	1							7b	阴入乙	4
滋	tsɿ	1							8a	阳入甲	24
兹	tsɿ	1							8b	阳入乙	212
之	tsɿ	1									
芝	tsɿ	1									
知	tsɿ	1									
紫	tsɿ	3									
纸	tsɿ	3									
只	tsɿ	3									
旨	tsɿ	3									
止	tsɿ	3									
趾	tsɿ	3									
址	tsɿ	3									
指	tsɿ	3									
子	tsɿ	3									
梓	tsɿ	3									
致	tsɿ	5									
稚	tsɿ	5									
至	tsɿ	5									
志	tsɿ	5									
痣	tsɿ	5									
制	tsɿ	5									
雌	tsʰɿ	1									
痴	tsʰɿ	1									
此	tsʰɿ	3									
齿	tsʰɿ	3									
鼠	tsʰɿ	3									
刺	tsʰɿ	5									
赐	tsʰɿ	5									
翅	tsʰɿ	5									
次	tsʰɿ	5									
池	dzɿ	2									
驰	dzɿ	2									
辞	dzɿ	2									
词	dzɿ	2	文								
持	dzɿ	2									
治	dzɿ	6									
筛	sɿ	1									
斯	sɿ	1									
厮	sɿ	1									
施	sɿ	1									
私	sɿ	1									
师	sɿ	1									
狮	sɿ	1									
尸	sɿ	1									
司	sɿ	1									
丝	sɿ	1									
思	sɿ	1									
诗	sɿ	1									
死	sɿ	3									
士	sɿ	3									
仕	sɿ	3									
使	sɿ	3									
史	sɿ	3									
驶	sɿ	3									
始	sɿ	3									
市	sɿ	3									
似	sɿ	5									
祀	sɿ	5									
巳	sɿ	5									
试	sɿ	5									
誓	sɿ	5									
逝	sɿ	5	文								
势	sɿ	5									
匙	zɿ	2									
瓷	zɿ	2									
糍	zɿ	2	～粑								
词	zɿ	2									
时	zɿ	2									
氏	zɿ	6	文								
豉	zɿ	6	豆～								
示	zɿ	6									
柿	zɿ	6	文								
视	zɿ	6									
视	zɿ	6									
嗜	zɿ	6									
寺	zɿ	6									
伺	zɿ	6									
字	zɿ	6									
饲	zɿ	6	～饭：喂饭，给小孩～饭								
事	zɿ	6									
侍	zɿ	6									
市	zɿ	6									
杯	pɑ	1									
摆	pɑ	3									
罢	pɑ	3									
簸	pɑ	5	动词，～一～								
拜	pɑ	5									
辈	pɑ	5									
披	pʰɑ	1	老								
胚	pʰɑ	1									
坯	pʰɑ	1									
破	pʰɑ	5									
派	pʰɑ	5									
沛	pʰɑ	5									
排	bɑ	2									
牌	bɑ	2									
爿	bɑ	2									
败	bɑ	6									
瓣	bɑ	6									
办	bɑ	6									
班	mɑ	1									
扳	mɑ	1									
蛮	mɑ	2									
