			编号	字头	低坡	西坡	白龙	白木	屯车	那勉	渌一	伯劳街	竹木排
			1	多	to45	to45	to25	to45	to55	tɔ33	to11	tu11	tu45
			2	拖	tʰo45	tʰo45	tʰo25	tʰo45	tʰo55	tʰɔ33	tʰo11	tʰu11	tʰu45
			3	大{～小}	tʰai22	tʰai22	tʰai33	tʰai22	tʰai21	tʰai221	tʰai33	tʰai33	tʰai22
			4	锣	lo44	lo44	lo44	lo44	lo42	lɔ32	lo31	lu31	lu35
			5	左	tʃo24	tʃo13	tʃo11	tʃo13	tʃo24	tʃɔ113	tʃo24	tsu24	tʃu33
			6	歌	ko45	ko45	ko25	ko45	ko55	kɔ33	ko11	ku11	ku45
			7	个	ko44	ko44	ko44	ko44	ko21	kɔ113	ko24	ku24	ku33
			8	可	kʰo24	kʰo13	ho11	kʰo13	kʰo24	hɔ55	ho55	hu55	kʰu33
			9	鹅	ŋo44	ŋo44	ŋo44	ŋo44	ŋo42	ŋɔ32	ŋo31	ŋu31	ŋu35
			10	饿	ŋo22	ŋo22	ŋo33	ŋo22	ŋo21	ŋɔ221	ŋo44	ŋu33	ŋu22
			11	河	ho44	ho44	ho44	ho44	ho42	hɔ32	ho31	hu31	hu35
			12	茄	kʰeⁱ44	kʰe44	kʰe44	kʰe44	kʰe42	kʰe32	kʰe31	kʰi31	kʰi35
			13	破	pʰo44	pʰo44	pʰo11	pʰo44	pʰo21	pʰu113	pʰo24	pʰəu24	pʰu51
			14	婆	pʰo44	pʰo44	pʰo44	pʰo44	pʰu42	pʰu32	pʰu31	pʰəu31	pʰu35
			15	磨{动词，～刀}	mo44	mo44	mo44	mo44	mo42	mɔ32	mo31	mu31	mu35
			16	磨{名词，石～}	mo22	mo22	mo44	mo22	mo21	mɔ221	mo44	mu33	mu22
			17	躲	to24	to13	to11	to13	to24	tɔ55	to55	tu55	tu33
			18	螺	lo44	lo44	lo44	lo44	lu42	lɔ32	lo31	lu31	lu35
			19	坐	tʃʰo22	tʃʰo22	tʃʰo33	tʃʰo22	tʃʰu33	tʃʰɔ33	tʃʰu33	tsʰu33	tʃʰu13
			20	锁	ɬo24	ɬo13	ɬo11	ɬo13	ɬu24	ɬɔ55	ɬu55	ɬu55	ɬu33
			21	果	ko24	ko13	ko11	ko13	ko24	kɔ55	ku55	ku55	ku33
			22	过{～去}	ko44	ko44	ko11	ko44	ku21	ku113	ku24	kəu24	ku51
			23	课	kʰo44	kʰo44	kʰo11	kʰo44	kʰo21	kʰɔ113	fu24	kʰu24	kʰu51
			24	火	fo24	fo13	vo11	fo13	hu24	hu55	ʔu55	fu55	fu33
			25	货	fo44	fo44	fo11	fo44	fo21	fɔ113	fu24	fu24	fu51
			26	祸	vo22	vo22	vo33	vo22	hu33	vɔ33	vo44	həu33	vu13
			27	靴	heⁱ45	he45	he25	he45	he55	he33	ve11	hi11	hi45
			28	把{～握}	pa24	pɒ13	pɒ11	pa13	pa24	pa55	pa55	pa55	pa33
			29	爬	pʰa44	pʰɒ44	pʰɒ44	pʰa44	pʰa42	pʰa32	pʰa31	pʰa31	pʰa35
			30	马	ma24	mɒ13	mɒ11	ma13	ma33	ma33	ma33	ma33	ma13
			31	骂	ma22	mɒ22	mɒ33	ma22	ma21	ma221	ma44	ma33	ma22
			32	茶	tʃʰa44	tʃʰɒ44	tʃʰɒ44	tʃʰa44	tʃʰa42	tʃʰa32	tʃʰa31	tsʰa31	tʃʰa35
