cid	character	initial	final	tone	note
1	多	t	uei	44	
2	拖	h	ua	44	
3	大	ɗ	ua	44	
4	锣	l	ɔ	31	
5	左	t	ɔ	42	
6	歌	k	ua	44	
6	歌	k	ɔ	44	
7	个	k	ai	44	
8	可	h	ɔ	42	
9	鹅	ɡ	ɔ	31	
10	饿	ŋ	ɔ	24	
11	河	h	ɔ	31	
12	茄	k	iɔ	31	
13	破	ph	ua	24	
14	婆	ph	ɔ	31	
14	婆	ɓ	ɔ	42	
15	磨	b	ua	31	
16	磨	m	ɔ	24	
17	躲	ɗ	ɔ	42	
18	螺	l	e	31	
19	坐	ts	e	44	
20	锁	t	ɔ	42	
21	果	k	ɔ	42	
22	过	k	uei	24	
23	课	h	ua	24	
24	火	∅	uei	42	
25	货	∅	uei	24	
26	祸	ɦ	ua	44	
27	靴	h	uei	44	
28	把	ɓ	e	42	
29	爬	ɓ	e	44	
30	马	b	e	42	
31	骂	m	e	44	
32	茶	ɗ	e	31	
33	沙	t	ua	44	
34	假	k	e	42	
35	嫁	k	e	24	
36	牙	∅	ie	31	
36	牙	ɡ	e	31	
37	虾	ɦ	e	31	
38	下	∅	e	44	
39	夏	ɦ	e	44	
40	哑	∅	e	42	
41	姐	ts	e	55	
42	借	tɕ	iɔ	53	
43	写	t	ia	42	
44	斜	t	ia	31	
45	谢	t	ia	42	
46	车	ɕ	ia	44	
47	蛇	t	ua	31	
48	射	t	ia	44	
49	爷	z	e	31	
50	野	∅	ia	42	
52	瓜	k	uai	44	
53	瓦	∅	ia	42	
54	花	∅	uai	44	
55	化	∅	uei	24	
56	华	∅	ua	31	
57	谱	ph	u	42	
58	布	ɓ	au	24	
59	铺	ph	u	44	
60	簿	ph	au	44	
61	步	ɓ	au	44	
64	图	h	u	31	
65	杜	ɗ	u	53	
66	奴	n	au	31	
67	路	l	au	44	
68	租	t	au	44	
70	错	s	ɔ	24	
71	箍	kh	au	44	
72	古	k	au	42	
73	苦	h	au	42	
74	裤	h	au	24	
75	吴	ŋ	au	31	
76	五	ŋ	au	42	
77	虎	h	au	42	
78	壶	ɓ	u	44	
79	户	ɦ	au	44	
80	乌	∅	au	44	
81	女	n	i	42	
82	吕	l	i	31	
83	徐	ɕ	i	31	
84	猪	ɗ	u	44	
85	除	s	u	31	
86	初	s	ɔ	44	
87	锄	s	u	31	
87	锄	h	u	31	
88	所	t	ɔ	42	
89	书	t	u	44	
90	鼠	ɕ	iu	42	
