tsɿ	1	知支之肢资姿枝桅只脂{烟∽}																																															
tsɿ	2	直值置{安∽}质职汁侄执挚织植																																															
tsɿ	3	只纸子止指脂{∽肪}																																															
tsɿ	5	制智稚这{∽点}自志字治																																															
tsʰɿ	1	痴摛{∽手}																																															
tsʰɿ	2	池迟持尺吃赤秩齿																																															
tsʰɿ	3	齿耻此																																															
tsʰɿ	5	翅次刺赐柿{∽花}																																															
sɿ	1	施师诗思丝司																																															
sɿ	2	时十什拾适{∽合}实失石食识释湿																																															
sɿ	3	史使驶始																																															
sɿ	5	世势四是事适{合∽}氏士仕																																															
zɿ	2	日																																															
pi	1	屄{女阴}																																															
pi	2	笔毕鼻逼辟{复∽}滗{∽汤}弼																																															
pi	3	比彼																																															
pi	5	币闭敝庇臂{文，∽膀}																																															
pʰi	2	皮痹辟{开~}僻劈霹																																															
pʰi	3	痞																																															
pʰi	5	屁庇																																															
mi	1	眯咪弥{阿∽陀佛}																																															
mi	2	迷密蜜弥{∽补}秘{∽书}																																															
mi	3	米																																															
mi	5	沕{打~子}																																															
ti	1	低的																																															
ti	2	笛迪敌的滴																																															
ti	3	底抵																																															
ti	5	弟递地第帝逮																																															
tʰi	1	梯剔锑																																															
tʰi	2	惕屉{抽∽}惕提堤题																																															
tʰi	3	体																																															
tʰi	5	替剃嚏																																															
ni	1	的{白}																																															
ni	2	尼泥离立力历厘逆疑																																															
ni	3	你拟李礼里理																																															
ni	5	厉励艺{白，手∽}例丽利腻																																															
tɕi	1	鸡荠{茡~}机基箕姬饥																																															
tɕi	2	及级圾极给芨击迹积																																															
tɕi	3	己纪几挤麂{∽子}																																															
tɕi	5	计济剂祭记寄断																																															
tɕʰi	1	妻凄栖欺期溪																																															
tɕʰi	2	齐脐其棋旗祈其七骑																																															
tɕʰi	3	起启岂杞																																															
tɕʰi	5	气汽弃企契器																																															
ɕi	1	西牺希兮稀																																															
ɕi	2	习席昔夕熄锡悉																																															
ɕi	3	洗喜徙玺																																															
ɕi	5	细戏																																															
