龙游塔石		
#汉字	解释	音标
#来源		宋六旬《吴语金衢片方言语音比较研究》
#声调		1阴平33 2阳平213 3阴上35 5阴去53 6阳去231 7阴入ʔ5 8阳入ʔ12
多		tuɔ1
拖	拖车	tʰɑ1
拖	拖鞋	tʰuɔ1
大	大小	duɔ6
大	大家	dɑ6
锣		luɔ2
左	读字	tsu5
歌		ku1
个	一个	kɑ5
个	个人	ku5
可		kʰu5
鹅		ŋuɛ2
饿		ŋuɛ6
河		u2
茄		kɑ1
破	打	pʰɑ5
婆		bie2
磨	磨豆腐	mie2
磨	麦磨	mie6
朵		tuɔ3
螺		luɔ2
坐		zuɔ4
锁		suɔ3
果		kuɛ3
过		kuɛ5
课		kʰu5
火		huɛ3
货		huɛ5
祸		uɛ4
靴		ɕye1
把		pɑ3
爬		bie2
马		m4
骂		m6
茶		dzuɑ2
沙		sɑ2
假		kuɑ3
嫁		kuɑ5
牙		ŋuɑ2
虾		hɑ1
下		uɑ4
夏		uɑ6
哑		yɛ3
借		tɕie5
笡	斜	tɕʰie5
写		ɕie3
斜		ʑie2
谢		ʑie6
车	马车	tsʰuɑ1
蛇		zuɑ2
射		zuɑ6
爷	老爷	iɑ2
爷	祖父	iɑ5
野		iɑ4
夜		iɑ6
瓜		kuɑ1
瓦		ŋuɑ2
花		xuɑ1
化		xuɑ5
华	金华	uɑ2
谱	家谱	pʰu3
布		puɤ5
铺	动词	pʰuɤ1
簿		bu4
步		buɤ6
赌		tuɤ3
土		tʰuɤ3
图		duɤ2
杜		du6
奴		nu2
路		lu6
租		tsu1
做		tsuɔ5
错		tsʰuɔ5
箍		kʰuɤ1
古		ku3
苦		kʰuɤ3
裤		kʰuɤ5
吴		ŋu2
五	数字	ŋuɤ4
虎		huɤ3
壶		uɤ2
户		u4
乌		uɤ1
女	女儿	nɛ4
女	男女	ȵy4
吕		li4
徐		ʑy2
猪		tuɑ1
除		dʑyɛ2
初		tsʰuɤ1
锄		zuɑ2
所		suɤ3
书		ɕyɛ1
鼠		tɕʰie3
如		ʑy2
□	居住	kɛ3
举		tɕy3
锯		kɯ5
去		kʰəʔ7
渠	水渠	dʑy2
鱼		ŋəɯ5
许	读字	ɕy3
许	许配	xəɯ3
余		y2
府		fu3
付		fu5
父		vu4
武		vu4
雾		vuɤ6
取	读字	tɕʰy3
取	赎回	tɕʰiəɯ3
柱		dʑyɛ4
住	读字	dʑy6
数	动词	ɕyɛ3
数	名词	su5
主		tɕyɛ3
输	输赢	ɕyɛ1
竖		ʑyɛ4
树		dʑiəɯ6
句		tɕyɛ5
区		tɕʰy1
遇		ȵy6
雨		yɛ4
芋		yɛ6
裕		yɛ6
胎		tʰɛ1
台	戏台	dɛ2
袋		dɛ6
来		lɛ2
菜		tsʰɛ5
财		dzɛ2
该		kɛ1
改		kɛ3
开		kʰɛ1
海		xɛ3
爱		ɛ5
贝		pɛ5
带		tɑ5
盖		kɛ5
害		ɛ6
拜		pɑ5
排		bɑ2
埋		mɛ2
戒		kɑ5
摆		pɑ3
派		pʰɑ5
牌		bɑ2
买		mɑ4
卖		mɑ6
柴		zɑ2
晒		suɑ5
街		kɑ1
解		kɑ3
解	押解	kɑ5
鞋		ɑ2
蟹		hɑ3
矮		ɑ3
败		bɑ6
币		bi6
制		tsɿ5
世		sɿ5
艺		ȵi6
米	白米	mi4
低		ti1
梯		tʰɛ1
剃		tʰie5
弟		die6
递		di6
泥		ȵie2
犁		lie2
西		ɕi1
洗		ɕi3
鸡		tɕi1
溪		tɕʰi1
契		tɕʰiəʔ7
系		ʑi6
杯		pɛ1
配		pʰɛ5
赔		bɛ2
背	背书	bɛ6
煤		mɛ2
妹		mɛ6
对		tɛ5
雷		lɛ2
罪		zɛ4
碎		sɛ5
灰		xuɛ1
回		uɛ2
外		ŋɑ6
会	开会	uɛ6
怪		kuɑ5
块		kʰuɛ5
怀		uɛ2
坏		uɑ6
拐		kuɛ3
挂		kuɑ5
歪		uɛ1
画		uɑ6
快		kʰuɑ5
活		u6
岁		suei5
卫		uei6
肺		fi5
桂		kuei5
碑		pei1
皮		bi2
被		bi4
紫		tsɿ3
刺		tɕʰiəʔ7
知		tsɿ1
池		dzɿ2
纸		tɕiɛ3
儿		ŋ2
寄		tɕi5
骑		dʑi2
蚁		ȵi4
义		ȵi6
戏		ɕi5
移		i2
比		pi3
屁		pʰi5
鼻		biəʔ8
眉		mi2
地		die6
梨		li2
资		tsɿ1
死	读字	sɿ3
四		ɕi5
迟		dʑi2
师		sɿ1
指		tɕiəʔ7
二		ŋ6
饥		kɛ1
器		tɕʰi5
姨		i2
李		li5
子		tsɿ3
字		zɿ6
丝		sɿ1
祠		zɿ2
寺		zɿ6
治		dzɿ6
柿		zie4
事		ʑyɤ6
使		sɿ3
试		sɿ5
时		zie2
市		zɿ4
耳		ŋ2
记		tɕi5
棋		dʑi2
喜		ɕi3
意		i5
几	几个	kɛ3
气		tɕʰi5
希		ɕi1
衣		i1
嘴		tsɛ3
随		zɛ2
吹		tɕʰy1
垂		dzɛ2
规		kuɛ1
亏		kʰuɛ1
跪		tɕʰy3
危		uɛ1
类		lɛ6
醉		tsɛ5
追	读字	tsɛ1
锤		dʑy2
水		ɕy3
龟		tɕy1
季		tɕi5
柜		dʑy6
位		uɛ6
飞		fi1
费		fi5
肥	肥料	vi2
肥	洋肥皂	bi2
尾	尾巴	ŋ2
尾	扫尾	vi4
味	味精	vi6
鬼		kuɛ3
贵		tɕy5
围	围裙	y2
围		uɛ2
胃		uɛ6
宝		pɔ3
袍		bɔ2
毛		mɔ2
帽		mɔ6
刀		tɔ1
讨		tʰuɤ3
桃		dɔ2
道		dɔ4
脑		nɔ4
老		lɔ4
早		tsɔ3
灶		tsɔ5
草		tsʰuɤ3
糙		tsʰɔ5
造		zɔ4
嫂		sɔ3
高		kɔ1
靠		kʰɔ5
熬		ŋɔ2
好	好坏	hɔ3
号		ɔ6
包		pɔ1
饱		pɔ3
炮		pʰɔ5
猫		mɔ3
闹		nɔ6
罩		tsɔ5
抓	抓牌	tsuɑ1
找	找钱	tsɔ3
抄		tsʰɔ1
交		kɔ1
敲		kʰɔ1
孝		xɔ5
校		ʑiɔ6
表		piɔ3
票		pʰiɔ3
庙		miɔ6
