#漢字	音標	解釋
㑘	kai2	
㑝	loŋ8	
㒋	su3	
㒓	tʰa4	
㒕	œyŋ5	
㒽	kʰyiŋ5	
㓔	sia8	
㓟	pʰiɛ1	
㔙	tsʰɔŋ2	
㔙	peiŋ3	
㔢	tsa7	
㔶	xaŋ2	
㔼	sɔŋ5	
㖑	xai7	
㖠	nɔ7	
㖷	tʰi1	
㗂	saiŋ3	
㗜	y4	
㗦	lau3	
㗩	si7	
㗴	xaŋ3	
㗾	xɔ1	
㘌	kʰi7	
㘞	xua7	
㙤	xia5	
㚍	tɔŋ3	
㚭	nu3	
㚰	pi3	
㛎	ly3	
㛛	seiŋ5	
㜈	u8	
㜢	le3	
㜩	au3	
㜮	laŋ8	
㝜	si4	
㝞	a3	
㞠	no3	
㠇	tsiu8	
㠘	y3	
㠠	lu1	
㠺	sa5	
㡁	kua2	
㡌	mau8	
㢋	tsʰi3	
㢗	kʰiau2	
㣑	œyŋ3	
㣒	tsʰaiŋ2	
㣻	ŋai4	
㤄	pʰo2	
㤏	toŋ5	
㤕	tʰu5	
㤝	tsʰœyŋ5	
㤱	tau7	
㤶	maiŋ1	
㤶	maŋ3	
㥃	mɔŋ8	
㥌	ky4	
㥒	tsʰo3	
㥬	pɔŋ3	
㦀	pʰoŋ1	
㦒	liɛ4	
㦽	y4	
㧓	tsua5	
㧩	po7	
㨮	te5	
㨰	kɔŋ3	
㨵	tsaiŋ3	
㨿	ky7	
㩆	tsʰy4	
㩖	kʰiɔŋ5	
㩡	lo8	
㪃	kʰau2	
㪃	kʰɔ7	
㪬	tsʰɔ7	
㫬	sɔ4	
㫰	lɔŋ8	
㫹	su3	
㫻	lɔŋ8	
㬈	ɔŋ5	
㬍	pʰu8	
㭭	pɛ4	
㭿	ŋaŋ3	
㮋	y4	
㰙	nɔ1	
㰤	ɔ5	
㰳	a2	
㱟	pʰai5	
㱰	tʰi2	
㱸	pʰi4	
㳫	tʰa4	
㴛	ti2	
㵅	tʰaŋ5	
㵶	tsa7	
㶧	tɔŋ7	
㷈	ɔ4	
㷟	tʰo1	
㷮	tse7	
㸤	pʰaiŋ8	
㸺	sa5	
㹙	ɛ7	
㹟	kʰuoi2	
㺗	saŋ1	
㻆	mau8	
㻍	ŋu1	
㻍	ŋu3	
㽹	paiŋ3	
㾗	xɔŋ1	
㾢	lai8	
㾩	kuoi5	
㾪	se2	
㾯	y1	
㾸	kau3	
㾼	tʰo3	
㾿	tsiɛ4	
㿃	tuoi2	
㿚	lau1	
㿷	tʰuoi4	
㿷	tʰy5	
㿿	ŋa3	
䀄	maŋ5	
䀽	iŋ3	
䁥	ni4	
䂷	kuoi5	
䂾	lai4	
䃝	kʰiau2	
