#漢字	音標	解釋
□	pi2	~□□pɔ2pet7:蝙蝠
□	mi3	~乇:什么
□	ti3	~~:刚
□	tʃi3	2这
□	tʃʰi3	冻~:冻疮
□	ki1	~□keu2头发:卷发
□	ki6	~感:易感,sentimental
□	pu2	量词,朵
□	pu2	~蝇:苍蝇
□	pʰu3	~李:李子
□	tu3	路
□	lu3	□ku3~:勒索
□	ku3	~lu3:勒索
□	ku3	茶~:茶壶
□	tʃyi3	~娘囝:女儿
□	ma1	~阄:抓阄
□	ta1	干燥
□	na2	解大小便
□	na6	只,仅
□	na6	但是
□	tʃʰa2	柴
□	ŋa1	杈
□	mai5	坏
□	tai2	埋
□	tʃai2	眉~:眉毛
□	kai1	嗉子
□	hai2	陶器
□	pau1	老~:柚子
□	tau1	戍边~:附近
□	tʰau5	用毒药毒害致死
□	lau1	老虎
□	lau2	~□lɛ5:肮脏
□	lau5	~泻:拉肚子
□	kau5	到
□	kau5	三~日:三个月
□	kʰau1	阄
□	kʰau2	刮
□	pɛ2	□jiɔŋ2~:田鸡
□	pʰɛ3	面~:脸颊
□	lɛ5	□lau2~:肮脏
□	tʃɛ5	苎丝
□	sɛ6	多
□	kʰɛ3	啃
□	ʔɛ5	看
□	tiɛ1	~官:公公
□	tʰiɛ5	追,赶
□	liɛ6	筛子
□	tʃiɛ2	~□ne6:自己
□	tʃʰiɛ5	传染
□	jiɛ6	~种:撒种
□	kɛu5	挂
□	pɔ2	□pi2~□pet7:蝙蝠
□	pɔ5	狂风
□	mɔ2	无,没有
□	kɔ2	~lɔn2吞:囫囵吞
□	kɔ3	~□lø3:小孩儿
□	kʰuɔ5	靠
□	huɔ5	那么
□	mɔi6	~□liʔ7了:没有了
□	tɔi5	块
□	tɔi5	哪里
□	tɔi5	□tɛn2~:地方
□	nɔi2	~核:睾丸
□	lɔi6	钻,动词
□	pœ2	~□lœk8钻:钻,一种工具
□	tʃʰœ2	倒,斟
□	sœ5	耖
□	kʰœ2	傻
□	ŋœ2	□liŋ3~:老鹰
□	hœ6	~名:外号
□	me6	~水底:潜水
□	ne5	猫~:猫
□	ne6	□tʃiɛ2~:自己
□	he5	那里
□	teu6	稻子
□	leu1	尾~:尾巴
□	seu5	窝
□	keu2	居住
□	keu2	□ki1~头发:卷发
□	liu2	□~:玩儿
□	pʰo2	用油炸
□	ko1	~虮:蚂蟥
□	ko5	还,副词
□	ho2	~虮:一种蚂蟥,较大
□	ʔo1	~tʃɔk8:肮脏
