#漢字	音標	解釋
□	ma3	
□	kʰɔ1	~边,缲边
□	ɦa2	~好,蛮好
□	ȵiɔ3	~干.拧干
□	piɔ3	不要的合音
□	pʰɔ1	火~,很烫;好~,好烫
□	y1	鞋子磨~掉了,磨坏
㪗	tʰɤɯ3	~开来,展开
䶕	ba2	~牙,门齿不齐,向前突出
一	iəʔ7	
丁	tiŋ1	
七	tɕʰiəʔ7	
万	ɦuɛ̃2	
丈	dzaŋ2	
三	sɛ̃1	
上	zaŋ2	
下	ʑia2	
不	pəʔ7	
与	ɦy2	
丐	kɛ5	
丑	tsʰɤɯ3	
專	tsuɛ̃1	
且	tɕʰie3	
且	tɕʰiəʔ7	又
世	sɿ1	
丘	tɕʰiɤɯ1	
丙	piŋ1	
業	ɦiəʔ8	
叢	dzoŋ2	
東	toŋ1	
絲	sɿ1	
丞	dzəŋ2	
丢	tiɤɯ1	
兩	liaŋ3	
嚴	ɦiɛ̃2	
喪	saŋ1	
个	ko1	~人
个	kəʔ7	又
丫	ia1	
中	tsoŋ1	
丰	fəŋ1	
串	tsʰuɛ̃5	
臨	liŋ2	
丸	ɦuɛ̃2	
丹	tɛ̃1	
爲	ɦuei2	
主	tsu3	
麗	li3	美~
舉	tɕy3	
乃	nɛ2	
久	tɕiɤɯ3	
麽	məʔ7	
義	ɦi2	
之	tsɿ1	
烏	u1	
乎	hu1	
乏	vəʔ8	
樂	ləʔ7=	快~
樂	ɦyəʔ8	音~
喬	dʑiɔ2	
乖	kuɛ5	
乘	dzəŋ2	
乙	i1	
九	tɕiɤɯ3	
乞	tɕʰi1	
也	ie3	
也	iəʔ7	又
習	ʑiəʔ8	
鄉	ɕiaŋ1	
書	su1	
買	mɛ2	
亂	luɛ̃2	
乳	lu3	
乾	dʑiɛ̃2	
了	liɔ2	
爭	tsəŋ1	
事	zɿ2	
二	ɦɚ5	
于	ɦy2	
云	ɦyn2	
互	ɦu2	
五	u3	
井	tɕiŋ3	
亞	ia3	
些	ɕiəʔ7	
亡	ɦuaŋ2	
交	tɕiɔ1	
亦	i1	
產	tsʰɛ̃3	
畝	mu3	
享	ɕiaŋ3	
京	tɕiŋ1	
亭	diŋ2	
親	tɕʰiŋ5	
人	ləŋ2	
億	ɦi2	
仁	ləŋ2	
僅	tɕiŋ3	
仆	bəʔ8	
仇	dzɤɯ2	报~
今	tɕiŋ1	
介	tɕie5	
介	ɡaʔ8	表程度,~久:这么久
仍	ləŋ1	
从	dzoŋ2	
仑	luəŋ2	
倉	tsʰaŋ1	
他	tʰa1	
付	fu3	
仙	ɕiɛ̃1	
代	dɛ2	
令	liŋ3	
以	ɦi2	
儀	ɦi2	
仰	iaŋ3	
仰	ȵiaŋ2	又
仲	tsoŋ5	
件	dʑiɛ̃2	
價	tɕia3	
任	ləŋ2	责~
份	fəŋ3	
仿	faŋ3	
企	tɕʰi3	
伍	u3	队~
伏	vəʔ8	
伐	vaʔ8	
休	ɕiɤɯ1	
衆	tsoŋ1	
優	iɤɯ1	
伙	ho3	
會	kʰuɛ5	~计
會	ɦuei2	开~,~不~
傘	sɛ̃3	
偉	ɦuei2	
傳	dzuɛ̃2	
傷	saŋ1	
倫	luəŋ2	
僞	ɦuei2	
伯	pəʔ7	
估	ku1	
伴	pɛ̃1	
伸	səŋ1	
似	zɿ2	
佃	diɛ̃2	
但	dɛ̃2	
位	ɦuei2	
低	ti1	
住	tsu1	
體	tʰi3	
何	ɦo2	
余	ɦy2	
佛	vəʔ8	
作	tsuəʔ7	
你	ȵi3	
佩	pʰei5	
佬	lɔ3	
佳	tɕia1	
使	sɿ3	
侄	dzəʔ8	
例	liəʔ8	
供	koŋ1	
依	i1	
僥	tɕiɔ1	
偵	tsəŋ1	
側	tsʰəʔ7	
僑	dʑiɔ2	
侮	u3	
侯	ɦɤɯ2	
侵	tɕʰiŋ1	
便	biɛ̃2	
促	tsʰuəʔ7	
俄	ŋo2	
俊	tɕyn1	
俗	su1	
俘	fu1	
保	pɔ3	
信	ɕiŋ5	
儉	tɕiɛ̃3	
修	ɕiɤɯ1	
俯	fu3	
俸	vəŋ2	
倍	bei2	
倒	tɔ3	
候	hɤɯ5	
倚	ɦi2	
借	tɕie5	
倡	tsʰaŋ5	提~
倦	tɕyɛ̃1	
債	tsɛ1	
值	dzəʔ8	
傾	tɕʰiŋ1	
假	tɕia3	
偏	pʰiɛ̃1	
做	tso1	
停	diŋ2	
健	tɕiɛ̃5	
偶	ɤɯ3	~然
偶	ŋɤɯ3	配~
偷	tʰɤɯ1	
償	dzaŋ2	
傅	fu3	
傢	tɕia1	
儲	dzu2	
催	tsʰuei1	
傲	ŋɔ2	
傻	sa3	
像	ʑiaŋ2	
僧	səŋ1	
僵	tɕiaŋ1	
僻	pʰiəʔ7	
儒	lu3	
兒	ɦɚ2	
允	yn3	
元	ɦyɛ̃2	
兄	ɕioŋ1	
充	tsʰoŋ1	
兆	dzɔ2	
先	ɕiɛ̃1	
光	kuaŋ1	
克	kʰəʔ7	
免	miɛ̃3	
兑	duei2	
兔	tʰu3	
兜	tɤɯ1	
入	luəʔ8	
全	dʑyɛ̃2	
八	pəʔ7	
公	koŋ1	
六	ləʔ7	
蘭	lɛ̃2	
共	koŋ1	
關	kuɛ̃1	
興	ɕiŋ1	
兵	piŋ1	
其	dʑi2	
具	tɕy5	
典	tiɛ̃3	
兹	tsɿ1	
養	iaŋ3	
兼	tɕiɛ̃1	
獸	zɤɯ2	
内	nei2	
岡	kaŋ3	
冉	lɛ̃3	
册	tsʰəʔ7	
再	tsɛ3	
冒	mɔ2	
寫	ɕie3	
軍	tɕyn1	
農	noŋ2	
冠	kuɛ̃1	
冤	yɛ̃1	
冥	miŋ2	
冬	toŋ1	
馮	vəŋ2	
冰	piŋ1	
冲	tsʰoŋ1	
