#漢字	音標	解釋
㐁	tʰɑm3/tʰɑm3	
㐁	tʲʰɛm3/tʰiem3	
㐄	qʰwa2/kʰua2	
㐄	qʰwa3/kʰua3	
㐆	ʔˠi1/ʔɨi̯1	
㐆	ʔˠin2/ʔɨn2	
㐭	lˠim2/ɭim2	
㐱	tɕin2/tʃin2	
㐲	dɑj3/dɑi3	
㐸	kˠʰɛm3/kʰɨem3	
㑁	ʈˠwit4/ʈyt4	
㑃	ʔaw3/ʔɯau3	
㑉	sʲɨwk4/sɨuk4	
㑗	ɕin1/ʃin1	
㑙	tʲɛp4/tiep4	
㑛	sɨwk4/suk4	
㑛	ɕuk4/ʃɨuk4	
㑜	jɛj3/jiei3	
㑜	ʈˠʰɛj3/ʈʰiei3	
㑞	jɨŋ3/jiŋ3	
㑟	pɛŋ2/puɛŋ2	
㑥	ji3/ji3	
㑦	lʲɛj3/liei3	
㑮	ʁwɨn1/ɦun1	
㑮	ɴwɨn1/ŋun1	
㑳	tʂu1/tʂʅu1	
㑳	dʐɨw3/dʐʅᵊu3	
㑳	ɳap4/ɳɯap4	
㑵	dzʲit4/dzit4	
㑻	mat4/muat4	
㑿	dʐaw3/dʐɯau3	
㒄	ɲɛn2/ɲʒien2	
㒄	ɕɛn2/ʃien2	
㒅	kʲʰɛj2/kʰiei2	
㒇	ɱu2/mvu2	
㒈	χam3/hɯam3	
㒊	ʂip4/ʂʅᵊp4	
㒋	si1/si1	
㒌	ɡʲwɛŋ1/ɡyeŋ1	
㒓	tʰɑt4/tʰɑt4	
㒔	dɨwk4/duk4	
㒔	ʑuk4/ʒɨuk4	
㒚	ʔwɨn2/ʔun2	
㒚	ʔˠin3/ʔɨn3	
㒝	ɱɛt4/mvuɐt4	
㒝	mʲɛt4/miet4	
㒟	nʲɛw2/nieu2	
㒠	ʁaj3/ɦɯai3	
㒥	fʰuŋ1/pfʰuŋ1	
㒰	dzʲwɛn1/dzyen1	
㒳	lˠɑŋ2/ɭɨɔŋ2	
㒴	qwɨt4/kut4	
㒸	zʲwi3/zyi̯3	
㒹	tʲɛn1/tien1	
㒼	mɑn1/muon1	
㒽	kˠʰwɛn1/kʰʉon1	
㒾	ji3/ji3	
㒾	ɕi3/ʃi3	
㓃	tu3/tu3	
㓃	ʈa3/ʈɯa3	
㓄	ʈˠim3/ʈim3	
㓊	dɨwŋ3/duŋ3	
㓖	pʲit4/pit4	
㓚	qɨwŋ1/kuŋ1	
㓝	ɣʲɛŋ1/ɦieŋ1	
㓞	qʰat4/kʰɯat4	
㓠	tʲɛm2/tiem2	
㓢	lɑk4/lɑk4	
㓣	qʰap4/kʰɯap4	
㓤	qʰat4/kʰɯat4	
㓱	dɨw1/dəu1	
㓳	tʲɛj1/tiei1	
㓷	ŋˠɛj3/ŋɨei3	
㓹	tsʲʰwɛj3/tsʰyei3	
㓺	kˠɛn1/kɨen1	
㓻	qɑŋ1/kɑŋ1	
㓼	tʂʰit4/tʂʰʅᵊt4	
㓽	dʐɨwŋ1/dʐʅuŋ1	
㓽	dʐɨwŋ3/dʐʅuŋ3	
㔄	sʲuk4/sɨuk4	
㔆	dzɑm3/dzɑm3	
㔊	tɕɛn2/tʃien2	
㔋	qam1/kɯam1	
㔋	ʁam3/ɦɯam3	
㔋	lɑm3/lɑm3	
㔋	qam3/kɯam3	
㔌	dzɨw1/dzəu1	
㔌	dzɨw3/dzəu3	
㔍	tʂʰwat4/tʂʰuat4	
㔍	tʂʰwɛt4/tʂʰʯet4	
㔎	ŋˠit4/ŋɨt4	
㔎	sʲɛt4/siet4	
㔏	lʲɛk4/liek4	
㔒	ɣʲwɛj1/ɦyei1	
㔓	kˠɛn2/kɨen2	
㔗	vi3/bvi3	
㔙	pɛŋ1/puɛŋ1	
㔝	lˠɑŋ2/ɭɨɔŋ2	
㔞	qʰwaj1/kʰuai1	
㔠	χat4/hɯat4	
㔡	pʲɛt4/piet4	
㔢	tsʲwɛt4/tsyet4	
㔣	lwɑj1/luoi1	
㔣	lwɑj3/luoi3	
㔥	baj3/buai3	
㔩	ʔɑp4/ʔɑp4	
㔪	lu2/lu2	
㔮	nɑ1/nɑ1	
㔯	zʲwɛn1/zyen1	
㔴	jɨk4/jik4	
㔶	qɑm2/kɑm2	
㔶	qɨwŋ3/kuŋ3	
㔸	tʲʰɛj1/tʰiei1	
㔹	lɨk4/lək4	
㔻	pˠʰi1/pʰɨi̯1	
㕀	jɨw1/jiu̯1	
㕆	tu2/tu2	
㕆	ʁu3/ɦu3	
㕇	lɑp4/lɑp4	
㕈	ʔˠi2/ʔɨi̯2	
㕈	ʔɑj2/ʔɑi2	
㕈	ʔwɑj3/ʔuoi3	
㕊	fʰu1/pfʰu1	
㕋	ɡˠim1/ɡɨm1	
㕎	qʰɑp4/kʰɑp4	
㕒	ŋˠwi1/ŋɨui1	
㕗	jɨw2/jiu̯2	
㕙	tsʲʰwin1/tsʰyn1	
㕙	tsʲwin3/tsyn3	
㕚	tʂaw2/tʂɯau2	
㕛	ɰɨw2/ɨu̯2	
㕞	ʂwɛt4/ʂʯet4	
㕟	qʰwaj3/kʰuai3	
㕡	χɑk4/hɑk4	
㕢	ʁaj3/ɦɯai3	
㕢	qɑj3/kɑi3	
㕣	jwɛn2/jyen2	
㕦	ʁwa3/ɦua3	
㕧	xˠi3/hɨi̯3	
㕬	tɕuŋ1/tʃɨuŋ1	
㕭	ʔaw1/ʔɯau1	
㕮	fu2/pfu2	
㕮	vu3/bvu3	
㕯	nwɨt4/nut4	
㕯	ɳwat4/ɳuat4	
㕯	ɲwɛt4/ɲʒyet4	
㕰	χawk4/hɯak4	
㖃	ʁɨw3/ɦəu3	
㖃	χɨw2/həu2	
㖃	χɨw3/həu3	
㖅	sʲwit4/syt4	
㖏	nʲɛt4/niet4	
㖑	χaj3/hɯai3	
㖒	dʲɛj1/diei1	
㖘	tɕin1/tʃin1	
㖟	ʑɨw3/ʒiu̯3	
㖥	ɡˠun3/ɡɨun3	
㖩	tsʲu1/tsɨ̯u1	
㖪	χwɛk4/huɛk4	
㖷	ʑi1/dʒi1	
㗁	ɴɑk4/ŋɑk4	
㗉	lˠɑk4/ɭɨɔk4	
