#漢字	音標	解釋
□	tʃɐi1	(马蜂)蜇人
□	pʰo5	(萝卜)糠了
□	ly2	~须:胡须
□	ɬɐi4	~日:昨天
□	nɐŋ5	们
□	lo1	包裹
□	tʃʰot7	吃(田)螺
□	koŋ3	呕吐
□	ɐk7	嗝
□	ȵiai3	嚼
□	ʃan2	壁柜
□	nɐk7	夹(菜)
□	vin2	寒
□	ne5	小
□	lou3	干燥
□	nuŋ1	我们
□	pʰe1	扑克
□	tim2	扯
□	pɐŋ2	扶
□	nip7	拈
□	lɐi3	拥挤
□	tʃɐu3	拿
□	ly2	推
□	nɐk7	掰
□	pɐt7	摘
□	kum2	水坑
□	ȵiɐm5	渗透
□	la2	玩
□	ʃɐk8	瓢
□	ŋou2	用力摇动
□	kam2	用火取暖
□	noŋ3	男阴
□	kɐp8	盖
□	hɐu6	看
□	ȵiaŋ3	稻杆
□	kok8	绊脚
□	hɐŋ3	给
□	yn1	肌肉酸痛
□	ŋe2	蚯蚓
□	ke3	蟋蟀
□	tek7	蟋蟀
□	me2	表否定
□	tʃʰak7	裂
□	lip8	赶走
□	iat7	跑
□	ko3	这
□	ɬɐk7	重孙
□	kʰɐm5	锅盖
□	lɐp8	闪电
□	luk8	驴
□	uɐk7	骗
□	teŋ3	鱼篓
䄛	lɐu4	
一	iɐt7	
丁	teŋ1	
七	tʰɐt7	
万	uan6	
丈	tʃoŋ6	~
丈	tʃaŋ4	一~
三	ɬam1	
上	ʃɐŋ6	
下	ha4	
与	hy3	
丐	kai5	
丑	tʃʰɐu3	
專	tʃyn1	
且	tʃa3	
世	ʃe5	
丘	kʰiu1	
丙	peŋ3	
業	nip8	
叢	tʃuŋ2	
東	tuŋ1	
絲	ɬi1	
丞	tʃɐŋ2	
丢	tiu1	
兩	liaŋ4	~个
兩	liaŋ3	斤~
嚴	tim2	
喪	ɬaŋ5	
个	ko5	
丫	a2	
中	tʃuŋ1	当~
中	tʃuŋ5	打~
丰	fuŋ1	
串	tʃʰyn5	
臨	lɐm2	
丸	uan2	
丹	tan1	
爲	uɐi6	~了
爲	uɐi2	行~
主	tʃy3	
麗	li6	
舉	ky3	
乃	nai4	
久	tʃɐu3	
義	i5	
之	tʃi1	
烏	u1	
乍	tʃa5	
乎	hu1	
乏	fap7	
樂	lok8	
喬	kiu2	
乖	kuai1	
乘	ʃeŋ2	
乙	it7	
九	tʃɐu3	
乞	kʰi2	
也	ia6	
習	ɬek7	
鄉	iŋ1	
書	ʃy1	
買	mai4	
亂	lun6	
乳	y3	
乸	na1	
乾	kyn2	
了	liu4	
爭	tʃaŋ1	
事	ʃe6	
二	ȵi6	
于	y2	
虧	kʰuɐi1	
云	uɐn2	
互	u6	
五	ŋ̍4	
井	ɬeŋ3	
亞	ia6	
亡	moŋ2	
交	kau1	
亥	uoi6	
產	tʃʰan3	
亨	hɐŋ1	
畝	mou4	
享	hiaŋ1	
京	keŋ1	
亭	teŋ2	
亮	liaŋ6	
親	tʰɐn1	
人	ȵiɐn2	
億	ek7	
什	ɬap8	
仁	ȵiɐn2	
僅	tʃɐn3	
仆	pʰuk7	
仇	ʃɐu2	
今	tʃɐm1	
介	kai5	
仍	in6	
从	tʃuŋ2	
仑	lɐn2	
倉	tʰoŋ1	
仕	ʃɿ3	
他	tʰa1	
仗	tʃaŋ5	
付	fu5	
仙	ɬin1	
代	tai6	
令	leŋ6	
以	i3	
儀	i2	
仰	ŋoŋ3	~睡
仰	ȵiaŋ1	信~
仲	tʃuŋ4	
件	kin2	
價	ka5	
任	ȵiɐm6	
份	fɐn6	
企	ki4	
伊	y1	
伍	ŋ̍4	
伏	fuk8	
伐	fat7	
休	iɐu1	
衆	tʃuŋ5	
優	iɐu1	
伙	ua3	
會	kʰuai5	~计
會	uɐi6	开~
傘	ɬan5	
偉	uɐi4	
傳	tʃyn2	
傷	ʃiŋ1	
倫	lɐn2	
僞	uɐi6	
伯	pak7	
估	ku1	
伴	pun4	
伶	leŋ2	
伸	ʃɐn1	
伺	ɬi2	
似	ɬi5	
但	tan6	
位	uɐi6	
低	te1	
住	tʃy6	
佐	tʃo3	
佑	iɐu6	
體	tʰe3	
何	ho2	
佘	ʃe1	
余	y2	
佛	fu6	
作	tʃok7	
你	ni4	
佢	kʰy4	
佩	pʰui5	
佬	lou4	
佳	ka1	
使	ʃi3	
侃	kʰan3	
侄	tʃɐt8	
例	le6	
侍	ɬi6	
供	kuŋ1	~应
供	kuŋ5	上~
依	i1	
俠	hat7	
僥	iu6	
偵	tʃɐn1	
側	tʃak7	
僑	kiu2	
儂	nuŋ4	
侮	u3	
侯	hɐu2	
侵	tʃʰɐn1	
便	pin2	~宜
便	pin6	方~
促	tʃuk7	
俄	ŋo2	
俊	tʃɐn5	
俏	ɬiu1	
俗	ʃuk8	
俘	fu2	
保	pou3	
俞	y2	
信	ɬɐn5	
倆	liaŋ3	
儉	kʰien3	
修	ɬɐu1	
俯	fu3	
俱	ky4	
俸	fuŋ3	
倍	poi4	
倒	tou3	
倘	tʰoŋ3	
候	hɐu6	
倚	i3	
借	ɬia5	
倡	tʃʰaŋ1	
倦	kyn3	
倪	ni2	
倭	uo1	
債	tʃai5	
值	tʃek8	
傾	kʰeŋ3	
假	ka5	放~
假	ka3	真~
偎	uɐi4	
偏	pʰin1	
做	ɬu5	
停	teŋ2	
健	kin6	
偶	ŋɐu4	
偷	tʰɐu1	
傀	kuɐi3	
傅	fu3	
傍	paŋ6	
儲	tʃy2	
催	tʃʰɐi1	
傲	au5	
像	tʰiaŋ5	
僚	liau2	
僧	ɬɐŋ1	
僵	kiaŋ1	
僻	pʰek7	
儒	y2	
儡	lɐi4	
兒	ȵi2	
允	in5	
元	yn2	
兄	ueŋ1	
充	tʃʰuŋ1	
兆	tʃau5	
先	ɬin1	
光	koŋ1	
克	kʰɐk7	
免	min4	
兑	toi5	
兔	tʰu5	
黨	toŋ3	
兜	tɐu1	
入	ȵiɐp8	
全	ɬun2	
八	pat7	
公	kuŋ1	
六	luk8	
蘭	lam2	
共	kuŋ6	
關	kuan1	
興	heŋ5	
兵	peŋ1	
其	kʰi2	
具	ky6	
典	tim3	
兹	ɬɿ1	
養	iaŋ4	
兼	tim1	
獸	ʃɐu2	
冀	tʃi5	
内	noi6	
冇	mou4	
岡	kaŋ1	
册	tʃʰak7	
再	ɬai5	
