#漢字	音標	解釋
一	il7	
七	dʑil7	
三	san1	
上	ʂɔŋ6	
下	ha6	
世	ʂʅ5a	
中	təŋ1	
主	tu3	
九	tɕiu3	
亂	lœn6	
事	sɿ6	
二	ə6	
五	ŋ̍3	
井	tɕiŋ3	
井	tɕiaŋ3	
交	kau1	
亮	liɔŋ6	
人	ʐən2	
人	ȵin2	
付	fu5a	
件	dʑiɛn6	
任	ʐən6	
休	ɕiu1	
位	ui6	
低	ti1	
住	du6	
余	ui2	
佛	fəl7	
作	tsɔ8	
使	sɿ3	
侄	dəl7	
來	lɛi2	
便	biɛn6	
俊	tɕin5a	
修	ɕiu1	
倉	dzɔŋ1	
個	ko5a	
借	tɕia5a	
假	ka3	
做	tsɿ5a	
停	diŋ2	
健	dʑiɛn6	
側	dzɛ8	
偷	dɛi1	
傑	dʑiɛl8	
傘	san3	
傳	dɛn2	
傳	dɛn6	
傷	ʂɔŋ1	
像	dʑiɔŋ6	
像	ɕiɔŋ5a	
僧	səŋ1	
優	iu1	
兄	ɕiaŋ1	
充	dəŋ1	
兇	ɕiŋ1	
先	ɕiɛn1	
光	kuɔŋ1	
兒	ə2	
入	ʐəl7	
全	dʑiɛn2	
兩	liɔŋ3	
八	pal7	
公	kəŋ1	
六	liu8	
共	ɡəŋ6	
共	dʑiŋ6	
兵	piŋ1	
典	tiɛn3	
冤	uiɛn1	
冬	təŋ1	
冰	piŋ1	
冷	laŋ3	
準	tən3	
凍	təŋ5a	
凳	təŋ5a	
出	dəl7	
刀	tau1	
分	fən1	
切	dʑiɛl7	
列	liɛl8	
初	dzɿ1	
判	bœn5b	
別	biɛl7	
刮	kual8	
制	tʂʅ5a	
刷	sœl8	
刺	dzɿ5b	
刻	ɡɛ8	
剃	di5b	
削	ɕiɔ8	
前	dʑiɛn2	
剝	pɔ8	
剩	iaŋ1	
剩	ʂəŋ6	
剪	tɕiɛn3	
副	fu5a	
割	kœl7	
劃	fa6	
劇	kui5a	
劈	bia8	
劍	tɕiɛn5a	
力	li8	
勁	tɕin5a	
動	dəŋ6	
勤	dʑin2	
勸	ɡuɛn5b	
勺	sɔ8	
勻	uin2	
包	pau1	
化	fa5a	
北	pɛ8	
匠	dʑiɔŋ6	
匹	bil7	
區	ɡui1	
十	ʂəl7	
升	ʂəŋ1	
半	pœn5a	
卒	tsəl7	
協	ɕiɛl7	
南	lœn2	
占	tɛn5a	
印	in5a	
危	ui2	
卷	kuɛn3	
厚	hɛi6	
原	ŋuɛn2	
厭	iɛn5a	
去	dʑiɛ5b	
參	sən1	
及	dʑil7	
反	fan3	
叔	ʂu8	
取	dʑi3	
口	ɡɛi3	
古	ku3	
句	kui5a	
叫	tɕiau5a	
可	ɡo3	
台	dɛi2	
右	iu6	
吃	dʑia8	
各	kɔ8	
吉	tɕil7	
名	miŋ2	
名	miaŋ2	
向	ɕiɔŋ5a	
吞	dɛn1	
含	hœn2	
吳	ŋ̍2	
吸	ɕil7	
吹	du1	
呂	li3	
味	ui6	
命	miŋ6	
命	miaŋ6	
品	bin3	
哭	ɡu8	
脣	ʂən2	
唱	dɔŋ5b	
問	un6	
啞	ŋa3	
善	ʂɛn6	
喊	han3	
喜	ɕi3	
單	tan1	
嘗	ʂɔŋ2	
嘴	tɕi3	
器	dʑi5b	
嚴	ȵiɛn2	
四	sɿ5a	
回	ui2	
困	ɡun5b	
圈	ɡuɛn1	
國	kuɛ8	
圍	ui2	
園	uiɛn2	
圓	uiɛn2	
圖	du2	
土	du3	
地	di6	
均	kuin1	
坐	dzo6	
坑	ɡaŋ1	
垂	ɡui2	
埋	mai2	
城	dəŋ2	
塊	ɡuai5b	
塔	dal7	
塞	sɛ8	
墊	diɛn6	
墨	mɛ8	
墩	tən1	
墳	fən2	
壁	pia8	
壞	fai6	
壯	tsɔŋ5a	
壺	fu2	
壽	ʂu6	
夏	ha6	
外	ŋai6	
多	to1	
夜	ia6	
夠	kɛi5a	
夢	məŋ6	
大	dai6	
天	diɛn1	
失	ʂəl7	
夾	kal8	
契	dʑi5b	
奪	dœl7	
女	ȵi3	
女	ŋui3	
奴	lu2	
奸	kan1	
好	hau3	
如	ə2	
如	lu2	
妹	mi6	
姐	tɕia3	
姓	ɕiaŋ5a	
姨	i2	
娘	ȵiɔŋ2	
婆	bo2	
婚	fən1	
婦	fu6	
嫁	ka5a	
嫂	sau3	
嫌	ɕiɛn2	
嫩	lən6	
子	tsɿ3	
孔	ɡəŋ3	
字	dzɿ6	
孝	hau5a	
季	tɕi5a	
孫	sən1	
學	hɔ8	
孽	ȵiɛl8	
安	ŋœn1	
宋	səŋ5a	
完	uœn2	
官	kuœn1	
定	diŋ6	
定	diaŋ6	
客	ɡa8	
宮	kəŋ1	
害	hɛi6	
容	iŋ2	
宿	ɕiu8	
寄	tɕi5a	
密	mil7	
富	fu5a	
實	ʂəl7	
寫	ɕia3	
寬	ɡuœn1	
寶	pau3	
寸	dzən5b	
寺	dzɿ6	
封	fəŋ1	
射	sa6	
尋	dʑin2	
對	ti5a	
小	ɕiau3	
尖	tɕiɛn1	
尺	da7	
尾	ui3	
尾	mi5a	
局	dʑiu8	
屁	bi5b	
屋	u8	
層	dzəŋ2	
屬	ʂu8	
山	san1	
岩	ŋai2	
岸	ŋœn6	
州	tu1	
左	tso3	
市	ʂʅ6	
布	pu5a	
希	ɕi1	
師	sɿ1	
席	ɕi8	
帶	tai5a	
帽	mau6	
幣	bi6	
幫	pɔŋ1	
平	biŋ2	
平	biaŋ2	
年	ȵiɛn2	
幼	iu5a	
幾	tɕi3	
牀	dzɔŋ2	
店	tiɛn5a	
府	fu3	
廟	miau6	
廠	dɔŋ3	
廳	diaŋ1	
延	iɛn2	
建	tɕiɛn5a	
式	ʂʅ5a	
引	in3	
弟	di6	
弱	ȵiɔ8	
張	tɔŋ1	
彈	dan2	
彎	uan1	
形	ɕiŋ2	
影	iŋ3	
影	iaŋ3	
律	lil7	
後	hɛi6	
徐	dʑi2	
得	tɛ8	
心	ɕin1	
忙	mɔŋ2	
快	ɡuai5b	
念	ȵiɛn6	
急	tɕil7	
怪	kuai5a	
恨	hɛn6	
恩	ŋɛn1	
恭	kəŋ1	
息	ɕi8	
惜	ɕi8	
惡	ŋɔ8	
想	ɕiɔŋ3	
愁	dzɛi2	
意	i5a	
愛	ŋɛi5a	
感	kœn3	
慌	fɔŋ1	
慢	man6	
慣	kuan5a	
慶	dʑiŋ5b	
憋	pil8	
懂	təŋ3	
懶	lan3	
懷	uai2	
戒	kai5a	
或	fɛ8	
截	tɕiɛl7	
戰	tɛn5a	
戲	ɕi5a	
戶	fu6	
房	fɔŋ2	
所	sɿ3	
