#漢字	音標	解釋
一	i7	
丁	tin1	
七	tsɤɯ7	
万	fe5	
上	zã3	~面
下	ɕia3	~降
下	xa3	底~
不	pu7	
与	y3	给~
丐	kai5	
丑	tɕʰiɤɯ3	
專	tɕyẽ1	
且	tɕʰie3	
丕	pʰi1	
世	ɕi5	
丘	tɕʰiɤɯ1	
丙	pin3	
業	ie7	
叢	dzon1	
東	tən1	
絲	sɿ1	
丞	dʑin2	
丢	tiɤɯ1	
兩	liõ3	几~
喪	sã5	~失
喪	sã1	婚~
个	ko5	~人
丫	ia1=	
丫	a1	~头
中	tson5	射~
中	tson1	当~
丰	fən1	
串	tɕʰyẽ5	
臨	lin1	
丹	tan1	
爲	uei1	
爲	uei5	~什么
主	tɕy3	
麗	li3	美~
舉	tɕy3	
乃	lai3	
久	tɕiɤɯ3	
義	i5	
之	tsɿ1	
烏	u1	
乍	za5	
乎	xu1	
乏	fa7	
樂	lo7	
樂	io7	音~
喬	dʑiau2	
乖	kuai1	
乘	dʑin2	
乙	ie7	
九	tɕiɤɯ3	
乞	tɕʰi7	
也	ie3	者~
習	si7	
鄉	ɕiã1	
書	ɕy1	
亂	lon5	
乾	dʑiɛ̃1	~坤
了	liau3	~结
爭	tsã1	
事	dzɿ3	
于	y2	
于	y2	~此
云	yn5	
互	fu3	
五	u3	
五	ən3	
井	tsiã3	
亞	ia3	
亡	fã1	
交	tɕio1	
亥	ɣai3	
亦	i7	
產	tsʰan3	
亨	xən1	
畝	mɤɯ5	
享	ɕiã3	
京	tɕin1	
亭	diã1	
亮	liõ3	
親	tɕʰin1	
親	tsʰən5	
親	tɕʰin5	~家
人	ən1	
億	i7	
仁	ʑin1	
僅	dʑin3	
仆	pʰu7	
仇	dʑiɤɯ1	
仇	dʑiɤɯ2	
介	kai5	
仍	ʑin1	
从	dzon1	~容
从	dzon2	跟~
倉	tsʰã1	
仕	dzɿ3	
他	ɣɯ1	训
付	fu5	
仙	siɛ̃1	
代	tai5	
令	lin3	
以	i3	
儀	i1	
仰	iã3	
仲	zon3	
件	dʑiɛ̃3	
價	ka5	
任	in5	
份	fən3	
仿	fã3	
企	tɕi3	
伊	i1	
伊	i3	
伍	u3	
伏	fu7	
伐	fa7	
休	siɤɯ1	
衆	tson5	
優	iɤɯ1	
伙	xo3	
會	kʰuai3	~计
會	ɣuei5	开~
傘	se3-	
傘	san3=	
偉	uei3	
傳	dʑyẽ1	~达
傳	dʑyẽ3	~记
伢	ŋa1	
傷	ɕiã1	
倫	lən1	
僞	uei3	
伯	pa7	
估	ku3	
伴	bon3	
伶	lin1	
伸	ɕin1	
伺	sɿ5	
似	dzɿ3	
佃	diɛ̃3	
但	dan5	
位	vi5	
低	ti1	
住	dʑy5	
佐	tso3	
體	tʰi3	
何	xo1	
佘	ʑia1	
余	y2	
佛	vu7	
佛	fu7	仿~
作	tso7	~坊
佞	lin5	
你	le3-	
佩	pʰe5	
佳	tɕia1	
使	sɿ3	
侄	tsi7	
侈	tsʰɿ3	
例	li3	
