#漢字	音標	解釋
□	tʂʰɔ5	与别人搭话，不要跟我~话
□	ʂɔ2	人脾气暴躁
□	kʰɔ1	戏耍、捉弄某人
□	xu3	把水倒掉
□	xu1	拿水熬煮食物
□	kʰuã5	用力地扔
□	ʂueɪ3	笨蛋，~货
□	lɛ1	身体向前跌倒
□	fɛ3	过分活泼，人来疯
䖳	tʂa5	水母
一	iʔ7	
丁	tin1	
七	tɕʰiʔ7	
万	uã5	
丈	tʂaŋ5	
三	sã1	
上	ʂaŋ5	
下	ɕia5	
不	pəʔ7	
与	ʯ3	给与
丐	keɪ5	乞丐
丑	tʂʰəu3	
專	tʂuã1	
且	tɕʰɛ3	
丕	pʰɿ1	
世	ʂʅ5	
丘	tɕʰiəu1	
丙	pin3	
業	iɛʔ7	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿ1	
丞	tʂʰən2	
丢	tiəu1	
兩	liaŋ3	几两几钱
嚴	ĩ2	
喪	saŋ5	
个	kʊ5	个人
丫	ia1	丫头
中	tʂoŋ5	射中
中	tʂoŋ1	当中
丰	fəŋ1	
串	tʂʰuã5	
臨	lin2	
丸	uã2	肉丸
丹	tã1	
爲	uɛ5	为什幺
爲	uɛ2	作为
主	tʂu3	
麗	liʔ7	
舉	tɕʯ3	
乃	leɪ3	
久	tɕiəu3	
義	ɿ5	
之	tʂʅ1	
烏	vu1	
乍	tʂa5	
乎	xu2	
乏	fa2	
樂	lɤ5	
樂	ʯɛ5	音乐
喬	tɕʰiɔ2	
乖	kueɪ1	
乘	tʂʰən2	
乙	ɿ3	
九	tɕiəu3	
乞	tsʰɿ3	
也	iɛ3	也是
習	ɕiʔ7	
鄉	ɕiaŋ1	
書	ʂu1	
買	meɪ3	
亂	luã5	
乳	ʐu3	
乾	tɕʰĩ2	乾坤
了	tsʰɛ2	
了	liɔ3	了结
爭	tʂən1	
事	sɿ5	
二	a5	
于	ʯ2	
虧	kʰuɛ1	
云	ʯn2	
互	xu5	
五	vu3	
井	tɕin3	
亞	ia5	
些	sɿ1	一些些
亡	uaŋ2	
交	tɕiɔ1	
亥	xeɪ5	
亦	ɿ5	
產	tʂʰã3	
亨	xən1	
畝	mu3	
享	ɕiaŋ3	
京	tɕin1	
亭	tʰin2	
亮	liaŋ5	
親	tɕʰin1	
親	tɕʰin5	亲家
人	ʐən2	
億	ɿ5	
什	ʂən5	什物
仁	ʐən2	
僅	tɕin3	
仆	pʰu2	
仇	tʂʰəu2	
仇	tɕʰiəu2	姓
今	tɕin1	
介	tɕiɛ5	
仍	ʐən1	
从	tsʰoŋ2	跟从
仑	lən2	
倉	tsʰaŋ1	
仕	ʂʅ5	
他	tʰa1	
仗	tʂaŋ5	
付	fu5	
仙	ɕʯã1	
代	teɪ5	
令	lin5	
以	ɿ3	
儀	ɿ2	
們	mən2	
仰	iaŋ3	
仲	tʂoŋ5	
件	tɕĩ5	
價	tɕia5	
任	ʐən5	
份	fən5	一份两份
仿	faŋ3	
企	tsʰɿ3	
伊	ɿ3	
伍	vu3	
伏	fu2	
伐	fa2	
休	ɕiəu1	
衆	tʂoŋ5	
優	iəu1	
伙	xʊ3	
會	xuɛ5	
會	kʰueɪ5	会计
傘	sã3	
偉	uɛ3	
傳	tʂʰuã2	传达
傳	tʂuã5	传记
伢	ia2	小孩子
傷	ʂaŋ1	
倫	lən2	
僞	uɛ3	
伯	pəʔ7	
估	ku1	估计
伴	pã5	
伶	lin2	
伸	ʂən1	
伺	tsʰɿ5	
似	sɿ5	
佃	tĩ5	
但	tã5	
位	uɛ5	
低	tsɿ1	
住	tʂu5	
佐	tsʊ3	
佑	iəu5	
體	tʰɿ3	
何	xʊ2	
余	ʯ2	
佛	fu2	仿佛
佛	fu2	佛祖
作	tsʊ5	工作
佞	lin5	
你	lɿ3	
佩	pʰɛ5	
佳	tɕia1	
使	ʂʅ3	
侄	tʂʅʔ7	
侈	tʂʰʅ1	
侉	kʰua3	
例	liʔ7	
侍	ʂʅ5	
供	koŋ5	供给
依	ɿ1	
僥	tɕiɔ3	侥幸
偵	tʂən1	
側	tsʰɤ5	
僑	tɕʰiɔ2	
儂	loŋ2	我，你
侮	vu1	
侯	xəu2	
侵	tɕʰin1	
便	pʰĩ2	便宜
便	pĩ5	方便
促	tsʰu5	
俄	ʊ2	
俊	tɕʯn5	
俏	tɕʰiɔ5	
俗	suəʔ7	
俘	fu3	俘虏
保	pɔ3	
俟	sɿ5	
信	ɕin5	
儼	ĩ3	俨然
儉	tɕĩ3	
修	ɕiəu1	
俯	fu3	
俸	fəŋ5	
倍	pɛ5	
倒	tɔ5	倒水
倒	tɔ3	打倒
倔	tɕʯɛ5	倔强
倘	tʰaŋ3	倘使
候	xəu5	
倚	ɿ3	
借	tsɛ5	
倡	tʂʰaŋ5	
倦	tɕʯã5	
倪	ɿ2	
倭	ʊ1	
債	tʂeɪ5	
值	tʂʅʔ7	
傾	tɕʰin1	
假	tɕia5	放假
假	tɕia3	真假
偏	pʰĩ1	
做	tsʊ5	
停	tʰin2	
健	tɕĩ5	
偶	əu3	
偷	tʰəu1	
償	tʂʰaŋ2	
傀	kʰuɛ2	傀儡
傅	fu1	
傍	paŋ5	
儲	tʂʰu3	储蓄
催	tsʰɛ1	
傲	ɔ5	
傻	ʂa3	
像	ɕiaŋ5	
僧	sən1	
僵	tɕiaŋ1	
僻	pʰɿ5	
儒	ʐu2	
儡	lɛ3	傀儡
兒	a2	
允	ʯn3	
元	ʯã2	
兄	ɕioŋ1	
充	tʂʰoŋ1	
兆	tʂɔ5	
先	ɕĩ1	
光	kuaŋ1	
克	kʰəʔ7	
免	mĩ3	
兑	tɛ5	
兔	tʰu5	
兗	ĩ1	
黨	taŋ3	
兜	təu1	
入	ʐu5	
全	tɕʰʯã2	
八	pəʔ7	
公	koŋ1	
六	luəʔ7	
兮	sɿ1	
蘭	lã2	
共	koŋ5	
關	kuã1	
興	ɕin1	兴旺
興	ɕin5	高兴
兵	pin1	
其	tsʰɿ2	
具	tɕʯ5	
典	tĩ3	
兹	tsɿ1	
養	iaŋ3	
兼	tɕĩ1	
獸	ʂəu5	
冀	tsɿ5	
内	lɛ5	
岡	kaŋ1	
冉	ʐã3	
册	tsʰəʔ7	
再	tseɪ5	
冒	mɔ5	
冗	ʐoŋ3	拨冗
寫	ɕɛ3	
軍	tɕʯn1	
農	loŋ2	
冠	kuã5	冠军
冠	kuã1	衣冠
冢	tʂoŋ3	
冤	ʯã1	
冬	toŋ1	
馮	fəŋ2	
冰	pin1	
冲	tʂʰoŋ1	
決	tɕʯɛʔ7	
况	kʰuaŋ5	
冷	lən3	
凍	toŋ5	
淨	tɕin5	
準	tʂuən3	
涼	liaŋ2	
凌	lin2	
減	tɕĩ3	
湊	tsʰəu5	
凝	lin2	
几	tsɿ3	几个
几	tsɿ1	茶几
凡	fã2	
鳳	fəŋ5	
凭	pʰin2	
凱	kʰeɪ3	
凳	tən5	
凶	ɕioŋ1	
出	tʂʰuəʔ7	
擊	tsɿ1	击败
擊	tɕiʔ7	攻击;袭击
函	xã2	
鑿	tsɔ2	
刀	tɔ1	
刁	tiɔ1	
刃	ʐən5	
分	fən1	分开
切	tɕʰiɛʔ7	切开
刊	kʰã1	
刎	uən3	
刑	ɕin2	
划	xuəʔ7	
划	xua2	划船
列	liɛʔ7	
劉	liəu2	
則	tsəʔ7	否则
剛	kaŋ1	
創	tʂʰuaŋ5	
初	tsʰu1	
删	ʂã1	
判	pʰã5	
刨	pʰɔ2	动词
刨	pɔ5	木工工具
利	liʔ7	
别	piɛ2	
刮	kuəʔ7	
到	tɔ5	
制	tʂʅ5	
刷	ʂuəʔ7	
券	tɕʯã5	
刺	tsʰɿ5	
刻	kʰəʔ7	时刻;用刀刻
劊	kʰueɪ5	
刴	tʊ5	
劑	tsɿ5	
剃	tʰɿ5	
削	ɕʯɛʔ7	
前	tɕʰĩ2	
剮	kua3	
劍	tɕĩ5	
剔	tʰɿ5	
剖	pʰəu1	
剜	uã1	
剝	pəʔ7	
劇	tɕʯ5	
剩	ʂən5	
剪	tɕĩ3	
副	fu2	
割	kəʔ7	
剿	tɕiɔ3	
劈	pʰɿ1	
力	liʔ7	
勸	tɕʰʯã5	
辦	pã5	
功	koŋ1	
加	tɕia1	
務	vu5	
劣	liɛʔ7	
動	toŋ5	
助	tʂu5	
努	lu3	
劫	tɕiɛ2	
勵	liʔ7	
勁	tɕin5	
勞	lɔ2	
勢	ʂʅ5	
勃	pʊ2	
勇	ioŋ3	
勉	mĩ3	
勳	ɕʯn1	
勒	lɤ1	勒索;勒脖子
勘	kʰã1	勘误;勘探
募	mu5	
勤	tɕʰin2	
勺	ʂuəʔ7	勺子
勾	kəu1	
勾	kəu5	勾当
勿	vu5	
匀	ʯn2	
包	pɔ1	
化	xua5	
北	pəʔ7	
匙	tʂʰʅ1	
匠	tɕiaŋ5	
匡	kʰuaŋ1	
匣	ɕia2	箱匣
匪	fɛ3	
匹	pʰɿ3	
區	tɕʰʯ1	区域
醫	ɿ1	
匾	pĩ3	
匿	lɿ5	
十	ʂəʔ7	
千	tɕʰĩ1	
升	ʂən1	
午	vu3	
半	pã5	
華	xua2	中华
華	xua5	华山、姓
協	ɕiɛ2	
卑	pɛ1	
卒	tsuəʔ7	兵卒
卓	tʂuəʔ7	
單	tã1	单独
單	ʂã5	姓
賣	meɪ5	
南	lã2	
博	pəʔ7	
卜	pu3	
占	tʂã5	
卡	kʰa3	
卤	lu3	
卦	kua5	
臥	ʊ5	
衛	uɛ5	
卯	mɔ3	
印	in5	
危	uɛ1	
即	tɕiʔ7	
卻	tɕʰʯɛ5	
卵	luã3	
卷	tɕʯã3	
卸	ɕiɛ5	
卿	tɕʰin1	
廠	tʂʰaŋ2	
廳	tʰin1	
历	liʔ7	
厲	ɿ5	
壓	ia1	
厭	ĩ5	
廁	tsʰəʔ7	厕所
厘	ɿ3	
厚	xəu5	
原	ʯã2	
廂	ɕiaŋ1	
厥	tɕʯɛ2	
厦	ɕia5	厦门
厦	ʂa5	大厦
廚	tʂʰu2	
厮	sɿ1	
去	tɕʰʯ5	
縣	ɕĩ5	
参	tsʰã1	
参	sən1	人参
参	tsʰən1	参差
又	iəu5	
叉	tʂʰa1	
及	tɕiʔ7	
友	iəu3	
雙	ʂuaŋ1	
反	fã3	
发	fəʔ7	头发
叔	ʂuəʔ7	
取	tɕʰʯ3	
受	ʂəu5	
變	pĩ5	
敍	ɕʯ5	
叛	pʰã5	
叟	səu3	
口	kʰəu3	
古	ku3	
句	tɕʯ5	
另	lin5	
叨	tɔ1	唠叨
叩	kʰəu5	叩头
只	tʂʅ3	
叫	tɕiɔ5	
召	tʂɔ1	
可	kʰʊ3	
台	tʰeɪ1	台州
台	tʰeɪ2	天台
史	ʂʅ3	
右	iəu5	
葉	iɛʔ7	
號	xɔ5	号数
號	xɔ2	呼号
司	sɿ1	
嘆	tʰã5	
吁	ɕʯ1	
吃	tʂʰʅʔ7	
各	kʊ5	
吆	iɔ1	
合	xɤ2	
吉	tsɿ2	
吊	tiɔ5	
同	tʰoŋ2	
名	min2	
后	xəu5	
吏	lɿ5	
吐	tʰu3	吐痰
吐	tʰu5	呕吐
向	ɕiaŋ5	
嚇	xəʔ7	吓一跳
呂	ʯ3	
君	tɕʯn1	
吝	lin5	吝啬
吞	tʰən1	
吟	in2	
吠	fɛ5	
否	fəu3	
吧	tsʰɛ2	
含	xã2	
聽	tʰin1	
吮	ʂuən3	
啓	tsʰɿ3	
吳	vu2	
吵	tʂʰɔ3	
吸	ɕiʔ7	
吹	tʂʰuɛ1	
吻	uən3	
吼	xəu3	
吾	vu2	
呆	teɪ1	
呈	tʂʰən2	
告	kɔ5	
嘔	əu3	呕吐
員	ʯã2	
嗆	tɕʰiaŋ5	
周	tʂəu1	
味	uɛ5	
呵	xʊ2	
呼	xu1	
命	min5	
咂	tsa1	咂嘴
咋	tsa3	
和	xʊ2	和气
和	xʊ5	和面
咎	tɕiəu1	
詠	ioŋ3	
咒	tʂəu5	
咖	kʰa1	咖啡
咨	tsɿ1	
咬	iɔ3	
咳	kʰəʔ7	咳嗽
咸	ɕĩ2	
咽	ĩ5	
哀	eɪ1	
品	pʰin3	
哄	xoŋ3	
哈	xa1	
響	ɕiaŋ3	
啞	ia3	
哥	kʊ1	
哨	ʂɔ5	
哪	la3	哪个
哭	kʰuəʔ7	
哲	tʂəʔ7	
哽	kən3	骨哽在喉
唆	sʊ1	啰唆
脣	tʂʰuən2	
唐	tʰaŋ2	
嘮	lɔ1	唠叨
喚	xuã5	
售	ʂəu5	
唯	uɛ2	
唱	tʂʰaŋ5	
唾	tʰuəʔ7	唾液
啄	tʂuəʔ7	
商	ʂaŋ1	
啥	ʂa2	
啦	la1	
嗇	sɤ5	吝啬
囉	lʊ1	啰嗦
啼	tʰɿ2	
喂	uɛ5	
善	ʂã5	
喉	xəu2	
喊	xã3	
喘	tʂʰuã3	
喜	sɿ3	
喝	iɔ1	
喝	xɤ5	喝彩
喝	xəʔ7	喝酒
喧	ɕʯã1	
噴	pʰən1	喷水
噴	pʰən5	喷香
喻	ʯ5	
嗅	ɕiəu5	
嗉	su5	鸟嗉子
嗓	saŋ3	
嗜	ʂʅ5	
嗣	sɿ5	
嗤	tʂʰʅ1	
嗯	ən5	
嗽	səu5	咳嗽
嘉	tɕia1	
嘎	ka2	
嘘	ɕʯ1	
囑	tʂu3	
嘲	tʂʰɔ2	
嘴	tsɛ3	
噍	tɕiɔ5	牛倒噍
噎	iɛʔ7	噎住了
器	tsʰɿ5	
囂	ɕiɔ1	
嚷	ʐaŋ3	
嚼	tɕʯɛ2	
囊	laŋ2	
囚	tɕʰiəu2	
四	sɿ5	
回	xuɛ2	
因	in1	
团	tʰuã2	
囤	tʰən2	
囧	tɕioŋ3	
園	ʯã2	
困	kʰuən5	
囱	tsʰoŋ1	烟囱
圍	uɛ2	
固	ku5	
國	kuəʔ7	
圖	tʰu2	
圓	ʯã2	
圈	tɕʰʯã1	圆圈
圈	tɕʯã5	猪圈
土	tʰu3	
聖	ʂən5	
在	tseɪ5	
圭	kuɛ1	
地	tsɿ5	
場	tʂʰaŋ3	
址	tʂʅ3	
均	tɕʯn1	
坍	tʰã1	坍下来
坎	kʰã3	
壞	xueɪ5	
坐	tsʊ5	
坑	kʰən1	
塊	kʰueɪ5	
堅	tɕĩ1	
坛	tʰã2	
壩	pa5	堤
塢	vu1	
墳	fən2	
墜	tʂuɛ5	
坡	pʰʊ1	
坤	kʰuən1	
坦	tʰã3	
坪	pʰin2	
坯	pʰɛ1	土坯
坳	ɔ5	山坳
垂	tʂʰuɛ3	
壟	loŋ3	
型	ɕin2	
垒	lɛ3	
墾	kʰən3	
墊	tĩ5	垫钱
垮	kʰua3	
埂	kən3	田埂
埃	eɪ1	尘埃
埋	meɪ2	
城	tʂʰən2	
域	ʯ5	
埠	pu5	
培	pʰɛ2	
基	tsɿ1	
堂	tʰaŋ2	
堆	tɛ1	
堡	pɔ3	
堤	tsɿ1	
堪	kʰã1	
堰	ĩ5	
堵	tu3	
塌	tʰəʔ7	
塑	su5	塑像
塔	tʰa3	
塘	tʰaŋ2	
塞	sɤ5	阻塞
填	tʰĩ2	
境	tɕin5	
墓	mu5	
牆	tɕʰiaŋ2	
增	tsən1	
墟	ɕʯ1	
墨	məʔ7	
墩	tən1	
壁	pɿ5	
壁	piʔ7	隔壁
壕	xɔ2	
壤	ʐaŋ3	土壤
士	ʂʅ5	
壬	ʐən2	
壯	tʂuaŋ5	
聲	ʂən1	
殼	kʰəʔ7	壳子
壺	xu2	
處	tʂʰu5	处所
處	tʂʰu3	相处
備	pɛ5	
复	fu5	复兴
夏	ɕia5	
夕	sɿ1	
外	ueɪ5	
多	tʊ1	
夜	ɿ5	
够	kəu5	
大	ta5	
大	teɪ5	大夫
天	tʰĩ1	
太	tʰeɪ5	
夫	fu1	
央	iaŋ1	
夯	xaŋ1	打夯
失	ʂəʔ7	
頭	tʰəu2	
夷	ɿ2	
夸	kʰua1	
夾	tɕiɛʔ7	夹子
奪	tuəʔ7	
奇	tsʰɿ2	
奈	leɪ5	
奉	fəŋ5	
奮	fən5	
奎	kʰuɛ2	
奏	tsəu5	
契	tsʰɿ5	
奔	pən1	
獎	tɕiaŋ3	
套	tʰɔ5	
奚	sɿ1	
奠	tĩ5	
奢	ʂɤ1	
奧	ɔ5	
女	ʯ3	
奴	lu2	
奶	leɪ3	
奸	tɕĩ1	
她	tʰa1	
好	xɔ5	喜好
好	xɔ3	好坏
如	ʐu2	
妃	fɛ1	
妄	uaŋ5	
婦	fu5	
媽	ma1	
妓	tsɿ5	
妖	iɔ1	
妗	tɕin1	舅母
妙	miɔ5	
妥	tʰʊ3	
妨	faŋ2	妨害
妬	tu5	
妹	mɛ5	
妻	tsʰɿ1	
妾	tɕʰiɛ5	
姊	tsɿ3	
始	ʂʅ3	
姐	tɕi3	
姐	tɕĩ3	
姑	ku1	
姓	ɕin5	
委	uɛ3	
姘	pʰin5	姘头
姚	iɔ3	
姜	tɕiaŋ1	
姨	ɿ2	
姻	in1	
姿	tsɿ1	
威	uɛ1	
娃	ua2	
嬌	tɕiɔ1	
娘	liaŋ2	
娠	ʂən1	
娩	mĩ3	分娩
娛	ʯ2	
媧	ua1	
娶	tɕʰʯ3	
婆	pʰʊ2	
婚	xuən1	
婢	pɿ5	
