#漢字	音標	解釋
□	tʰa2	地方:~儿
一	i2	
丁	tin1	
七	tɕʰi2	
丈	tʂaŋ5	
三	saŋ1	
上	ʂaŋ5	
下	ɕia5	
不	pu2	
与	y3	
丐	kai5	
丑	tʂʰu3	
專	tʂuan1	
且	tɕʰiɛ3	
丘	tɕʰiəu1	
東	toŋ1	
兩	niaŋ3	
个	ko5	~家:自己
中	tʂoŋ1	
丰	foŋ1	
串	tʂʰuan5	
臨	nin2	
丹	taŋ1	
主	tʂu3	
舉	tɕu3	
舉	tɕy3	
久	tɕiəu3	
之	tʂʅ1	
乏	fa2	
喬	tɕʰiau2	
乖	kuai1	
九	tɕiəu3	
也	iɛ3	
鄕	ɕiaŋ1	
書	ʂu1	
買	mai3	
亂	nuan5	
乳	ʐu3	
了	niau3	
予	y3	
事	ʂʅ5	
二	ɚ5	
于	y2	
虧	kʰuei1	
雲	yn2	
交	tɕiau1	
產	tʂʰaŋ3	
享	ɕiaŋ3	
亮	niaŋ5	
親	tɕʰin1	
人	ʐən2	
仁	ʐən2	
僅	tɕin3	
仆	pʰu2	
仇	tʂʰu2	
今	tɕin1	
从	tsʰoŋ2	
倉	tsʰaŋ1	
他	tʰa1	
仙	ɕiɛn1	
代	tai5	
件	tɕiɛn5	
價	tɕia3	
任	ʐən5	
企	tɕʰi3	
伐	fa2	
休	ɕiəu1	
衆	tʂoŋ5	
伙	xo3	
會	xuei5	
傘	saŋ3	
傳	tʂʰuan2	
傳	tʂuan5	
傷	ʂaŋ1	
倫	nuɛŋ2	
伯	pei2	
估	ku3	
但	taŋ5	
低	ti1	
佐	tso3	
體	tʰi3	
余	y2	
佛	fo2	
作	tso2	
你	ni3	
佩	pʰei5	
佳	tɕia1	
使	ʂʅ3	
侈	tʂʰʅ2	
例	ni5	
供	koŋ5	
依	i1	
侵	tɕʰin5	
便	pʰiɛn2	(便宜)
便	piɛn5	
促	tsʰu2	
俊	tɕuɛŋ5	
俗	su2	
保	pau3	
信	ɕin5	
修	ɕiəu1	
借	tɕiɛ5	
倦	tɕuan5	
倦	tɕyɛ5	
債	tʂai5	
値	tʂʅ2	
傾	tɕyn1	
假	tɕia3	
偏	pʰiɛn1	
做	tsu5	
停	tʰin3	
偶	u3	
偸	tʰu1	
傍	paŋ5	
儲	tʂʰu2	
催	tsʰuei1	
傻	ʂa3	
像	ɕiaŋ5	
僵	tɕiaŋ1	
僻	pʰi5	
兒	ɚ2	
允	yn3	
元	yɛ2	
兄	ɕyŋ1	
充	tʂʰoŋ1	
先	ɕiɛn1	
光	kuaŋ1	
克	kʰɛ2	
免	miɛn3	
兌	tuei5	
兔	tʰu5	
黨	taŋ3	
全	tɕʰuan2	
全	tɕʰyɛ2	
八	pa2	
公	koŋ1	
六	niəu2	
共	koŋ5	
關	kuan1	
