#漢字	音標	解釋
□	ɕy1	(幸福舒适的:老李这会的生活那可〜了)
□	pa3	(屎)
□	lɛ̃5	
□	sɛ̃5	
□	lɔ̃1	khəʔ3〜:“腔”的分音词
□	liɔ̃1	kʰəʔ〜:分音词，不舒服，不方便
□	lei3	kʰuəʔ〜:当地一种食物，筱面和熟土豆混合后炒熟而食
□	luŋ3	kəʔ3〜:“滚”的分音词
□	la3	mi31:当地一种蜜蜂
□	lie1	p əʔ3:分音词，小孩子哭闹时的动作
□	ləŋ1	pəʔ3〜:挣扎;乱动
□	lei3	pəʔ〜:分音词，摆动
□	lɔ̃5	pəʔ3〜 “棒"的分音词
□	sɤu3	saʔ3〜:估计
□	tɕi1	tsəʔ3〜:一种植物，当地用来编扫帚
□	liɤu5	tɕiəʔ3〜:机灵
□	sɛ̃5	thəʔ〜:发抖
□	lɛ̃1	xuəʔ3“环”的分音词，片:裤子上有一□xuəʔ3〜油
□	lɛ̃5	xuəʔ3〜:一种病症，身体酸软，感到恶心
□	lɔ̃5	xəʔ3〜:”巷”的分音词
□	tiəŋ5	~□tuŋ31:思考，回忆
□	saʔ7	~□sɤu55:估计:~ sɤu sɤu55走了路上让偷了
□	tʰəʔ7	~sɛ̃24:发抖
□	tɕiəʔ7	~liɤu24:机灵
□	nia3	“人家”的合音
□	tɤu1	□pi31〜:耳光
□	tuŋ1	□tiəŋ24〜:思考
□	pi1	〜tɤu31:耳光
□	na1	〜糕:热水中加破面搅拌做成的糕状食物
□	luɤ1	〜〜尘:灰尘
□	pʰɔo1	〜燥:心烦而身体发热出汗
□	iɤu1	〜车:晕车
□	kuɛ̃1	〜么:估计
□	la3	〜撒:粗心
□	kʰa3	〜子:带手柄的塑料制桶
□	pʰɤ3	〜命:拼命
□	tʰuɤ3	〜皮:老实
□	luɤ3	〜动:触碰
□	sɔ̃3	〜牙:大牙
□	xu5	〜底子:沉淀物，水锈
□	xei5	〜〜:一种植物，当地人一般腌着当咸菜吃
□	pʰɛ̃5	〜命:拼命
□	maʔ7	〜奔子:飞快地跑
□	tʰaʔ7	〜□laʔ3:“趿”的分音词
□	pʰəʔ7	〜□la24:捋顺，铺平
□	tsəʔ7	〜tɕi31:一种植物
□	kʰəʔ7	〜lɔ̃:“腔”的分音词
□	xəʔ7	〜□〜lɔ̃
□	kʰuəʔ7	〜□lei55:当地一种食物，被面和熟土豆混合后炒熟而食
□	xuəʔ7	〜□lɛ̃24:恶心的不行，好像发〜□lɛ̃24了
□	xei5	与水混合使稀释:〜点儿白糖;〜糊糊
□	sɤu1	冻得抖〜
□	tsʰuɛ̃3	凑，聚集:几个人〜了一搭搭耍
□	la5	分音词的后字:□p
□	pəʔ7	分音词前字:~拉;~□ləŋ31
□	sua1	动作，向下捋
□	kuŋ5	动物油因温度低而凝固
□	pʰəʔ7	嘴上〜起个泡
□	lye1	圪〜:“蜷”的分音词
□	liɤu1	圪〜:弯:筷子圪〜了
□	lɔo3	圪〜:分音词，搅
□	tsʰɛ̃3	圪〜:撒娇
□	tsʰei5	圪〜〜:拟声词，形容声音响亮
□	liɔo5	圪〜:分音词，翘
□	mi1	大喇〜:一种蜜蜂
□	sɔo5	孤单:我一个人在家〜得慌
□	xɛ̃5	干炒面粉，直到颜色变黄:〜白面
□	tɕʰie5	形容物好用或人有能力
□	sɔo5	形容词语素，凉〜:凉快;寡〜:一般
□	lu5	忽〜:脑子不清楚
□	tuɤ1	打:不听话操心我〜你
□	pʰia1	拖着鞋走路的声音
□	tɕʰie5	挪;抬:往那边儿;〜起屁股
□	ye1	推:他把我〜了一把
□	tʰiɤu1	提:〜住
□	tsʰu3	摔倒:〜了一跤
□	tsʰu5	擦，蹭:〜破皮了
□	ia1	敞开小缝:〜开门
□	tɛ̃3	晾晒衣服:把衣裳〜了绳子上
□	pʰaʔ7	泡:〜奶粉
□	tɕʰie5	狠狠地:〜〜儿收拾他一顿
□	tɕiəʔ7	猛地跳起来:一个高高〜起来
□	tɛ̃5	猜:我〜见他也不来
□	vɛ̃5	用力握:把萝卜馅水〜干净
□	saʔ7	用绳子绑住:把车上的货~好
□	paʔ7	白〜:非常白
□	kʰu1	瞎〜了:有眼无珠
□	tsɿ5	称重:多重
□	səŋ5	程度副词，白〜〜的:白白的
□	pɛ̃3	老〜子:老伴(仅指女性)
□	tsʰɿ5	脏:衣裳〜得不能穿了
□	tɕi5	藏起来:把宝贝〜好
□	kʰɛ̃3	詈语，〜货
□	la5	贼忽〜:骗子，奸诈之人
□	pʰəŋ5	馒头蒸的虚〜〜的
□	lɔo5	高兴
□	ie1	黑〜:责备
㞗	tɕʰiɤu1	男阴
㞘	tuəʔ7	〜子:屁股
㪕	tsʰɔo1	夺取:〜起棍子
㬤	tɕʰiəʔ7	
㿭	tsʰaʔ7	皮干开裂
一	iəʔ7	
丁	tiəŋ1	
七	tɕʰiəʔ7	
万	vɛ̃5	
丈	tsɔ̃5	
三	sɛ̃1	
上	səʔ7	
上	sɔ̃5	~山;〜面
下	ɕia5	
下	ɕiəʔ7	
不	pəʔ7	
与	y1	
丑	tsʰɤu3	子鼠〜牛
專	tsuɛ̃1	
且	tɕʰie3	
丕	pʰi1	
世	sɿ5	
丘	tɕʰiɤu1	
丙	piəŋ3	
業	iaʔ7	
叢	tsʰuŋ1	
東	tuŋ1	
絲	sɿ1	
丞	tsʰəŋ1	
丢	tiɤu1	
兩	lia3	〜个
兩	liɔ̃3	几〜几钱
嚴	ie1	
喪	sɔ̃1	婚〜;〜失
个	kɤ5	〜十百千
个	kəʔ7	口语音
