#漢字	音標	解釋
□	mɛu2	~鹰:老鹰
□	ȵɐp9a	一小撮
□	mɛ2	乳房
□	jok9a	动
□	hɛn3	啃
□	ɬup9a	啜，嗍。~粥
□	kʰɐu1	往高处搊
□	wɛn1	悬挂
□	pɐm5	扎，刺着
□	pʰɛ1	扑克
□	ma1	扒
□	ŋɐi4	挤靠
□	tʃɛ5	挤
□	nɛu3	搯
□	nɔi1	擩
□	man1	攀爬
□	lɛu5	枯萎
□	ɬai1	浪费
□	kip7	涩
□	kɯn2	澄清
□	lat9b	烫，滚热
□	pan5	甩
□	tɛm1	看
□	lɔ5	秃
□	wɐŋ1	稗草
□	nɛ1	粘
□	wɐn5	累
□	hɐi5	给予
□	mɛ1	背
□	kuai4	舀
□	kɛm4	舔
□	mau1	虚松不实
□	tʊi5	蛰
□	mɐu1	蹲
□	pʰɛ4	量词
□	mɯn4	钝
□	ȵau5	韧
□	tɐk9a	颈吼~:喉结
一	ʔɐt7	
丁	tɯn1	
七	tʃʰɐt7	
万	man6	
丈	tʃɛŋ6	
三	ɬam1	
上	ʃɐŋ4	~山
上	ʃɐŋ6	~面
下	ha1	一~子
下	ja6	底~，~降。又ha55
与	hi4	给~
丐	kʰai5	
丑	tʃʰɐu3	子~，~恶
專	tʃin1	
且	tʃʰɛ3	
丕	pʰui1	
世	ʃi5	
丘	jɐu1	
丙	pɯn3	
業	nip8a	
叢	tʃoŋ2	
東	toŋ1	
絲	ɬʊi1	
丞	ʃɯn2	
丢	tɐu1	
兩	lɛŋ4	
嚴	ȵim2	
喪	ɬaŋ5	
喪	ɬaŋ1	婚~
个	ki5	
中	tʃoŋ5	~计
中	tʃoŋ1	当~
丰	foŋ1	
串	tʃʰun5	
臨	lɐm6	
丸	win2	
丹	tan1	
爲	wui6	~了
爲	wɐi2	行~
主	tʃʊi3	
舉	kʊi3	
乃	nai4	
久	kɐu3	
義	ȵi6	
之	tʃi1	
烏	ʔɔ1	
乍	tʃa5	
乎	hu2	
乏	fat8b	
樂	lak8a	快~，音~
喬	kiu2	
乖	kuai1	
乘	ʃɯn2	
乘	ʃɯn6	
乙	ʔit7	
乜	mɛ3	
九	kɐu3	
乞	hɐt9a	
也	jɛ4	
習	tʃɐp8b	
鄉	jɐŋ1	
書	ʃʊi1	
買	mai4	
亂	lun6	
乳	hi4	
乾	kin2	~坤
了	liu4	~结
爭	tʃɛŋ1	
事	ʃɐi6	
二	ȵi6	
于	ʔʊi1	姓
虧	kʰui1	
云	wɯn2	
互	ŋɔ6	又hɔ22
互	hɔ6	又ŋɔ22
五	ŋɔ4	
井	tʃɯn3	
亞	ʔa5	
些	ɬɛ1	
亡	maŋ2	
交	kau1	
亥	hai6	
亦	hɯt8a	
產	tʃʰan3	
亨	hɐŋ1	
畝	mɐu4	
享	jɐŋ3	
京	kɯn1	
亭	tɯn2	
亮	lɛŋ6	
親	tʃɐn1	~切
親	tʃɐn5	~家
人	ȵɐn2	
億	ʔɯt7	
什	ʃɐp8b	
仁	ȵɐn2	
僅	kɐn3	
仆	pʰok7	
仇	ʃɐu2	~敌;姓
今	kɐm1	
介	kai5	
仍	ŋɯn2	
从	tʃoŋ2	
仑	lɐn2	
倉	tʃʰaŋ1	
仕	ʃɐi6	
他	tʰa1	
仗	tʃɛŋ5	
仙	ɬin1	
代	tai6	
令	lɯn6	
以	hi4	
儀	ȵi2	
仰	ŋɛŋ4	
仲	tʃoŋ6	
件	kin4	
價	ka5	
任	ȵɐm6	
份	fɐn6	
仿	fuŋ3	
企	kʊi4	
伊	ʔʊi1	
伍	ŋɔ4	
伏	fok8b	
伐	fat8b	
休	jɐu1	
衆	tʃoŋ5	
優	jɐu1	
伙	hu3	
會	hɔi6	~计，开~
傘	ɬan5	
偉	wui3	
傳	tʃin2	~达
傳	tʃin6	~记
傷	ʃɛŋ1	
倫	lɐn2	
僞	wɐi6	
伯	pɛk7	
估	ku1	~计，又kɔ33
估	kɔ3	又ku55
伴	pun6	
伶	lɯn2	
伸	ʃɐn1	
伺	ɬɐi6	
似	tʃʰi5	
但	tan6	
位	wui6	
低	tɐi1	
住	tʃʊi6	
佐	tʃa5	
佑	jɐu6	
體	tʰɐi3	
何	hɔ2	
佘	ʃɛ2	
余	hi2	
佛	fɐt8b	
作	tʃak7	
你	nʊi4	
佢	kʊi2	他
佣	joŋ6	
佩	pʰɔi5	
佬	lau4	
佳	kai1	
使	ʃɐi3	
侄	tʃɐt8b	
侈	tʃʰi3	
例	lɐi6	
侍	ʃɐi6	
供	koŋ1	~应
供	koŋ5	~奉
依	ʔʊi1	
僥	hiu4	
偵	tʃɯn1	
側	tʃɐk7	
僑	kiu2	
儂	noŋ2	
侮	fu4	
