#漢字	音標	解釋
一	it7	
丁	tin1	
七	tɕʰit7	
万	uan6	
丈	tsʰɔŋ6	
不	pʰi1	
不	put7	
与	y3	
丐	kai5	
丑	tsʰəu3	
專	tsən1	
且	tɕʰiɛ3	
世	sɿ5	
丘	tɕʰiu1	
丙	pin3	
東	tuŋ1	
絲	sɿ1	
丞	tsʰen2b	
兩	liɔŋ3	
嚴	ȵiɛn2a	
喪	sɔŋ1	
喪	sɔŋ5	
个	ko5	
丫	ia1	
中	tsuŋ1	
丰	fuŋ1	
串	tsʰən3	
丹	tan1	
爲	ui3	
爲	ui6	
主	tsu3	
麗	li6	
舉	tɕy3	
乃	nai3	
久	tɕiu3	
義	i6	
之	tsɿ1	
烏	u1	
乎	hu2a	
乏	fat8	
樂	lɔʔ7	
喬	tɕʰiɛu2b	
乖	kuai1	
乘	tsʰen2b	
乙	it7	
九	tɕiu3	
也	iɛ3	
習	ɕit8	
鄉	ɕiɔŋ1	
書	su1	
買	mai3	
亂	lən6	
乳	lu3	
了	liɛu3	
爭	tsɛn1	
事	sɿ6	
二	ɛ6	
于	y2a	
虧	kʰui1	
云	yn2a	
互	hu6	
五	u3	
井	tɕin3	
亞	ia5	
亡	uɔŋ2a	
交	tɕiɛu1	
亦	it7	
產	tsʰan3	
亨	hɛn1	
畝	mɛu3	
享	ɕiɔŋ3	
京	tɕin1	
亭	tʰin2b	
亮	liɔŋ6	
親	tɕʰin1	
人	len2a	
僅	tɕin3	
仇	tsʰəu2a	
仇	tɕʰiu2b	
今	tɕin1	
介	tɕiɛ5	
从	tsʰuŋ1	
倉	tsʰɔŋ1	
仔	tsɿ3	
仕	sɿ6	
付	pʰu5	
付	fu5	
仙	ɕiɛn1	
令	lin6	
儀	i2a	
仰	iɔŋ3	
價	tɕia5	
任	len5	
份	fen3	
份	fen6	
企	tɕʰi3	
伊	i1	
伍	u3	
伏	fuʔ8	
伐	fat8	
休	ɕiu1	
衆	tsuŋ5	
優	iu1	
會	hui6	
傘	san3	
偉	ui3	
傳	tsʰən2b	
伢	ia2a	
倫	lun1	
僞	ui3	
估	ku3	
伴	pʰən5	
伸	sen1	
伺	tsʰɿ3	
似	sɿ6	
但	tʰan6	
低	ti1	
住	tsʰu6	
佐	tso3	
體	tʰi3	
何	ho2a	
余	y2a	
佛	fut8	
