#漢字	音標	解釋
□	sin3	(地面)滑
□	tœn1	
□	la3	
□	lan3	
□	ŋam4	
□	tsʰan4	
□	kʷʰkwʰet7	
□	liu0	~线:萦线
□	koŋ0	~样:这样
□	kʰai1	~来:用来
□	kyn1	~窿:钻洞
□	lɐu3	~口:结巴
□	jɐm3	~田:浸田
□	kɐm3	~饭:喂饭
□	lɛ3	~手~脚:手脚瘸，不灵活
□	tsʰɛm3	~草:锄草
□	hœŋ4	~䘆:蚯蚓
□	tsʰa5	~豉油:蘸酱油
□	kʰiu5	~水:舀水
□	lu5	~水:涉水
□	mi6	~水:潜水
□	ti6	~度:这里
□	jyn6	~仔:小孩
□	k□掐ɛt9	~水:趟水
□	pɔp9	~辫:扎辫子
□	mɛŋ4	“未曾”合音
□	ŋai0	一~柚:一瓣柚子
□	ŋa3	一拃长
□	lam3	一拃;跨过
□	tɔŋ4	一~网:一张网
□	paŋ6	一~人:一群人
□	tsɐm6	一~风:一阵风
□	lɛŋ6	一~田:一丘田
□	tsɐp7	一~:一撮
□	sak8	一~苹果:一块苹果
□	lin3	乳房
□	tɔ4	传染
□	jet7	体垢
□	lui1	倒头栽落
□	lɐm3	倒塌
□	kʰɐp7	倒扣
□	sɛk8	冰冷
□	lɐp7	凹
□	mok7	出~:出芽
□	saŋ0	刷洗
□	sy3	剔(牙)
□	kʰɔŋ1	双手掇
□	tʰɐn4	发抖
□	tɐu6	发吽~:发呆
□	ŋɐm6	发~话:聊天
□	mɐu6	口水~:围嘴儿
□	lœ1	吐出捼搓(衣服)
□	tsʰok9	呛
□	tʰɐm3	哄骗
□	hoŋ3	嗅
□	kɐu6	团，块(量词)
□	lyt9	地~:垄间通道
□	tsaŋ6	填塞
□	tsin0	大~:猪肘子
□	tsoŋ3	宠爱
□	pʰɔŋ1	宽口锄
□	ŋa1	张开
□	tsʰɛm5	扎(刺儿)
□	pʰɛ5	扑克
□	hɛ3	扒
□	tʰɛn0	打仰~:仰泳
□	kyt8	打
□	ŋɔk9	抬头
□	mi1	抿
□	ŋa1	拃量
□	jɛp8	招(手)
□	jɛp8	挽(袖子)
□	tsʰoŋ3	捅
□	hɛp8	捏
□	ŋɐm4	掏(口袋)
□	tsɛt7	掐，胳肢
□	ʔu3	探身，弯身
□	kʰɐu1	掺和
□	tstøt7	揉搓
□	pʰɔt8	搧(扇子)
□	tat8	摔
□	ʔœt7	撕开
□	tsɐi1	放置
□	lok7	本地柚子
□	mɛu1	松~:松针
□	pan3	棒打
□	hɔm0	棵
□	hɔm1	棵
□	ha1	欺负
□	hɐp7	欺负
□	pʰɛ5	歪
□	laŋ5	毛线
□	mɔt8	毛虫
□	hɔk9	水勺
□	sɛp8	河蚌
□	kʰit9	流体稠
□	kip8	涩
□	lu1	混合
□	lɛn3	渴望
□	tsɛt7	溅
□	lɐn5	溢出
□	kʰen4	澄清;沉淀;食油凝固
□	lat8	烫
□	pan4	爬上
□	pʰɛk9	犁~:犁镜
□	hɐu1	狗~:狗吠
□	su1	生孩子
□	tœ3	用粗话骂
□	tɐŋ5	用物体顶门
□	tsʰɐt9	男阴
□	kɐu3	疲累
□	hɔm0	石臼
□	lu4	碰撞起的肿块
□	lip9	秕谷
□	ʔim0	结~:结痂
□	ky0	老~:妓女
□	tɐu6	老~:老爸
□	lɛn3	肥腻
□	tsɛ0	胳肢使人痒
□	lok9	脚踩
□	hu1	臊
□	lam0	舀
□	pɐt7	舀
□	lɛm0	舔
□	joŋ4	茶浓
□	lɐm6	草~:草丛;摞起
□	sɐn0	薯类硬化
□	lat8	虾~:水田里的螃蟹
□	jɛp8	褶皱
□	ŋam4	说
□	jɐi5	质次
□	tsɐm0	趼子
□	tɐp9	跌落
□	tɐm6	跺(脚)
□	jaŋ3	蹬
□	lɛp8	躲藏
□	lai4	软~~:疲惫无力
□	lɔŋ5	过水
□	pui0	酵子
□	tok7	量词，用于排泄物
□	hɔt8	鐾(把刀口在砖、石、布等上磨擦使锋利)
□	lu1	镬~:锅烟子
□	kʷʰaŋ3	门栓
□	lɛŋ4	闪~:闪电
□	hɛp8	闭上
□	ʔɔŋ3	青~:黄背蛙
□	wak7	鞭打
□	ʔɛ1	食~饭:吃了饭
□	ŋɛu5	饭~:锅巴
□	lu6	骂
□	lɛŋ5	鱼篓
□	pɔk7	鱼~:鱼鳔;水疱;豆腐~:油豆腐
□	hɔŋ0	鸡~:小母鸡
□	tsy1	鸡~:鸡虱
□	kok7	鼓起
㓤	kɐt7	刺扎
㖮	løn1	~骨头:啃骨头
㝗	lɔŋ3	架起
㞓	hɐi1	女阴
㞗	kɐu1	男阴
㨃	ty0	捅
㩒	kɐm6	按下
㩧	pɔk7	敲打
㪉	kɔp8	~伙:合伙;~本:凑本钱
㫰	lɔŋ6	晾
㷫	hen3	热;烤
㿭	sak8	爆~:皮肤爆裂
䂿	tɐp9	捶打
䘆	hyn3	[hœŋ31]~:蚯蚓
䚕	lɐi6	以目示意
䤍	mi6	浮于液体面上的泡沫
一	jɐt7	
丁	ten1	
七	tsʰɐt7	
万	man6	
丈	tsœŋ6	
三	sam1	
上	tsʰan4	
上	sœŋ5	~去
上	sœŋ6	~面
下	ha6	
不	pɐt7	
与	jy5	
丐	kʰɔi3	
丑	tsʰɐu0	
專	tsyn1	
且	tsʰɛ0	
丕	pʰi1	
世	sɐi3	
丘	jɐu1	
丙	pen0	
業	hip9	
叢	tsʰoŋ4	
東	toŋ1	
絲	sy1	
丞	sen4	
丟	tiu1	
兩	lœŋ5	数字
兩	lœŋ0	斤~
嚴	jim1	
喪	sɔŋ1	
喪	sɔŋ3	
个	kɔi3	
丫	ʔa1	
中	tsoŋ1	
中	tsoŋ3	
丰	foŋ1	
串	tsʰyn3	
臨	lɐm4	
丸	hyn4	
丹	tan1	
爲	wɐi4	
爲	wɐi6	
主	tsy0	
麗	lɐi6	
舉	ky0	
乃	lai5	
久	kɐu0	
麼	ʔiu1	~两:一二
義	ji6	
之	tsi1	
烏	ʔu1	
乎	fu4	
乏	fɐt9	
樂	lɔk9	
樂	ŋɔk9	
喬	kʰiu4	
乖	kʷai1	
乘	sen4	
乙	jyt8	
乜	mɐt7	什么
乜	mɛ0	歪斜
九	kɐu0	
乞	hɐt7	
也	ja5	
習	tsap9	
鄕	hœŋ1	
書	sy1	
買	mai5	
亂	lyn6	
乳	jy5	
乸	la0	雌
乾	kʰin4	
了	liu5	
予	jy5	
爭	tsaŋ1	
事	sy6	
二	ji6	
于	jy1	
于	ʔy1	
雲	wɐn4	
互	hu6	
五	ŋ̍5	
井	tsɛŋ0	
亞	ʔa3	
些	sɛ1	
亡	mɔŋ4	
交	kau1	
交	kɛu1	
亥	hɔi6	
亦	jet9	
產	tsʰan0	
亨	hɐŋ1	
畝	mau5	
享	hœŋ0	
京	ken1	
亭	tʰen4	~台
亭	tʰen0	凉~
亮	lœŋ6	
親	tsʰɐn1	
親	tsʰɐn3	~家
人	jɐn4	
億	jet7	
仁	jɐn4	
僅	kɐn0	
仆	pok9	
仆	pʰok7	~倒
仇	sɐu4	
今	kɐm1	
介	kai3	
仍	jen4	
从	tsʰoŋ4	
仑	løn4	
倉	tsʰɔŋ3	
仔	tsɐi0	儿子
仕	sy6	
他	tʰa1	
仗	tsœŋ3	打~
仗	tsœŋ0	炮~:鞭炮
付	fu6	
仙	sin1	
代	tɔi6	
令	len6	
以	hi5	
儀	ji4	
仰	ŋɔŋ3	
仰	jœŋ5	
仲	tsoŋ6	
仵	ŋ̍5	
件	kʰin6	
價	ka3	
任	jɐm6	
份	fɐn6	
仿	fɔŋ0	
企	kʰi5	
伊	ji1	
伍	ŋ̍5	
伏	pok9	
伏	fok9	
伐	fɐt9	
休	jɐu1	
衆	tsoŋ3	
優	jɐu1	
伙	wɔ0	
會	ʔui5	
會	ʔui6	~面
會	ʔui0	开~
偉	wɐi5	
傳	tsʰyn4	
傳	tsyn6	
傷	sœŋ1	
倫	løn4	
僞	ŋɐi6	
伯	pak8	
估	kʷu0	
伴	pun6	
伴	pʰɔn0	有~
伶	len4	
伸	sɐn1	
伺	tsy6	
似	tsʰy5	
似	sy5	
但	tan6	
位	wɐi6	~置
位	wɐi0	座位
低	tɐi1	
住	tsʰy6	
佐	tsɔ3	
佑	jɐu6	
體	tʰɐi0	
佔	tsim3	
何	hɔ4	
余	jy4	
佛	fɐt9	
作	tsɔk8	
你	ji5	
佢	kʰy4	第三人称
佩	pʰui3	
佳	kai1	
使	sɐi0	~用
使	sy0	假~
侄	tsɐt0	侄子
侈	tsʰi0	
例	lɐi6	
侍	sy6	
供	koŋ1	
依	ʔi1	
俠	hap9	
僥	hiu1	
偵	tsen1	
側	tsɐk7	
