#漢字	音標	解釋
□	tia1	~东西，提
□	pʰia5	打，~两下，扇或者打两耳光
□	kʰa1	角落
□	pʰa1	软
一	i7	
丁	tin1	
七	tɕʰi7	
丈	tsɑŋ5	
三	san1	
上	sɑŋ5	
下	xa5	一下，表数量
不	pu̜ᵝ7	
与	y3	
丐	kai5	
丑	tsʰəu3	
專	tsuan1	
且	tɕʰi3	
世	sɿ5	
丘	tɕʰiəu1	
丙	pin3	
業	ȵie7	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿ1	
丢	tiəu1	
兩	niɑŋ3	
嚴	ȵiɛn2	
个	ko5	
丫	ia1	
中	tsoŋ1	
丰	foŋ1	
串	tsʰuan5	
臨	nin2	
丹	tan1	
爲	uei2	
爲	uei5	
主	tsuᶹ3	
麗	ni5	
舉	tɕy3	
乃	nai3	
久	tɕiəu3	
義	ȵi5	
之	tsɿ1	
烏	vuᶹ1	
乍	tsa2	
乏	fæ̞7	
樂	nɵ7	
樂	yɵ7	
喬	tɕʰiaʊ2	
乖	kuai1	
乘	sən2	
乙	i7	
九	tɕiəu3	
乞	tɕʰi7	
也	i3	
習	ɕi7	
鄉	ɕiɑŋ1	
書	suᶹ1	
買	mai3	
亂	nuan5	
乳	zuᶹ3	
了	niaʊ3	
爭	tsən1	
事	sɿ5	
二	ɚ5	
于	y2	
虧	kʰuei1	
雲	yn2	
互	fuᶹ5	
五	vuᶹ3	
井	tɕin3	
亞	ia5	
些	ɕi1	
亡	uɑŋ2	
交	tɕiaʊ1	
亥	xai5	
亦	i7	
產	tsʰan3	
產	tsʰuan3	
亨	xən1	
畝	moŋ3	
享	ɕiɑŋ3	
京	tɕin1	
亭	tʰin2	
亮	niɑŋ5	
親	tɕʰin1	
人	zən2	
億	i5	
仁	zən2	
僅	tɕin3	
仆	pʰu̜ᵝ7	
仇	tsʰəu2	
今	tɕin1	
介	tɕiɛn5	
仍	zən2	
从	tsʰoŋ2	
他	tʰa1	
他	na1	白
仗	tsɑŋ5	
付	fuᶹ5	
仙	ɕiɛn1	
代	tai5	
令	nin5	
以	i3	
仰	ȵiɑŋ3	
仲	tsoŋ5	
件	tɕiɛn5	
價	tɕia5	
任	zən2	
份	fən5	
伊	i1	
伍	vuᶹ3	
伏	fu̜ᵝ7	
伐	fæ̞7	
休	ɕiəu1	
衆	tsoŋ5	
優	iəu1	
伙	xo3	
會	xuei5	
會	kʰuai5	~计
傘	san3	
偉	uei3	
傳	tsʰuan2	
傳	tsuan5	名
倫	nən2	
估	kuᶹ3	
伴	pan5	
伸	tsʰən1	
似	sɿ5	
佃	tiɛn5	
但	tan5	
低	ti1	
住	tsuᶹ5	
佐	tso3	
體	tʰi3	
何	xo2	
余	y2	
佛	fu̜ᵝ7	
作	tsɵ7	
你	ȵi3	
佩	pei5	
佳	tɕia1	
使	sɿ3	
侈	tsʰɿ3	
侍	sɿ5	
供	koŋ1	
供	koŋ5	上~
依	i1	
俠	ɕiæ̞7	
偵	tsən1	
側	tsʰe7	
僑	tɕʰiaʊ2	
侮	vuᶹ3	
侯	xəu2	
侵	tɕʰin5	
便	piɛn5	
促	tsʰu̜ᵝ7	
俄	o2	
俊	tɕyn5	
俏	tɕʰiaʊ5	
俗	ɕiu̜ᵝ7	
保	paʊ3	
信	ɕin5	
儉	tɕiɛn3	
修	ɕiəu1	
俱	tɕy1	
倍	pei5	
倒	taʊ3	
倒	taʊ5	
候	xəu5	
倚	i1	
借	tɕi5	
倡	tsʰɑŋ1	
倦	tɕyɛn5	
倪	ȵi2	
債	tsai5	
傾	tɕʰyn1	
假	tɕia3	
偏	pʰiɛn1	
做	tsuᶹ5	
停	tʰin2	
健	tɕiɛn5	
偶	ŋəu3	
偷	tʰəu1	
償	sɑŋ3	
傀	kʰuei2	
傅	fuᶹ5	
儲	tsʰuᶹ2	
催	tsʰuei1	
傲	ŋaʊ5	
傻	xa3	
像	tɕʰiɑŋ5	
僧	sən1	
僻	pʰi7	
儒	zuᶹ2	
儡	nuei3	
兒	ɚ2	
允	yn3	
元	yɛn2	
兄	ɕioŋ1	
充	tsʰoŋ1	
兆	tsaʊ5	
先	ɕiɛn1	
光	kuɑŋ1	
克	kʰe7	
免	miɛn3	
兑	tuei5	
兔	tʰuᶹ5	
黨	tɑŋ3	
兜	təu1	
入	zu̜ᵝ7	
全	tɕʰyɛn2	
八	pæ̞7	
公	koŋ1	
六	nu̜ᵝ7	
蘭	nan2	
共	koŋ5	
關	kuan1	
興	ɕin1	
興	ɕin5	
兵	pin1	
其	tɕʰi2	
具	tɕy5	
典	tiɛn3	
兹	tsɿ1	
養	iɑŋ3	
兼	tɕiɛn1	
獸	səu5	
内	nuei5	
册	tsʰe7	
再	tsai5	
冒	maʊ5	
寫	ɕi3	
軍	tɕyn1	
農	noŋ2	
冠	kuan1	
冤	yɛn1	
冥	min2	
冬	toŋ1	
馮	foŋ2	
冰	pin1	
冲	tsʰoŋ1	
決	tɕʰyɵ7	
况	kʰuɑŋ5	
冷	nən3	
凍	toŋ5	
淨	tɕin5	
準	tsuən3	
涼	niɑŋ2	
凌	nin2	
減	tɕiɛn3	
湊	tsʰəu5	
凝	ȵin2	
几	tɕi1	
几	tɕi3	
凡	fan2	
凭	pʰin2	
凱	kʰai3	
凳	tən5	
凶	ɕioŋ1	
凹	ŋaʊ5	
出	tsʰu̜ᵝ7	
擊	tɕi7	
函	xan2	
鑿	tsʰɵ7	
刀	taʊ1	
刁	tiaʊ1	
刃	zən3	
分	fən1	
切	tɕʰie7	
刊	kʰan1	
刑	ɕin2	
划	xua2	
列	nie7	
劉	niəu2	
則	tse7	
剛	kɑŋ1	
初	tsʰuᶹ1	
删	suan1	
判	pʰan5	
刨	paʊ5	
别	pie7	
刮	kuæ̞7	
到	taʊ5	
制	tsɿ5	
刷	suæ̞7	
刺	tsʰɿ5	
刻	kʰe7	
劊	kʰuai5	
刴	to3	
刴	to5	
劑	tɕi5	
剃	tʰi5	
削	ɕyɵ7	
前	tɕʰiɛn2	
劍	tɕiɛn5	
剔	tʰi7	
剖	pʰo3	
剝	pɵ7	
劇	tɕy5	
剩	sən5	
剪	tɕiɛn3	
副	fuᶹ5	
割	ke7	
劈	pʰi7	
力	ni7	
勸	tɕʰyɛn5	
辦	pan5	
功	koŋ1	
加	tɕia1	
務	vuᶹ5	
劣	ne7	
動	toŋ5	
助	tsuᶹ5	
努	nuᶹ3	
劫	tɕʰie7	
勵	ni5	
勁	tɕin5	
勞	naʊ2	
勢	sɿ5	
勃	pʰɵ7	
勇	ioŋ3	
勉	miɛn3	
勳	ɕyn1	
勒	ne7	
勘	kʰan1	
勤	tɕʰin2	
勾	kəu1	
勿	wu̜ᵝ7	
匀	yn2	
包	paʊ1	
化	xua5	
北	pe7	
匙	sɿ2	
匠	tɕiɑŋ5	
匪	fei3	
匹	pʰi7	
區	tɕʰy1	
醫	i1	
十	ʃʅ7	
十	si7	
千	tɕʰiɛn1	
升	sən1	
午	vuᶹ3	
半	pan5	
華	xua2	
協	ɕie7	
卑	pei1	
卒	tɕiu̜ᵝ7	
卓	tsɵ7	
單	tan1	
賣	mai5	
南	nan2	
博	pɵ7	
卜	pʰu̜ᵝ7	
占	tsan5	
卡	kʰa3	夹住
盧	nuᶹ2	
卤	nuᶹ3	
卦	kua5	
臥	o5	
衛	uei5	
卯	maʊ3	
印	in5	
危	uei2	
即	tɕi7	
卻	tɕʰyɵ7	
卵	nuan3	
卷	tɕyɛn3	动词
卷	tɕyɛn5	名词
卸	ɕi5	
卿	tɕʰin1	
廠	tsʰɑŋ3	
廳	tʰin1	
历	ni7	
厲	ni5	
壓	ia2	
厭	iɛn5	
廁	sɿ1	
廁	tsʰe7	
厘	ni2	
厚	xəu5	
原	yɛn2	
廂	ɕiɑŋ1	
厦	sua3	
廚	tsʰuᶹ2	
去	tɕʰy5	
縣	ɕiɛn5	
参	tsʰan1	
参	sən1	
又	iəu5	
叉	tsʰa1	
及	tɕi7	
友	iəu3	
雙	suɑŋ1	
反	fan3	
发	fæ̞7	
叔	su̜ᵝ7	
取	tɕʰy3	
受	səu5	
變	piɛn5	
口	kʰəu3	
古	kuᶹ3	
句	tɕy5	
另	nin5	
叩	kʰəu5	
只	tsɿ3	
叫	tɕiaʊ5	
可	kʰo3	
台	tʰai2	
史	sɿ3	
右	iəu5	
葉	ie7	
號	xaʊ5	
司	sɿ1	
嘆	tʰan5	
吃	tʃʰʅ7	
吃	tsʰi7	
各	ke7	
各	kɵ7	又
合	xe7	
合	xɵ7	又
吉	tɕi7	
吊	tiaʊ5	
同	tʰoŋ2	
名	min2	
后	xəu5	
吏	ni5	
吐	tʰuᶹ3	
向	ɕiɑŋ5	
嚇	xe7	
呂	ny3	
君	tɕyn1	
吞	tʰən1	
吟	in2	
吠	fei5	
否	foŋ3	
吩	fən1	
含	xan2	
聽	tʰin1	
聽	tʰin5	
啓	tɕʰi3	
吳	vuᶹ2	
吵	tsʰaʊ3	
吸	tɕi7	
吹	tsʰuei1	
吻	uən3	
吼	xəu3	
呆	tai1	
呈	tsʰən2	
告	kaʊ5	
嘔	ŋəu3	
員	yɛn2	
周	tsəu1	
味	uei5	
呴	xəu1	~巴儿，得肺病久咳不止的人
呵	xo1	
呼	fuᶹ1	
命	min2	
命	min5	
和	xo2	
詠	yn5	
咐	fuᶹ5	
咒	tsəu5	
咬	ŋaʊ3	
咬	ȵiaʊ3	
咸	xan2	
哀	ŋai1	
品	pʰin3	
哄	xoŋ1	
響	ɕiɑŋ3	
啞	ia3	
哥	ko1	
哨	saʊ5	
哭	kʰu̜ᵝ7	
哮	ɕiaʊ5	
哲	tse7	
哽	kən3	
唆	so1	
脣	suən2	
唐	tʰɑŋ2	
喚	xuan5	
售	səu5	
唯	uei2	
唱	tsʰɑŋ5	
啄	tsuæ̞7	
商	sɑŋ1	
啊	a2	
啼	tʰi2	
善	san5	
喉	xəu2	
喊	xan3	
喘	tsʰuai3	
喜	ɕi3	
喝	xo1	
喝	xɵ7	
喧	ɕyɛn1	
噴	fən5	
喻	y5	
嗅	ɕiəu5	
嗲	ȵia1	撒娇的样子
嗽	səu5	
嘉	tɕia1	
囑	su̜ᵝ7	
嘴	tsuei3	
嘹	niaʊ2	
噎	ie7	
器	tɕʰi5	
囂	ɕiaʊ1	
嚷	zɑŋ3	
囚	tɕʰiəu2	
四	sɿ5	
回	xuei2	
因	in1	
团	tʰuan2	
囤	tən5	
園	yɛn2	
困	kʰuən5	
囱	tsʰoŋ1	
圍	uei2	
固	kuᶹ5	
國	kɵ7	
圖	tʰuᶹ2	
圓	yɛn2	
圈	tɕʰyɛn1	
土	tʰuᶹ3	
聖	sən1	
在	tsai5	
地	ti5	
圳	tsən5	
場	tsʰɑŋ2	
址	tsɿ3	
均	tɕyn1	
坍	tʰæ̞7	
坎	kʰan3	
壞	xuai5	
坐	tso5	
坑	kʰən1	
塊	kʰuai3	
塊	kʰuai5	
堅	tɕiɛn1	
坛	tʰan2	
壩	pa5	
塢	vuᶹ1	
墳	fən2	
墜	tsuei5	
坡	pʰo1	
坤	kʰuən1	
坦	tʰan3	
坪	pʰin2	
坯	pʰei1	
坳	ŋaʊ5	
垂	tsʰuei2	
壟	noŋ3	
垒	nuei3	
垢	kəu5	
墾	kʰən3	
墊	tiɛn5	
垮	kʰua3	
埋	mai2	
城	tsʰən2	
域	iu̜ᵝ7	
培	pʰei2	
基	tɕi1	
堂	tʰɑŋ2	
堆	tuei1	
堡	paʊ3	
堤	tʰi2	
堪	kʰan1	
堰	iɛn5	
堵	tuᶹ3	
塌	tʰæ̞7	
