#漢字	音標	解釋
□	pʰuʔ8	ham5~:水肿
□	ha2	~皮带
□	kʰiu2	~毛，原文作“⿺走勼”
□	tsʰaŋ5	~须
□	tsuaʔ8	不正，原文作“𪘧”
□	lap7	凹陷
□	nãʔ7	凹陷
□	liam2	原文作“⿱㓁隹”
□	tsim1	吻
□	sɔm2	土气
□	tiam5	在
□	tse6	多
□	bɔ3	妻子;tsa6~:女人
□	tiam6	安静
□	tsʰua6	带领
□	tsʰue6	找
□	tʰeʔ8	拿
□	liam5	捻，捏
□	sak7	推
□	tim5	掷
□	ia6	撒
□	tsioʔ7	棉~:棉胎
□	lo6	烧~:暖和
□	tʰiã3	爱，痛
□	kaŋ3	牛~:公牛
□	hui2	瓷
□	tsʰiŋ6	穿
□	kit8	粥浓
□	ia5	累，原文作“瘟”
□	baʔ7	肉
□	ham5	肿大，原文作“䫲”
□	tak7	触着
□	lan1	趼，原文作“跉”
□	lap7	踩
□	tʰaŋ5	透过
㖹	pun2-	吹
㩻	kʰi1	不正，原文作“欹”
㪗	tʰau3-	
㬎	ɡam6	
㬹	tɛ̃1	后~，原文作“𩍐”
㾪	san3-	瘦
䀫	kʰeʔ7	
䆀	bai3	~火
䉔	tsʰuã1	竹~
䊆	kʰiu6	馃真~
䋎	tʰĩ3	缝
䖳	tʰɛ6	
䘼	uan3=	
䟉	tsʰik8	车真~
䫌	pʰe3	喙~:脸颊
䫌	pʰue5	喙~
䭕	tsiã3-	淡
一	it7	
一	tsit8	训读
丁	tiŋ1	
七	tsʰit7	
丈	tŋ̍6-	
丈	tiũ6-	
丈	tiaŋ6=	
丈	ta1	~夫:男子
三	sã1-	
三	sam1=	
上	tsiũ6-	
下	hɛ6-	
下	ɛ6-	
下	kɛ6-	低
与	i3	
丐	kai5	
丑	tʰiu3	
專	tsuan1	
世	si5	
丘	kʰu1-	
丘	kʰiu1=	
丙	piã3-	
丙	piŋ3=	
業	ɡiap8	
叢	tsaŋ2-	
叢	tsɔŋ2=	
東	taŋ1-	
東	tɔŋ1=	
絲	si1	
丞	siŋ2=	
兩	niũ3-	
兩	liaŋ3=	
兩	nɔ̃6-	~个
嚴	ɡiam2	
並	piŋ5	
並	pʰɔk7	
喪	sŋ̍1-	
喪	sɔŋ5	
喪	sɔŋ1=	
中	tiɔŋ1=	
中	tiɔŋ5=	
中	tiŋ5-	~意
中	taŋ1-	~央
丰	hɔŋ1	
串	tsʰuĩ5-	
串	tsʰuan5	
臨	liam2-	
臨	lim2=	
丸	uan2	
丸	ĩ2	训“圆”，肉~
丹	tan1	
爲	ui2	
爲	ui6	
主	tsu3	
麗	le6	
舉	ki3	
久	ku3-	
久	kiu3=	
義	ɡi6	
之	tsi1	
烏	ɔ1	
乏	hat8	
乏	huat8=	
樂	lɔk8	
樂	ɡak8	音~
喬	kiau2	
乖	kuai1	
乘	siŋ2=	
乙	it7	
九	kau3-	
九	kiu3=	
乞	kʰit7	
習	sip8	
鄉	hiaŋ1=	
書	si1	
書	su1	
買	be3-	
買	mãi3=	
亂	luan6	
乾	kuã1-	
乾	kan1=	
乾	kʰian2	原文作阴平，应为误记
了	liau3	
爭	tsɛ̃1-	
爭	tsɛ̃5-	
爭	tsiŋ1	
事	su6	
二	dzi6	
于	i2	
