#漢字	音標	解釋
□	sau1	~箕:竹制容器
□	za3	~筢:搂筢，农具的一种，有齿
□	pʰaŋ3	~谷:秕谷
□	lɔŋ3	~口:漱口
□	ɔŋ3	~伢仔:婴孩
□	lap8	~尾指:小拇指
□	pʰat8	~□li24:番石榴，芭乐，原文词表作“石榴”
□	li2	□pʰat5~:番石榴，芭乐，原文词表作“石榴”
□	kʰia2	□la33~:蜘蛛，原文作“蠼”
□	tsʰeu1	发~:发瘟
□	ŋiɔŋ3	发抖
□	tʰem3	哄骗
□	kiau3	哭
□	mai3	唔~:不要
□	sɔt8	喝
□	ep7	外敷药物
□	ŋit8	憋
□	teu1	我ŋai24-55~:我们
□	lien2	掐
□	luk8	柚子
□	ɔi3	母亲
□	leu2	浓稠
□	kʰien2	澄清(水)
□	pʰu2	煨
□	hem3	碓~:舂臼
□	kʰuŋ1	窿~:窟窿
□	tɔt8	端，捧
□	tsʰap7	簸箕
□	ŋiap8	翻折(袖子)
□	kit7	耳~:耳朵
□	lep7	胖
□	tsʰeu1	萎谢，皱
□	piaŋ3	藏
□	lat7	虾~:螃蟹
□	kʰeu2	蹲
□	an3	那
□	tsep8	量词，束
□	ŋiap7	闪动
□	tiak8	驱赶
□	puk8	鱼鳔
㙛	pɔk7	田塍~:田埂
㩁	kʰɔk7	敲，原文作“敲”
㪗	tʰeu3	歇息，原文作“唞”
䘆	hien3	虫~:蚯蚓
钁	kiɔk7	
一	zit7	
丁	ten1	
七	tsʰit7	
万	man1	
丈	tsʰɔŋ1	
三	sam1	
上	sɔŋ1	
下	ha1	
下	kʰa1-	屋~
不	put7	
与	zi3	
丑	tsʰiu3	~时
專	tsɔn1	
世	sei3	
丘	ziu1	
丙	piaŋ3	
業	ŋiap7	
叢	tsʰuŋ2	
東	tuŋ1	
絲	si1	
丢	tiu1	
兩	liɔŋ3	~十
兩	liɔŋ1	重量单位
嚴	ŋiam2	
並	pin3	~排
喪	sɔŋ1	
个	kɔ3	
丫	ŋa1	
中	tsuŋ1	
中	tsuŋ3	
串	tsʰɔn3	
臨	lim2	
丸	zien2	
丹	tan1	
爲	vui2	
主	tsu3	
舉	ki3	
久	kiu3	
義	ŋi1	
之	tsi1	
烏	vu1	
樂	lɔk7	~观
樂	ŋɔk7	音~
乖	kai1	
乙	ziet7	
九	kiu3	
乞	hiet7	
也	za1	
習	tsʰip7	
鄉	hiɔŋ1	
書	su1	
買	mai1	
亂	lɔn1	
乳	zi3	
了	liau3	
爭	tsaŋ1	
事	sɿ1	
二	ŋi1	
虧	kʰui1	
云	zun2	
五	m̩3	
井	tsiaŋ3	
亞	a3	
亡	mɔŋ2	
交	kau1	
亥	hɔi1	
產	tsʰan3	
畝	meu3	
享	hiɔŋ3	
京	kin1	
亭	tʰin2	
亮	liɔŋ1	
親	tsʰin1	
人	ŋin2	
億	zit7	
仁	zin2	
僅	kin3	
仆	pʰuk7	
仇	siu2	
今	kim1	
介	kai3	
从	tsʰuŋ2	
倉	tsʰɔŋ1	
他	tʰa1	
付	fu3	
仙	sien1	
代	tʰɔi1	
令	lin1	
以	zi3	
儀	zi2	
件	kʰien1	
價	ka3	
任	ŋim1	
