#漢字	音標	解釋
□	tɕyɛ1	[mi24]橛:用来固定牲口
□	tsʰuæ1	~火:往炉子里加点柴
□	tʂʰuæ1	~忙:帮忙
□	læ2	~一下:把肉和菜放入锅中，先不倒水，放入调料轻轻炒一下
□	tsʰuæ3	~圪蛋儿:挤成一堆，往一个地方集中(一般指人或羊)
□	tɕiəɣ̃3	~一下:把肉放开水锅中稍微煮一下，把血水弄尽
□	sɐo5	~不~:闷不闷、憋不憋
□	liɛ5	~油:将肉放入锅中把油煸出来
□	nɒ1	使劲儿吃
㪗	tʰəu3	展开，~气
丁	tiəɣ̃1	
万	væ5	
丈	tʂɒ5	
三	sæ1	
上	ʂɒ5	上山
上	ʂɒ5	上面
下	ɕia5	下降
下	ɕia5	底下
不	pʰi1	曹丕
与	y3	及,给予
丐	kɛe5	乞丐
丑	tʂʰəu3	
專	tʂuæ1	
且	tɕʰiɛ3	
丕	pʰɛe3	人名:丕子
世	ʂʅ5	
丘	tɕʰiəu1	
叢	tsʰuəɣ̃2	
東	tuəɣ̃1	
絲	sɿ1	
丞	tʂʰəɣ̃2	
丟	tiəu1	
兩	liɒ3	两个
兩	liɒ3	几两几钱
嚴	iɛ2	
並	piəɣ̃5	
喪	sɒ5	丧失
喪	sɒ1	婚丧
个	kɤ5	个人、一个
丫	ia1	丫头
中	tʂuəɣ̃3	射中
中	tʂuəɣ̃1	当中
丰	fəɣ̃1	
串	tʂʰuæ5	
臨	liəɣ̃2	
丸	væ2	肉丸、弹丸
丹	tæ1	
爲	vɛe2	为人处事
爲	vɛe5	为什么、为人民服务位
主	tʂu3	
麗	li5	美丽
舉	tɕy3	
乃	nɛe3	
久	tɕiəu3	
義	i5	
之	tsɿ1	
烏	vu1	
乍	tsa5	
乎	xu2	
乏	fa2	
喬	tɕʰiɐo2	
乖	kuɛe1	
乘	tʂʰəɣ̃2	
九	tɕiəu3	
也	iɛ3	
鄕	ɕiɒ1	
書	ʂu1	
買	mɛe3	
亂	læ5	
乳	ʐu3	
乾	tɕʰiɛ2	乾坤
了	səu1	
了	liɐo3	~结
爭	tsəɣ̃1	
事	sɿ5	
二	ɚ5	
于	y2	
虧	kʰuɛe1	
雲	yəɣ̃2	
互	xu5	
五	vu3	
