#漢字	音標	解釋
一	ʔɐt7a	
七	tʃʰɐt7a	
万	man5	
三	ɬam1	
上	ʃeŋ5	~山
下	hɒ5	底~
世	ʃɐi3	
業	nip8	
東	toŋ1	
絲	ɬi1	
丢	tiᵊu1	
兩	liaŋ5	几~
嚴	ȵim2	
个	ko2	
中	tʃoŋ1	当~
丰	foŋ1	
主	tʃu3	
舉	ki3	
義	ȵi2	
烏	ʔu1	
九	kɐu3	
習	tʃʰɐp8	
書	ʃu1	
買	mai3	
亂	lun5	
爭	tʃaŋ1	
事	ʃi5	
二	ȵi5	
虧	kʰuɐi1	
云	vɐn2	~彩
五	ʔŋ̍3	
井	tʃɐn3	
交	kau1	
產	tʃʰan3	~妇
亮	leŋ5	
親	tʃʰɐn1	~吻
人	ȵiɐn2	
倉	tʃʰaŋ1	
付	fu5	
件	kʰin5	
任	ȵiɐm5	责~
休	hɐu1	
優	iɐu1	
會	hui5	开~
傘	ɬan3	
傳	tʃʰun2	~下来
傳	tʃʰun5	~记
傷	ʃeŋ1	
位	vɐi5	
低	tɐi1	
住	tʃʰu5	
余	iu2	~粮
佛	fɐt8	~像
作	tʃak7b	
使	ʃɐi3	
侄	tʃɐt8	
側	tʃak7a	
便	pʰin5	方~
俊	tʃɐn3	
修	ɬɐu1	
借	tʃe3	
假	kɒ3	真~
做	tʃu3	
停	tʰɐn2	
健	kin3	
偷	tʰɐu1	
像	tʃʰeŋ5	
僧	tʃaŋ1	
兒	ȵi2	
兄	hɐn1	
充	tʃʰoŋ1	
先	ɬin1	
光	kɔᵘŋ1	~线
黨	taŋ3	
入	iɐp7a	
全	tʃʰun2	
八	pat7b	
公	koŋ1	
六	lok7a	
蘭	lan2	
共	kʰoŋ5	
關	kuan1	~门
興	hɐn3	高~
兵	pɐn1	
典	tim3	
寫	ɬe3	
軍	kuɐn1	
冤	in1	
冬	toŋ1	~至
冰	pɐn1	
冲	tʃʰoŋ1	
決	kʰit7a	
冷	liaŋ3	
凍	toŋ3	
準	tʃɐn3	批~
減	kam3	
湊	tʃʰɐu3	
几	ki3	~个
鳳	foŋ5	
凳	taŋ3	
凶	hoŋ1	吉~
出	tʃʰɐt7a	
擊	kɐt7a	
刀	tau1	
分	fɐn1	~开
切	tʃʰit7a	~菜
划	viak8	~破
列	lit7a	
初	tʃʰo1	
判	pʰun3	
别	pʰit8	区~
刮	kuat7b	
制	tʃɐi3	~造
刷	tʃʰat7b	
刺	tʃʰi3	
刻	hak7a	时~
剃	tʰɐi3	
削	ɬek7a	
前	tʃʰin2	
劍	kim3	
剝	pok7a	
劇	kʰɐt8	~烈
剩	ʃɐn5	
剪	tʃin3	
副	fu2	
割	kat7b	
劈	pʰɐt7a	
力	lɐt7a	
勸	hin3	
辦	pʰan5	
動	tʰoŋ5	
勁	kɐn7b	有~
勤	kʰɐn2	
勺	ʃiak8	
匀	iɐn2	
包	pau1	
化	fɒ3	
北	pɐk7a	
匠	tʃʰeŋ5	
匹	pʰɐt7a	
區	kʰi1	地~
十	ʃɐp8	
升	ʃɐn1	
半	pun3	
華	vɒ2	中~
協	hip7b	
卒	tʃɐt7a	
單	tan1	~独
賣	mai5	
南	nam2	
占	tʃim3	~有
衛	vɐi5	
印	iɐn3	
危	ŋɐi5	
卷	kʰun3	~起来
廠	tʃʰɔᵘŋ3	
廳	tʰɐn1	
历	lɐt7a	农~
厭	ʔim3	
厚	hɐu5	
原	iun2	
去	hu3	
縣	iun5	
参	ʃɐm1	人~
及	kɐp8	
雙	ʃoŋ1	一~
反	fan3	
发	fat7b	头~
叔	ʃok7a	
取	tʃʰi3	
變	pin3	
口	hɐu3	
古	ku3	
句	ki3	
叫	kiᵊu3	
可	ho3	
台	tʰai2	舞~
右	iɐu5	
葉	ip7a	树~
號	hau5	~数
吃	hɐt7a	
各	kak7b	
吉	kɐt7a	
名	mɐn2	
后	hɐu5	~面
向	heŋ3	
呂	lui3	
吞	tʰɐn1	
含	hɐm2	~一口水
聽	tʰɐn1	~见,~话
吳	ʔŋ̍2	
吸	kɐp7a	
吹	tʃʰui1	
味	mi5	
命	mɐn5	~运
咸	ham2	~淡
品	pʰɐn3	
響	heŋ3	
啞	ʔɒ3	
哭	hok7a	
脣	ʃɐn2	
唱	tʃʰeŋ3	
善	ʃin5	
喊	ham3	
喜	hi3	
嘴	tʃui3	
器	hi3	
四	ɬi2	
回	hui2	
園	iun2	
困	kʰuɐn3	~觉
圍	vɐi2	
國	kok7a	
圖	tʰu2	
圓	iun2	
圈	kʰun1	圆~
土	tʰu3	
地	tʰi5	
均	kuɐn1	
壞	vai5	
坐	tʃʰo5	
坑	haŋ1	
塊	fai3	怪韵
墳	fɐn2	
垂	tʃʰui2	
墊	tʰim5	1
埋	mai2	
城	ʃɐn2	
塔	tʰap7b	
塞	ɬak7a	
墨	mɐk7a	
墩	tɐn1	
壁	pɐt7a	
壯	tʃaŋ3	
聲	ʃɐn1	
殼	hak8	
壺	fu2	
夏	hɒ5	春~
外	vai5	
夜	ie5	
够	kɐu3	足~
天	tʰin1	
失	ʃɐt7a	
頭	tʰɐu2	
夾	kap8	~住
奪	tʰit8	
契	kʰɐi3	
女	nu3	
奴	nu2	
奸	kan1	
好	hau3	形容词,美~
如	iu2	
婦	fu3	
妹	mui5	
姐	tʃe3	
姓	ɬɐn3	
姜	keŋ1	葱~
姨	i2	2
娘	neŋ2	
婆	pʰo2	
婚	fɐn1	
嫁	kɒ3	
嫂	ɬau3	
嫌	him2	
嫩	nun5	
子	tʃi3	
孔	kʰoŋ3	
字	tʃʰi5	
孫	ɬun1	~子
孝	hau2	
季	kuɐi3	
學	hak8	
孽	nip8	
安	ʔan1	
宋	ɬoŋ3	
完	iun2	
官	kun1	
定	tʰɐn5	
寶	pau3	
實	ʃɐt8	
客	hiak7b	
宮	koŋ1	
害	hai5	
容	ioŋ2	
寬	fun1	
宿	ɬok7a	~舍
寄	ki3	
密	mɐt7a	
富	fu3	
寸	tʃʰun3	
對	tui3	
寺	ʃi5	
尋	tʃʰɐm2	
壽	ʃɐu5	
封	foŋ1	
射	ʃe5	祃韵
小	ɬiᵊu3	
尖	tʃim1	
嘗	ʃeŋ3	
尺	tʃʰɐt7a	
尾	mi3	
局	kʰok7a	
屁	pʰi3	
層	tʃʰaŋ2	
屋	ʔok7a	
屬	ʃok7a	
山	ʃan1	
歲	ɬui3	
巖	ŋan2	
岸	ŋan5	
州	tʃɐu1	
左	tʃo3	
幣	pʰi5	
市	ʃi3	
布	pu3	棉~
師	ʃi1	
希	hi1	
帶	tai3	动词,携~
席	tʃʰɐt8	
幫	poŋ1	
帽	mau5	
平	pʰɐn2	便宜
年	nin2	
幼	iɐu2	
慶	hɐn3	
牀	ʃaŋ2	
店	tim3	
廟	miᵊu5	
府	fu3	
延	in5	
建	kin3	
開	hai1	
弄	loŋ5	
式	ʃɐt7a	
引	iɐn3	
弟	tʰɐi5	
張	tʃeŋ1	一~
彎	van1	
弱	ȵiek7a	
彈	tʰan2	~琴
形	iɐn2	
影	ʔɐn3	
律	lɐt8	
徐	tʃʰu2	
得	tɐk7a	
心	ɬɐm3	
忙	moŋ3	
快	fai3	
念	nim5	
懷	vai2	
急	kɐp7a	
怪	kuai3	
恨	hɐn5	
恩	ʔɐn1	
恭	koŋ1	
息	ɬɐt7a	
恶	ʔak7b	形容词,善~
惜	ɬɐt7a	
慣	kuan3	
想	ɬeŋ3	
愁	tʃʰɐu1	
意	ʔi3	
感	kam3	
慌	foŋ1	
慢	man5	
憋	pit7a	
懂	toŋ3	
懶	lan3	
戲	hi3	
戒	kai3	
或	vak8	
戰	tʃin3	
截	tʃʰit7a	
戶	fu5	
房	foŋ2	
所	ɬo3	
扁	pin3	
扇	ʃin3	名词,~子
手	ʃɐu3	
扎	tʃat7b	包~
打	tɒ3	
托	tʰak7b	~起
扮	pʰan3	
找	tʃau3	~零钱
抄	tʃʰau1	
把	pɒ3	~握
