#漢字	音標	解釋
㞗	tɕʰiəu2	
㞞	suŋ2	
㨃	tuei2	
㫾	ʂɑŋ2	
䃰	tsʰa5	
丁	tiŋ1	
丈	tʂɑŋ5	
三	san1	
上	ʂɑŋ5	
下	xa5	
下	ɕia5	
不	pu5	
丐	kai5	
且	tɕʰiᴇ5	
世	ʂʅ5	
丘	tɕʰiəu1	
丙	piŋ2	
丞	tʂʰəŋ2	
丢	tiəu1	
並	piŋ5	
丫	ia1	
中	tʂuŋ1	
中	tʂuŋ5	
串	tʂʰuan5	
丸	van2	
丹	tan1	
主	tʂu2	
乃	nai2	
久	tɕiəu2	
之	tsɿ1	
乎	xu2	
乏	fa2	
乏	fa5	
乖	kuai1	
乘	tʂʰəŋ2	
乘	tʂʰəŋ5	
也	iᴇ2	
乳	vu2	
乳	ʐu2	
乾	kan1	
乾	tɕʰiɛn1	
亂	luan5	
了	liɔ2	
事	sɿ5	
二	ər5	
互	xu5	
五	vu2	
井	tɕiŋ2	
亞	ia2	
亡	vɑŋ2	
交	tɕiɔ1	
亥	xai5	
亦	i5	
亨	xəŋ1	
享	ɕiɑŋ2	
京	tɕiŋ1	
亭	tʰiŋ2	
亮	liɑŋ5	
人	ʐəŋ2	
什	ʂʅ2	
仁	ʐəŋ2	
仄	tsɤ5	
仇	tɕʰiəu2	
仇	tʂʰəu2	
今	tɕiŋ1	
介	tɕiᴇ5	
仍	ʐəŋ2	
他	tʰa1	
仗	tʂɑŋ5	
付	fu5	
仙	ɕiɛn1	
代	tai5	
令	liŋ5	
以	i2	
仰	iɑŋ2	
仲	tʂuŋ5	
件	tɕiɛn5	
任	ʐəŋ2	
任	ʐəŋ5	
份	fəŋ5	
仿	fɑŋ2	
企	tɕʰi2	
伊	i1	
伎	tɕi5	
伐	fa2	
伐	fa5	
休	ɕiəu1	
伯	pai1	
估	ku2	
伴	pan5	
伸	ʂəŋ1	
伺	tsʰɿ5	
似	sɿ5	
佃	tiɛn5	
但	tan5	
佈	pu5	
低	ti1	
住	tʂu5	
佑	iəu5	
佔	tʂan5	
何	xɤ2	
佘	ʂɤ2	
佛	fɤ2	
作	tsuɤ5	
佞	niŋ5	
你	ni2	
佩	pʰei5	
佯	iɑŋ2	
佳	tɕia1	
併	piŋ5	
使	sɿ2	
侃	kʰan2	
來	lai2	
侈	tʂʰʅ2	
侉	kʰuɑ2	
例	li5	
侖	luŋ2	
供	kuŋ5	
依	i1	
侮	vu2	
侯	xəu2	
侵	tɕʰiŋ1	
侶	ly2	
便	pʰiɛn2	
促	tsʰu5	
俄	ŋɤ2	
俊	tɕyŋ5	
俏	tɕʰiɔ5	
俗	su5	
俘	fu2	
保	pɔ2	
俠	ɕia2	
信	ɕiŋ5	
修	ɕiəu1	
俯	fu2	
俱	tɕy5	
俸	fəŋ5	
倉	tsʰɑŋ1	
個	kɤ5	
倍	pei5	
倍	pʰei5	
們	məŋ2	
倒	tɔ2	
倒	tɔ5	
倔	tɕyᴇ5	
倖	ɕiŋ5	
倘	tʰɑŋ2	
候	xəu5	
倚	i2	
借	tɕiᴇ5	
倡	tʂʰɑŋ5	
倦	tɕyɛn5	
倩	tɕʰiɛn5	
倪	ni2	
倫	luŋ2	
值	tʂʅ2	
值	tʂʅ5	
假	tɕia2	
假	tɕia5	
偉	vei2	
偎	vei1	
偏	pʰiɛn1	
做	tsu5	
停	tʰiŋ2	
健	tɕiɛn5	
側	tsʰɤ5	
偵	tʂəŋ1	
偶	ŋəu2	
偷	tʰəu1	
僞	vei2	
傀	kʰuei2	
傑	tɕiᴇ2	
傘	san2	
備	pei5	
備	pi5	
傢	tɕia1	
催	tsʰuei1	
傭	yŋ5	
傲	ŋɔ5	
傳	tʂʰuan2	
傳	tʂuan5	
債	tsai5	
傷	ʂɑŋ1	
傻	ʂa2	
傾	tɕʰiŋ1	
僅	tɕiŋ2	
像	ɕiɑŋ5	
僕	pʰu2	
僧	səŋ1	
僮	tʂuɑŋ5	
僵	tɕiɑŋ1	
價	tɕia5	
僻	pʰi5	
儀	i5	
億	i5	
儒	vu2	
儒	ʐu2	
儘	tɕiŋ2	
償	tʂʰɑŋ2	
優	iəu1	
儲	tʂʰu2	
允	ʐuŋ2	
元	yɛn2	
兄	ɕyŋ1	
充	tʂʰuŋ1	
兆	tʂɔ5	
兇	ɕyŋ1	
先	ɕiɛn1	
光	kuɑŋ1	
克	kʰɤ5	
兑	tuei5	
免	miɛn2	
兒	ər2	
兔	tʰu5	
兜	təu1	
兢	tɕiŋ1	
入	vu5	
入	ʐu5	
内	nei5	
全	tɕʰyɛn2	
兩	liɑŋ2	
八	pa5	
公	kuŋ1	
六	liəu5	
共	kuŋ5	
兵	piŋ1	
其	tɕʰi2	
具	tɕy5	
典	tiɛn2	
兼	tɕiɛn1	
冀	tɕi5	
冉	ʐan2	
册	tsʰɤ5	
再	tsai5	
冒	mɔ5	
冗	ʐuŋ2	
冗	vəŋ2	
冠	kuan1	
冠	kuan5	
冤	yɛn1	
冥	miŋ2	
冬	tuŋ1	
冰	piŋ1	
冶	iᴇ2	
冷	ləŋ2	
凋	tiɔ1	
凍	tuŋ5	
凜	liŋ2	
凝	niŋ2	
凡	fan2	
凰	xuɑŋ5	
凱	kʰai2	
凳	təŋ5	
凹	va5	
出	tʂʰu5	
函	xan2	
刀	tɔ1	
刃	ʐəŋ5	
分	fəŋ1	
分	fəŋ5	
切	tɕʰiᴇ5	
刊	kʰan1	
刎	vəŋ2	
刑	ɕiŋ2	
列	liᴇ5	
初	tʂʰu1	
判	pʰan5	
别	piᴇ2	
刨	pʰɔ2	
利	li5	
删	ʂan1	
刮	kuɑ2	
到	tɔ5	
刷	ʂuɑ1	
刷	fa2	
券	tɕʰyɛn5	
刺	tsʰɿ5	
刻	kʰei1	
刻	kʰɤ5	
刴	tuɤ5	
剃	tʰi5	
則	tsɤ2	
削	ɕyᴇ5	
剋	kʰei1	
刹	sa5	
剔	tʰi5	
剖	pʰɤ5	
剛	kɑŋ1	
剜	van1	
剝	pɤ1	
剝	pɤ5	
剩	ʂəŋ5	
剪	tɕiɛn2	
剮	kuɑ2	
割	kɤ5	
創	tʂʰuɑŋ5	
剿	tɕiɔ2	
劃	xuɑ2	
劃	xuɑ5	
劇	tɕy5	
劈	pʰi5	
劉	liəu2	
劊	kʰuai5	
劊	kuei5	
劍	tɕiɛn5	
劐	xuɤ1	
劑	tɕi5	
力	li5	
功	kuŋ1	
加	tɕia1	
劣	lyᴇ5	
助	tʂu5	
努	nu2	
劫	tɕiᴇ2	
勁	tɕiŋ5	
勃	pɤ2	
勇	yŋ2	
勉	miɛn2	
勒	lei1	
勒	lɤ5	
動	tuŋ5	
勘	kʰan1	
務	vu5	
勞	lɔ2	
募	mu5	
勢	ʂʅ5	
勤	tɕʰiŋ2	
勳	ɕyŋ1	
勵	li5	
勸	tɕʰyɛn5	
勺	fɤ2	
匀	yŋ2	
勾	kəu1	
勿	vu5	
包	pɔ1	
匆	tsʰuŋ1	
匈	ɕyŋ1	
化	xuɑ5	
北	pei5	
匠	tɕiɑŋ5	
匡	kʰuɑŋ1	
匣	ɕia2	
匪	fei2	
匹	pʰi2	
匾	piɛn2	
匿	ni5	
區	tɕʰy1	
十	ʂʅ2	
千	tɕʰiɛn1	
升	ʂəŋ1	
午	vu2	
卉	xuei5	
半	pan5	
卒	tsu2	
卓	tʂuɤ2	
協	ɕiᴇ2	
南	nan2	
博	pɤ2	
卜	pu5	
占	tʂan5	
卡	kʰa2	
卡	tɕʰia2	
卦	kuɑ5	
卯	mɔ2	
印	iŋ5	
危	vei2	
卵	luan2	
卷	tɕyɛn2	
卸	ɕiᴇ5	
卻	tɕʰyᴇ5	
卿	tɕʰiŋ1	
厄	ŋɤ5	
厘	li2	
厚	xəu5	
原	yɛn2	
厭	iɛn5	
厲	li5	
去	tɕʰi5	
去	tɕʰy5	
參	tsʰan1	
參	tsʰəŋ1	
參	səŋ1	
又	iəu5	
友	iəu2	
反	fan2	
叔	fu1	
叔	ʂu1	
取	tɕʰy2	
受	ʂəu5	
叢	tsʰuŋ2	
口	kʰəu2	
古	ku2	
句	tɕy5	
另	liŋ5	
叨	tɔ1	
叩	kʰəu5	
只	tsɿ2	
叫	tɕiɔ5	
召	tʂɔ1	
叮	tiŋ1	
可	kʰɤ2	
台	tʰai2	
史	sɿ2	
右	iəu5	
叵	pʰɤ2	
司	sɿ1	
叼	tiɔ1	
吁	ɕy1	
各	kɤ5	
吆	iɔ1	
合	xɤ2	
吉	tɕi5	
吊	tiɔ5	
同	tʰuŋ2	
名	miŋ2	
吏	li5	
吐	tʰu2	
吐	tʰu5	
向	ɕiɑŋ5	
君	tɕyŋ1	
吝	liŋ5	
吞	tʰəŋ1	
吟	iŋ1	
吠	fei5	
否	fɤ2	
吩	fəŋ1	
含	xan2	
吳	vu2	
吵	tsʰɔ2	
吸	ɕi1	
吹	tʂʰuei1	
