#漢字	音標	解釋
□	yæ1	
□	ɛ2	
□	væ2	
□	tɕʰiɛ5	
□	syæ5	
□	tɕi3	fa423勺子~tɕi55篱:形容人生气摔东西
□	pa1	li33~:不熟悉，外行
□	tɕʰia5	tɕʰi13~:生育，抚养
□	tsʰɿ1	~磨:消磨时光睚
□	ma1	~牌:老年人玩一种细长的牌，宽大约是扑克的一半
□	fa1	~勺子tɕi33策篱:形容人生气摔东西
□	sa1	~住:用绳子捆住勒紧
□	ʂa1	~日怪:特别怪
□	mia1	~洋线:给铁丝塑形
□	tʂʰɤ1	~一耳光:甩耳光
□	kʰɤ1	~打:打，虐待
□	iɤ1	~眼:事情黄了
□	tsʰuɤ1	~乏:帮忙
□	uɤ1	~~:玉米面做的不发酵的馒头，状如小山，底有小洞
□	vɛ1	~nəŋ33:暗中打，虐待
□	niɛ1	~个:将就，凑合
□	tɕiɛ1	~狗窝:烧火做饭时候遇到烟气不上行，在烟囱下的狗窝点火，使局部气压降低以诱导烟气通过
□	tɕiɛ1	~刺:二愣子
□	tɕiɛ1	~mia刺:冷不防
□	ŋei1	~养:养育
□	lau1	~~:猪
□	tsʰau1	~菜:用铲子把菜从容器里铲出来。
□	səŋ1	~~菜:吃了感觉像吃了芥末一样的菜
□	tʂʰəŋ1	~调:帮助打理，教育
□	ɕiəŋ1	~fæ13:蹂躏，糟蹋
□	tɕi2	~磕:口吃
□	tɕʰi2	~tɕʰia33:生育
□	pu2	~拉:抚摸，拨开
□	mu2	~骚:一种扫过会使皮肤发痒的全省是毛的虫子
□	ɕya2	~巴:侧边
□	uɤ2	~□□tuɤ423tuɤ13:恰巧，果然
□	niɛ2	~~:服服帖帖
□	ɕiɛ2	~汤:煮过肉的水
□	tiæ2	~山:背山，形容过度劳累
□	tɕiæ2	~森:质量
□	xɯ2	~拉:呵斥
□	vai2	~不动:在嘴里嚼不动
□	tai2	~住:用手抓住
□	tʰai2	~调料:添加调料
□	pfʰei2	~□tsʰa33锅:锅没洗
□	sau2	~蚣:一种下雨天出现的虫子，状如蚱蜢
□	sau2	~肚:受潮产生的黑色虫子
□	sau2	~一眼:瞄一眼
□	xau2	~干:风吹是水分丢失
□	məu2	~丢:表惊奇的感叹词
□	təu2	~娃，人名
□	ləu2	~擞:倒腾
□	ʂəu2	~下不走:轴在这里不走
□	ŋəu2	~~:虫子
□	xəu2	~子:螳螂
□	tiəu2	~手:放手
□	niəu2	~过去:转过去
□	tɕi3	~脐窝:肚脐眼
□	ly3	~粪:把粪块打碎
□	pfʰa3	~嫌:责骂
□	ia3	~路人:陌生人
□	mɤ3	~圪pia:用浆糊把多层布料站在一起晾干，用来做鞋底抹
□	tɕiɛ3	~坡:塬上人下河滩走的路
□	pʰæ3	~用锄头锄草的动作
□	mæ3	~乎:随后
□	lei3	~条:扑克的一种玩法
□	sau3	~一个长袄:穿了比自己身材宽大的衣服
□	sau3	~叫:察觉
□	ni5	~子大:爱摆架子，爱计较
□	li5	~巴:外行，不熟练
□	vu5	~撵:占便宜
□	y5	~苹果:挑选苹果
□	pa5	~外:特别，尤其如:~外疼，~外多
□	tʂa5	~瓜:八成，不够数
□	ua5	~~:斜坡
□	xuɤ5	~哎:打哈欠
□	tʰiɛ5	~葫芦:状如猫耳朵的面食
□	tæ5	~嫌:责骂
□	tsæ5	~骂:指桑骂槐，不称名道姓
□	tsʰæ5	~一顿:打一顿
□	sæ5	~话:废话
□	æ5	~~:模拟哭泣的声音
□	iæ5	~条:用于燥边的布条
□	kuæ5	~牛:蜗牛
□	pʰei5	~香:很香
□	ɻei5	~针:把线穿到针眼里
□	kʰei5	~住:没钱也没吃的了
□	ɕiei5	~候:猫头鹰
□	tʰuei5	~:地窖院
□	luei5	~翁翁:衣着破旧且不整齐
□	xuei5	~怂:是非不分，不讲理
□	yei5	~肩:溜肩
□	tʂau5	~亲:迎客待客
□	ɻau5	~一眼:看一眼
□	xau5	~衔:偷偷地拿走少量东西
□	kəŋ5	~红:很红
□	fæ2	ɕiəŋ423~:蹂躏，槽蹋
□	tɕʰia2	“去吧”的合音
□	tɕiɛ2	“几个”的合音
□	pau2	“不要”的合音
□	piau2	“不要”的和音
□	tʂa3	“这搭”的和音
□	tʰuæ1	一种动物，形如狐狸，多肥肉
□	niau2	一个姿势保持时间长了的感觉
□	tsʰæ5	一种树
□	liəu5	一~:一细条
□	tʰia1	不~~:穿拖鞋走路的声音
□	nəŋ1	不精干
□	niæ3	不入~:占便宜
□	pu2	中缀，一般书里写作“不”,如:傻不拉几，憨不溜丢
□	vɛ1	伸进去，陷进去
□	tsæ1	低头或弯腰
□	tsʰəŋ1	俩人之间有矛盾
□	ʂæ2	倾斜:棚子的一个角~下来了
□	tia3	倾斜下去
□	nəu5	停留:快走不要~下;闲暇:这两天~着哩，没有活干
□	u3	兀木:那么
□	mu5	兀木:那么
□	ɕiei5	养~:宠溺
□	tiæ5	凹陷，缩小指甲盖~下去了;管不好把娃给~了
□	tuei1	利用重力向下压，使其瓷实
□	sa3	利~:动作整洁利落
□	tɕiæ5	利润:一斤能见十块钱
□	tɕiɛ1	动词:~你手机来:拿你手机过来
□	zai2	反复咀嚼
□	ŋəu3	发愁
□	tsæ1	取一点
□	ya5	吱~:哭声
□	ta1	哪~:哪里
□	pai3	在清水里涮衣物
□	lau1	圪~:用棍子探到内里来回搅动
□	tɕya2	圪~:缩在一起
□	pia3	圪~
□	təu3	圪~~:钩子
□	tu5	圪~:拳头
□	tʂa5	圪~:夹生菜
□	tɕiəu5	圪~:缩在一起
□	lei5	坡的边缘
□	tɕʰiei3	埋头
□	mɤ1	大~:粗疏不细致，也表示酒脱不拘小节
□	ma5	大~:大概
□	ɕyəŋ5	威逼
□	lya1	小孩学说话
□	pfai1	强卖，买家出于某种原因不得不买
□	ka3	形容拉风
□	xua3	形容迅速
□	liɤ2	往回买
□	tɕʰiɤ3	往前趔趄，也形容为生计奔走
□	nəu2	很聪明，很有能耐，多用于贬义
□	ŋəu1	心怀不悦地看一眼
□	pia1	快速掉落:头顶~下一块泥;不一会，~起大雨了
□	pia5	快速地跑
□	tɕy1	憋气，胸闷
□	tɕiei1	扎裤袋
□	təŋ2	打~:短暂停留
□	tsiau3	打~:交往
□	luɤ5	打人
□	lei5	打
□	pʰiau3	扔
