#漢字	音標	解釋
□	tsʰa3	(猪)吃(食)
□	kʰuo1	1用长棍抽打2截去旁枝
□	tɕiəu2	1拧:把衣服的水~千2拧歪了:裤子~了
□	tsɿ1	~牙:嚼到沙子
□	tsʰɿ1	~牙:嚼到沙子
□	xa1	~着腰
□	xa1	~嗓子:变质食物散发的气体刺激嗓子
□	lɛ1	~以:等于
□	liɛ1	~心:肠胃难受
□	ka2	~儿|鸡~儿:男童生殖器
□	kiɛ2	~子:黏状物结成的硬巴2~巴:锅巴
□	tɕyo2	~鱼:甲鱼
□	kəu2	~tsʰɿ:搔腋窝
□	tsʰɿ3	~劲:用力
□	pʰɛ3	~道:到处
□	miɛ3	~嘴
□	tʰuo3	~乏:偷懒
□	məi3	~妹儿:女儿
□	mau3	~儿:毽子
□	saŋ3	~使:斥责
□	tsɛ5	~子:小楔子
□	in5	~子:盖房子的圆木
□	san2	上下晃动:腿不要~
□	tɕʰyo1	不巧:~得很,我到的时候车刚走
□	mɛ2	不要:你~说
□	uɛ2	以棍状物的另一端为定点上下左右摇摆
□	in5	以手指试探鸡是否有蛋
□	tɕʰiau3	价钱便宜
□	xa1	伸开五指挠散,或用耙子往身边扒:~麦|~草
□	n̩3	你
□	y1	使长形物弯曲成需要的状态:~个鱼钩手
□	tʰəŋ3	倒掉:把盛菜~了
□	kʰuo5	借母羊下崽
□	təu5	做,干:不~
□	sau2	傻,傻子
□	tsau1	允许,同意:不~他去
□	tsan1	凡:~是他的
□	tsɛ1	刺激:药水~得眼睛疼
□	tɕin3	加水用小火慢煮以去除腥味
□	kuo5	动物生子
□	lau5	动词,毒:这药能~死人
□	pian3	卷起:~袖子
□	xuan1	发~子:中暑
□	təu5	吃:~饭
□	tau1	啄:小鸡~米
□	kʰaŋ3	因发霉而产生难闻的气体
□	tɕʰiau5	因心眼小而生气:爱~
□	kiɛ2	在:你~哪里?
□	kuɛ3	坏:好~都不吃
□	pəŋ3	夸奖:这个人依~
□	tsau5	好、行:不~
□	kaŋ5	小孩间打骂,也叫~祸
□	liɛ3	开:~着怀
□	ɕyan2	很:好得~
□	zəu5	性子慢
□	mən1	愚笨,不开窍
□	tsuɛ1	手残废
□	ɕyn5	打牌时手气好
□	pan3	扔、弃:把它~了
□	pʰan2	把东西从一处挪动到另一处
□	tsuaŋ3	把一些硬条壮物在平面上撞齐
□	suaŋ3	把条状物整理
□	uo1	折薄物使皱:本子~坏了|衣服弄~了
□	pʰiɛ3	折:~断。
□	miɛ3	折:~断。
□	tɕʰyɛ3	折:~断
□	zu3	拄,~拐杖
□	lau1	拉
□	lau5	拉
□	tsʰəu2	揉擦
□	tɕʰiɛ2	搬起来:石头太大,~不动
□	pu2	擀面皮时为防粘连而撒的干面
□	kiɛ5	擦拭:用袖子~嘴
□	ɕyɛ3	敞开:~着怀
□	kʰau5	敲掉:~掉你的牙
