#漢字	音標	解釋
一	e5	
七	tɕʰie7	
丈	tɕʰio3	
三	so1	
上	xo3	～山
上	xo5	～面
下	xa5	底～
下	xa5	～山
不	bɛ5	
丑	tɕʰiəu3	
世	ɕi5	
業	nie7	
東	duoŋ1	
絲	sɿ1	
丟	diəu5	
兩	lio3	
並	bin2	
中	tɕyoŋ1	当～
中	tɕiŋ3	射～
串	tsʰuei5	
丸	uei2	
爲	uei5	
主	tɕy3	
舉	tɕy3	
久	tɕiəu3	
義	ȵi2	
烏	u1	
乖	kai1	
九	tɕiəu3	
也	ia3	
習	ɕie7	
鄉	ɕio1	
書	ɕy1	
買	bai3	
亂	lo5	
了	liau3	
爭	tɕie1	
事	sɿ5	
虧	kʰuei1	
雲	yoŋ2	
五	ən3	
井	tsei3	
些	li2	
交	kau2	
畝	məu3	
享	xo3	
亭	tʰiŋ5	
亮	lio5	
親	tɕʰin1	～戚
親	tɕʰin5	～家
人	nin2	
仁	nin2	
仇	ɕiəu2	
今	tɕi1	
他	ie2	
仙	sei1	
代	dai5	
以	i3	
價	ka5	
份	faŋ5	
伍	ən3	
伏	fɛ5	
會	xuei5	～不～
傘	so3	
傷	ɕio1	
伯	ba5	
伴	bəu3	
伸	ɕin1	
伺	sɿ5	
位	uei5	
低	li1	
住	tɕʰy5	
體	tɕi3	
佛	fu5	
你	hŋ3	
侄	tɕʰie7	
依	i1	
側	tsɛ2	
便	bei2	～宜
便	bei2	方～
保	bau2	
信	ɕin5	
修	ɕiəu1	
倍	bai5	
倒	dəu3	
候	xau5	
倚	tɕʰi3	
借	tɕia5	
值	tɕie3	
假	ka3	真～
偏	pʰiaŋ1	～心
做	tsɛ5	
停	diŋ2	
偷	tʰau1	
傅	fu5	
催	tsʰuei1	
像	tɕio5	
僻	pʰie2	
元	uei2	
兄	xuei1	
先	sei1	
光	kəu3	
克	kʰɛ7	
兔	tʰu5	
入	iau5	
全	tsʰuei2	
八	bɛ7	
公	kuoŋ1	
六	lie5	
關	kue1	
興	ɕiŋ5	
兵	bin1	
養	io3	
再	tsai5	
寫	ɕia3	
軍	tɕyoŋ1	
農	luoŋ2	
冤	uei1	
冬	duoŋ1	
冰	bin1	
冲	tɕʰyoŋ1	
冷	lie3	
凍	duoŋ5	
淨	tsʰei5	
凉	lio2	
凉	lio5	
減	kɛ1	
湊	tsʰau5	
几	tɕʰi3	
凡	fie2	
凳	daŋ5	
凶	ɕyoŋ1	
出	tɕye7	
刀	dəu1	
刁	diəu1	
分	faŋ1	
切	tɕʰie7	
划	xua5	
劉	liəu3	
初	tsʰu1	
利	li5	
刮	kue7	
到	dəu5	
刷	ɕya7	
刺	tsɿ3	
刻	kʰɛ7	
剁	du3	
剃	tʰi5	
削	ɕio5	
前	tsʰei2	
剮	kua3	
剝	bau5	
剩	ɕiŋ5	
剪	tsei3	
副	fu5	
割	kɛ7	
力	lie5	
勸	kʰuei5	
功	kuoŋ1	
加	ka1	
助	tsʰu5	
努	nu3	
勞	lau2	
勺	ɕiəu5	
勾	kau1	
勻	yoŋ2	
包	bau1	
化	xua5	
北	bɛ7	
匙	ɕi2	
匠	tɕʰio5	
匹	pʰiɛ7	
匾	biaŋ3	
十	ɕie7	
千	tsʰei1	
升	ɕiŋ1	
午	ən3	
半	bəu5	
單	to1	
賣	bai5	
南	no2	
占	tɕʰie5	
卦	kua5	
印	in5	
卵	lo3	
历	lie7	～书
厲	li5	
壓	a7	
厭	ei5	
厚	xau3	
原	yuoŋ5	
廚	tɕʰy2	
去	xa5	
縣	xuei5	
又	iəu3	
叉	tsʰa1	
及	tɕʰie7	
友	iəu3	
雙	suoŋ1	
反	fiɛ3	
发	fɛ7	
叔	ɕye7	
取	dei5	
受	ɕiəu3	
變	bei5	
口	kʰau3	
古	ku3	
句	tɕy5	
另	liŋ5	
叩	kʰaŋ3	
只	tsɿ3	～有
只	tɕia5	
叫	au2	
可	kʰo1	
台	dʰai2	
右	iəu5	
葉	i5	
號	xəu5	
嘆	tʰo5	
各	kʰɛ	
合	xo5	
吉	tɕin5	
同	duoŋ2	
名	mei2	
后	xau2	
吐	tʰu5	
嚇	xa5	
吞	tʰaŋ1	
含	xaŋ2	
听	tʰei5	～见
吵	tsʰau3	
吹	tɕʰy1	
告	kəu5	
嘔	fie1	
周	tɕiəu1	
味	bi5	
呼	xu1	
命	mei5	
和	xu2	～气
咬	ɡau3	
咳	kɛ1	
哄	xuoŋ3	
響	ɕio3	
啞	a3	
哥	ku1	
哭	xue7	
脣	ɕyoŋ2	
唱	tɕʰio5	
商	ɕio1	～量
啜	ɕye7	喝的意思
喉	xau2	
喜	ɕi3	
噴	faŋ2	～水
噴	pʰaŋ5	～香
嗅	dau2	本字不明
嗽	sau5	
嘉	ka1	～禾
嘴	tɕy3	
噎	ie2	
器	tɕʰi5	
嚼	tɕʰiəu7	
四	sɿ5	
因	in1	
团	do2	
園	uei2	
圍	uei2	
國	kue7	
圖	du2	
圓	lo2	本字可能是圞
圈	kʰuai1	
土	tʰu3	
在	tsʰai3	
地	di5	
均	tɕyoŋ5	
壞	xuai5	
坐	tsʰu3	
塊	kuai5	
墳	faŋ2	
坡	paŋ3	
坦	tʰo3	
坪	bei2	
坯	bʰai1	
坳	au2	
墊	dei5	
垮	kʰua3	
埋	bai2	
城	tɕʰiŋ2	
基	tɕi1	
堂	tʰei2	不合方言对应关系
堆	duei1	
堵	du3	
塔	tʰɛ2	
塘	to2	
塞	tɕʰye7	
牆	tɕʰio2	
墟	ɕy1	
墨	mɛ5	
壁	pia5	
