#漢字	音標	解釋
□	iɛ2	一个的合音词
□	pɔo1	不要的合音词:~去
□	ʐɔo5	不仔细地看:~一眼
□	tsʰã1	乱叫、乱喊
□	ȵia1	人家的合音词
□	ȵia3	仰着头
□	pʰie3	侃、聊天或拿腔拿调地说话
□	ɕy1	凉了的食物再蒸
□	tʂʰua3	剥、扯:~玉米皮
□	ʐã1	动词，黏住
□	pia1	动词，贴
□	lya1	动词、用中指和食指捏住东西
□	tuei2	动词、扔
□	lyã2	动词、缝
□	pʰia3	动词，劈开
□	tsʌŋ5	劳累、疲惫
□	tɕʰia5	去呀的合音
□	ȵya1	叹词、表示坏事突然发生
□	tsʰɔo5	咸
□	tʰuã2	哄骗、~人
□	tɕʰyo5	哄、骗
□	pʰʌŋ1	坏了、出事了
□	ʐã2	形容词、黏的
□	tɕʰia5	抱着
□	pia5	拟声词，~叽
□	pʰia5	拟声词，~叽
□	tsəu3	撮、小把:一~头发
□	tʰia1	无时无刻:~~等着消息
□	nã5	泥泞
□	po1	燔，烙饼
□	mia1	猫叫
□	tsʰɛ1	用铁锹、簸箕等工具清除东西
□	tɕʰiẽ1	用铲子等工具清理东西
□	nɔo2	用肩膀扛:把包~在肩上
□	nã1	直接用口在器皿中吃
□	mɔo5	看、瞅
□	tʂɔo2	知道的合音词:~这件事
□	nəu3	磨蹭、磨叽:真~人
□	ʐuɛ1	紧握着
□	tsẽ3	紧挨着边的
□	tsʰã5	绳子散了
□	tsʰəu5	缩小:衣服~了
□	tɕʰyo3	被物体绊倒
□	nuo1	裤子过长拖在脚上
□	kʰuɛ1	走路时脚向外或内拐
□	ia2	遗、丢失
□	tɕʰye5	骂人
一	i2	
丁	tiəŋ1	
七	tɕʰi1	
万	uã5	
丈	tʂuo5	
丈	tʂʌŋ5	文，~夫
丈	tʂʰuo5	老~人
三	sã1	
上	ʂʌŋ5	文
上	ʂuo5	白
下	ɕia5	文
下	xa5	白
不	sɛ1	
与	y3	给~
丐	kɛ5	
丑	tʂʰəu3	
專	tʂuã1	
且	tɕʰie3	
丕	pʰi1	
世	ʂʅ5	
丘	tɕʰiəu1	
丙	piəŋ3	
業	ȵie5	
叢	tsʰuʌŋ2	
東	tuʌŋ1	
東	nʌŋ3	
絲	sɿ1	
丢	tiəu1	
兩	liəŋ3	
嚴	iã2	
喪	sʌŋ1	~礼
喪	sʌŋ5	~失
个	kɤ5	
丫	ia1	
中	tʂuʌŋ1	~间
中	tʂuʌŋ5	~奖
丰	fʌŋ1	
串	tʂʰuã5	
臨	liẽ2	
丸	uã2	
丹	tã1	
爲	uei5	~了
爲	uei2	作~
主	tʂu3	
麗	li5	
舉	tɕy3	
乃	nɛ3	
久	tɕiəu3	
義	i5	
之	tsɿ1	
烏	u1	
乎	xu1	
乏	fa2	
樂	lɤ5	文
樂	ye5	文
樂	luo5	白
樂	yo5	白
乒	pʰiəŋ1	
喬	tɕʰiɔo2	
乖	kuɛ1	
乘	tʂʰʌŋ2	
九	tɕiəu3	
乞	tɕʰi3	
也	ie3	文
也	ia3	白
習	ɕi2	
鄉	ɕiəŋ1	
書	ʂu1	
買	mɛ3	
亂	luã5	
乳	ʐu3	
乾	tɕʰiã2	
了	liɔo3	~解
爭	tsʌŋ1	
事	sɿ5	
二	ər5	
于	y2	
虧	kʰuei1	
云	yẽ2	
互	xu5	
五	u3	
井	tɕiəŋ3	文
井	tɕie3	白
亘	kẽ5	
亞	ia5	
些	ɕie1	文
些	ɕia1	白
亡	uʌŋ2	
交	tɕiɔo1	
亥	xɛ5	
產	tsʰã3	
亨	xʌŋ1	
享	ɕiəŋ3	
京	tɕiəŋ1	
亭	tʰiəŋ2	
亮	liəŋ5	
親	tɕʰiẽ1	~人
親	tɕʰiẽ5	~家
人	tɔo1	
人	ʐẽ2	
什	ʂʅ2	
仁	ʐẽ2	
仄	tsɤ5	
僅	tɕiẽ3	
仆	pʰu2	
仇	tʂʰəu2	
今	tɕiẽ1	
介	tɕiɛ5	
仍	ʐʌŋ2	
从	tsʰuʌŋ2	~容
倉	tsʰʌŋ1	
他	tʰa1	
仗	tʂʌŋ5	
付	fu5	
仙	ɕiã1	
儀	i1	
仰	iəŋ3	
仲	tʂuʌŋ5	
件	tɕʰiã5	
價	tɕia5	
任	ʐẽ2	
任	ʐẽ5	~务
份	fẽ5	
仿	fʌŋ3	
企	tɕʰi3	
伊	i1	
伍	u3	
伏	fu2	
伐	fa2	
休	ɕiəu1	
衆	tʂuʌŋ5	
優	iəu1	
伙	xuo3	
會	xuei5	
會	kʰuɛ5	~计
傘	sã3	
偉	uei3	
傳	tʂʰuã2	~说
傳	tʂuã5	~记
傷	ʂʌŋ1	
倫	luẽ2	
