#漢字	音標	解釋
一	i3	
丁	tin1	
七	tsʰi3	
万	vai6	
丈	dʑio3	单位
三	sa1	
上	dʑio3	上山
上	iaŋ2	上面
下	ha3	底下
下	ha3	下降
不	pu5	
專	tɕyan5	
世	sɿ5	
丘	kʰei1	
丙	pin3	
業	nie1	
東	toŋ1	
丢	pai	
兩	lio3	两个
兩	lio3	几两
嚴	nian2	
喪	sa1	婚丧
个	ko5	个人
中	toŋ1	当中
中	tsoŋ1	射中
丰	foŋ5	
串	kao	
臨	lin2	
丸	ve2	
主	tɕy3	
久	tɕiu3	
義	ni1	
烏	vu1	
樂	io2	音乐
乖	kya1	
乘	dʑin2	
乙	i2	
九	tɕiu3	
也	ia6	
習	ɕi2	
鄉	ɕio1	
書	ɕi1	
買	mia3	
亂	lo6	
爭	tai1	
事	sɿ6	
二	ni6	
虧	kʰuei1	
云	hoŋ2	
五	ŋ̍3	
井	tsie3	
亡	vaŋ2	
交	tɕiao1	
產	tsʰan3	
畝	mo3	
京	tɕin1	
亭	din2	
亮	io6	
親	tsʰin1	亲戚
親	tsʰin1	亲家
人	ŋ̍2	
億	i1	
仁	in2	
今	tɕie1	
从	tsʰoŋ2	跟从
倉	tsʰo1	
仗	tɕio5	
仙	sie1-	~女
仙	ɕian5=	~人掌
令	lin2	
仰	iaŋ3	
件	ta	
任	in2	责任
伏	fu2	
衆	tsoŋ1	
伙	ho3	
會	fei6	开会
會	vei2	会不会
傘	sa3	
傳	dʑyan2	传达
傷	ɕio1	
伯	pa3	
伴	bo3	
伸	tɕʰin1	
佃	tie6	
位	vei6	
住	tu6	
體	tʰi3	
佛	fu6	
作	tso2	工作
侄	dʑi2	
例	lie1	
偵	tɕin5	
側	tsʰɤ2	
侵	tsʰin5	
便	bie2	便宜
便	pie6	方便
俊	tsin1	
俗	su2	
保	pu3	
信	sin5	
修	siu1	
倍	pei6	
借	tsia5	
值	ti6	~钱
值	tɕi2	~班
假	tɕia3	真假
假	tɕia3	放假
做	tsu5	
停	din2	
健	dʑian2	
偷	tʰao1	
償	dʑio2	
傲	ŋao1	
像	sio3	
元	yan2	
兄	fai1-	弟~
兄	ɕioŋ5=	长~
充	tsʰoŋ5	
先	sie1	
光	ko1	
克	kʰɤ2	
兔	tʰu5	
黨	taŋ3	
全	dʑian2	
八	pia3	
公	koŋ1	
六	liu6	
蘭	lan2	
共	koŋ1	
關	kuai1	
興	ɕin5	兴旺
興	ɕin1	高兴
兵	pin1	
典	tie3	
養	io3	
寫	sia3	
軍	kyn5	
農	noŋ2	
冠	kuan1	冠军
冤	yan5	
冬	toŋ1	
馮	hoŋ2	
冰	pin5	
冲	tsʰoŋ5	
決	tɕye2	
况	kʰuaŋ1	
冷	lai3	
凍	taŋ5	
淨	tsin6	
準	kun3	
涼	liaŋ2	
凌	lin2	
減	kan3	
几	tɕi3	几个
鳳	hoŋ1	
