#漢字	音標	解釋
#簡稱	/	壯語
#全稱	/	壯語
#聲母	/	
#韻母	/	
#聲調	/	24 1 1a 陰平 ꜀,31 2 1b 陽平 ꜁,55 3 2a 陰上 ꜂,42 4 2b 陽上 ꜃,35 5 3a 陰去 ꜄,33 6 3b 陽去 ꜅,55 7a 4a 短陰入 ꜆,33 8 4b 陽入 ꜇,35 7b 4c 長陰入 ꜆
#版本	/	2022-02-09
#錄入人	/	林
#參考資料	/	＃Sawroeg＃
#說明	/	
一	it7	
丁	tiŋ1	
丁	tiŋ6	
七	ɕat7	
丈	ɕiːŋ6	
三	θaːm1	
上	θiːŋ6	
下	haː6	
下	jaː6	
不	pɯt7	
丑	ɕou7	
且	ɕiː7	
世	θei9	
世	θiː9	现世
丘	jau1	
丙	piŋ7	
並	piŋ6	
丫	aː1	
中	teŋ1	
中	ɕuŋ1	
中	ɕuŋ9	
串	ɕiːn9	
丸	jiːn2	
丸	juːn2	
丸	βiːn2	
丹	taːn1	
主	ɕaɯ7	
主	ɕou7	
主	ɕuː7	地主
么	iːu1	
乎	hoː2	
乒	piŋ1	
乓	paːŋ1	
乖	kʷaːi1	
乘	θiŋ2	
乘	θɯŋ2	
乙	iːt9	
九	kou7	
乞	haːt9	
也	jaː4	
乳	ȵaɯ7	
乾	kaːn1	
亂	luːn6	
了	leːu4	
了	leːu1	
了	liːu4	
予	jaɯ4	
事	θai6	
二	ŋei6	
于	jaɯ2	
云	βan2	
互	hoː6	
五	ŋuː4	
五	haː7	
井	ɕiŋ7	
些	θeː1	
亞	aː9	
亡	muːŋ2	
交	keːu1	
交	kʲaːu1	
亥	haːi6	
亦	jiːk8	
享	jiːŋ7	
京	kiŋ1	
亭	tiŋ2	
亮	liːŋ6	
人	ȵan2	
什	θip8	
仁	ȵan2	
仍	ȵiŋ2	
他	taː1	
仗	ɕiːŋ9	
仙	θiːn1	
代	taːi6	
令	liŋ6	
令	liŋ1	
以	ŋei4	
仰	ŋiːŋ4	
件	kiːn6	
任	ȵim6	
任	ȵam6	
任	jam6	
份	fan6	
企	hei7	
伊	iː1	
伍	ŋuː4	
伍	haː7	
伏	fuk8	
休	hiːu1	
伯	peːk9	
估	kuː7	
伴	puːn6	
伴	puːn4	
伶	liŋ2	
伸	θan1	
似	ɕei4	
但	taːn6	
佈	pou9	
位	βiː6	
佑	jou6	
佔	ɕiːm9	
何	hoː2	
余	jaɯ2	
佛	pat8	
佛	huːt9	
你	niː6	
佩	poːi9	
佯	jiːŋ2	
使	θaɯ7	
來	laːi2	
例	lai6	
侍	θai6	
供	kuŋ1	
供	kuŋ9	
依	iː1	
依	ei1	
侮	fou4	
侵	ɕam1	
侵	ɕiːm9	
便	piːn2	
便	piːn6	
促	ɕuk7	
促	ɕuː2	
俗	θuk8	
保	paːu7	
俞	jaɯ2	
信	θan9	
修	θou1	
俯	fɯː9	
俸	fuŋ7	
倉	ɕaːŋ1	
倍	poːi4	
倒	taːu7	
倒	taːu9	
倘	taːŋ7	
候	hau6	
