#漢字	音標	解釋
□	tʃʰua1	副词,形容速度快。
□	cʰia1	动词,抱。例如:~起来
□	tʃuaŋ3	动词,整理。例如:~书
□	tʃʰai6	动词,插
□	tʰian6	动词,将东西硬塞进去。例如:~进去
□	cʰia3	夹在一个狭小的空间里不能动。例如:~住了
□	liau1	扔。例如:把东西~喽
□	tuei3	把某物硬塞进去,堵住
□	pia3	拟声词,形容东西掉落在地上的声音。
□	pʰia3	拟声词,指打巴掌的声音。
□	pei2	指地方偏远。例如:这里真~
□	kən5	挨着,靠近。例如:~边的走
□	pan3	摔。例如:这个小孩~倒了
□	lyɛ3	滚走。例如:球圪~了。
□	pʰian3	炫耀。例如:他在~他的成绩
□	pʰai3	瘫坐在某地。例如:在沙发上~的
□	tʃʰən3	米、面等粮食里面的小石头
一	iəʔ7	
丁	tiŋ1	
七	tɕʰiəʔ7	
万	uan6	
丈	tʃaŋ6	
三	san1	
上	ʃaŋ6	~山
上	ʃaŋ6	~面
下	çia6=	~降
下	ɕiʌʔ7-	底~
不	pəʔ7	
与	y2	及,給~
丐	kai5	乞~
丑	tʃʰɤu3	
專	tʃuan1	
且	tɕʰiɛ3	
丕	pʰei1	
世	ɕi5	
丘	cʰiɤu1	
丙	piŋ3	
業	iʌʔ7	
叢	tsuŋ1-	
叢	tsʰuŋ2=	~林
東	tuŋ1	
絲	sɿ1	
丞	tʃʰəŋ3	
丢	tiɤu1	
兩	liaŋ3	~個
兩	liaŋ1	幾~幾錢
嚴	ian2	
喪	saŋ1	喪~
喪	saŋ1	婚~
个	kʌʔ8	~人,一~
丫	ia1	~頭
中	tʃuŋ5	射~
中	tʃuŋ1	當~
丰	fəŋ1	
串	tʃʰuan5	
臨	lĩ2	
丸	uan2	肉~,彈~
丹	tan1	
爲	uei6	~什麽
爲	uei6	作~
主	tʃu3	
麗	li6	美~
舉	cy3	
乃	nai6	
久	ciɤu3	
麽	iau1	~二三
義	i6	
之	tʃəʔ7	
烏	u1	
乍	tʃa5	
乎	xu1	
乏	fʌʔ8	
樂	luʌʔ7	
樂	yʌʔ7	音~
喬	cʰiau2	
乖	kuai1	
乘	tʃʰəŋ2	
乙	i3	
九	ciɤu3	
乞	cʰiəʔ7	
也	iɛ3	者~,~是
習	ɕiəʔ7	
鄉	çiaŋ1	
書	ʃu1	
買	mai3	
亂	luan6	
乳	lu3	
乾	cʰian2	~坤
了	liau3	~結
爭	tʃəŋ1	
事	ʃʅ6	
二	lə6	
于	y2	
虧	kʰuei1	
云	yn2	
互	xu1	
五	u3	
井	tɕiŋ3	
亞	ia3	
些	ɕiɛ6	
亡	uaŋ6	
交	ciau1	
亥	xai6	
亦	i6	
產	tʃʰan3	
亨	xəŋ1	
畝	mu3	
享	çiaŋ2	
