#漢字	音標	解釋
□	tsa1	
□	xa1	
□	ŋõ1	
□	ɕyẽ1	
□	lən1	
□	kʰa2	
□	kʰo2	
□	xuæ2	
□	tʰõ2	
□	ɕiẽ2	
□	tsʰɑn2	
□	sən2	
□	tsʰɿ3	
□	sa3	
□	pʰo3	
□	lou3	
□	kʰõ3	
□	uõ3	
□	tø̃3	
□	tʰəŋ3	
□	səŋ3	
□	u4	
□	ȵia4	
□	so4	
□	xo4	
□	tø4	
□	tsæ4	
□	sɑu4	
□	tø̃4	
□	xa5	
□	uo5	
□	piø5	
□	tɕʰiø5	
□	sɑu5	
□	tsʰɑn5	
□	fu6	
□	lou6	
□	fei7	
□	tsei7	
□	lɑu8	
□	lɑu9	
□	lẽ1	~子:钱
□	mẽ5	~饱:非常饱
□	tʰio6	~
□	min6	~甜:很甜
□	tʰən2	一种家禽
□	yən3	一种小虫:~子
□	məŋ6	一点点:我自家只有一~
□	tɕiø3	不正经:~皮日舞
□	læ3	乱动:你莫在床上~
□	tɕin3	任凭:~渠去
□	kø3	伸长脖子望，踮着身子取物:东西太高了，~不倒
□	mən4	低头，弯腰:把头~下来
□	xuei6	全收:渠把桌子里个钱一把~了
□	tɕʰiu6	凑上前去;套近乎
□	pəŋ3	凸起:这路~起来了
□	kuø̃4	化脓:刀伤~了
□	ya6	呕吐:臭得打~
□	ye1	哄，安慰孩子
□	kʰua6	嘴一开一合
□	se1	嘻嘻哈哈:哪个跟你~啦
□	kuæ3	坏:这个孩子真~
□	ɕiəŋ5	块头比别人高大:你比渠长得~
□	pa3	大便
□	so6	小气:个人~真~
□	e1	应答声
□	yẽ1	弯曲:人一~倒，伸不直
□	pia3	形容词词缀:这菜~淡咯
□	mie3	扭:手~断了
□	ɕiəŋ5	拿，举:~不动
□	lø1	挖:用手~鼻孔
□	lø1	掏:~钱
□	te6	搬:~个凳子来坐
□	ta6	摔:
□	tən3	摞、沓:桌子上面有两~钱
□	ua1	播种:~油菜
□	kʰəŋ3	擤鼻涕:~鼻涕
□	tsɿ1	擦掉:用抹布~干净
□	lẽ1	擦，搓:把龌龊~了渠
□	tən4	放置:我把东西~好再走
□	tso6	放:~盐油
□	mən5	有心事但不说出，内向:渠不爱说话，总一~倒
□	min6	有滋有味地吃:我一个人慢慢~
□	so4	歪，斜:~嘴子
□	tsʰəŋ3	气味刺激性大:味道~人
□	tʰø3	清洗:把衣裳~下子
□	uən4	溺水:塘里~死个人
□	uo6	烫:~手
□	məŋ1	生~:发霉
□	lo4	用甜言蜜语哄骗
□	xu6	用手或棍棒打人:一棍子~死你
□	ɕya6	用竹条打人涮,~洗
□	təŋ6	用脚使劲踩，跺脚
□	xuən3	痴、傻
□	pʰø̃2	盘弄:~泥巴
□	uən4	瞪:渠发脾气个时候总是~倒我
□	ma4	紧绷:这件衣裳太小，~得我不舒服
□	tia3	给人东西时的提示语:~，你拕去
□	liø5	缝:衣裳破个洞，赶早~倒
□	kʰuan3	聊天:懒得跟你~
□	pəŋ1	蚊蝇叮着食物;人围着
□	ma1	覆盖，包:给沙发~一层皮
□	pʰəŋ1	语缀，非常:~臭
□	tɕʰy3	说话冲:这个人说话~死人
□	pʰia3	象声词，枪声
□	sõ3	责骂，数落
□	tɕiu6	赤子阴
□	tən1	踢:用脚~你
□	tso6	踩:菜地把牛~烂了
□	ȵio6	轻轻扫一下:把渣子~下子
□	tsø1	防备:你给我~倒
□	ɕiu1	雌性动物的生殖器
□	tən3	颠簸:这路真~人
□	tse3	骄傲:你不要太~
□	təŋ6	骗:莫听渠~你
䘆	ɕiən3	和~:蚯蚓
䞀	xø2	爱贪多:渠管么东西一~倒
一	lən1	
一	i6	
丁	tin1	
丁	tɕin1=	
七	tsʰei7	
万	uan5	
丈	tsʰõ5	
三	sɑn1	
上	sõ5	~山
下	ko6	
下	ɕia5=	~面
下	xa5	玩一~子
不	pu6	
不	tʰio6	
与	y3	
丐	kæ4	
丑	tsʰou3	
專	tɕyẽ1	
且	tɕʰie3	
丕	pʰei2	
世	sɿ4	
丘	tɕʰiu1	
丘	tʰiou1	一~田
丙	pin3	
業	ȵie6	
叢	tsʰəŋ2	
東	təŋ1	
東	lou3	
東	piø5	
絲	sɿ1	
丞	tsʰən2	
丢	tɕiu1	
丢	ɕyẽ1	
兩	ȵiõ3	~个
嚴	ȵiẽ2	
喪	sõ1	
喪	sõ4	~失
个	kʰa2	
个	sən2	
个	ko4	~人
丫	ia1	
中	tsəŋ1	~间
中	tsəŋ4	~奖
丰	fəŋ1	
串	tɕʰyẽ4	
臨	lin2	
丸	uan2	
丹	tɑn1	
爲	uei5	~什么
爲	uei2	作~
主	tɕy3	
丽	lei6	
舉	tɕy3	
乃	læ3	
久	tiou3	
義	ȵi5	
之	tsɿ1	
烏	u1	
乍	tsa4	
乎	xu1	
乏	fa6	
樂	lo6	~乐
樂	io6	音~
喬	tʰiø2-	
喬	tɕʰiø2=	
乖	kuæ1	
乘	tsʰən2	
乙	i6	
九	tiou3	
乞	tɕʰi3	
也	ia3-	
習	sei6	
鄉	ɕiõ1	
書	ɕy1	
買	mæ3	
亂	lø̃5	
乳	y3	
乾	tɕʰiẽ2	坤
了	ta6	
了	liø3	~结
爭	tsm1-	
爭	tsẽ1	
事	sɿ5	
二	zɿ5	
于	y2	
虧	kʰuei1	
雲	yən2	
互	xu5	
五	u3	
井	tɕiã3-	
井	tɕin3	
亘	kẽ3	
亞	ia4	
些	sei7	
亡	uõ2	
交	tiɑu1-	
交	tsʰo6	
交	tɕiɑu1=	
亥	xæ5	
產	tsʰɑn3	
畝	mø3	
享	ɕiõ3	
京	tiən1	
亭	tʰin2	
亭	tɕʰin2=	
亮	ȵiõ5	
親	tɕʰin1=	
親	tɕʰin4	~家
嚲	tʰo3	垂落:雨布往下一~倒
人	zən2	
人	xo4	
人	tø̃4	骂人
億	i4	
仁	zən2	
仆	pʰu2	
仇	tsʰou2	
仇	tʰiou2	姓
今	tiən1	
介	kæ4	
仍	ɕyẽ1	
仍	zən2	
从	tsʰəŋ2	
从	kʰõ4	
仑	lən2	
倉	tsʰõ1	
仕	sɿ4	
仕	sɿ5	
他	tʰa1	
仗	tsõ4	
付	fu4	
仙	ɕiẽ1	
代	tʰæ5	
令	lin5	
以	i3	
儀	ȵi2-	
儀	i2-	
們	mən2	
仰	ȵiõ3	
仰	iõ3	
件	tʰiẽ5=	
件	tɕʰiẽ5=	
價	tia4	
任	zən2	姓~
任	zən5	责~
份	fən5	
仿	fõ3	模~
企	tɕʰi3	
伊	i1	
伍	u3	
伎	tɕʰi5	
伐	fa6	
休	ɕiu1	
衆	tsəŋ4	
優	iou1	
伙	xo3	
會	kʰuæ4	~计
會	xuei5	开~
傘	sɑn3	
偉	uei3	
傳	tɕʰyẽ5	~记
