#漢字	音標	解釋
一	i2	
丁	tiẽ1	
七	tɕʰi2	
丈	tʂã5	
三	sã1	
上	ʂã5	
下	xa5	
下	ɕia5	
不	pu2	
丑	tʂʰəu	
丕	pʰei	
世	ʂʅ5	
丘	tɕʰiəu1	
丢	tiəu1	
中	tʂoŋ1	
丸	uã2	
主	tʂu5	
主	tʂu	
乃	næ	
之	tʂʅ1	
乎	xu1	
乘	tʂʰæ̃2	
九	tɕiəu	
乞	tɕʰi2	
也	ie	
亂	luã5	
了	liau	
爭	tsæ̃1	
事	sɿ5	
二	e5	
于	vi2	
五	u	
些	se1	
亥	xæ5	
亦	i2	
亨	xæ̃1	
京	tɕiẽ1	
亮	liã5	
人	ʐæ̃2	
今	tɕiẽ1	
介	kæ5	
仍	ʐæ̃2	
他	tʰa1	
仙	siẽ1	
代	tæ5	
令	liẽ5	
以	i	
仰	ȵiã	
件	tɕiẽ5	
伐	fa2	
休	ɕiəu1	
伯	pe2	
伴	pã5	
伺	tsʰɿ5	
似	sɿ5	
佈	pu5	
位	uei5	
低	ti1	
住	tʂu5	
佐	tso5	
何	xo2	
作	tso2	
你	ȵi	
佩	pʰei5	
佳	tɕia1	
侄	tʂʅ2	
來	læ2	
例	li5	
供	koŋ1	
供	koŋ5	
侯	xəu2	
侵	tsiẽ1	
促	tsʰu2	
保	pau	
信	ɕiẽ5	
信	siẽ5	
倉	tsʰã1	
個	ko5	
倍	pei5	
倒	tau	
候	xəu5	
倦	tɕyẽ5	
倫	luæ̃2	
值	tʂʅ2	
假	tɕia5	
假	tɕia	
偕	kæ1	
做	tso5	
健	tɕiẽ5	
側	tsʰe2	
偵	tʂæ̃1	
偶	əu	
偷	tʰəu1	
傑	tɕie2	
債	tʂæ5	
傾	tɕʰiẽ	
像	ɕiã5	
僕	pʰu2	
僧	sæ̃1	
僻	pʰi2	
儒	ʐu5	
允	viẽ	
元	viẽ2	
兄	ɕioŋ1	
充	tʂʰoŋ1	
先	siẽ1	
光	kuã1	
兑	tuei5	
兒	e2	
入	ʐu2	
全	tɕʰyẽ2	
兩	liã	
八	pa2	
公	koŋ1	
六	lu2	
兮	ɕi1	
共	koŋ5	
兵	piẽ1	
其	tɕʰi2	
典	tiẽ	
兹	tsɿ1	
内	nuei5	
再	tsæ5	
冬	toŋ1	
冰	piẽ1	
况	kʰuã5	
冷	læ̃	
減	tɕiẽ	
凝	liẽ2	
凡	fã2	
凳	tæ̃5	
出	tʂʰu2	
分	fæ̃1	
切	tɕʰie2	
列	le2	
初	tsʰu1	
删	ʂã1	
判	pʰã5	
别	pe2	
刮	kua2	
到	tau5	
刷	ʂua2	
刺	tsʰɿ5	
刻	kʰe2	
則	tse2	
削	ɕio2	
剛	kã1	
剝	po2	
剩	ʂæ̃5	
剪	tsiẽ	
割	ko2	
力	li2	
劣	le2	
助	tsu5	
勁	tɕiẽ5	
勃	pʰu2	
勒	le2	
動	toŋ5	
務	vu5	
勳	ɕyẽ1	
化	xua5	
北	pe2	
匣	ɕia2	
匹	pʰi1	
十	ʂʅ2	
千	tsʰiẽ1	
半	pã5	
卑	pei1	
卒	tsu2	
協	ɕie2	
南	nã2	
卜	pʰu2	
臥	o5	
危	uei2	
即	tɕi2	
卻	tɕʰio2	
卷	tɕyẽ2	
厄	e2	
厚	xəu5	
厭	iẽ5	
去	tɕʰyi5	
去	kʰi5	
又	iəu5	
友	iəu	
反	fã	
叛	pʰã5	
口	kʰəu	
古	ku	
句	tɕyi5	
只	tʂʅ	
叫	tɕiau5	
吃	tʂʰʅ2	
各	ko2	
合	xo2	
吉	tɕi2	
吊	tiau5	
同	tʰoŋ2	
名	miẽ2	
呂	li	
君	tɕyẽ1	
吞	tʰuæ̃1	
否	fəu	
含	xã2	
吸	ɕi2	
吹	tʂʰuei1	
吾	u2	
告	kau5	
周	tʂəu1	
呼	xu1	
命	miẽ5	
和	xo2	
咬	iau	
哀	æ1	
品	pʰiẽ	
哥	ko1	
哪	na	
哭	kʰu2	
唐	tʰã2	
唱	tʂʰã5	
商	ʂã1	
問	væ̃5	
善	ʂã5	
喜	ɕi	
喝	xo1	
喧	ɕyẽ1	
喬	tɕʰiau2	
單	tã1	
嗟	tɕia1	
嘴	tsuei	
噎	ie2	
器	tɕʰi5	
嚴	iẽ2	
嚷	ʐã	
嚼	tɕio2	
囂	ɕiau1	
囚	tɕʰiəu2	
四	sɿ5	
回	xuei2	
因	iẽ1	
國	kue2	
圍	uei2	
圓	viẽ2	
圖	tʰu2	
團	viẽ2	
團	tʰuã2	
在	tsæ5	
地	ti5	
均	tɕyẽ1	
坐	tso5	
坑	kʰæ̃1	
坡	pʰo1	
坤	kʰuæ̃1	
