#漢字	音標	解釋
□	in5	(火)熄灭
□	diɔ6	(俗字“土窕”)一~田(合25亩)
□	toʔ7	(量词)一~痰
□	nã4	
□	tsɿ1	~跟头(翻跟头)
□	ɕiɑ1	~tsɑ1(聪明)
□	hɔ1	~人(有哈喇味)
□	soŋ1	~拳头(冷不防拳击人)
□	nɑ̃4	~进~出:事情出人的幅度大
□	tsʰɿ5	~鼻涕:擤鼻涕
□	ho5	~吃吃(胳肢)
□	pɔ5	~芽(萌芽)
□	ɔ5	~磨(推磨时往磨心里加添粮食)
□	sən5	~酒(吃小菜下酒)
□	kuən5	~脓(溃脓)
□	ŋɑ6	~食(小儿馋食)
□	zɛ6	~是(如果)
□	dzæ6	~𧉀(蟋螅)
□	ɦuã6	~扯(马虎)
□	əʔ7	~粪(下基肥)
□	uəʔ7	~气(手脚扭伤)
□	ɦuəʔ8	~狲(猴子)
□	ȵyoʔ8	~子(皮棉)
□	tsɑ1	ɕiɑ1~(聪明)
□	ɕiɤm5	“锡酒”的合音,~壶:烫酒壶
□	zɛ6	“实在”合音,~伤心;难过来(真是非常难过)
□	hã5	一般较长时间的稳定天气:好~;长~雨
□	hã5	一~雨(一场透雨)
□	ɦin4	万年青
□	huən5	下雷雨前天气闷热
□	ɔ5	不要(勿、别、莫、甭):~要
□	tʰiɔ3	使人得到好处:~你发财
□	dʑiã2	便宜
□	təʔ7	借(钱)
□	ɦuaʔ8	倾倒;~水
□	dɤm2	内心矛盾激烈:他~不出自我这个圈圈
□	tʰɤm3	出风头:显摆
□	ɑ5	划开:~豆腐
□	tʰin5	剩下
□	dzã6	剩:~饭
□	hɑ1	割
□	səʔ7	包好、捆好或箍好的东西散开
□	ɡuaʔ8	卡:~勒洞哩
□	kʰaʔ7	压
□	ŋɑʔ8	反复摇晃某物使松动
□	lən6	口吃
□	ɑ1	吃不下硬是吃
□	toʔ7	咬舌儿:~子
□	zɑ4	哆嗦
□	ŋɑ2	啃
□	hɦɛ2	喊
□	bu4	坍塌下来
□	dzən2	埯:~寒豆,即种蚕豆
□	dzɑ6	大小便的动作:~尿(撒尿)
□	ŋu6	天色转阴
□	uæ3	央人从中说合某事
□	tsʰoŋ5	头低下
□	ŋɔ6	头昂起
□	ʑie6	头~过来(头扭过来)
□	kæ1	夹
□	tʰø5	将套在或装在一起的东西卸下或拆开
□	laʔ8	将某物隔开
□	ʑiɤm4	小孩动个不停
□	tsʰoŋ5	扒窃
□	hie3	打花~(呵欠)
□	toʔ7	扔
□	yø1	折叠
□	bɑ2	拉、拽
□	laʔ8	拦截
□	tiɔ3	拽抓:~牢夷袖子
□	tæ1	拿
□	næ1	拿叫人把物拿去:~了去
□	nɔ2	拿
□	ɔ3	挎(挂在胳臂上)
□	dən6	挖苦
□	ɡɑ6	挤入:~进去
□	liɔ4	挥霍(家财):~光
□	tɕʰiɔ1	挽(袖子、裤腿管)
□	tsʰæ1	推
□	lɤm4	搅拌;~事:多事;从中煽风点火,扩大事态
□	ȵyoʔ8	搋
□	ɡuæ6	搭(把柔软之物放在可支架之物上)
□	tʰø5	摘(将戴着或挂着的东西取下)
□	kuɑ̃5	摸
