#漢字	音標	解釋
□	luŋ2	(扭曲)车圈~了
□	tʂʰou2	1洗
□	tsʰou2	2洗
□	lai1	~歹(不好)
□	kɑ5	~啾(晃动)
□	y5	不~你(比不上你)
□	suən2	丑
□	ʂuən2	丑
□	kuɑŋ3	打架
㓦	pai1	~划
㘃	iɤ1-	瞎~~
㘃	ʐɤ1=	瞎~~
㞎	pɑ3	~~(屎)
㞞	suŋ2	~蛋包
擓	kʰuai3	~痒痒，~水
㨃	tuei3	(捣)
䍉	tsai3	~儿
䝼	tɕʰiŋ2	~好儿
一	i1	
丁	tiŋ1	
七	tɕʰi1	
万	van5	
丈	tʂɑŋ5	1
丈	tsɑŋ5	2
三	san1	
上	ʂɑŋ5	1
上	sɑŋ5	2
下	ɕiɑ5	
不	pu5	
与	y5	参~
与	y3	给~
丐	kai5	
丑	tʂʰou3	
專	tʂuan1	1
專	tsuan1	2
且	tɕʰie3	
丕	pʰei1	
世	ʂʅ5	
丘	tɕʰiou1	
丙	piŋ3	
業	ie5	
叢	tsʰuŋ2	
東	tuŋ1	
絲	sɿ1	
丞	tʂʰəŋ2	1
丞	tsʰəŋ2	2
丢	tiou1	
兩	liɑŋ3	
嚴	ian2	
喪	sɑŋ5	~失
喪	sɑŋ1	婚~
个	kɤ5	
丫	iɑ1	
中	tsuŋ1	
中	tsuŋ5	
丰	fəŋ1	
串	tʂʰuan5	1
串	tsʰuan5	2
臨	lin2	
丸	van2	
丹	tan1	
爲	vei5	~了
爲	vei2	作~
主	tʂu3	1
主	tsu3	2
麗	li5	
舉	tɕy3	
乃	nai3	
久	tɕiou3	
麽	mɤ0	
義	i5	
之	tsɿ1	
烏	u1	
乍	tsɑ5	
乎	xu1	
乏	fɑ2	
樂	lɤ5	
樂	уе5	音~
喬	tɕʰiɑu2	
乖	kuai1	
乘	tʂʰəŋ2	1
乘	tsʰəŋ2	2
乙	i3	
九	tɕiou3	
乞	tɕʰi3	
也	ie3	
習	ɕi2	
鄉	ɕiɑŋ1	
書	ʂu1	1
書	su1	2
買	mai3	
亂	lan5-	
亂	luan5=	
乳	iu3-	
乳	ʐu3=	
乾	tɕʰian2	
了	liɑu3	~结
爭	tsəŋ1	
事	sɿ5	
二	əг5	
于	y2	
虧	kʰuei1	
云	yn2	
互	xu5	
五	u3	
井	tɕiŋ3	
亞	iɑ3	
些	ɕie1	
亡	vɑŋ2	
交	tɕiɑu1	
亥	xai5	
亦	i5	
產	tsʰan3	
亨	xəŋ1	
畝	mu3	
享	ɕiɑŋ3	
京	tɕiŋ1	
亭	tʰiŋ2	
亮	liɑŋ5	
親	tɕʰin1	
親	tɕʰiŋ5	~家
人	in2-	
人	ʐən2=	
億	i5	
仁	in2-	
仁	ʐən2=	
僅	tɕin3	
仆	pʰu2	
仇	tʂʰou2	
仇	tsʰou2	2
今	tɕin1	
介	tɕie5	
仍	iŋ2-	
仍	ʐəŋ2=	
从	tsʰuŋ2	
仑	luən2	
倉	tsʰɑŋ1	
仕	sɿ5	
他	tʰɑ1	
仗	tʂɑŋ5	1
仗	tsɑŋ5	2
付	fu5	
仙	ɕian1	
代	tai5	
令	liŋ5	
以	i3	
仨	sɑ1	
們	mən0	
仰	iɑŋ3	
仲	tsuŋ5	
件	tɕian5	
價	tɕiɑ5	
任	in5-	
任	ʐən5=	
份	fən5	
仿	fɑŋ3	
企	tɕʰi3	
伊	i1	
伍	u3	
伏	fu2	
伐	fɑ2	
休	ɕiou1	
衆	tsuŋ5	
優	iou1	
伙	xuo3	
會	xuei5	
會	kʰuai5	~计
傘	san3	
偉	vei3	
傳	tʂʰuan2	1
傳	tʂuan5	1~记
傳	tsʰuan2	2
傳	tsuan5	2
伢	iɑ2	
傷	ʂɑŋ1	1
傷	sɑŋ1	2
倫	luən2	
僞	vei3	
伯	pai1-	~~
伯	pо2=	~父
估	ku1	
估	ku5	~衣
伴	pan5	
伶	liŋ2	
伸	ʂən1	1
伸	sən1	2
似	sɿ5	
佃	tian5	
但	tan5	
佈	pu5	
位	vei5	
低	ti1	
住	tʂu5	1
住	tsu5	2
佑	iou5	
體	tʰi3	
何	xɤ2	
余	y2	
佛	fо2	
佛	fu5	
作	tsuo1	~坊
作	tsuo5	工~
你	ni3	
佣	ʐuŋ5-	
佣	yŋ5=	
佩	pʰei5	
佰	pai3	
佳	tɕiɑ1	
使	sɿ3	
侄	tʂʅ2	
侈	tʂʰʅ3	
侉	kʰuɑ3	
例	li5	
侍	sɿ5	
供	kuŋ1	~给
供	kuŋ5	~养
依	i1	
俠	ɕiɑ2	
僥	tɕiɑu3	~幸
偵	tʂən1	1
偵	tsən1	2
側	tsʰɤ5	
側	tsai1	~歪
僑	tɕʰiɑu2	
儈	kʰuai5	
侮	u3	
侯	xou2	
侵	tɕʰin1	
便	pʰian2	~宜
便	pian5	方~
俄	nɤ1	
俊	tsuən5-	
俊	tɕyn5=	
俏	tɕʰiɑu5	
俗	su2=	
俗	ɕy2-	嫌~，总吃一样，都吃~了
俘	fu2	
保	рɑu3	
俟	sɿ5	
信	ɕin5	
儼	ian3	
倆	liɑ3	
儉	tɕian3	
修	ɕiou1	
俯	fu3	
俱	tɕy5	
俺	nan3	
倍	pei5	
倒	tɑu3	~塌
倒	tɑu5	~水
倔	tɕуе5	
倘	tʰɑŋ3	
候	xou5	
倚	i3	
借	tɕie5	
倡	tʂʰɑŋ5	1
倡	tsʰɑŋ5	2
倦	tɕyan5	
倪	ni2	
倭	uo1	
債	tsai5	
值	tʂʅ2	
傾	tɕʰiŋ3	
假	tɕiɑ5	放~
假	tɕiɑ3	真~
偏	pʰian1	
做	tsou5-	
做	tsuo5=	
停	tʰiŋ2	
健	tɕian5	
偶	nou3	
偷	tʰou1	
償	tʂʰɑŋ2	1
償	tsʰɑŋ2	
傀	kʰuei3	~儡
傅	fu5	
傍	pɑŋ5	
儐	pin1	
儲	tʂʰu2	1
儲	tsʰu2	2
催	tsʰuei1	
傲	nɑu5	
傻	ʂɑ3	1
傻	sɑ3	2
像	ɕiɑŋ5	
僚	liɑu2	
僧	səŋ1	
僵	tɕiɑŋ1	
儒	ʐu2	
儡	lei2	傀~
兒	əг2	
允	yn3	
元	yan2	
兄	ɕyŋ1	
充	tsʰuŋ1	
兆	tʂɑu5	1
兆	tsɑu5	2
先	tɕʰian1-	
先	ɕian1=	
光	kuɑŋ1	
克	kʰɤ5	
免	mian3	
兑	tuei5	
兔	tʰu5	
兗	ian3	
黨	tɑŋ3	
兜	tou1	
入	iu5-	
入	ʐu5=	
全	tɕʰyan2	
八	pɑ1	
公	kuŋ1	
六	liou5	
兮	ɕi1	
蘭	lan2	
共	kuŋ5	
關	kuan1	
興	ɕiŋ1	~旺
興	ɕiŋ5	高~
兵	piŋ1	
其	tɕʰi2	
具	tɕy5	
典	tian3	
兹	tsɿ1	
養	iɑŋ3	
兼	tɕian1	
獸	ʂou5	1
獸	sou5	2
冀	tɕi5	
内	nei5	
岡	kɑŋ1	
冉	ian3-	
冉	ʐan3=	
册	tsʰɤ5	
再	tai5-	
再	tsai5=	
冒	mɑu5	
寫	ɕie3	
軍	tɕyn1	
農	nu2-	
農	nuŋ2=	
冠	kuan5	~军
冠	kuan1	衣~
冤	yan1	
冬	tuŋ1	
馮	fəŋ2	
冰	piŋ1	
冲	tsʰuŋ1	
決	tɕуе2	
况	kʰuɑŋ5	
冷	ləŋ3	
凍	tuŋ5	
淨	tɕiŋ3	
凄	tɕʰi1	
準	tsuən3	2
準	tʂuən3	
涼	liɑŋ2	
凋	tiɑu1	
凌	liŋ2	
減	tɕian3	
湊	tsʰou5	
凜	lin3	
凝	niŋ2	
几	tɕi1	~乎
几	tɕi3	~个
凡	fan2	
凭	pʰiŋ2	
凱	kʰai3	
凳	təŋ5	
凶	ɕyŋ1	
凹	nɑu1	
出	tʂʰu1	1
出	tsʰu1	2
擊	tɕi1	
函	xan2	
鑿	tsɑu2	
刀	tɑu1	
刁	tiɑu1	
刃	in5-	
刃	ʐən5=	
分	fən1	
切	tɕʰie1	~菜
切	tɕʰie5	一~
刈	i5	
刊	kʰan1	
刎	vən3	
刑	ɕiŋ2	
划	xuɑ2	~船
划	xuɑ5	计~
列	lie5	
劉	liou2	
則	tsɤ2	
剛	kɑŋ1	
創	tsʰuɑŋ5	
初	tsʰu1	
删	san1	
判	pʰan5	
刨	pʰɑu2	~除
刨	рɑu5	~子
利	li5	
别	pie2	
别	pie5	~扭
刮	kʰuɑ1	~土豆皮儿
刮	kuɑ3	~风
到	tɑu5	
制	tʂʅ5	
刷	suɑ1	
刷	ʂuɑ5	脸~白
券	tɕʰyan5	
刺	tsʰɿ5	
刻	kʰɤ2	
劊	kuei5	
刴	tuo5	
劑	tɕi5	
剃	tʰi5	
削	ɕiɑu1-	
削	ɕуе1=	
剌	lɑ2	~口子
前	tɕʰian2	
剮	kuɑ3	
劍	tɕian5	
剔	tʰi1	
剖	pʰɑu1	
剜	van1	
剝	рɑu1-	
剝	pо1=	
劇	tɕy5	
剩	ʂəŋ5	1
剩	səŋ5	2
剪	tɕian3	
副	fu5	
割	kɤ1	
剿	tɕiɑu3	
劈	pʰi3	
劐	xuo5	
力	li5	
勸	tɕʰyan5	
辦	pan5	
功	kuŋ1	
加	tɕiɑ1	
務	u5	
劣	lie5	
動	tuŋ5	
助	tsu5	
努	nu3	
劫	tɕie2	
勵	li5	
勁	tɕin5	
勞	lɑu2	
勢	ʂʅ5	
勃	pо2	
勇	ʐuŋ3-	
勇	yŋ3=	
勉	mian3	
勳	ɕyn1	
勒	lei1-	
勒	lɤ5=	
募	mu5	
勤	tɕʰin2	
勺	ʂɑu2	1
勺	sɑu2	2
勾	kou1	~结
勾	kou5	~当
勿	u5	
匀	yn2	
包	рɑu1	
匆	tsʰuŋ1	
化	xuɑ5	
北	pei3	
匙	tʂʰʅ2	汤~
匙	su0	钥~
匠	tɕiɑŋ5	
匡	kʰuɑŋ1	
匣	ɕiɑ2	
匪	fei3	
匹	pʰi3	一~布
區	tɕʰy1	
醫	i1	
匾	pian3	
匿	ni5	
十	ʂʅ2	
千	tɕʰian1	
升	ʂəŋ1	1
升	səŋ1	2
午	u3	
卉	xuei5	
半	pan5	
華	xuɑ2	
華	xuɑ5	~山
協	ɕie2	
卑	pei1	
卒	tsu2	
卓	tʂuo1	1
卓	tsuo1	2
單	tan1	
單	ʂan5	姓
賣	mai5	
南	nan2	
博	pо2	
卜	pu3	姓
卞	pian5	
占	tʂan1	
占	tʂan5	1
占	tsan5	2
卡	tɕʰiɑ2	~个儿
卡	kʰɑ3	~车
卡	tɕʰiɑ3	关~
盧	lu2	
卤	lu3	
卦	kuɑ5	
臥	uo5	
衛	vei5	
卯	mɑu3	
印	in5	
危	vei1	
即	tɕi2	
卻	tɕʰуе5	
卵	lan3-	
卵	luan3=	
卷	tɕyan5	
卷	tɕyan3	~帘子
卸	ɕie5	
卿	tɕʰiŋ1	
廠	tʂʰɑŋ3	1
廠	tsʰɑŋ3	2
廳	tʰiŋ1	
历	li5	
厲	li5	
壓	iɑ1	
厭	ian5	
廁	tsʰɤ5	
厘	li2	
厚	xou5	
原	yan2	
廂	ɕiɑŋ1	
厥	tɕуе2	
厦	ɕiɑ5	~门
厦	sɑ5	偏~
廚	tʂʰu2	1
廚	tsʰu2	2
厮	sɿ1	
去	tɕʰy5	
縣	ɕian5	
参	tsʰan1	
参	tsʰən1	~差
参	sən1	人~
又	iou5	
叉	tsʰɑ1	
及	tɕi2	
友	iou3	
雙	suɑŋ1	
雙	suɑŋ5	~子
反	fan3	
叔	su1	
取	tɕʰy3	
受	ʂou5	1
受	sou5	2
變	pian5	
敍	ɕy5	
叛	pʰan5	
叟	sou3	
疊	tie2	
口	kʰou3	
古	ku3	
句	tɕy5	
另	liŋ5	
叨	tɑu1	~咕(小声叨)
叩	kʰou5	
只	tʂʅ3	1~有
只	tsɿ3	2~有
只	tʂʅ1	一~
叫	tɕiɑu5	
召	tʂɑu1	1号~
召	tsɑu1	2号~
叭	pɑ1	
可	kʰɤ3	
台	tʰai2	
史	sɿ3	
右	iou5	
葉	ie5	
號	xɑu5	~码
號	xɑu2	呼~
司	sɿ1	
