#漢字	音標	解釋
㿭	tsʰuən1	
丁	tiŋ1	
七	tɕʰi1	
三	kan1	
下	ɕia5	
不	pu5	
丑	tsʰɤo3	
世	sɿ	
丘	tɕʰiɤo2	
丙	piŋ3	
絲	sɿ1	
丢	tɕiɤo1	
兩	liaŋ3	
喪	saŋ5	
个	kɤ5	
中	tsoŋ1	
串	tsʰuan5	
丹	tan1	
主	tsu3	
麗	li	
舉	tɕy3	
乃	nɛ3	
久	tɕiɤo3	
樂	luɤ5	
樂	yɛ5	
乖	kuɛ1	
乘	tsʰəŋ2	
也	iɛ3	
鄉	ɕiaŋ1	
書	su1	
買	mɛ3	
乳	zu3	
乾	kan1	
予	y5	
爭	tsəŋ1	
井	tɕiŋ3	
亡	uaŋ2	
交	tɕiɔ1	
產	tsan3	
亨	xəŋ1	
享	ɕiaŋ3	
京	tɕiŋ1	
亮	liaŋ5	
仇	sɤo5	
仇	tɕiɤo5	
今	tɕiən1	
介	tɕiɛ5	
仍	zəŋ3	
从	tsu2	
仙	ɕyan1	
仰	aŋ3	
仲	tsoŋ5	
件	tɕian5	
企	tɕʰi3	
伐	fa2	
休	tɕʰiɤo3	
衆	tsoŋ5	
會	kʰuɛ5	
傘	san5	
傷	saŋ1	
倫	luən3	
伯	pɤ2	
估	ku3	
伴	pan5	
伺	tsʰɿ5	
似	sɿ5	
佈	pu5	
低	ti1	
體	tʰi	
佔	tsan5	
佛	fu2	
作	tsuɤ5	
你	ni3	
來	lɛ2	
侈	tsʰɿ2	
例	li	
供	koŋ3	
供	kʰoŋ3	
俠	fa2	
偵	tsən1	
側	tsʰɤ5	
侮	u1	
侯	xɤu2	
侵	tɕiən5	
便	piɛ2	
促	tsʰoŋ2	
俊	tɕyən5	
俏	tɕʰiɔ5	
俗	ɕy5	
信	ɕyən5	
修	ɕiɤo1	
倔	tɕyɛ5	
倘	tʰaŋ3	
倡	tsʰaŋ1	
倦	tɕʰyan5	
倪	ni	
債	tsɛ5	
傾	tɕʰioŋ1	
假	tɕia3	
做	tsuɤ5	
偷	tʰɤu1	
傑	tɕiɛ2	
傢	tɕia1	
儲	tsʰu3	
催	tsʰue1	
傻	sa3	
像	ɕiaŋ5	
僧	səŋ1	
僵	tɕiaŋ1	
僻	pʰi5	
允	yən3	
兄	ɕioŋ1	
充	tsʰoŋ1	
兆	tsɔ5	
兇	ɕioŋ1	
先	ɕian1	
光	kuaŋ1	
克	kʰɤ1	
免	mian3	
兑	te5	
兔	tʰu5	
兜	tɤu1	
入	zu5	
全	tɕʰyan2	
八	pa2	
六	lu5	
兵	piŋ1	
典	tʰian1	
兹	tsɿ1	
養	iaŋ3	
獸	tsɤo2	
冀	tɕi5	
内	ne5	
冉	zan1	
册	tsʰɤ5	
再	tsɛ5	
冠	kuan1	
冠	kuan5	
冢	tsoŋ1	
冤	yan1	
冰	piŋ1	
冷	ləŋ3	
淨	tɕiŋ5	
凄	tɕʰi1	
凋	tiɔ1	
減	tɕian3	
湊	tsʰɤu5	
凝	niŋ3	
几	tɕi3	
凱	kʰɛ3	
凳	təŋ5	
凶	ɕioŋ1	
凹	ɤɔ5	
出	tsʰu1	
函	xan2	
分	fən1	
切	tɕʰiɛ5	
刊	kʰan1	
刑	ɕiŋ2	
划	xua2	
划	xua3	
列	liɛ1	
初	tsʰuɤ1	
删	san5	
判	pʰan5	
别	pɛ2	
券	tɕʰyan5	
刺	tsʰɿ5	
刻	kʰɤ1	
則	tsɛ3	
削	suɤ1	
前	tɕiɛ2	
劍	tɕian5	
剖	pʰuɤ5	
剝	puɤ1	
