#漢字	音標	解釋
□	le1	~得(呆子)
□	kʰe1	~烂(熬烂)
□	tɕie1	~手,手残废
□	mɔ1	~~(祖母)
□	ȵio1	~嘴巴(呶嘴)
□	ɕi1	~尿(小便,动词)
□	pu1	~得(称呼姑母)
□	tʰy1	~箱得(抽屉)
□	pã1	~茅(芦苇)
□	tɕʰiɔ̃1	~得(较大的晒具,多用于晒乾菜)
□	təŋ1	~鸡得(阉鸡)
□	ȵio2	~儿(怎么)
□	ɡu2	~~得(斑鸠)
□	dy2	~~得(冰锥)
□	ɡuã2	~额盖得(奔儿头)
□	iŋ2	~豆腐(酱豆腐)
□	ma3	~啊~的(形容小脚女人走路的样子)
□	kʰua3	~破咯皮(蹭破皮儿)
□	miɔ3	~雀得(小鸟的统称)
□	ŋ̍3	~确(没有),嘴巴~确味(嘴里没味儿)
□	xɛ̃3	~草(薅草)
□	kʰuã3	~得(一绺)
□	pʰɔ̃3	~伤(碰~)
□	ɡɔ̃4	~巴子(嗓音沙哑的人)
□	tɕiɛ̃5	~脚(踮脚)
□	pã5	~花得(一种绣花的方法)
□	kã5	~屁股{擦屁股}
□	tsʰoŋ5	~菜(香菜)
□	tɛ6	~人(骂人)
□	tɛ6	~送(为人料理丧事)
□	ɛ6	~个(那个),~儿(那么)
□	piɛ6	~得(隔褙)
□	pa6	~~、~~得(赤子阴)
□	za6	~尿(尿床)
□	ka6	~米(轧米)
□	a6	~嘴巴(张嘴)
□	tɔ6	~雨(淋雨)
□	ʑi6	~得(麵酵子)
□	i6	~个(这个)
□	ɡu6	~汤(用切碎的花生米,加油渣、鸡蛋和作料烹调的菜肴
□	ȵiɛ̃6	~~的(悄悄儿的)
□	ȵiɔ̃6	~儿(这么)
□	ɡəŋ6	~头(低头)
□	moŋ6	~沙(细沙)
□	uɔ5	一~(手臂望上举,从脚至手的高度)
□	ɡu6	下~(也说打芡,即勾芡)
□	mɔ1	不要
□	tsɔ5	不~(不行)
□	tʰie1	东西被水冲走
□	la2	丢失
□	kuəŋ5	乱钻
□	miɔ2	什么
□	ɡiɛ̃2	俗写“柑”训读,~得(类似广柑,味略酸)
□	iɛ6	凹
□	tsã1	凿;剁;掷
□	kʰa6	压
□	tɕʰiɛ3	双手抱起小孩或病人
□	ɡe4	嗝儿
□	die6	大门~(大门外)
□	kʰuɛ3	夸夸其谈
□	ɡo4	小孩缠着大人要这要那
□	xã3	尿布
□	ɕie6	扔
□	kʰuã5	扣~得(纽襻儿),门~得(门鼻儿)
□	da2	拉,多指用力较大
□	la3	挠:~痒
□	kʰa3	挤
□	die3	掏炉灶里的灰烬
□	kʰie3	掰断
□	kʰuã1	提梁
□	ʑie4	摔,多指发脾气摔东西
□	tʰiɛ3	收拾
□	pie3	改掉坏习惯
□	bu2	栗得~(栗子的外壳)
□	ɡi2	水~子得(荸荠)
□	pʰɛ3	泡沫
□	uɔ̃1	涮
□	tɛ̃5	炖
□	kʰiɛ3	生闷气,不理睬惹气的人
□	uɔ2	用手抓取:~一把瓜子
□	ɕie6	用手挠人使人发痒
□	lɔ1	甩手指划着脸羞人
□	xã3	簸一簸
□	iŋ2	绿~(青苔)
□	ɡɔ2	翻东司~(翻绳)
□	tʰɛ3	草~(蒲团)
□	tɛ̃1	蘸
□	pʰe3	蹲
□	lɛ̃2	钻营
□	tsɛ3	阔气
□	tsʰe1	顽皮
□	te6	驮~(挨骂)
□	la3	鸡巴~得(野生果,形状类似鸡爪子)
□	ɕie5	鸡~(鸡笼)
㞎	pɔ3	屙~~(专指小孩大便)
㦸	kie6	
㩳	soŋ3	推
㪗	tʰy3	~开来
㫰	lɔ̃6	~竿(晾衣竿)
㼭	diɛ̃6	“支也”,~稳咯
䀇	ku3	
䉐	kʰu1	
䝼	ʑiŋ2	~受
一	ie6	
丁	tiŋ1	
七	tɕʰie6	
万	uã6	
丈	ʑiɔ̃4	
三	sã1	
上	zɔ̃4	~山,~街
上	zɔ̃6	上面
下	ɣɔ4	~巴
下	ɣɔ6	~饭(就菜吃饭)
不	pe6	
与	y1	
丐	kɛ5	乞~
丑	tɕʰy3	
專	tsɛ̃1	
且	tɕʰiɔ3	
丕	pʰi3	曹~
世	ɕi5	
丘	kʰy1	
丙	piŋ3	
業	ȵiɛ3	
叢	zoŋ2	
東	toŋ1	
絲	sɿ1	
丞	ʑiŋ2	
丢	ty1	
兩	diɔ̃4	~个
兩	diɔ̃4	几~几钱
嚴	ȵiɛ̃2	
並	biŋ4	
喪	sɔ̃5	
喪	sɔ̃1	哭~棒(哀杖)
个	ko5	
丫	ɔ1	~头
中	tsoŋ5	射中
中	tsoŋ1	当~
丰	foŋ1	
串	tsʰɛ̃5	
臨	diŋ2	
丸	uɛ̃2	
丹	tã1	
爲	uei5	~什么
爲	uei2	作~
主	tsəu3	
麗	di6	美~
舉	ki3	
乃	la1	
久	ky3	
麽	io1	~二三
義	ȵi6	
之	tsɿ1	
烏	u1	
乍	tsɔ5	
乎	u1	
乏	va3	
樂	lɔ3	快~
樂	ɔ3	音~
喬	ɡiɔ2	
乖	kua1	
乘	ʑiŋ2	~凉
乙	ie6	
九	ky3	
乞	kʰie6	
也	iɔ3	
習	ʑie3	
鄉	ɕiɔ̃1	
書	səu1	
買	ma1	
亂	lɛ̃6	
乳	y1	文
乳	i1	白,豆腐~
乾	kɛ̃1	~湿
乾	ɡiɛ̃2	~坤
了	dio4	~结
爭	tsəŋ1	
事	zɿ6	
二	ər6	文,一~三,~十五
二	n̩6	白,~十五(旧读音)
于	y1	
虧	kʰuei1	
云	iŋ2	
五	u1	
井	kiŋ3	
亞	ɔ5	
些	ɕi1	
亡	uɔ̃2	
交	kiɔ1	文,~通
交	kio1	白,~代
亥	ɣɛ4	
亦	ie3	
產	ɕiɛ̃5	所晏切,~鸡子(下蛋)
產	tsʰã3	文,生~
產	sã3	白,做~妇(坐月子)
亨	xəŋ1	
畝	mo1	文
畝	m̩1	白,~把两~
享	ɕiɔ̃3	
京	kiŋ1	
亭	diŋ2	
亮	diɔ̃6	
親	tɕʰiŋ1	
人	ʑiŋ2	文
人	ȵiŋ2	白
億	i5	
什	ze3	~物
仁	ʑiŋ2	
仇	ɡy2	姓
仇	ʑy2	报~
今	kiŋ1	文,目~(如今)
今	kəŋ1	白,~朝(今天)
介	ka5	
仍	ȵiŋ2	
从	tsʰoŋ1	~容
从	zoŋ2	跟~
仑	ləŋ2	
倉	tsʰɔ̃1	
仕	zɿ4	
他	tʰa1	
仗	ʑiɔ̃4	
仗	tɕiɔ̃5	打~
付	fu5	
仙	ɕiɛ̃1	
代	dɛ6	
令	diŋ6	
以	i1	
儀	ȵi2	
儀	kiŋ3	
仰	ȵiɔ̃1	~面(抬头)
仲	zoŋ6	
件	ɡiɛ̃4	
價	kɔ5	
任	ȵiŋ6	上~
任	ȵiŋ2	姓
份	vəŋ6	
仿	fɔ̃3	相似
企	ʑi2	
伊	i1	
伍	u1	
伏	bu6	“鸟菢子”,~小鸡得(孵小鸡儿)
伏	ve3	三~天
伐	va3	
休	ɕy1	
衆	tsoŋ5	
優	y1	
伙	xo3	~食,佮~(合伙儿)
會	kʰua5	~计
會	vei6	开~,~不~
會	ie6	白,出~(赶庙会)
偉	uei2	
傳	zɛ̃2	~递
傳	zɛ̃6	~记
伢	ɔ2	小~儿(婴儿)
傷	sɔ̃1	
倫	ləŋ2	
僞	uei3	
伯	pɛ6	文,~~(父之兄面称)
伯	piɛ6	白,~~(夫之兄面称)
估	ku3	单字音
估	ku1	毛~带猜(估摸)
伴	bɛ̃4	
伴	bã4	佮~(搭伴儿)
伶	diŋ2	
伸	səŋ1	
伸	tsʰəŋ1	~手
似	zɿ4	
佃	diɛ̃2	
佃	diɛ̃4	
但	dã4	
佈	pu5	
位	uei6	
低	ti1	
住	zəu6	
佐	tso1	
體	tʰi3	
何	ɣo2	
佘	zɔ2	姓
余	y2	
佛	ve3	
佛	fe6	彷~
作	tsɔ6	
佞	diŋ6	
你	ȵi1	文
你	ŋ̍1	白
佩	pʰei5	文,钦~
佩	pʰie5	白,~服
佬	le3	乡巴~
佮	kɛ6	~伙(合伙儿)
佳	ka1	
使	sɿ3	
侈	tsʰɿ3	奢~
侉	kʰua3	~子
例	di6	
侍	zɿ6	
供	tɕioŋ1	~养,~不起
供	koŋ5	上~,~给
依	i1	
偵	tsəŋ1	
側	tsʰɛ5	文
側	tɕie6	白,~得困(侧着睡)
僑	ɡiɔ2	
侮	u1	
侯	ɣəu2	
侵	tsʰəŋ1	
便	biɛ̃2	~宜
便	biɛ̃6	方~
係	ʑi5	
促	tsʰo6	
俊	tsəŋ5	
俏	tɕʰiɔ5	文
俏	tɕʰio5	白,~贷
俗	zo3	
俘	vu2	~虏
保	pɔ3	文,~证
保	pe3	白,~护
俞	y2	
俟	zɿ6	
信	ɕiŋ5	
儉	ɡiɛ̃4	
修	ɕy1	
俯	fu3	
俸	foŋ5	
倍	bei4	文
倍	bie4	白,一~两~
倒	tɔ3	文,打~
倒	tɔ5	文
倒	te3	白,~闭
倒	te5	白,颠~
倔	kʰie6	
倘	tʰɔ̃3	
候	ɣəu6	
倚	i3	
借	tɕiɔ5	
倡	tsʰɔ̃5	
倣	fɔ̃3	~效
倦	ɡiɛ̃4	
倪	ȵi2	
倭	o1	
債	tsa5	
值	tɕʰie3	
傾	kʰəŋ1	
假	kɔ3	真~,放~
偏	pʰiɛ̃1	
做	tso5	
停	diŋ2	
健	ɡiɛ̃6	
偶	əu1	
偷	tʰy1	
償	zɔ̃2	
傀	kʰuei3	~儡
傅	fu5	
傍	bɔ̃2	
傢	kɔ1	~具
儲	zəu2	~蓄
催	tɕʰie1	
傲	ɔ2	
傻	sa3	
像	ʑiɔ̃4	
僕	pʰo3	
僧	səŋ1	
僮	doŋ2	
僵	kiɔ̃1	
僻	pʰie6	
儒	y2	
儡	ləu4	傀~
兒	ər3	文,~孙满目
兒	n̩2	白,~得(儿子);针杪~(针尖儿)
允	iŋ3	
元	iɛ̃2	
兄	ɕioŋ1	
充	tsʰoŋ1	
兆	ʑiɔ4	
兇	ɕioŋ1	~恶
先	ɕiɛ̃1	
光	kuɔ̃1	古黄切,~明,~头麵(清汤麵)
光	kuɔ̃5	古旷切,发~(发亮),~油(熟桐油)
克	kʰe6	
免	miɛ̃3	
兑	dəu6	~换
兔	tʰəu5	
黨	tɔ̃3	
兜	təu1	
入	ʑie3	
全	ʑiɛ̃2	
八	pa6	
公	koŋ1	
六	lo3	
兮	ɕi1	
蘭	lã2	
共	ɡoŋ2	
關	kuã1	
興	ɕiŋ1	~旺
興	ɕiŋ5	高~
兵	piŋ1	
兵	tse6	~
其	ɡi2	
具	ɡi6	
典	tiɛ̃3	
兹	tsɿ1	
養	iɔ̃1	
兼	kiɛ̃1	
獸	ɕy5	
冀	ki5	
内	ləu6	
岡	kɔ̃5	
冉	ʑiɛ̃4	
册	tsʰɛ5	
再	tsɛ5	
再	tsɛ6	~嫁(再醮)
冒	mɔ6	
冗	ioŋ1	
寫	ɕiɔ3	
軍	kiŋ1	
農	loŋ2	
冠	kuɛ̃1	衣~
