#漢字	音標	解釋
㓾	tsʰɿ2	~鱼
㗘	pʰaʔ7	讲~
㞞	sɔŋ2	精液，亦称软弱无能
㧼	piǫ5	拉
㨟	kᴇ1	横向推、拨动、扒
㩓	xuᴇ3	抽打
㩢	mɛʔ8	
㩭	kʰǫ6	说话错乱
㪕	tsʰaʔ7	舀起
㪬	tsʰuaʔ8	~豆腐
㫰	lã6	晾挂衣物
㵾	tsʰəŋ6	寒冷，~人
㹒	pʰaʔ7	骚~羊，公羊
㹕	xuẽ1	瘫
㽹	fẽ5	意~
㾑	tʊʔ7	
㿳	tsɿ1	黑~~
䉬	fɤɪ5	芦~
䊆	tɕʰiɘʊ1	粉~~:酥松松软
䊆	tɕiɘʊ1	韧~~:柔软而有弹性
䊞	tiəʔ7	粘接
䗙	xɘʊ2	~䘆:蚯蚓
䘆	ɕiã1	䗙~:蚯蚓
䜺	tsʰᴇ3	
䟳	tsʰɿ1	~滑
䩍	liǫ5	白~~:脸色苍白
䬬	iã5	过饱，腻
䬵	kʰᴇ3	
䬶	xəŋ5	~食
䴛	sǫ5	咸
䶢	kʰẽ2	螯
䶢	ŋẽ2	螯
一	iʔ7	文
一	iəʔ7	白
丁	tiŋ1	
七	tɕʰiəʔ7	
万	ʋẽ6	
丈	tsʰã6	
三	sẽ1	
上	sã6	
下	ɕiɑ6	文
下	xɑ6	白
不	pəʔ7	
与	yᶨ3	
丐	kᴇ5	
丑	tsʰɤɪ3	
專	tsʊ̃1	
且	tɕʰiᴇ3	文
且	tɕʰiɑ3	白
丕	pʰiᶨ1	
世	sɿ5	
丘	tɕʰiɘʊ1	
丙	piŋ3	
業	iʔ8	
叢	tsʰɔŋ2	
東	tɔŋ1	
絲	sɿ1	
丞	tsʰəŋ2	
丢	tɤɪ1	
兩	lẽ3	
兩	liã3	
嚴	ĩ2	文
嚴	nĩ2	白
並	pʰiŋ6	
喪	sã1	
喪	sã5	
个	kɘʊ5	
丫	ŋɑ1	
丫	iɑ1	~环
中	tsɔŋ1	
中	tsɔŋ5	
丰	fɔŋ1	
串	tsʰʊ̃5	
臨	liŋ2	
丸	ʊ̃2	
丹	tẽ1	
爲	ʋɤɪ2	
爲	ʋɤɪ6	
主	tsʋ̩3	
麗	liᶨ6	
舉	tɕyᶨ3	
乃	nᴇ3	
久	tɕiɘʊ3	
麽	mʊʔ8	
義	iᶨ6	
之	tsɿ1	
烏	ʋ̩1	
乍	tsɑ5	
乎	xʋ̩1	
乏	fɛʔ8	
樂	laʔ8	
樂	iaʔ8	
乒	pʰiŋ1	
乓	pʰã1	
喬	tɕʰiǫ2	
乖	kuᴇ1	
乘	tsʰəŋ2	
乘	tsʰəŋ5	
乙	iəʔ7	
乜	miɑ3	
乜	miɑ1	~斜
九	tɕiɘʊ3	
乞	tɕʰiəʔ7	
也	iᴇ3	文
也	iɑ3	白
習	ɕiəʔ8	文
習	tɕʰiəʔ8	白
鄉	ɕiã1	
書	sʋ̩1	
買	mᴇ3	
亂	lʊ̃6	
乳	ʐʋ̩3	
乾	kʊ̃1	
乾	tɕʰĩ2	
了	liǫ3	
予	yᶨ3	
爭	tsəŋ1	
事	sɿ6	
二	ɚ6	
于	yᶨ2	
虧	kʰuɤɪ1	
云	yŋ2	
互	xʋ̩6	
五	ʋ̩3	
井	tɕiŋ3	
亘	kəŋ5	
亞	iɑ5	文
些	xɑ6	~人
些	ɕiᴇ3	文
些	ɕiɑ1	白
些	ɕi2	读书音
亟	tɕiəʔ7	
亡	ʋã2	
亢	kʰã5	
交	tɕiǫ1	文
交	kǫ1	白，~秋
亥	xᴇ6	
亦	iəʔ8	
產	tsʰẽ3	
亨	xəŋ1	
畝	mɤɪ3	
享	ɕiã3	
京	tɕiŋ1	
亭	tʰiŋ2	
亮	liã6	
亮	liã2	~月儿:月亮
親	tɕʰiŋ1	
親	tɕʰiŋ5	
人	ʐəŋ2	
億	iᶨ5	
什	səʔ8	
仁	ʐəŋ2	
仄	tsəʔ7	
僅	tɕiŋ3	
仆	pʰɔʔ7	
仇	tsʰɤɪ2	
今	tɕiŋ1	
今	kəŋ1	~朝
介	tɕiᴇ5	文
介	kᴇ5	白，~绍
仍	ʐəŋ2	
从	tsʰɔŋ2	
仑	ləŋ2	
倉	tsʰã1	
仔	tsɿ3	
仔	tsᴇ3	
他	tʰɑ1	
仗	tsã5	打~
仗	tsʰã6	炮~
付	fʋ̩5	~出
仙	ɕĩ1	
仟	tɕʰĩ1	
代	tʰᴇ6	
令	liŋ6	
以	iᶨ3	
仨	sɑ1	
儀	iᶨ2	
們	məŋ2	
們	miŋ5	加~:更加
仰	ȵiã3	
仲	tsʰɔŋ6	
件	tɕʰĩ6	
價	tɕiɑ5	文
任	ʐəŋ2	
任	ʐəŋ6	
份	fəŋ6	
仿	fã3	
企	tɕʰiᶨ1	
伊	iᶨ1	
伏	fɔʔ8	
伏	pʰʋ̩6	鸡~窝
伐	fɛʔ8	
休	ɕiɘʊ1	
衆	tsɔŋ5	
優	iɘʊ1	
伙	xɘʊ3	
會	kʰuᴇ5	
會	xuɤɪ6	
傘	sẽ3	
偉	ʋɤɪ3	
傳	tsʰʊ̃2	~统
傳	tsʰʊ̃6	~记
伢	ŋɑ2	
傷	sã1	
倀	tsʰã1	
倫	ləŋ2	
僞	ʋɤɪ3	
伯	pɔʔ7	~父
估	kʋ̩3	
伴	pʰʊ̃6	~随
伸	səŋ1	
伺	tsʰɿ5	
伺	sɿ5	
似	sɿ6	
伽	kɑ1	
佃	tʰĩ6	
但	tʰẽ5	又音
但	tẽ5	文
但	tʰẽ6	白
佈	pʋ̩5	
位	ʋɤɪ6	
低	tiᶨ1	
住	tsʰʋ̩6	
佐	tsɘʊ3	
佑	iɘʊ6	
體	tʰiᶨ3	
何	xɘʊ2	
佗	tʰɘʊ2	
佘	sɑ2	
余	yᶨ2	
佚	iəʔ8	
佛	fəʔ8	
作	tsaʔ7	
佞	niŋ5	文
佟	tʰɔŋ2	
你	ni3	
佣	iɔŋ1	
佣	iɔŋ6	
佤	ʋɑ3	
佩	pʰɤɪ5	
佬	lǫ3	
佰	pɔʔ7	
佳	tɕiɑ1	文
併	piŋ5	
使	sɿ3	
侃	kʰʊ̃3	
侄	tɕʰiʔ8	~子
侄	tsʰiʔ8	又音，~子
侄	tsʰəʔ8	又音，~儿
侈	tsʰɿ3	
侉	kʰuɑ3	
例	liᶨ6	
侍	tsʰɿ5	~候
侍	sɿ6	服~
侏	tsʋ̩1	
侗	tʰɔŋ6	
供	kɔŋ5	
依	iᶨ1	
俠	ɕiɛʔ8	文
俠	xɛʔ8	白
僥	tɕiǫ3	
偵	tsəŋ1	
側	tsʰəʔ7	文
側	tsəʔ7	白
僑	tɕʰiǫ2	
儈	kʰuɤɪ5	
儂	nɔŋ2	
儘	tɕyŋ3	~礼:交往中尊重别人，礼让三先
侮	ʋ̩3	
侯	xɤɪ2	
侵	tɕʰiŋ1	
侷	tɕʰiɔʔ8	
便	pʰĩ2	~宜
便	pʰĩ6	~利
便	pʰɤɪ2	又音，~宜
促	tsʰɔʔ7	
俄	ŋɘʊ2	
俊	tɕyŋ5	
俏	tɕʰiǫ5	
俐	liᶨ6	
俑	iɔŋ3	
俗	tsʰɔʔ8	
俘	fʋ̩2	
保	pǫ3	
俞	yᶨ2	
信	ɕiŋ5	
儼	ĩ3	
倆	liɑ3	
倆	liã3	
儉	tɕĩ3	
修	ɕiɘʊ1	
俯	fʋ̩3	
俱	tɕyᶨ5	
俸	fɔŋ6	
倌	kʊ̃1	
倍	pɤɪ5	
倒	tǫ3	
倒	tǫ5	
倔	tɕʰyɘʔ8	
倔	tɕʰiʊʔ8	~强
倘	tsʰã2	
倘	tʰã3	
候	xɤɪ5	
候	xɤɪ6	
倚	iᶨ3	
倜	tʰiəʔ7	
借	tɕiɑ5	
倡	tsʰã5	
倦	tɕʰiʊ̃3	
倩	tɕʰĩ5	
倩	tɕʰiŋ5	帮，请
倪	ȵiᶨ2	
倭	ɘʊ1	
債	tsᴇ5	
值	tsʰəʔ8	
傾	tɕʰiŋ1	
傾	tɕʰiŋ3	
偃	ĩ5	
偄	nʊ̃1	~强:身体健壮
假	tɕiɑ3	文
偌	ʐɑ6	
偌	ʐaʔ8	
偏	pʰĩ1	
做	tsɘʊ5	
停	tʰiŋ2	
健	tɕĩ5	
偶	ŋɤɪ3	
偷	tʰɤɪ1	
償	sã2	
傀	kʰuᴇ3	
傀	kʰuɤɪ3	
傅	fʋ̩5	
傍	pʰã2	
傍	pʰã6	~身
傣	tᴇ3	
儻	tʰã3	
儲	tsʰʋ̩2	
催	tsʰuɤɪ1	
傲	ŋǫ6	
傻	sɑ3	
像	tɕʰiã6	
僧	səŋ1	
僮	tʰɔŋ2	
僵	tɕiã1	
僻	pʰiəʔ7	
儒	ʐʋ̩2	
儡	luɤɪ3	
兒	ɚ2	
允	yŋ3	
元	iʊ̃2	
兄	ɕiɔŋ1	
充	tsʰɔŋ1	
兆	tsʰǫ6	
先	ɕĩ1	
先	ɕĩ5	在前，~先日子
光	kuã1	
克	kʰəʔ7	
免	mĩ3	
兑	tʰɤɪ6	
兑	tuɤɪ5	文
兑	tʰuɤɪ6	白，~现
兔	tʰʋ̩5	
黨	tã3	
兜	tɤɪ1	
入	ʐəʔ8	
全	tɕʰiʊ̃2	
八	pɛʔ7	
公	kɔŋ1	
六	lɔʔ8	
兮	ɕiᶨ1	
蘭	lẽ2	
共	kʰɔŋ3	~总
共	kʰɔŋ6	一~
關	kuẽ1	
興	ɕiŋ1	~灯
興	ɕiŋ6	~化
興	ɕiŋ5	高~
兵	piŋ1	
其	tɕʰiᶨ2	
具	tɕyᶨ5	文
具	tɕʰyᶨ6	白
典	tĩ3	
兹	tsɿ1	
養	iã3	
兼	tɕĩ1	
獸	sɤɪ5	
冀	tɕiᶨ5	
内	nuɤɪ6	
岡	kã1	
冉	ʐĩ3	
册	tsʰəʔ7	
再	tsᴇ5	
冒	mǫ6	
冒	mǫ1	打张~，指装样子。
冕	mĩ3	
冗	ʐɔŋ3	~员
冗	ʐɔŋ5	平庸，办不好事
寫	ɕiᶨ3	文
寫	ɕiɑ3	白
冚	kʰʊ̃3	
軍	tɕyŋ1	
農	nɔŋ2	
冠	kʊ̃1	
冤	iʊ̃1	
冥	miŋ2	
冬	tɔŋ1	
馮	fɔŋ2	
冰	piŋ1	
冲	tsʰɔŋ1	
冲	tsʰɔŋ5	
決	tɕiʊʔ7	
况	kʰuã5	
冶	iᴇ3	文
冶	iɑ3	白
冷	ləŋ3	
凍	tɔŋ5	
淨	tɕʰiŋ6	
凄	tɕʰiᶨ1	
準	tsuəŋ3	
涼	liã2	
凋	tiǫ1	
凌	liŋ2	
減	tɕiẽ3	文
減	kẽ3	白
湊	tsʰɤɪ5	
凙	tʰaʔ8	凌~
凜	liŋ3	
凝	niŋ2	
几	tɕiᶨ1	
几	tɕiᶨ3	
凡	fẽ2	
鳳	fɔŋ6	
凭	pʰiŋ2	
凱	kʰᴇ3	
凰	xuã2	
凳	təŋ5	
凶	ɕiɔŋ1	
凸	tʰəʔ8	
凹	ʋɑ5	
凹	ŋǫ5	
凹	ʋaʔ7	
出	tsʰuəʔ7	
擊	tɕiəʔ7	
函	xʊ̃2	~数
函	kʰẽ2	~子，骂小孩语
函	xẽ2	~件
鑿	tsʰaʔ8	
刀	tǫ1	
刁	tiǫ1	
刃	ʐəŋ6	
分	fəŋ1	
分	fəŋ6	
切	tɕʰiʔ7	
刊	kʰẽ1	文
刊	kʰʊ̃1	白
芻	tsʰʋ̩1	
刎	ʋəŋ3	
刑	ɕiŋ2	
划	xuɑ2	
划	xuɑ5	
划	xuɑ6	
列	liʔ8	
劉	lɤɪ2	
則	tsəʔ7	
剛	kã1	
剛	tɕiã1	才~:刚才
創	tsʰuã1	
創	tsʰuã5	
初	tsʰʋ̩1	
删	sẽ1	
删	suẽ1	
判	pʰʊ̃5	
刨	pʰǫ6	
利	liᶨ6	
别	pʰiʔ8	
别	piʔ7	~针
刮	kuɛʔ7	
到	tǫ5	
刳	kʰuɑ2	
制	tsɿ5	
刷	suɛʔ8	~锅
刷	ɕyɛʔ7	又音
刷	suɛʔ7	牙~
券	tɕʰiʊ̃5	
刹	sɛʔ7	
刹	sɛʔ8	~车
刹	tsʰaʔ7	古~
刺	tsʰɿ5	
刻	kʰəʔ7	
刴	tɘʊ5	
劑	tɕiᶨ5	文
劑	tɕʰiᶨ6	白
剃	tʰiᶨ5	
削	ɕiaʔ7	
剌	lɑ3	~口子
前	tɕʰĩ2	
剮	kuɑ3	
劍	tɕĩ5	
剔	tʰiəʔ7	
剖	pʰɤɪ3	
剗	tsʰẽ5	
剝	paʔ7	
劇	tɕʰiaʔ7	
剩	tsʰəŋ5	
剪	tɕĩ3	
副	fʋ̩5	
割	kʊʔ7	
剿	tɕiǫ3	
劈	pʰiəʔ7	
劗	tsẽ1	剁碎
力	liəʔ8	
勸	tɕʰiʊ̃5	
辦	pẽ5	文
辦	pʰẽ6	白
