#漢字	音標	解釋
□	pʰu1	~气:喘气
□	tɕʰiu1	~更头:不知好歹
□	kʰo2	~食
□	kã5	~屁股
□	xẽ1	削皮
□	uo3	呕吐
□	læ6	在
□	ɕiu3	挣扎
□	tsuæ2	显摆:格个人~得不得过
□	xuo3	极碎，稀烂:纸浸~了
□	kæ1	用手拨开东西
□	tʂẽ5	用力
□	lɪŋ2	缝
□	iɤ̞1	隔开;切断:~牌儿
㞎	po3	~~:大便
㞞	sʌ̹ŋ2	
㧾	xu3	~臭水
㨟	ŋæ1	碰
㫰	lõ6	~衣裳
㽘	xõ6	~头~脑
㿹	tʰaʔ7	
䗜	liu1	假~
䴛	sɤ̞5	咸
一	iʔ7	
丁	tɪŋ1	
七	tɕʰiəʔ7	
万	uã6	
丈	tʂʰõ6	
三	sã1	
上	ʂõ6	
下	xo6-	~去
下	ɕia6=	~降
下	xaʔ8-	一~子
不	pəʔ7	
与	yᶨ3	
丐	kæ5	
丑	tʂʰe3	
專	tɕiʊ̃1	
且	tsʰæ3	
丕	pʰiᶽ3	
世	ʂʅ5	
丘	tɕʰiu1	
丙	pɪŋ3	
業	iʔ8	
叢	tsʰʌ̹ŋ2	
東	tʌ̹ŋ1	
絲	sɿ1	
丞	tʂʰẽ2	
丢	tiʊ1	
兩	liẽ3	
嚴	nĩ2	
喪	sõ1	~事
喪	sõ5	~失
个	kʊ5	
丫	ŋo1	
中	tʂʌ̹ŋ1	~国
中	tʂʌ̹ŋ5	~奖
丰	fʌ̹ŋ1	
串	tɕʰiʊ̃5	
臨	lɪŋ2	
丸	ʊ̃2	
丹	tã1	
爲	ve6	~甚尼
爲	ve2	作~
主	tʂu3	
麗	zɿ6	
舉	tsyᶨ3	
乃	næ3	
久	tɕiu3	
義	zɿ6	
之	tʂʅ1	
烏	vu1	
乎	xu1	
樂	loʔ8	
樂	iaʔ8	音~
乒	pʰɪŋ1	
乓	pʰõ1	
喬	tɕʰiɤ̞2	
乖	kuæ1	
乘	tʂʰẽ2	
乙	iʔ7	
九	tɕiu3	
也	æ3	
也	ia3=	
習	tɕʰiəʔ8	
鄉	ɕiẽ1	
書	ʂu1	
買	mæ3	
亂	liʊ̃5	
乳	lu3	
乾	tɕʰĩ2	
了	liɤ̞3	
了	lɤ̞1	轻声，助词
予	yᶨ2	
予	yᶨ3	
爭	tsẽ1	
事	sɿ6	
二	ɚ5	
于	yᶨ2	
虧	kʰueɪ1	
云	yɪŋ2	
互	xu6	
五	vu3	
井	tsɪŋ3	
亘	kẽ5	
亞	ia6	
些	sɪŋ1-	
些	ɕia1	
亟	tɕiəʔ7	
亡	uõ2	
亢	kʰõ5	
交	kɤ̞1-	
交	tɕiɤ̞1=	
亥	xæ6	
亦	iʔ7	
產	sã3	~妇
產	tsʰã3	生~
亨	xẽ1	
畝	me3	
畝	mʊ3=	
享	ɕiẽ3	
京	tsɪŋ1	
亭	tʰɪŋ2	
亮	liẽ5	
親	tsʰɪŋ1	~人
親	tsʰɪŋ5	~家
人	ʐẽ2	
億	zɿ5	
什	ʂẽ2	~么
仁	ʐẽ2	
仄	tsəʔ7	
僅	tsɪŋ3	
仆	pʰɔʔ7	
仇	tsʰe2	~人
仇	tɕʰiu2	姓
今	tsɪŋ1	
介	kæ5	
仍	ʐẽ3	
从	tsʰʌ̹ŋ2	
仑	lẽ2	
倉	tsʰõ1	
仔	tsɿ3	
仕	sɿ6	
他	tʰo1	
仗	tʂõ5	
付	fu5	
仙	ɕĩ1	
仞	ʐẽ6	
代	tʰæ6	
令	lɪŋ6	
以	zɿ3	
儀	zɿ2	
們	mẽ2	
仰	niẽ3	
仲	tʂʰʌ̹ŋ6	
仵	vu3	
件	tɕʰĩ6	
價	tɕia5=	~钱
任	ʐẽ6	
任	ʐẽ2	姓
份	fẽ6	
仿	fõ3	
企	tsʰiᶽ6	
伊	zɿ1	
伍	vu3	
伏	fɔʔ8	
伐	faʔ8	
休	ɕiu1	
衆	tʂʌ̹ŋ5	
優	iu1	
伙	xʊ3	
會	kʰuæ5	~计
會	ve6	~做
會	xueɪ6	~面
傘	sã3	
偉	ve3	
傳	tɕʰiʊ̃6	~记
傳	tɕʰiʊ̃2	相~
伢	ŋo2	
傷	ʂõ1	
倀	tʂʰõ5	
倫	lẽ2	
僞	ve3	
伯	pɔʔ7	
估	ku3-	
估	ku1=	~计
伴	pʰʊ̃6	
伶	lɪŋ2	
伸	ʂẽ1	
伺	tsʰɿ5	
似	sɿ6	
伽	tɕia1	
佃	tʰĩ6	
但	tʰã6	
位	ve6	
低	tsiᶽ1	
住	tʂʰu6	
佐	tsʊ3	
佑	iu6	
體	tsʰiᶽ3	
何	xʊ2	
佘	ʂo2	
余	yᶨ2	
