#漢字	音標	解釋
□	ka4	koŋ7~脊:驼子
□	ʔɛ2	tiaŋ2~:蜻蜓
□	ka1	~嗽:咳嗽
□	ka1	~蚤:跳蚤
□	ka1	~□ɗoŋ2:窟窿
□	ka1	~□ni5□ʔioŋ1:怎么
□	na1	~□ku7:相当
□	mai1	~村、~亲:走亲戚
□	zi2	~□ziaŋ2:蚯蚓
□	tun2	~年:前年
□	tiaŋ2	~□ʔɛ1:蜻蜓
□	ta4	~晡:昨天
□	ka4	~脏:脏
□	to4	~暗:傍晚
□	tam4	~□tiŋ7:辫子
□	nam4	~来~少:越来越少
□	ʔiam4	~电:闪电
□	ʔaŋ4	~己:自己
□	ta5	~样:怎样
□	tse5	~□mo33:这么
□	lap7	~衫巾:背心
□	ʔap7	~瓜:南瓜
□	ɓuət7	~墓:上坟
□	ɓia9	~喙:说话失误
□	koŋ9	~□ka4脊:驼子
□	ʔioŋ1	□ka1□ni7~:怎么
□	ɗoŋ2	□ka1~:窟窿
□	ziaŋ2	□zi1~:蚯蚓
□	mo4	□tse7~:这么
□	lo9	□ka4~□hin7:狐臭
□	ku9	□na1~:相当
□	ɦin9	□ka1□lo7~:狐臭
□	tiŋ9	□tam4~:鞭子
□	mo4	一~嘴
□	ti9	一点
□	ni9	一点儿
□	ŋaŋ2	下巴
□	tai4	丢掉
□	kak4	丢失
□	ɗat7	乞~:乞丐
□	zia1	也
□	nai4	些
□	tuai9	切
□	nam9	刚刚
□	vai5	别,不要
□	xat7	力~:勤快
□	tak7	发~:生气
□	xio9	取来,得来
□	nua4	口水
□	na1	只
□	fuai5	吐掉
□	ko9	吸
□	nan3	咱们,包括听话人
□	tui5	哄
□	ɗɛ5	哪里
□	nap7	垃圾
□	ʔat7	塞进去
□	tuai1	多
□	ne1	奶
□	sin4	如;~果:如果
□	xiaŋ2	姑~丈:妹夫
□	noŋ3	婴儿
□	ɗa1	干燥
□	vɛ9	快,将要
□	kuai4	怀孕
□	ɓat7	懂、认识
□	xat7	截
□	ɗia9	手~:胳膊
□	na9	才,刚刚
□	koŋ5	扔
□	tiŋ9	扔
□	ɗuoi3	找
□	ka2	抱;端
