#漢字	音標	解釋
㪗	tʰəu3	
㮇	tian5	
䥛	tɕin1	
丁	tin1	
七	tɕʰi7	
万	uan5	
丈	tʂɑŋ5	
三	san1	
上	ʂɑŋ5	
下	ɕia5	
不	pʊ7	
与	y3	
丐	kai5	
丑	tsʰəu3	
專	tsuan1	
且	tɕʰie3	
丕	pʰei1	
世	ʂʅ5	
丘	tɕʰiəu1	
丙	pin3	
業	lie7	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿ1	
丞	tsʰən2	
丢	tiəu1	
兩	liaŋ3	
嚴	nian2	
喪	sɑŋ1	
喪	sɑŋ5	
个	ko5	
丫	ia1	
中	tsoŋ1	
中	tʂoŋ5	
丰	foŋ1	
串	tsʰuan5	
臨	lin2	
丹	tan1	
主	tʂu3	
麗	li5	
舉	tɕy3	
乃	lai3	
久	tɕiəu3	
義	i5	
之	tʂʅ1	
烏	vu1	
乍	tʂɑ5	
乎	fu2	
乏	fɑ7	
樂	lo7	
喬	tɕʰiɑu2	
乖	kuai1	
乘	ʂən2	
九	tɕiəu3	
乞	tɕʰi5	
鄉	ɕiaŋ1	
書	ʂu1	
買	mai3	
亂	luan5	
乳	ʐu3	
了	liɑu3	
爭	tsən1	
事	sɿ5	
虧	kʰuei1	
云	yn2	
互	fu5	
五	vu3	
井	tɕin3	
些	ɕi1	
亡	uɑŋ2	
交	tɕiɑu1	
亥	xai5	
亨	xən1	
畝	moŋ3	
享	ɕiaŋ3	
京	tɕin1	
亭	tʰin2	
亮	liaŋ5	
親	tɕʰin1	
人	zən2	
什	ʂʅ7	
仁	zən2	
僅	tɕin3	
仆	fu5	
仆	pʰʊ7	
仇	tsʰəu2	
仇	tɕʰiəu2	
今	tɕin1	
介	tɕian5	
仍	ʐən2	
从	tsʰoŋ2	
仑	lən2	
倉	tsʰɑŋ1	
仕	sɿ5	
他	tʰɑ1	
仗	tʂɑŋ5	
付	fu5	
仙	ɕian1	
代	tai5	
令	lin5	
仲	tʂoŋ5	
件	tɕian5	
價	tɕia5	
任	ʐən5	
份	fən5	
仿	fɑŋ3	
企	tɕʰi5	
伍	vu3	
伏	fʊ7	
伐	fɑ7	
休	ɕiəu1	
優	iəu1	
伙	xo3	
會	kʰuai5	
會	xuei5	
傘	san3	
傳	tsʰuan2	
傳	tsuan5	
傷	ʂɑŋ1	
倫	lən2	
伯	pe7	
估	ku3	
伴	pan5	
伸	tsʰən1	
伺	tsʰɿ5	
似	sɿ5	
佃	tian5	
但	tan5	
低	ti1	
住	tʂu5	
佐	tso3	
體	tʰi3	
何	xo2	
佘	ʂe2	
佛	fʊ7	
作	tso7	
佞	lin5	
你	ni3	
佢	tɕʰy2	
佩	pʰei5	
佳	tɕia1	
使	ʂʅ3	
侄	tʂʅ5	
侈	tʂʰʅ2	
例	li5	
