#漢字	音標	解釋
□	ʐuən3	使整洁
□	ʂei3	少
□	so2	常用此字表示“看”
□	pan2	抚养
□	ʐan3	溅
□	lɑi5	烫
□	tʂuɑi3	闲晃
□	tɕiɑŋ3	食物的口感生涩
䉲	mi2	
一	i7	
丁	tiŋ1	
七	tɕʰi7	
万	uan5	
丈	tʂɑŋ5	
三	san1	
上	ʐɑŋ5	上山
上	ʐɑŋ5	上面
下	ɕia5	下降
下	ɕia5	底下
不	ŋ̍5	
丐	kɑu5	乞丐
丑	tʂʰou3	
專	tʂuan1	
世	ʂʅ5	
丘	tɕʰiou1	
丙	piŋ3	
業	ŋie7	
東	tuŋ1	
絲	sɿ1	
丞	ʂəŋ2	
兩	liɑŋ3	两个
兩	liɑŋ3	几两几钱
嚴	ŋiɑn2	
喪	sɑŋ5	丧失
喪	sɑŋ1	婚丧
个	tʂa1	量词,用于修饰非人的动物、物品等
个	ko5	量词,一个人
丫	ia1	丫头
中	tʂuŋ5	射中
中	tʂuŋ1	当中
丰	fuŋ1	
串	tʂʰuan5	
臨	lin2	
丸	uan2	肉丸,弹丸
丹	tan1	
爲	uei5	为什么
爲	uei2	作为
主	tʂu3	
麗	li5	美丽
乃	lɑi3	
久	tɕiou3	
麽	iɑu1	么二三
義	i5	
之	tʂʅ1	
烏	vu1	
樂	lo7	
樂	ye7	音乐
喬	dʑiɑu2	
乖	kuɑi1	
乘	ʂəŋ2	
乙	i7	
九	tɕiou3	
乞	tɕʰi7	
也	ie3	者也,也是
習	ɕi7	
鄉	ɕiɑŋ1	
書	ʂu1	
買	mɑi3	
亂	luan5	
乳	ʐu3	
乾	tɕʰiɑn2	乾坤
了	liɑu3	了结
爭	tʂəŋ1	
事	ʂʅ5	
二	ɚ5	
于	y2	
虧	kʰuei1	
云	yn2	
互	fu5	
五	vu3	
井	tɕiŋ3	
亞	ia5	
些	ɕie1	
亡	uɑŋ2	
交	tɕiɑu1	
亥	xɑi5	
產	tsʰan3	
亨	xən1	
畝	muŋ3	
享	ɕiɑŋ3	
京	tɕiŋ1	
亭	tʰiŋ2	
亮	liɑŋ5	
親	tɕʰin1	
親	tɕʰin5	亲家
人	ʐən2	
億	i7	
什	ʂʅ2	什物
仁	ʐən2	
僅	tɕin3	
仆	pʰu7	
仆	pʰu7	倒
仇	tʂʰou2	
今	tɕin1	
介	tɕiɑn5	
仍	ʐəŋ1	
从	tsʰuŋ2	从容
从	tsʰuŋ2	跟从
仑	lən2	
倉	tsɑŋ1	
他	tʰa1	
仗	tʂɑŋ5	
付	fu5	
仙	ɕiɑn1	
代	tɑi5	
令	liŋ5	
以	i3	
儀	i2	
仰	iɑŋ3	
仲	tʂuŋ5	
件	tɕiɑn5	
價	tɕia5	
任	ʐən2	姓
任	ʐən5	责任
份	fən5	一份两份
仿	fɑŋ3	仿效
仿	fɑŋ3	彷佛
仿	fɑŋ3	相似
企	tɕʰi3	
伊	i1	
伍	vu3	
伏	fu2	
伐	fa7	
休	ɕiou1	
衆	tʂuŋ5	
優	iou1	
伙	xo3	
會	kʰuɑi5	会计
會	xuei5	会不会
會	xuei5	开会
傘	san3	
偉	uei3	
傳	tʂʰan2	传达
傳	tʂuan5	传记
傷	ʂɑŋ1	
倫	lən2	
僞	uei5	
伯	pei7	
估	ku3	估计
伴	pan5	
伶	liŋ2	
伸	ʂən1	
伺	tsʰɿ5	
似	sɿ5	
但	tan5	
位	uei5	
低	ti1	
住	tʂu5	
佐	tso5	
佑	iou5	
體	tʰi3	
何	xo2	
余	y2	
佛	fu7	
作	tso7	工作
你	ŋ̍3	
佳	tɕia1	
使	ʂʅ3	
侄	tʂʅ3	
侈	tʂʰʅ3	奢侈
侉	kʰua3	
例	li5	
侍	ʂʅ5	
供	kuŋ1	供给,供不起
供	kuŋ5	供养,上供
依	i1	
僥	tɕiɑu3	侥幸
偵	tʂəŋ1	
側	tsʰei7	
僑	dʑiɑu2	
儂	luŋ2	我,你
侯	xou2	
侵	tɕʰin1	
便	piɑn2	便宜
便	piɑn5	方便
促	tsu7	
俊	tɕuən5	
俏	tɕʰiɑu5	
俗	su7	
俘	fu2	俘虏
保	pɑu3	
信	ɕin5	
儉	tɕiɑn5	
修	ɕiou1	
俯	fu3	
俸	fuŋ5	
俾	pi3	
倍	pei5	
倒	tɑu5	倒水
倒	tɑu3	打倒,颠倒
倘	tʰɑŋ3	倘使
候	xou5	
倚	i3	
借	tɕie5	
借	tɕie5	借故
倡	tʂʰɑŋ5	提倡
倦	tɕyan5	
倭	o1	
債	tʂɑi5	
值	tʂʅ7	
傾	tɕʰyn1	
假	tɕia3	放假
假	tɕia3	真假
偏	pʰiɑn1	
做	tso5	
停	tʰiŋ2	
健	tɕiɑn5	
偶	ŋou3	偶然
偶	ŋou3	配偶
偷	tʰou1	
償	ʐɑŋ2	
傅	fu5	
傍	pɑŋ5	
儲	tʂʰu2	储蓄
催	tsuei1	
傲	ŋɑu5	
傻	xa3	
像	tɕʰiɑŋ5	
僧	səŋ1	
僵	tɕiɑŋ1	
僻	pʰi7	
兒	ɚ2	
允	yn3	
元	yan2	
兄	ɕyŋ1	
充	tʂʰuŋ1	
兆	tʂɑu5	
先	ɕiɑn1	
光	kuɑŋ1	
克	kʰei7	
免	miɑn3	
兑	tuei5	
兔	tʰu5	
黨	tɑŋ3	
兜	tou1	
入	ʐu7	
全	dʑyan2	
八	pa7	
公	kuŋ1	
六	lu7	
蘭	lan2	
共	kuŋ5	
關	kuan1	
興	ɕiŋ1	兴旺
興	ɕiŋ5	高兴
兵	piŋ1	
其	dʑi2	
典	tiɑn3	
兹	tsɿ1	
養	iɑŋ3	
兼	tɕiɑn1	
獸	ʂou5	
内	luei5	
岡	kɑŋ1	
冉	ʐan3	
册	tsʰei7	
再	tsɑi5	
冒	mɑu5	
寫	ɕie3	
軍	tɕyn1	
農	luŋ2	
冠	kuan5	冠军
冠	kuan1	衣冠
冢	tʂu3	
冤	yan1	
冬	tuŋ1	
馮	fuŋ2	
冰	piŋ1	
冲	tʂʰuŋ1	
况	kʰuɑŋ5	
冷	ləŋ3	
凍	tuŋ5	
淨	tɕiŋ5	
準	tʂuən3	
涼	liɑŋ2	
凌	liŋ2	
減	tɕiɑn3	
湊	tsʰou5	
凝	ŋiŋ2	
凝	ŋiŋ5	汤凝成冻了
几	tɕi1	几乎
几	tɕi3	几个
几	tɕi1	茶几
凡	fan2	
鳳	fuŋ5	
凭	piŋ2	
凱	kʰɑi3	
凳	təŋ5	
凶	ɕyŋ1	凶吉
凶	ɕyŋ1	凶恶
出	tʂʰu7	
擊	tɕi7	
函	xan2	
刀	tɑu1	
刁	tiɑu1	
刃	ʐən5	
分	fən1	分开
切	tɕʰie7	切开
刊	kʰan1	
刑	ɕiŋ2	
划	xua7	
划	xua2	划船
列	lie7	
劉	liou2	
則	tsei7	
剛	kɑŋ1	
創	tʂʰuɑŋ5	
初	tʂu1	
删	ʂuan1	
判	pʰan5	
刨	pɑu3	
刨	pʰɑu2	刨地
利	li5	
别	pie7	区别
别	pie7	离别
刮	kua7	
到	tɑu5	
制	tʂʅ5	
刷	sua7	
券	tɕyan5	
刺	tsɿ5	
刻	kʰei7	时刻
刻	kʰei7	用刀刻
劊	kʰuɑi5	
刴	to5	
劑	tɕi5	一剂药,面剂子
剃	ti5	
削	ɕio7	
前	dʑiɑn2	
剮	kua3	
劍	tɕiɑn5	
剔	tʰi7	
剖	pʰou3	
剜	uan1	
剝	po7	
剩	ʂəŋ5	
剪	tɕiɑn3	
副	fu5	
割	kei7	
剿	tɕiɑu3	
力	li7	
勸	tɕʰyan5	
辦	pan5	
功	kuŋ1	
加	tɕia1	
務	vu5	
劣	lie7	
動	tʰuŋ5	
助	tʂu5	
努	lu3	
劫	tɕie7	
勵	li5	
勁	tɕiŋ5	劲敌
勁	tɕin5	有劲
勞	lɑu2	
勢	ʂʅ5	
勇	yŋ3	
勉	miɑn3	
