#漢字	音標	解釋
□	sou5	~火:把炉子里的煤疏通
□	tʂʰau5	人或动物往后退
□	mia1	吃东西时嘴巴发出的声响
□	lu2	干炒，仅用于~花生
□	tʂʰai3	张开大姆指和中指(或小指)两端的距离，一~:即一拃
□	tsʰei5	把东西摔坏或打碎
□	pia1	拟声词
□	pʰia1	拟声词
□	piou5	拟声词，尤指模仿打枪的声音
□	pʰiou5	拟声词，尤指模仿打枪的声音
□	tɕʰiou5	拟声词，尤指模仿打枪的声音
□	tʂʰou2	洗衣服
□	tʂʰua1	狗扑向人
□	ly1	用细小的棍棒抽打
□	tei1	用砖头或者硬物砸人、物
□	kʰei1	用手抠
□	tʂuai1	用砖头砸人
□	kʰuai1	用手轻轻拍
□	ləŋ1	用棍棒打人
□	sa2	用眼睛瞥
□	sau2	用眼睛瞥
□	tɕyɛ3	用难听的话回应别人
□	tuei3	用拳或肘打人
□	tsaŋ3	用绳子捆上袋子的口
□	lun3	用手捏种子慢慢往陇上撒
□	tʰiŋ5	用拳头垂直着打人
□	ɕin2	结婚
□	ia2	脏，仅用于跟小孩子说话的时候
□	tɕʰiou3	面条因失去水分而变得粘稠
一	i1	
丁	tiŋ1	
七	tɕʰi1	
万	uan5	
丈	tʂaŋ5	
三	san1	
上	ʂaŋ5	
下	tun1	
下	ɕia5	
不	pu1	
与	y3	
丐	kai5	
丑	tʂʰou3	
專	tʂuan1	
且	tɕʰiɛ3	
丕	pʰi1	
世	ʂʅ5	
丘	tɕʰiou1	
丙	piŋ3	
業	iɛ5	
叢	tsʰuŋ2	
東	tuŋ1	
丞	tʂʰəŋ2	
丟	tiou1	
兩	liaŋ3	
嚴	ian2	
喪	saŋ1	
喪	saŋ5	
个	kɤ5	
丫	ia1	
中	tʂuŋ1	
中	tʂuŋ5	
丰	fəŋ1	
串	tʂʰuan5	
臨	lin2	
丸	uan2	
丹	tan1	
爲	uei2	
主	tʂu3	
麗	li5	
舉	tɕy3	
乃	nai3	
久	tɕiou3	
義	i5	
之	tʂʅ1	
烏	u1	
乍	tʂa5	
乎	xu1	
乏	fa2	
樂	iau5-	
樂	lɤ5=	
樂	yɛ5=	
乒	pʰiŋ1	
乓	pʰaŋ1	
喬	tɕʰiau2	
乖	kuai1	
乘	tʂʰəŋ2	
乙	i3	
九	tɕiou3	
乞	tɕʰi3	
也	iɛ3	
習	ɕi2	
鄕	ɕiaŋ1	
書	ʂu1	
買	mai3	
亂	luan5	
乳	ʐu3	
了	liau3	
爭	tʂəŋ1	
事	ʂʅ5	
二	ɚ5	
于	y2	
虧	kʰuei1	
雲	yn2	
互	xu5	
五	u3	
井	tɕiŋ3	
亞	ia3	
些	ɕiɛ1	
亡	uaŋ2	
亢	kʰaŋ5	
交	tɕiau1	
亥	xai5	
產	tʂʰan3	
亨	xəŋ1	
畝	mu3	
享	ɕiaŋ3	
