#漢字	音標	解釋
一	i?/i?	
七	tsʰɑ?	
万	vi?	麻将牌
三	soŋ?	
上	ʃiaŋ?	～去
下	fu?	方位
世	ʃi?	
業	ȵeɯ?	
東	nɘŋ?	
絲	sɿ?	
丟	ȶɔu?	
兩	liaŋ?	斤～
嚴	iɪŋ?	
个	ȵi?	
中	taŋ?	当～
丰	faŋ?	
主	ȶɑ?	
舉	tʃy?	
義	ȵi?/i?	
烏	ɑu?	
九	ȶɔu?	
習	ʃi?	
書	ʃiɑ?	
書	tsæi?	
買	ma?	
亂	laŋ?	
爭	tɕi?	
事	sɿ?	
二	nɑ?/ɤ?	
亏	kʰuɑ?	
云	yi?	
五	ŋɑu?	
井	tʃioŋ?	
交	ȶɤɯ?	
產	tʃʰi?	～妇
亮	liaŋ?	
親	tʃʰi?	～人
人	ȵi?	
倉	tsʰɐŋ?	
付	fu?	
件	tɪŋ?	
任	iɪŋ?	责～
休	ʃiɔu?	
优	iɔu?	
會	fa?	开～
傘	ʃi?	
傳	tʃuɘŋ?	～下来
傳	tʃuɘŋ?	～记
傷	ʃiaŋ?	
位	uɑ?	
低	læi?	
住	tʃiɑ?	
余	i?	剩～，多～
佛	hoɔ?	
作	tɤɯ?	
使	sæ	
侄	tʃii?	
側	tʃʰu?	
便	pɘŋ?	方～
俊	tʃyi?	
修	ʃiɔu?	
借	tsiu?	
假	ku?	真～
做	tsɤɯ?	
停	tʃioŋ?	
健	tʃen?	
偷	tʰɔu?	
像	tʃiaŋ?	
僧	tsʰɘŋ?	
儿	ɤ?	
兄	ʃioŋ?	
充	tʰaŋ?	
先	ʃi?	
光	kaŋ?	～线
党	nɐŋ?	
入	nɑ?	
全	tʃuɘŋ?	
八	pa?	
公	kɘŋ?	
六	liɔu?	
蘭	li?	
共	ȶaŋ?	
關	kyi?	～门
興	ʃi?	高～
兵	mioŋ?	
典	nɘŋ?	
寫	ʃio?	
軍	tɕyi?	
冤	uɘŋ?	
冬	nɘŋ?	
冰	pɪŋ?	
冲	tsʰɘŋ?	
决	tʃye?	
冷	liɘŋ?	
凍	nɘŋ?	
准	tʃyi?	
減	ki?	
湊	tsʰɔu?	
几	tʃi?	～个
鳳	faŋ?	
凳	nɘŋ?	
凶	ʃaŋ?	吉～
出	suɑ?	
擊	ʃu?	
刀	loɔ?	
分	mɘŋ?	动词
切	tsʰæi?	动词
划	fu?	计～
列	lɪŋ?	
初	tsʰɑu?	
判	pʰaŋ?	
别	pæi?	～人
刮	kua?	
制	tsɿ?	～造
刷	sua?	
刺	lɤɯ?	
刻	kʰɤɯ?	
剃	tʰæi?	
削	ʃiɔu?	
前	tsɘŋ?	
劍	tɪŋ?	
剝	ȶɔu?	
劇	tɕyi?	
剩	ʃi?	
剪	tsɘŋ?	
副	fu?	
割	ku?	
劈	pʰæi?	
力	liɔu?	
勸	kʰuɘŋ?	
辦	pi?	
動	tɘŋ?	
勁	tʃɪŋ?	有～
勤	tʃʰɪŋ?	
勺	ʃiɤɯ?	
勻	uɘŋ?	
包	ȶɔu?	
化	fu?	
北	pɔu?	
匠	tʃiaŋ?	
匹	pʰɑ?	
區	tʃʰy?	地～
十	sɿ?	
升	ʃi?	
半	maŋ?	
華	fa?	中～
協	ʃie?	
卒	tsu?	棋子
單	li?	简～
賣	ma?	
南	noŋ?	
占	tɪŋ?	～领
衛	uɑ?	
印	i?	
危	uɑ?	
卷	kuəŋ?	～起
厂	tʰaŋ?	
廳	tʃʰioŋ?	
历	lu?	农～
厭	iɪŋ?	
厚	tʃi?	
原	uɘŋ?	
去	hɑu?//kʰy?	
縣	uəŋ?	
参	sɘŋ?	人～
及	tʃi?	
雙	saŋ?	
反	fi?	
发	fa?/ɸa?	头～
叔	ʃiɔu?	
取	tʃʰy?	
變	mɘŋ?	
口	hɔu?	
古	kɑu?	
句	ȶɑ?	
叫	ȶɤɯ?	
可	kʰɑu?	
台	ta?/tʰæ?	戏～
右	iɔu?	
叶	i?	树～
号	hoɔ?	名
吃	iɔu?	
各	ku?	
吉	tʃi?	
名	mioŋ?	
后	hɔu?	前～
向	ʃiaŋ?	
吕	lɑ?	
吞	tʰɘŋ?	
含	haŋ?	～一口水
听	tʃʰioŋ?	～见
吴	ŋɑu?	
吸	tsuæi?	
吹	tʰoɔ?	
味	uɑ?	
命	mioŋ?	
咸	hɘŋ?	～淡
品	pʰi?	
響	ʃiaŋ?	
啞	ia?	
哭	hɑu?	
唇	ʃi?	
唱	tʰaŋ?	
善	ʃi?	
喊	hi?	
喜	ʃi?	
嘴	ȶa?	
器	tɕʰi?	
四	sɑ?	
回	fa?	
园	uɘŋ?	
困	kʰuɘŋ?	
圍	uɑ?	
國	kuɤɯ?	
圖	tɑu?	
圓	kɘŋ?	
圈	kɘŋ?	圆～
土	tʰɑu?	
地	tɑ?	
均	tɕyi?	
坏	fɑ?	
坐	tsɤɯ?	
坑	tɘŋ?	
块	kʰua?	
墳	fɘŋ?	
垂	ʃoɔ?	
墊	tɘŋ?	
埋	ma?	
城	ʃioŋ?/tsən?	
塔	tʰu?	
塞	sɔu?	
墨	mɔu?	
墩	tɘŋ?	
壁	piu?	
壯	tsaŋ?	
聲	ʃioŋ?	
殼	ʃɔu?	
壺	hɑu?	
夏	fu?	春～
外	ŋua?	
多	lɤ?	
夜	iu?	
够	kɔu?	
大	tia?	～小
天	tʰɘŋ?	
失	ʃi?	
頭	tɔu?	
夾	ka?	～子
奪	tuo?	
契	tʃʰi?	
女	ŋɑ?	
奴	nɑu?	
