#漢字	音標	解釋
七	tsʰae6	
三	so1	
下	ho5	方位词
業	nie6	
東	tie1	
絲	sɿ1	
九	tɕiəu3	
書	ɕi1	
買	mia5	
虧	kʰuae1	
五	ŋ̍5	
交	tɕiəu1	
仇	tsʰəu2	~恨
代	tia5	
份	pʰie6	
休	səu1	
傘	ɕi3	
住	tsʰao6	
修	səu1	
借	tɕyo5	
停	tʰyo2	
催	tsʰuae1	
兌	to5	
全	tsʰuaŋ2	
六	liəu6	
關	kue1	
兵	pyo1	
再	tɕia5	
湊	tsʰəu5	
几	tsɿ3	
切	tsʰɿ6	
初	tsʰao1	
刪	suaŋ1	
勸	kʰuaŋ5	
辦	pʰaŋ6	
包	piəu1	
匙	sə5	
千	tsʰaŋ1	
升	ɕie1	
半	pie5	
單	ti1	
賣	mia6	
南	lo2	
印	ie5	
去	hao5	来~
縣	fan6	
變	paŋ5	
古	kao3	
葉	zɿ6	
后	həu5	~代
含	hen2	
听	tʰyo5	
吵	tsʰə3	
味	uae6	
咸	ho2	
哭	hao6	
喜	sɿ3	
嚼	tɕʰiəu6	
四	sae5	
圓	uaŋ2	
地	tʰae6	
牆	tɕʰin2	
墨	mə6	
聲	so1	
天	tʰaŋ1	
夾	ka6	
女	ni5	
好	ɕi3	
妹	mə6	
姜	tɕin1	
姨	zɿ2	
媒	mə2	
嫌	ɕin2	
孝	ɕiəu5	
孽	ni6	
守	səu3	
官	kue1	
定	tʰyo6	
寶	pi3	
客	kʰo6	
寄	tsɿ5	
密	pʰa2	
寒	he2	
寸	tsʰuaŋ5	
尖	tsaŋ1	
就	tɕʰiəu6	
尽	tɕin3	~前
尿	liao1	
屎	sɿ3	
山	ɕi1	
歲	suei5	
左	tso5	
帖	tʰi6	
帶	tia5	
席	tɕʰyo6	
幫	pen1	
平	pʰyo2	
廟	mi6	
開	hə1	
强	tɕʰin2	
當	ten1	
快	kʰua5	
念	lan6	
急	tɕi6	
怪	kua5	
驚	tɕyo1	
戲	sɿ5	
戴	tia5	
戽	sao5	
摳	həu1	
拳	kʰuaŋ2	
挾	ka6	
接	tsɿ6	
插	tɕʰia6	
摸	mə5	
撤	tsʰo6	
放	pen5	
數	sao3	动词
斤	tɕie1	
斧	pu3	
月	uei6	
有	hou5	
服	fu6	
木	mao6	
本	pie3	
殺	ɕia6	
杉	so1	
李	lae5	
來	la2	
板	pi3	
査	tsʰo2	
橋	tsʰɿ2	
梅	mə2	
梨	lae2	
梳	sao1	
棋	tsʰɿ2	
楝	laŋ6	
模	mao2	
橫	vi2	
樵	tsʰɿ2	
欠	tɕʰin5	
正	tso1	~月
死	sae3	
毒	tʰao6	
毛	mi2	
气	tsʰɿ5	
水	suae3	
永	lyo5	~州，地名
求	tɕʰiəu2	
江	tɕin1	
汽	tsʰɿ5	
油	iəu2	
法	fiəu6	
泥	ni2	
洗	sɿ3	
洞	tʰie5	
淺	tsʰaŋ3	
浮	pʰi2	
浸	tsʰae6	
淡	tʰo5	
深	ɕie1	
淸	tɕʰyo1	
渣	tso1	
演	in5	
灌	kue5	
燈	tie1	
炭	tʰi5	
點	tiaŋ3	
燒	sɿ1	
熟	səu6	
牽	tɕʰin1	
犯	fie5	
猗	tsʰɿ5	站
豬	tɕi1	
甁	pʰyo2	
疑	ni2	
瘡	tsʰen1	
痔	tsɿ5	
白	pʰo6	
百	po6	
皮	pʰa2	
皺	tsəu5	
鹽	lin2	
盒	ha6	
眞	tɕie1	
着	tsə6	穿
知	tae1	
短	tie3	
砌	tsʰɿ5	
碎	so5	
磨	mə2	动词
祁	tsʰɿ2	
离	lae2	
禾	vu2	
移	zɿ2	
稅	suei5	
空	he1	形容词
窯	zɿ2	
竹	tsəu6	
笛	tʰyo6	
答	to6	
箱	ɕin1	
篾	mi6	
米	mi5	
粉	fie3	
糯	lə6	
緊	tɕie3	
紫	tsɿ3	
紅	he2	
紡	pʰen3	
結	tsɿ6	
緣	yaŋ2	
缺	kʰuei6	
罰	fia6	
罪	tsʰo6	
老	li5	
肝	ke1	
腸	lin2	
肺	fei5	
脹	tsen6	
脉	mo6	
脚	tɕi6	
臘	lo6	
腮	tɕʰia1	
舅	tɕʰiəu5	
節	tsɿ6	
莧	hi6	
苦	hao3	味道~
草	tɕʰi3	
葬	tsen5	
葱	tɕʰie1	
蒸	tɕie1	
蟲	lie2	
蛆	tɕʰi1	
血	fei6	
袖	tɕʰyo6	
角	tɕi6	
討	tʰi3	
記	tsɿ5	
試	sɿ5	
話	ho6	
調	ti5	~动
象	ɕin5	
貨	kʰəu5	
貪	tʰi1	
贖	sao6	
賴	lia6	
贏	lyo2	
起	sɿ3	
越	ye6	
足	tsu6	
路	lao6	
身	ɕie1	
輕	tɕʰyo1	
轎	tsʰɿ6	
輸	ɕi1	
辣	lia6	
邊	paŋ1	
達	ta6	
近	tɕʰie5	
遠	uaŋ5	
連	laŋ2	
遲	tsʰɿ2	
退	tʰo5	
逗	təu1	
酒	tɕiəu3	
重	tɕʰie5	轻~
野	lyo5	
針	tɕie1	
釘	tyo1	名词
鐵	tʰi6	
銅	tʰie2	
錯	tsʰə6	
錫	ɕyo6	
鋸	tɕi5	
鏡	tɕyo5	
鐮	laŋ2	
門	mie2	
鬧	ni6	
