#漢字	音標	解釋
□	kʰa1	~~菜,表又细又瘦,一把可握住
□	miən1	~甜
□	tʂʰʯa2	~雨，淋雨
□	uo2	~火.~火粪
□	tʂau2	~祸
□	tiən2	~倒了
□	tʂʰuai5	~了一身泥巴
□	kʰən5	~节,要紧的地方
□	tʰən5	互相依赖,扯皮,~穷
□	niau2	厉害
□	ʐʯa1	叫,莫~
□	tʂʰan5	同意,你~不~
□	ʂuŋ2	吝啬
□	ʐʯa5	器物口不圆
□	piaŋ2	坏,死,咧个人~了
□	xai1	大,好~实的一条猪
□	kʰai2	打.~他一顿
□	pʰia5	打,~他一个耳光
□	ʂʯa5	抽打,~他两条子
□	xaŋ3	拥挤,逢场,街上~人不开
□	tia2	提:~一壶水
□	lau1	摸，其~
□	tʂʰɛ5	炫耀:~婆娘
□	tsaŋ2	用拳头打
□	sau2	瞅.~了她一眼
□	ŋən3	硬物使身体受力
□	mia1	程度副词,~~子,最小的。只有一~~气
□	lia1	程度副词,~苦
□	tʰia3	耷拉,~起脑壳
□	tʂʰʯa5	胡写乱画,乱~了几个字
□	niəu5	莫~,不要动,站在原地
□	tʰiau3	裸体,打~胯,下身不穿裤衩
□	tʂuai3	要派头,玩~
□	ku2	蹲下
㧸	pʰaŋ3	碰，~脑壳
䞀	xəu2	贪心
一	i2	
丁	tiən1	
七	tɕʰi2	
万	uan5	
丈	tʂaŋ5	
三	san1	
上	ʂaŋ5	
下	xa5	1~街,~楼梯
下	ɕia5	上~
不	pu2	
与	ʐʯ3	给~
丐	kai5	
丑	tʂʰəu3	
專	tʂʯan1	
且	tɕʰiɛ3	
丕	pʰei1	
世	ʂʅ5	
丘	tɕʰiəu1	
丙	piən3	
業	niɛ2	
叢	tsʰuŋ2	
東	tuŋ1	
絲	sɿ1	
丞	tʂʰən2	
丢	tiəu1	
兩	liaŋ3	~个
嚴	nian2	
喪	saŋ1	~事
喪	saŋ5	~命
个	kuo5	
丫	ia1	
中	tʂuŋ1	
中	tʂuŋ5	射~
丰	fəŋ1	
串	tʂʰʯan5	
串	tʂʰʯa1	训读，一~葡萄
臨	liən2	
丸	ʯan2	
丹	tan1	
爲	uei2	
爲	uei5	
主	tʂʯ3	
麗	li5	
舉	tʂʯ3	
乃	nai3	
久	tɕiəu3	
義	ni5	
之	tʂʅ1	
烏	u1	
乍	tʂa5	
乎	xu1	
乏	fa2	
樂	luo2	快~
樂	io2	音~
喬	tɕʰiau2	
乖	kuai1	
乘	tʂʰən2	~车.~除
乙	i2	
九	tɕiəu3	
乞	tɕʰi2	
也	iɛ3	
習	ɕi2	
鄉	ɕiaŋ1	
書	ʂʯ1	
買	mai3	
亂	lan5	
乳	ʐʯ3	
乾	kan1	~湿
乾	tɕʰian2	~坤
了	liau3	~结.~解
予	ʐʯ2	
爭	tsən1	
事	sɿ5	
二	ɚ5	
于	ʐʯ2	
虧	kʰuei1	
云	ʯən2	
互	xu5	
五	u3	
井	tɕiən3	
些	ɕiɛ1	
亡	uaŋ2	
交	tɕiau1	
亥	xai5	
亦	i2	
產	tsʰan3	
亨	xən1	
亨	ɕiaŋ3	
畝	mu3	
京	tɕiən1	
亭	tʰiən2	
亮	liaŋ5	
親	tɕʰiən2	
親	tɕʰiən5	~家
人	ʐən2	
億	i5	
什	ʂʅ2	
仁	ʐən2	
仄	tsɛ2	
僅	tɕiən3	
仆	pʰu1	~倒
仆	pʰu2	公~
仇	tʂʰəu2	
仇	tɕʰiəu2	姓
今	tɕiən1	
介	kai5	
介	tɕiai5	
仍	yŋ2	
从	tsʰuŋ2	~容，跟~
倉	tsʰaŋ1	
仔	tsɿ3	
仕	sɿ5	
他	tʰa1	
仗	tʂaŋ5	
付	fu5	
仙	ɕian1	
代	tai5	
令	liən5	
以	i3	
儀	ni5	
仰	niaŋ3	
件	tɕian5	
