#漢字	音標	解釋
□	tsʰa2	柴
□	liɛ̃ŋ5	~□tsʰiɛ̃ŋ41:闪电
□	tsʰiɛ̃ŋ5	□liɛ̃ŋ41-33~:闪电
□	puɤ5	~暗边:傍晚
□	sɐe5	~昨日:大前天。原文作“逊”
□	kɐ1	~蚤:跳蚤
□	mũ2	~□la33-21□kʰya41:蜘蛛
□	la1	□mũ24-21~□kʰya41:蜘蛛
□	kʰya5	□mũ24-21□la33-21~:蜘蛛
□	ko2	~□hue53:蚯蚓
□	hue3	□ko24-21~:蚯蚓
□	pai1	~婆:蝙蝠
□	pui5	眼~儿:萤火虫
□	ʃya2	~犬:狼
□	ku3	翼~:翅膀
□	pʰo1	柚子
□	tẽi6	门~:门槛
□	kãŋ3	鼎~:锅盖
□	ly1	~骹布
□	hui2	瓷
□	lui2	~囝:阴茎。原文作“朘”
□	pʰi3	膣~:女阴
□	tsiu3	膣~:女阴
□	nẽ1	阿~:母亲(面称)
□	tʃie1	~母:女人
□	nẽi3	~囝:小孩
□	ta5	压
□	ma5	肉
□	lɯ5	手~:手套。原文作“络”
□	sa2	澜~:围涎
□	ta1	干
□	pʰai3	坏
□	ŋo2	能干
□	ɯ5	乖巧
□	li5	舔
□	ʃiɯ5	吮吸
□	kʰia2	拿、扛
□	tsɐe1	不成熟
□	li2	踩踏
□	kũ6	提。原文作“掼”
□	sɐə6	穿。原文作“颂”
□	sɐə3	推。原文作“𢱤”
□	tsiɯ5	砍
□	kɐə5	叫
□	hɐ̃5	许愿
□	tai2	要(想要)
□	tʃʰyẽi5	找
□	ʃya5	(鸟)栖止
□	tsie1	追。原文作“执”
□	kʰu2	蹲
□	liau6	快。原文作“遛”
□	kuɤ1	(粥)稠
□	mi6	~使:不行
□	tẽi5	疼、痛
□	tsʰɐe5	~□tsʰe53:随便
□	tsʰe3	□tsʰɐe41-33~:随便
□	tsʰai3	事~:事情
□	kuɤ5	拥挤
□	kɯ5	~□tsai21:自己
□	tsai6	□kɯ41~:自己
□	hie5	那
□	ke6	这~:这里、许~:那里。原文作“垓”
□	to2	~□te21:哪里
□	te6	□to24-21~:哪里
□	na5	什~:什么
□	nẽi2	~生:怎么(做)
□	lua2	~其:多少
□	tui5	量词,块
□	ʃy6	聚集
□	mɯ2	没有。原文作“毛”
□	ty5	在。原文作“住”
□	sẽi2	~犬:唤狗。原文作“询”
□	lɐe5	~坪:山顶平地。原文作“仑”
□	pʰo5	我~你:我和你。原文作“泡”
□	nɐ̃3	越来越。原文作“偌”
□	ɐ̃5	再,又
㔶	kãŋ3	鼎~:锅盖
㴷	tãŋ2	湿
䀇	kũ3	茶~:茶壶
䘼	uẽi3	袖子
䭕	tsẽi3	淡
一	iɯ5	
七	tsʰie5	
万	uẽi6	
万	uãŋ6	
丈	tiũ6	~侬妈:岳母(背称)
三	sɐ̃1	
上	sãũ6	
下	a6	
下	ha6	
下	kia6	低
不	puɤ5	
世	ʃi5	
丘	kʰu1	塍~头:田埂
丙	pɐe3	
業	ŋie1	
東	tɐə1	
絲	sai1	
兩	liũ3	
嚴	ŋiɛ̃ŋ2	
个	ki6	
中	tiɐə1	
丰	hɐə1	
臨	lɐe2	
主	tʃy3	
舉	ky3	
久	ku3	
烏	u1	
九	ko3	
乞	kʰɯ5	给
也	ia6	
習	sie1	
鄉	hiũ1	
書	tʃy1	
買	mi3	
亂	luãŋ6	
了	liu3	完
了	le1	
爭	tsɐ̃1	白
爭	tsɐe1	文
事	te6	白
事	sɿ6	文
二	nai6	
虧	kʰuai1	
云	ue2	
云	hue2	
五	ŋu6	白
五	ŋu3	文
井	tsɐ̃3	
交	ko1	
產	sãŋ3	
亮	liɛ̃ŋ6	
親	tsʰɐe1	
人	ŋiɐe2	
什	ʃie5	~□na41:什么
仁	lɐe2	目珠~:眼珠
今	kɐ1	~年
仑	lɐe5	~坪:山顶平地
倉	tsʰãũ1	
仙	ʃiɛ̃ŋ1	
件	kiũ6	
價	ka3	
任	ŋiɐe6	
伊	i3	他
休	hiau1	
優	iau1	
伙	hue3	
會	hui6	开~
傘	sũ3	
傳	tiɛ̃ŋ2	
傷	sãũ1	
估	ku3	
位	uai6	
住	tʰiau6	白
住	tʃy5	文
住	ty5	在
佛	huɤ1	
作	tsɯ5	
作	tsɐ5	~息:干活
使	ʃie3	词表中“阿~:女儿”一词中作se53
儕	tsi6	多
儂	nɐə2	人
便	piɛ̃ŋ6	
信	sɐe5	
修	siau1	
倒	tɯ3	
候	ho6	
倚	ya3	~椅:靠背椅
借	tsiu5	
倩	tʃʰyãŋ5	漂亮、美丽
假	ka3	
偌	nɐ̃3	越来越
偏	pʰiɛ̃ŋ1	
做	tsɿ5	
停	tɐe2	
健	kyãŋ5	
偷	tʰo1	
僂	lo2	曲~:驼背
像	siũ6	
兒	i2	
兄	hẽi1	
充	tsʰɐə1	
先	ʃẽi1	白
先	siɛ̃ŋ1	文
光	kũ1	
黨	tãŋ3	
兜	to1	地~:地上
入	nie1	
全	tsẽi2	
