#漢字	音標	解釋
□	sɿ1	(茅~:厕所)
□	ky1	(~人:蜂蜇人)
□	fi1	(~毛崽:毛毛虫)
□	ŋɑ1	(~公:外公;~婆外婆)
□	xɑ1	(螃~:螃蟹)
□	diɑ1	(~dʑiɑ11:调皮)
□	kɛ1	(抓~:抓鬮)
□	tsɑŋ1	(lu13~骨:脚踝骨)
□	tiɑŋ1	(~kæ53:蠓,蚊子)
□	pã1	(二səu53 ~:妯娌)
□	bã1	(~tsau31:壁上异的尖端)
□	ɡã1	(gɛ22缺乏钱物)
□	uã1	(一~米:一手米)
□	uã1	(ləu22~床:三面有围拦的床)
□	sɒ̃1	(挠人身体使发痒发笑)
□	kɒ̃1	(男子~,男人~,女姓性称呼男性)
□	vi2	(红薯)
□	di2	(这么)
□	i2	(~个:这个)
□	du2	(~子:拳头)
□	lu2	(~㬹tsɑŋ33骨:脚踝骨)
□	dzɑ2	(~lɛ13房:厢房)
□	ɡɑ2	(~蟆:蛤蟆)
□	ɡɑ2	(~过门槛:跨过门槛)
□	ɡu2	(蹲)
□	dɛ2	(~dzɑ̃腮帮)
□	lɛ2	(dzɑ13~房:厢房)
□	mɑu2	(~pi53:跳蚤)
□	ŋɑu2	(~ɕi45:内行)
□	ɣɑu2	(~tau31:手两手互相笼在衣袖内或双手在胸前交叉)
□	dʑiɑu2	(~tsu53:跷二郎腿)
□	mən2	(内kuɒ̃31~:男性称呼女姓)
□	bin2	(~火虫:萤火虫)
□	lin2	(~pu33:床:旧时类拟房间有床项的床)
□	uən2	(~tsoŋ45:眼白)
□	biɑŋ2	(~火虫:萤火虫)
□	mɒŋ2	(~槌:洗衣服用的木棒)
□	dzã2	(~dɛ13:腮帮)
□	dzã2	(~ka45:涎隔:涎布)
□	ŋã2	(门打开一点)
□	miã2	(vi13 ~房:大门两的小房间)
□	dʑiã2	(~ɣau11:女婿)
□	ɣɒ̃2	(~fy31:小病)
□	dzɿ3	(理睬)
□	fy3	(ɣɑ̃13:~小病)
□	mi3	(dzɿ33~:茡荠)
□	ɕi3	(~瓜:丝瓜)
□	tɕiɑ3	(~毑:奶奶)
□	ku3	(螃~:螃蟹)
□	lɛ3	(抓)
□	tsæ3	(ka33~:mm婴儿坐的有围栏的椅子)
□	kuæ3	(左~子:左撇子)
□	tɑu3	(:相当于助词著)
□	tsɑu3	(~bɑ̃::屋檐上翘的尖端)
□	mən3	(~tsɛ̃31:木头干枯腐烂)
□	bɑŋ3	(~门:用力关紧门)
□	lɑŋ3	(~崽:小牛)
□	ɡɑŋ3	(咳嗽)
□	lɒŋ3	(抖东西去掉灰尘朗)
□	lɒŋ3	(纱~:泛指窗户)
□	məŋ3	(~tɑu31:捂住)
□	dzəŋ3	(把人轰出去)
□	dzəŋ3	(推)
□	tɕiã3	(把东西藏来)
□	kuɒ̃3	(内~mən13:性称呼女性)
□	tsɛ̃3	(mən31 ~:木头干枯腐烂)
□	m̩3	(~姆:妈妈)
□	du6	(~桌:桌子)
□	ɣɑ6	(全部)
□	dʑiɑ6	(diɑ33~:调皮)
□	miɛ6	(~xɛ53:蚯蚓)
□	ɣɑu6	(dʑiɑ̃13~女婿)
□	lin6	(结~kɒŋ45:结冰)
□	ɣɒŋ6	(地~:地上)
□	ȵiã6	(哪)
□	dɒ̃6	(酒:酒窝)
□	uɒ̃6	(~鞋口:缉鞋底)
□	pi7	(mɑu~:跳蚤)
□	tɕi7	(~tsɑ̃:机灵)
□	ɕi7	(~涕:哭泣)
□	dʑi7	(~~地做，偷偷做某事)
□	i7	(sə53~:打嗝)
□	tsu7	(打~:马地蹶子)
□	tsu7	(tiɑu45~蜂:黄蜂)
□	tsu7	(dʑiɑu~:跷二郎腿)
□	xu7	(扯~闪:闪电)
□	ku7	(~tɕi:脸上长的小疙瘩)
□	tsə7	(竹篾編的用來曬穀物，干菜的，粗而长的席子)
□	sə7	(~i53:打嗝)
□	ɛ7	(gɑ̃33~缺乏物)
□	xɛ7	(miɛ11~:蚯蚓)
□	tɕiɛ7	(柿子~:涩)
□	tæ7	(~pɑ33 lɑ3l: 腰扭伤)
□	kæ7	(~zə22:口齿不清)
□	kæ7	(~tɕi45:鞋,旧时裹脚女穿的鞋)
□	səu7	(二~pɑ̃33:妯娌)
□	li8	(dzəu22~:用力打)
□	zə8	(kæ53~:□齿不清)
□	biɛ8	(~着墙:倚靠着墙)
□	dæ8	(~凳:床前放脚的踏板)
□	ləu8	(~uɑ̃床:三面有围栏的床)
□	dzəu8	(~li22:用力打)
□	y5a	(喂饭)
□	tɕi5a	(油~~:菜放油放多了，吃起来腻)
□	tɕi5a	(kæ53~鞋:旧时要裹脚妇女穿的鞋)
□	ɕi5a	(~ŋɑu13:内行)
□	iɑ5a	(~kuæ45:灵巧)
□	kuæ5a	(iɑ45~:灵巧)
□	tiɑu5a	(~子:未阉的公牛)
□	tiɑu5a	(~tsu53 蜂黄)
□	ləu5a	(~补锅的)
□	liəu5a	(~匠:瓦匠)
□	tɕiəu5a	(~盖子.把盖子扭开)
□	fən5a	(~头:撑鞋拥的木制脚模型)
□	mɑŋ5a	(~~:婴儿)
□	tiɑŋ5a	(扔,丢)
□	kuɑŋ5a	(~清:水很清亮)
□	uɑŋ5a	(~~的:很光亮)
□	tsɒŋ5a	(uən13~:眼白)
□	kɒŋ5a	(结凌~:结冰)
□	təŋ5a	(戏弄)
□	ɕiã5a	(蜒~婆:蜻蜓)
□	tsɒ̃5a	(tɕi53~:机灵)
□	dzɑ5b	(手~:手指缝)
□	ɡuɑŋ5b	(狗叫)
□	iɑ5a	
㞘	təu7	(碗~:碗底)
一	i7	
丁	tin1	(铁~)
丁	tiɑŋ1-	
七	dʑi7	
万	uã6	
丈	dzɒŋ6	
三	sã1	
上	zɒŋ6	
下	ɣɑ6	
不	pu7	
与	y3	
丐	kæ5a	
丑	dzəu3	
專	kuɒ̃1	
且	dʑiɛ6	
丕	bi1	
世	sɿ5a	
丘	dʑiəu1	
丙	pin3	
業	ȵiɛ8	
叢	dzəŋ2	
東	təŋ1	
絲	sɿ1	
丞	dzən2	
丢	tiəu1	
兩	liɒŋ3	
嚴	ȵiã2	
嚴	ȵiã6	
喪	sɒŋ5a	
个	ku5a	
丫	ŋɑ1	
中	tsəŋ1	(当~)
中	tsəŋ5a	(射~)
丰	xəŋ1	
串	ɡuɒ̃5b	
臨	lin2	
丸	uɒ̃2	
丹	tã1	
爲	ui2	
主	ky3	
麗	li6	
舉	ky3	
乃	læ3	
久	tɕiəu3	
麽	mu3	(~li:什么)
義	ȵi6	
之	tsɿ1	
烏	u1	
乎	fu1	
乏	væ8	
樂	lu8	(快~)
樂	iu8	(音~)
喬	dʑiɑu2	
乖	kuæ1	
乘	zən2	
乙	i7	
九	tɕiəu3	
乞	dʑi7	
也	iɑ3	
習	ʑi8	
鄉	ɕiɒŋ1	
書	fy1	
買	mæ3	
亂	lɒ̃6	
乳	y3	
乾	dʑiã2	
了	liɑu3	(~结)
爭	tsɑŋ1-	
爭	tsɛ̃1=	
爭	tɛ5a	
事	zɿ6	
二	ə6	
于	y2	
虧	ɡui1	
云	uən2	
互	vu6	
五	u3	
井	tɕiɑŋ3-	
井	tɕin3=	
亞	ɑ5a	
些	ɕiɑ1	
亡	uɒŋ2	
交	tɕiɑu1	
亥	ɣɛ6	
亦	i7	
產	dzã3	
亨	xɛ̃1	
畝	miɑu3	
享	ɕiɒŋ3	
京	tɕin1	
亭	din2	
亮	liɒŋ6	
親	dʑin1	(~戚)
親	dʑin5b	(~家)
人	ȵin2	
人	uən2=	
億	i7	
什	zə8	
仁	ȵin2	(瞳~:眼珠)
仆	bu7	
仇	dzəu2	
今	tsɑu1	
今	tɕin1	
介	kæ5a	
仍	in2	
从	dzəŋ1	(~容)
从	dzəŋ2	(跟~)
仑	lən2	
倉	dzɒŋ1	
仕	zɿ6	
他	dɑ1	
仗	tsɒŋ5a	
付	fu5a	
仙	ɕiã1	
代	dæ6	
令	lin6	
以	i3	
儀	ȵi2	
仰	ȵiɒŋ3	
仲	dzəŋ6	
件	dʑiã6	
任	uən2	(姓)
任	uən6	(~务)
份	vən6	
仿	fɒŋ3	
企	dʑi6	
伊	i1	
伍	u3	
伏	vu8	
伐	fæ7	
休	ɕiəu1	
衆	tsəŋ5a	
優	iəu1	
伙	xu3	
會	vi6	(开~)
會	kuæ5a	(~计)
傘	sã3	
偉	ui3	
傳	ɡuɒ̃2	(~达)
傳	ɡuɒ̃6	(~记)
伢	ŋɑ2	
傷	sɒŋ1	
倫	lən2	
僞	ui3	
伯	pə7	
估	ku1	
伴	bɒ̃6	
伶	lin2	
伸	sən1	
伺	sɿ1	
似	zɿ6	
佃	diã6	
但	dã6	
位	ui6	
低	ti1	
住	ɡy6	
佐	tsu3	
佑	iəu6	
體	di3	
何	u2	(~li:为什么)
何	ɣu2	
佘	zɛ2	
余	y2	
佛	vu8	
作	tsu7	
你	n̩3	(白)
你	ȵi3	
佩	bi6	
佳	tɕiɑ1	
使	sɿ3	
侄	dzə8	
侈	dzɿ3	
例	li6	
侍	dzɿ6	
供	kəŋ1	(~给)
供	kəŋ5a	(~养)
依	i1	
僥	tɕiɑu1	
偵	tsən1	
側	tsɛ7	
僑	dʑiɑu2	
侮	u3	
侯	ɣɛ2	
侵	dʑin1	
便	biã6	(~宜，方~)
係	ʑi6	
促	dzəu7	
俄	ŋu2	
俊	tsən5a	
俏	dʑiɑu5b	
俗	zəu8	
俘	vu2	
保	pɑu3	
信	ɕin5a	
儼	ȵiã3	
儉	dʑiã6	
修	ɕiəu1	
俯	fu3	
俱	ky1	
俸	xəŋ5a	
俾	bi6	
倍	bi6	
倒	tɑu3	(打~)
倒	tɑu5a	(~水,~拐guɑ24:手肘)
倔	kuɛ7	
倘	dɒŋ3	
候	ɣɛ6	
倚	i3	
倚	dʑi6	
借	tɕiɑ5a	
倡	dzɒŋ1	
倦	ɡuɒ̃6	
倪	ȵi2	
債	tsæ5a	
值	dzə8	
傾	dʑin1	
假	tɕiɑ3	
偏	biã1	
做	tsəu5a	
停	din2	
健	dʑiã6	
偶	ŋɛ3	
偷	dɛ1	
償	sɒŋ3	
傅	fu5a	
傍	bɒŋ6	
傢	tɕiɑ1	
儲	ɡy2	
催	dʑi1	
傲	ŋɑu6	
傻	sɑ3	
像	dʑiɒŋ6	
僧	sɛ̃1	
僵	tɕiɒŋ1	
僻	bi7	
儒	y2	
兒	ə2	
允	uən3	
元	uɒ̃2	
兄	ɕiŋ1	
充	dzəŋ1	
兆	zɑu6	
先	ɕiã1	
光	kuɒŋ1	
克	ɛ7	
免	miã3	
兑	ti5a	
兔	dəu5b	
黨	tɒŋ3	
兜	tɛ1	
入	uɛ8	
全	dʑiã2	
八	pæ7	
公	kəŋ1	
六	ləu8	
兮	ɕi1	
蘭	lã2	
共	ɡəŋ6	
關	kuã1	
興	ɕin1	(~旺)
興	ɕin5a	(高~)
兵	pin1	
其	dʑi2	
具	ɡy6	
典	tiã3	
兹	dzɿ2	
養	iɒŋ5a	(~父母)
養	iɒŋ3	
兼	tɕiã1	
獸	ɕiəu5a	
冀	tɕi5a	
内	li6	
冇	mɑu6	(没有)
岡	kɒŋ1	
冉	uɒ̃3	
册	dzɛ7	
再	tsæ5a	
冒	mɑu3	
寫	ɕiɑ3	
軍	kuən1	
農	ləŋ2	
冠	kuɒ̃1	(衣~)
冠	kuɒ̃5a	(~军)
冢	dzəŋ6	
冤	uɒ̃1	
冬	təŋ1	
馮	ɣəŋ2	
冰	pin1	
冲	dzəŋ1	
決	kuɛ7	
况	ɡuɒŋ5b	
冷	liɑŋ3-	
冷	lən3=	
凍	təŋ5a	
淨	dʑin6	
準	kuən3	
涼	liɒŋ2	
凌	lin2	
減	kã3	
湊	dzɛ5b	
凝	ȵi2	
几	tɕi1	(茶~)
几	tɕi3	(~乎，~个)
凡	vã2	
鳳	ɣəŋ6	
凭	bin2	
凱	ɡæ3	
凳	tɛ̃5a	
凶	ɕiŋ1	
出	ɡuɛ7	
擊	tɕi7	
函	ɣɒ̃2	
鑿	dzu7	
刀	tɑu1	
刁	tiɑu1	
刃	uən3	
分	fən1	
切	dʑiɛ7	(~开)
刊	ɡɒ̃1	
刎	uən3	
刑	ʑin2	
划	vɑ2	(~船)
划	vɑ6	(计~)
列	liɛ8	
劉	liəu2	
則	tsɛ7	
剛	kɒŋ1	
創	dzɒŋ5b	
初	dzəu1	
删	sã1	
判	bɒ̃5b	
刨	bɑu2	
利	li6	
别	biɛ8	
刮	kuæ7	
到	tɑu5a	
制	tsɿ5a	
刷	sɑ7	
券	ɡuɒ̃5b	
刺	dzɿ5b	
刻	ɛ7	
劊	kuæ5a	
刴	tu5a	
劑	tɕi5a	
剃	di5b	
削	ɕiu7	
前	dʑiã2	
剮	kuɑ3	
劍	tɕiã3	
剔	di7	
剖	biɑu3	
剜	uã1	
剝	pu7	
劇	ky5a	
剩	zən6	
剪	tɕiã3	
副	fu5a	
割	kø7	
