#漢字	音標	解釋
□	su10	(連讀音)~只:哪个
□	ɦy3	1,裂口;~坼:裂开
□	ɦi3	2,裂口;~坼:裂开
□	su1	~□saoŋ11:醒过来
□	ŋiu1	~䘆:蚯蚓
□	taoŋ1	~□□lui11tioŋ11:患疟疾
□	py2	~□ty53仔树:乌桕树
□	la2	~□sai43:肮脏
□	la2	~□lɔi43:干净
□	hia2	~□ŋia334帚:用竹子做的扫帚
□	pɔi2	~□po334:蝙蝠
□	ɕiŋ2	~布:织布
□	ʔiŋ2	~仔:台阶
□	xaŋ2	~□xui334仔:蜻蜓
□	ɕiaŋ2	~鸡:呼鸡
□	luaiŋ2	~仔:尿布
□	ʔioŋ2	~□mai334仔:青蛙
□	ki3	~下:现在
□	kʰu3	~毛:霉
□	tia3	~拄:挑担用的棍子
□	pʰiŋ3	~尘:掸尘
□	ʔaiŋ3	~□□taiŋ334py334:蜥蜴
□	tuaiŋ3	~倒:摔倒
□	moŋ3	~荠:荸荠
□	moŋ3	~行下仔:随便走一走
□	ɦioŋ3	~贵:这么贵
□	la5	~□ly33仔:蜘蛛
□	xuai5	~食:乞丐
□	ɦiŋ5	~仔:肫
□	ʔaiŋ5	~住:盖上
□	lao6	~仔:大秤
□	tɕye6	~记:忘记
□	hiŋ6	~仔:盖子
□	tɕi7	~~:乳房
□	su7	~雀仔:麻雀
□	ʔia7	~刀:闪电
□	mɔi7	~喙:接吻
□	mɔi7	~仔:一点儿,几~:多少
□	ʔe7	~□le334:怎么
□	ʔiaʔ8	~手:招手
□	ʔeʔ8	~记:订婚
□	ɦao9	~包豆:蚕豆
□	laŋ9	~冥:昨天
□	ty1	□py334~仔树:乌桕树
□	kiŋ1	□□su55maŋ334~:什么时候
□	py2	□□ʔaiŋ11taiŋ334~:蜥蜴
□	ŋia2	□hia334~帚:用竹子做的扫帚
□	mai2	□ʔioŋ334~仔:青蛙
□	le2	□ʔe214~:怎么
□	po2	□pɔi334~:蝙蝠
□	xui2	□xaŋ334~仔:蜻蜓
□	maŋ2	□su55~□kiŋ53:什么时候
□	taiŋ2	□ʔaiŋ11~□py334:蜥蜴
□	lui3	□taoŋ53~□tioŋ11:患疟疾
□	saoŋ3	□su53~:醒过来
□	tioŋ3	□□taoŋ53lui11~:患疟疾
□	ly5	□la33~仔:蜘蛛
□	sai6	□la334~:肮脏
□	lɔi6	□la334~:干净
□	haŋ5	一种补语,掉,如,□ɦi214只鸡死~:这只鸡死了
□	mai5	不会
□	xai3	东西;事情
□	ʔo7	乖
□	keɔ5	做~:冻冰
□	tʰuʔ8	凸
□	ʔeɔ1	凹
□	kʰaiŋ5	刚
□	mui2	别,不要
□	tʰai7	勤快
□	ʔoŋ2	发~狗:疯狗
□	ʔeɔ3	叫
□	ki7	和,跟
□	kui1	嗉子
□	tia6	地,如,扫~。“地下”的合音
□	hi6	块,蜀~钱:一块钱,蜀~豆腐:一块豆腐
□	lai6	多
□	lo6	寻找
□	liu9	干燥
□	te7	成熟
□	xao3	我~人:我们,你~人:你们
□	mi7	扔
□	sa2	抓痒
□	na2	拃
□	te5	拔,拉
□	tɕye2	拧
□	ɕiɔ7	拾,~拾:收拾
□	luiŋ6	掉落;遗失
□	ŋye2	掐
□	loŋ9	掷~:跳神
□	no2	揉
□	ɦyeiŋ5	提梁
□	lɔiŋ6	提
□	tsaŋ6	摁
□	lo6	摞
□	tɕʰi3	撕
□	tsuiʔ8	擦
□	xoŋ1	村~:村庄
□	tʰao2	柴
□	ŋao2	歪
□	mao1	没有,无
□	naiŋ1	没有,未;~是:不是、不在
□	ŋao6	煎
□	huai3	生~:患麻风病
□	suai7	皱纹
□	leʔ8	目~:眼泪
□	tʰu7	看
□	ɦu5	石~:石头
□	tɕiaŋ6	砚~:砚台
□	lɔiŋ3	稀
□	tsoŋ6	穿衣
□	tɕʰiɔ3	窝
□	suai7	簸箕形的指纹
□	ɦai9	系,结
□	kʰe7	翅膀
□	ɦiɔ5	肿
□	tɕi7	背~心:背脊
□	la7	舔
□	luaiʔ8	蟑螂
□	ʔia2	蠓虫~:癞蛤蟆
□	ŋioŋ6	要
□	luai2	解大小便
□	ɦyeiŋ9	谷~:簸粮食用的簸箕
□	haŋ6	趴
□	leɔ6	路
□	no7	踩
□	tu1	蹲
□	ly3	躲
□	paŋ1	迈,跨
□	ʔa5	还,再
□	ɦi7	这
□	lao5	远
□	kai5	追
□	ɦu7	那
□	lyeiŋ9	门~:门槛儿
□	mɔiŋ5	闭着嘴嚼
