#漢字	音標	解釋
□	ɕiɛ3	~前日:大前天
□	xɔ3	傻
□	viɔ7	大聲呵斥，高聲叫喊
□	kyɔ5	存疑，脆響聲，見於《湖北崇陽方言音系及特點》/kuiaC1/
□	fu2	或為「泭」，~水:游泳
□	nən2	或為「凌」，~包子:冰雹
□	za6	或為「㾹」，~雨:淋雨
□	ta7	或為「撘」，~了一跤
□	ɕiɛ1	本字“疏”，魚韻白讀，衣服掀開;粥稀
□	na7	用嘴舔
□	na7	眨眼
㞎	pɔ3	
㞘	təu7	末尾
㪕	dɑu/lɑu1	
㾹	za6	存疑，~雨:淋雨
㿭	zɔ7	
一	i7	
丁	tiɑŋ1	
七	ʑi7	
丈	dɑŋ/lɑŋ6	
三	sa1	
上	sɑŋ6	
下	xɔ6	
不	pa7	
丐	ka5	
丑	dəu/ləu3	
丕	bi1	
世	sɿ5	
丘	ʑiəu1	
丙	pin3	
丞	dən/lən2	
丞	sən2	
丟	tiəu1	
並	bin6	
丫	ŋɔ1	
中	tən1	
中	tən5	
串	dɤ/lɤ5	
丸	viɛ2	老派yɛ
丹	ta1	
主	təu3	
乃	na3	
久	tɕiəu3	
么	iʊ1	
之	tsɿ1	
乎	fu1	
乏	fa7	
乓	bɑŋ1	
乖	kua1	
乘	sən2	
乙	i7	
九	tɕiəu3	
乞	ʑi7	
也	iɔ3	
乳	ɤ3	
乳	dəu/ləu3	新派音，ləu
乾	kɤ1	
乾	ʑiɛ2	
亂	nɤ6	
了	liʊ/diʊ3	~結
了	dɤ/lɤ6	声调存疑
事	sɿ6	
二	ɤ6	
于	vi2	
云	vin2	
互	fu6	
五	n̩3	
井	tɕiɑŋ3-	
些	ɕiɔ1	
亞	iɔ5	
亡	uɑŋ2	
交	kɑu1	
亦	i7	
享	ɕiɑŋ3	
京	tɕin1	
亭	lin/din2	
亮	liɑŋ/diɑŋ6	
人	ȵin2-	
人	dən/lən2	
什	sɤ7	
仁	ȵin2-	
仁	dən/lən2	
仆	bu7	
仇	dəu/ləu2	
仇	ʑiəu2	
今	tɕin1	
介	ka5	
仍	in2	
仕	sɿ6	
他	dɔ/lɔ1	其~
仗	dɑŋ/lɑŋ6	
付	fu5	
仙	ɕiɛ1	
代	da/la6	
令	lin/din6	
以	i3	
仰	ȵiɑŋ3	
仲	zən6	
件	ʑiɛ6	
任	ȵin6-	
任	dən/lən6	
份	fən6	
仿	fɑŋ3	
企	ʑi3	
伊	i1	
伊	i3	第三人稱兼遠指代詞，本字「渠」
伍	n̩3	
伏	fu7	
伐	fa7	
休	ɕiəu1	
伢	ŋɔ2	
僞	ŋi6	
伯	pɔ7	
估	ku1	
伴	bɤ6	
伶	lin/din2	
伸	sən1	
伺	zɿ5	
似	sɿ6	
佃	liɛ/diɛ6	
但	da/la6	
位	vi6	
低	ti1	
住	dəu/ləu6	
佔	tɤ5	
何	xʊ2	
佘	sɔ2	
余	vi2	
佛	fɤ7	
作	tsʊ7	
佞	ȵin6	
你	n̩3	
佩	bi5	
佳	tɕiɔ1	
併	pin5	
使	sɿ3	
侄	zɿ7	
來	na2	
侈	zɿ3	
侉	uɔ3	
例	li/di6	
侍	sɿ6	
供	kən1	
供	kən5	
依	i1	
侮	u3	
侯	ʑiʊ2	
侵	ʑin1	
便	biɛ2	
便	biɛ6	
係	ɕi6	
促	zəu7	
俄	ŋʊ2	
俊	tɕin5	
俏	ʑiʊ5	
俗	ɕiəu7	
俘	fu1	
保	pɑu3	
信	ɕin5	
修	ɕiəu1	
俯	fu3	
俸	fən5	
倉	zɑŋ1	
個	kʊ5	
倍	bi6	
倒	tɑu3	
倒	tɑu5	
倘	dɑŋ/lɑŋ3	
候	ʑiʊ6	
倚	i3	
借	tɕiɔ5	
倡	zɑŋ5	
倣	fɑŋ3	
倪	ŋi2	
倫	nən2	
倭	uʊ1	
值	zɿ7	
假	tɕiɔ3	
假	kɔ3	
偉	vi3	
偏	biɛ1	
做	tsɿ5-	
做	tsəu5=	
停	lin/din2	
健	ʑiɛ6	
側	ʑiɛ7	
偵	tsən1	
偷	liʊ/diʊ1	
偷	dəu/ləu1	
僞	vi3	
傅	fu5	
傍	bɑŋ6	
傑	ʑiɛ7	
