#漢字	音標	解釋
□	sɔ5	"四个"的合音
□	tsɑ2	pia213~:吃东西嘴巴发出的声音
□	ly2	tʂʰu213~:动作快
□	tʂʰu1	~□ly443: 速度快
□	tsʰɿ2	~面:未发酵的面
□	sɑŋ2	~摆人:说别人坏话
□	tsʰɑŋ5	~痒:背部倚物摩擦解痒
□	tʂʰuæ1	“重开”的合音，一会儿的意思
□	ʐou1	“日头”的合音:〜地儿
□	pɑ2	“八个”的合音
□	ʐɑ2	“人家”的合音
□	tʂuɑ2	“做啥”的合音
□	luɤ2	“六个”的合音
□	kuɤ2	“给我”的合音
□	tʂɔ2	“知道”的合音
□	ʂɔ2	“十个”的合音
□	tsʰiɔ2	“七个”的合音
□	siou2	“媳妇”的合音:〜子
□	tsian2	“既然”的合音
□	tiɑ3	“底下”的合音
□	tɕyɤ3	“几个”的合音
□	tɕʰiɛ3	“起来”的合音
□	nian3	“你们”的合音
□	tiɑŋ3	“顶上”的合音
□	tiɑ5	“地下”的合音
□	uɤ5	“五个”的合音
□	yɤ5	“一个”的合音
□	tsiɔ5	“只要”的合音
□	nian5	“你看”的合音
□	xɑŋ5	“后晌”的合音:〜黑，指晚上
□	kʰou3	□厉害，脾气凶
□	piɑ1	〜咂嘴
□	tɕʰiɑŋ1	〜实:壮实
□	xəŋ2	〜人:欺负人
□	luŋ2	〜火:点火
□	kʰuɤ3	〜利:事情处理得干脆
□	kuei3	〜摆:臭美
□	ɣan3	〜眼:牲畜拉磨时蒙在眼上的罩子
□	mian3	〜辈:同辈
□	lɔ5	〜鸡娃儿:孵小鸡
□	tei5	〜将:刚才
□	kʰen5	〜价钱:买东西时卖家咬定价钱不松口
□	lin5	〜人:讨人嫌，让人不舒服
□	tʰiŋ5	〜倒:好吃懒做
□	men1	不聪明
□	ɕy2	不~顾:没注意到
□	ni5	不爱交谈:这人太~了
□	iɑ1	从:我〜这儿走
□	pʰi2	倒霉，运气差
□	pʰiɛ5	偏僻
□	tsʰi3	切，割:~开
□	lyɤ1	剪:〜一块布
□	nan3	只挑某种食物吃:他光〜肉
□	iŋ5	圪〜:恶心
□	uei2	坐在地上向前挪动
□	ʐuæ2	差劲:这人真〜
□	lyan3	平着铲或刮:〜点儿土垫垫路
□	niɔ2	形容女孩长得漂亮
□	ken5	往上够
□	ly2	打:~他一顿就好了
□	tsiou2	打结:这线〜住了
□	nɔ3	扛
□	tsʰuɤ2	抵消:这账咱们〜了吧
□	xɑŋ1	挺，鼓:〜着肚子给用大针缝
□	syan1	掀:给桌〜了
□	ɕiɛ3	掀:〜开锅盖
□	uŋ1	推:〜倒
□	ʂuɑŋ2	摔倒
□	tʂɑŋ3	放:菜太甜了，〜点盐
□	tʂʰun2	无论:〜谁说都没用
□	kuɑ2	日~,训斥
□	ʂun2	有气无力，没有精神
□	tʂʰʅ3	朝:你~里头走
□	kʰuɤ1	用棍敲打
□	ɣou1	用指甲抓
□	tʂɑŋ1	用:你〜我的笔写吧
□	tʂʰuɑ3	用手搅拌:把饺子馅~~
□	mɔ3	留下:给他〜点吃的
□	ken3	硌到:沙子〜住我脚了
□	ʐɑŋ2	秤的分量稍差
□	tsɿ5	称重量
□	piɑ1	粘贴:给窗花〜到窗户上
□	tʰiɛ2	美好:他家日子过的老〜
□	tsiɔ5	脾气差:他脾气太〜
□	tʰæ2	藏:你给东西〜哪了
□	ɕyŋ2	训斥
□	kʰan3	语气词，表否定
□	pʰuɤ5	豁出去:〜上命
□	tsʰɿ1	蹭:衣裳~到墙上了
□	tsʰɿ1	迟钝，不敏捷
□	ʐou1	逛:去外头〜一圈
□	tsʰæ1	铲:〜了一锹沙
□	y1	饭溢出锅外
㞘	tou1	蜂和蝎子的尾部，也指在时间或空间上比较靠后
㧅	tɔ1	夹:〜菜
㧯	lɔ1	拉
㨃	tei3	撞
㪗	tʰou2	掏，挖:〜耳朵
㬤	tɕʰi1	控干水分:给菜~
㵾	tɕʰiŋ5	肉汤、菜汤等放凉后表面凝固
䌥	in3	〜被子:用针线固定被罩及被里
一	i1	
丁	tiŋ1	
七	tsʰi1	
万	van5	
丈	tʂɑŋ5	
三	san1	
上	ʂɑŋ5	
下	ɕiɑ5	
不	pu1	~了
不	pu3	~去
与	y5	
丐	kæ5	
丑	tʂʰou3	
專	tʂuan1	
且	tsʰiɛ1	
丕	pʰei1	
世	ʂʅ5	
丘	tɕʰiou1	
丙	piŋ3	
業	iɛ1	
