#漢字	音標	解釋
一	i2	
丁	tin1	
七	tɕʰi2	
丈	tsaŋ5	
三	san1	
上	saŋ5	
下	ɕn̩5	
下	xa5	白
不	pu2	
丑	tsʰou3	
丕	pʰei3	
世	sɿ5	
丘	tɕʰiou1	
丢	tiou1	
中	tsoŋ1	
丸	yɛn2	
主	tsu3	
乃	nai3	
久	tɕiou3	
之	tsɿ1	
乎	xu2	
乖	kuai1	
乘	sən2	
九	tɕiou3	
乞	tɕʰi2	
也	ie3	
亂	nuan5	
了	niau3	
事	sɿ5	
二	ɚ5	
云	yn2	
五	u3	
井	tɕin3	
些	ɕie1	
亢	kʰaŋ5	
亥	xai5	
亨	xən1	
京	tɕin1	
亮	niaŋ5	
人	zən2	
仁	zən2	
今	tɕin1	
介	tɕiai5	
仍	zən2	
他	tʰa1	
仙	ɕiɛn1	
代	tai5	
令	nin5	
以	i3	
仰	niaŋ3	
仰	ȵiaŋ3	
件	tɕiɛn5	
企	tɕʰi5	
伐	xua2	
休	ɕiou1	
伯	pie2	
伴	pan5	
伺	sɿ5	
似	sɿ5	
但	tan5	
位	uei5	
低	ti1	
住	tsu5	
何	xo2	
余	y2	
佛	xu2	
作	tso2	
你	ni3	
佩	pʰei5	
佳	tɕn̩1	
使	sɿ3	
來	nai2	
侉	kʰua3	
例	ni5	
侍	sɿ5	
供	koŋ1	1
供	koŋ5	2
依	i1	
侯	xou2	
侵	tɕʰin5	
促	tsʰu2	
俗	ɕiu2	
信	ɕin5	
倉	tsʰaŋ1	
個	ko5	
倍	pei5	
們	mən2	
倒	tau3	
候	xou5	
借	tɕie5	
倦	tɕyɛn5	
倫	nən2	
值	tsɿ2	
假	tɕn̩3	
偏	pʰiɛn1	
偕	ɕiai2	
做	tsu5	
停	tʰin2	
健	tɕiɛn5	
側	tse2	
偵	tsən1	
偶	ŋou3	
偷	tʰou1	
傑	tɕie2	
備	pi5	
債	tsai5	
傻	sŋ̍3	
傻	xa3	俗
傾	tɕʰyn1	
像	ɕiaŋ5	
像	tɕʰiaŋ5	白
僕	pʰu2	
僧	sən1	
僻	pʰi2	
儀	ni2	
儒	zu2	
允	yn3	
元	yɛn2	
兄	ɕioŋ1	
充	tsʰoŋ1	
先	ɕiɛn1	
光	kuaŋ1	
兑	tuei5	
免	miɛn3	
兒	ɚ2	
兜	tou1	
入	zu2	
全	tɕʰyɛn2	
兩	niaŋ3	
八	pa2	
公	koŋ1	
六	nu2	
兮	ɕi1	
共	koŋ5	
兵	pin1	
其	tɕʰi2	
典	tiɛn3	
兿	ni5	
内	nuei5	
再	tsai5	
冬	toŋ1	
冷	nən3	
准	tsuən3	
減	tɕiɛn3	
凝	nin2	
凡	xuan2	
凳	tən5	
出	tsʰu2	
刀	tau1	
分	xuən1	
切	tɕʰie2	
列	nie2	
則	tse2	
初	tsʰu1	
判	pʰan5	
别	pie2	
利	ni5	
删	suan1	
刮	kua2	
到	tau5	
刷	sua2	
刹	sŋ̍2	
刻	kʰe2	
削	ɕye2	
前	tɕʰiɛn2	
剖	pʰo3	
剛	kaŋ1	
剝	po2	
剩	sən5	
剪	tɕiɛn3	
剮	kua3	
割	ko2	
力	ni2	
劣	nie2	
助	tsu5	
努	nu3	
勃	pʰu2	
勇	ioŋ3	
勒	nie2	
動	toŋ5	
務	u5	
勸	tɕʰyɛn5	
包	pau1	
化	xua5	
北	pie2	
匙	sɿ2	
匡	tɕʰiaŋ1	
匣	ɕn̩2	
匹	pʰi2	
十	sɿ2	
千	tɕʰiɛn1	
午	u3	
半	pan5	
卑	pei1	
協	ɕie2	
南	nan2	
卜	pʰu2	
印	in5	
危	uei2	
即	tɕi2	
卻	tɕʰio5	
厄	ŋe2	
厚	xou5	
原	yɛn2	
厭	iɛn5	
去	tɕʰy5	
去	tɕʰie5	白
又	iou5	
及	tɕi2	
友	iou3	
反	xuan3	
叔	su2	
取	tɕʰy3	
叛	pʰan5	
口	kʰou3	
古	ku3	
句	tɕy5	
只	tsɿ3	
叫	tɕiau5	
可	kʰo3	
台	tʰai2	
右	iou5	
叶	ie2	
吃	tsʰɿ2	
各	ko2	
合	xo2	
吉	tɕi2	
同	tʰoŋ2	
名	min2	
吐	tʰu5	
吓	xa5	
呂	ny3	
君	tɕyn1	
吞	tʰən1	
含	xan2	
吸	tɕi2	
吸	ɕi2	
吹	tsʰuei1	
吾	u2	
告	kau5	
周	tsou1	
味	uei5	
呼	xu1	
命	min5	
和	xo2	
咬	ŋau3	
咬	niau3	
哀	ŋai1	
品	pʰin3	
哪	na3	
哭	kʰu2	
唇	sən2	
唇	suən2	
唐	tʰaŋ2	
唱	tsʰaŋ5	
商	saŋ1	
問	uən5	
啞	n̩3	
喚	xuan5	
喜	ɕi3	
喝	xo1	
喧	ɕyɛn1	
喫	tsʰɿ2	
單	tan1	
嗟	tɕn̩1	
嘴	tsuei3	
嘵	ɕiau3	
噎	i2	
噎	ie2	
器	tɕʰi5	
嚴	niɛn2	
嚼	tɕiau5	
囂	ɕiau1	
囊	naŋ2	
囚	tɕʰiou2	
四	sɿ5	
回	xuei2	
因	in1	
困	kʰuən5	
圈	tɕʰyɛn1	
國	kue2	
圍	uei2	
園	yɛn2	
圓	yɛn2	
圖	tʰu2	
團	tʰuan2	
土	tʰu3	
在	tsai5	
地	ti5	
均	tɕyn1	
坐	tso5	
坑	kʰən1	
坡	pʰo1	
坤	kʰuən1	
垂	tsʰuei2	
垮	kʰua3	
埋	mai2	
堂	tʰaŋ2	
堆	tuei1	
堤	tʰi2	
堯	iau2	
報	pau5	
堵	tu3	
塊	kʰuai3	
塑	su5	
塔	tʰa2	
墓	mo5	
增	tsən1	
墨	mie2	
壁	pi2	
壞	xuai5	
士	sɿ5	
壬	zən2	
壽	sou5	
外	uai5	
多	to1	
夜	ie5	
够	kou5	
夢	moŋ5	
大	ta5	
天	tʰiɛn1	
太	tʰai5	
央	iaŋ1	
失	sɿ2	
夷	i2	
夾	tɕn̩2	
奇	tɕʰi2	
奉	xoŋ5	
奏	tsou5	
套	tʰau5	
奚	ɕi1	
奧	ŋau5	
奪	to2	
奮	xuən5	
女	ny3	
奴	nu2	
奶	nai3	
好	xau3	1
好	xau5	2
如	zu2	
妓	tɕi5	
妖	iau1	
妥	tʰo3	
妹	mei5	
妻	tɕʰi1	
始	sɿ3	
姐	tɕie3	
姑	ku1	
姓	ɕin5	
委	uei3	
姜	tɕiaŋ1	
姦	tɕiɛn1	
姪	tsɿ2	
威	uei1	
