#漢字	音標	解釋
□	sai2	一种反抗动作:膀子一~
□	tʂʰʯai5	不要偏给
□	ʯ1	使长形物体弯曲变形:~铁丝
□	tʰoŋ6	傻呆:~悻包
□	pʰia3	分开:~开腿
□	sau5	动别人的东西
□	ɕin6	发呆
□	ɕiau2	吃~顿儿(吃席)
□	tɕʰio1	吝啬
□	ʯa5	喊叫
□	ʯɛ5	嚎叫
□	ʯa3	大口子或大洞口塌下来
□	sa2	头:闷~
□	tʰia3	头无力低垂
□	mia5	婴幼儿:~~子
□	min5	很:~甜
□	kʰai2	打孩子
□	lau5	拖
□	pia1	拟声词
□	pʰia1	拟声词
□	piaŋ1	拟声词
□	pʰiaŋ1	拟声词
□	pau2	拟声词,指爆裂声
□	pu5	拟声词
□	xa1	拨开,扒开
□	tsaŋ2	捶
□	ɕiau2	搁置,不落实
□	xuai3	摇晃不稳
□	mən3	木头腐烂
□	ŋe5	深印子
□	tʂʰe5	炫耀,卖弄
□	lau1	用手动它
□	lən1	用手指研磨
□	pʰan2	用手玩弄
□	ʂo3	用声音将动物赶跑
□	ʂa6	用筛攮
□	ka3	肉
□	lai1	脏:~稀
□	lia1	脱:~皮
□	tʂe1	茶缸:~缸子
□	piaŋ2	蛮,厚
□	pʰe6	表程度:~满
□	tʂʰʯa1	褪,剥
□	tʂʰʯa1	要他~。表示不在乎
□	pia1	贴,粘
□	tsʰaŋ3	跐,擦
□	lian5	踩踏
□	tʂʯai1	蹲
□	ȵiou5	身体微动
□	pʰaŋ3	轻度地碰撞
□	ŋa3	野蛮
□	mi5	非常小:~~子
□	tʰən3	颠簸
□	ʂʯa5	飞跑的状态:~起来跑
□	tin2	食物伤人
□	poŋ3	鼓起,突起
□	ʂo6	鼓起劲来往前奔:~起来跑
㞎	pa3	大便
㞞	soŋ2	精液
㿭	tsʰe1	皴皮肤干裂
䖳	tʂʰa5	水母
襬	pai3	
一	i1	
丁	tin1	
七	tɕʰi1	
万	uan6	
丈	tʂaŋ6	
三	san1	
上	ʂaŋ6	
下	xa6-	~来
下	ɕia6=	~来
下	xa3-	量词:一~两~
不	pu1	
与	ʯ1	
丐	kai5	
丑	tʂʰou3	
專	tʂʯan1	
且	tʰie3	
丕	pʰi3	
世	ʂʅ5	
丘	tɕʰiou1	
丙	pin3	
業	ȵie1	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿ1	
丞	tʂʰən2	
丢	tiou1	
兩	liaŋ3	
嚴	ȵian2	~格
並	pin6	
喪	saŋ1	~事
喪	saŋ5	~失
个	ko5	
丫	ia1=	
丫	ŋa1-	~头片子
中	tʂoŋ1	
丰	foŋ1	
串	tʂʰʯan5	
臨	lin2	
丸	ʯan2	
丹	tan1	
爲	uei6	~什么
爲	uei2	作~
主	tʂʯ3	
麗	li6	
舉	tʂʯ3	
乃	lai3	
久	tɕiou3	
麽	mo3	
義	ȵi6	
之	tʂʅ1	
烏	u1	
乎	xu1	
乏	fa2	
樂	lo1	
樂	io1	音~
乒	pʰin1	
喬	tɕʰiau2	
乖	kuai1	
乘	tʂʰən5	
乙	i1	
九	tɕiou3	
乞	tɕʰi1	
也	ie3	
習	ɕi2	
鄉	ɕiaŋ1	
書	ʂʯ1	
買	mai3	
亂	nan6	
乳	ʯ3	
乾	kan1	
乾	tɕʰian2	
了	liau3	~解
予	ʯ1	
爭	tsən1	
爭	tsən5	用力摆脱
事	sɿ6	
二	ɚ6	
于	ʯ1	
虧	kʰuei1	
云	ʯən2	
互	xu6	
五	u3	
井	tɕin3	
亞	ia3	
些	ɕie3	
亟	tɕi1	
亡	uaŋ2	
交	tɕiau1	
亦	i1	
產	tʂʰan3	
亨	xən1	
享	ɕiaŋ3	
京	tɕin1	
亭	tʰin2	
亮	liaŋ6	
親	tɕʰin1	
親	tɕʰin5	~家
人	ʐən2	
億	i5	
什	ʂʅ2	
什	ʂən5	
仁	ʐən2	
僅	tɕin3	
仆	pʰu1	倒
仇	tʂʰou2	
今	tɕin1	
介	kai5	
介	tɕiai5=	
仍	ʐən5	
从	tsʰoŋ1	~容
从	tsʰoŋ2	跟~
仑	lən2	
倉	tsʰaŋ1	
仕	sɿ6	
他	tʰa1	
仗	tʂaŋ5	
付	fu5	
仙	ɕian1	
代	tai5	
令	lin6	
以	i3	
們	mən2	
仰	ȵiaŋ3	~到睡
仲	tʂoŋ1	
件	tɕian6	
價	tɕia5	
任	ʐən5	
份	fən6	
仿	faŋ3	
企	tɕʰi2	
伊	i1	
伍	u3	
伏	fu2	
伐	fa2	
休	ɕiou1	
衆	tʂoŋ5	
優	iou1	
伙	xo3	
會	kʰuai3	~计
會	xuei6	开~,~不~
傘	san3	
偉	uei3	
傳	tʂʰʯan2	~达
伢	ia2=	
伢	ŋa2-	~儿
傷	ʂaŋ1	
傷	uai3	
倫	lən2	
僞	uei3	
伯	pe1	
估	ku3	
伴	pan6	
伶	lin2	
伸	ʂən1	
伸	tʂʰən1	~展
伺	tsʰɿ5	
似	sɿ6	相~
佃	tian5	
但	tan5	
但	tan6	
佈	pu5	
位	uei6	
低	ti1	
住	tʂʯ6	
佐	tso3	
體	tʰi3	
何	xo2	
佘	ʂe2	
余	ʯ2	
佛	fo2	
作	tso1	
佞	ȵin6	
你	ȵi3	
佣	ioŋ6	
佩	pʰei5	
佬	lau3	
佳	tɕia1	
佻	tʰiau3	悬挂
使	ʂʅ3	
侄	tʂʅ2	
侈	tʂʰʅ3	奢~
例	li6	
侍	ʂʅ5	
供	koŋ5	~应,~养
依	i1	
俠	ɕia2	
侶	ʯ3	
僥	tɕiau3	
偵	tʂən1	
側	tsʰe1	
僑	tɕʰiau2	
儈	kʰuai3	
儂	loŋ2	
儘	tɕin3	
侮	u3	
侯	xou2	
侵	tɕʰin1	
便	pian6	
便	pʰian2	~宜
促	tsʰou5	
俄	ŋo2	
俊	tʂʯən5	
俏	tɕʰiau5	~皮
俐	li6	
俗	sou2	~气
俗	ɕi1-	风~
俗	ʂʯ1	风~
俗	sou1	风~
俘	fu1	
俘	fu2	
保	pau3	
俟	sɿ6	
信	ɕin5	
儼	ȵian2	
儷	li6	
儉	tɕian3	
修	ɕiou1	
俯	fu3	
俱	tʂʯ5	
俵	piau3	
俸	foŋ6	~禄
俾	pi1	
倌	kuan1	
倍	pei6	
倒	tau3	
倒	tau5	~水
倔	tʂʯɛ5	
倘	tʰaŋ3	
候	xou2	
倚	i3	
借	tɕie5	
倡	tʂʰaŋ5	
倦	tʂʯan5	
倪	ȵi2	
倭	uo1	
倯	soŋ2	詈语,坏~
債	tʂai6	
值	tʂʅ2	
傾	tɕʰin3	
假	tɕia3	
偏	pʰian1	
做	tso1	
做	tsou5	~事
停	tʰin2	
健	tɕian5	
偶	ŋou3	
偷	tʰou1	
償	ʂaŋ3	
傀	kʰuei2	
傅	fu5	
傍	paŋ5	
傣	tai3	
儲	tʂʰʯ2	
催	tsʰei1	
傲	ŋau5	
傻	ʂa3	
像	ɕiaŋ6=	~样
像	tɕʰiaŋ6-	不~样
僧	sən1	
僭	li1	
僮	tʰoŋ2	书~
僵	tɕiaŋ6	
僻	pʰi3	
儒	ʯ3	
儡	lei3	
兒	ɚ2	
兀	u1	
允	ʯən3	
元	ʯan2	
兄	ɕioŋ1	
充	tʂʰoŋ1	
充	ian3	
兆	tʂau5	
兆	tʂau6	
兇	ɕioŋ1	
先	ɕian1	
光	kuaŋ1=	
光	kuaŋ5-	冰~的(像冰一样光滑,站不住人)
克	kʰe1	
免	mian3	
兑	tei5	
兔	tʰou5	
兗	ȵian3	
黨	taŋ3	
兜	tou1	
兢	tɕin1	
入	ʯ1	
全	tɕʰian2-	~部,~面
八	pa1	
公	koŋ1	
六	lou1	
兮	ɕi1	
關	kuan1	
興	ɕiou1	
興	ɕin5	
興	ɕin1	~旺
兵	pin1	
其	tɕʰi1	
具	tʂʯ5	
典	tian3	
兹	tsɿ1	
養	iaŋ3	
兼	tɕian1	
獸	ʂou6	
冀	tɕi5	
内	lei6	
岡	kaŋ1	
冉	ʯan3	
册	tsʰe1	
再	tsai5	
冒	mau6	
冒	mau5	~犯
冕	mian3	
寫	ɕie3	
軍	tʂʯən1	
農	loŋ2	
冠	kuan5	又,~军
冠	kuan1	衣~,鸡~
冤	ʯan1	
冥	min3	
冬	toŋ1	
馮	foŋ2	
冰	pin1	
冲	tʂʰoŋ1	
冲	tʂʰoŋ5	冒失,做事不能太~
決	tʂʯɛ3	
况	kʰuaŋ5	
冶	ie1	
冶	ie3	
冷	lən3	
凍	toŋ5	
淨	tɕin6	
凄	tɕʰi1	
準	tʂʯən3	
涼	liaŋ2	
凋	tiau1	
凌	lin2	
凌	lin6	~冰
減	tɕian3	
湊	tsʰou5	
凜	lin3	
凝	ȵin2	宁~
几	tɕi3	~乎
几	tɕi1	茶~
凡	fan2	
鳳	foŋ6	
凭	pʰin1	
凱	kʰai3	
凳	tən5	
凶	ɕioŋ1	
凸	tʰou1	~出
凹	ua5-	
凹	ŋau5	
出	tʂʰʯ1	
擊	tɕi1	
函	xan2	
鑿	tso2	~子
鑿	tso2	确~
刀	tau1	
刁	tiau1	
刃	ʐən5	
分	fən1	
切	tʰie1	
刈	i5	
刊	kʰan1	
刎	uən3	
刑	ɕin2	
划	xua2	~船
划	xua5	计~
列	lie1	
劉	liou2	
則	tse1	
剛	kaŋ1	
創	tʂʰʯaŋ3	
初	tsʰou1	
删	ʂan1	
判	pʰan5	
刨	pʰau2	又,~动;除去
刨	pau2	拨动
利	li6	
别	pie1	~扭
别	pie2	~的,分别
刮	kʰua3-	~洋芋
刮	kua1=	~风
到	tau5	
制	tʂʅ5	
刷	ʂʯa1	
券	tʂʰʯan5	
刺	tsʰɿ5	
刻	kʰe1	
劊	kʰuai3	
刴	to5	~柴
劑	tɕi5	
剃	tʰi5	
削	ɕio1	
前	tɕʰian2	
剮	kʰua3	
劍	tɕian3	
剖	pʰo3	解~
剜	uan1	
剝	po1	
劇	tʂʯ5	
剩	ʂən6	
剪	tɕian3	
副	fu5	
割	ko1	
剽	piau1	~悍
剿	tsʰau2	
剿	tɕiau3	
劁	tɕʰiau1	~猪
劈	pʰi3	
力	li1	
勸	tʂʰʯan5	
辦	pan6	
功	koŋ1	
加	tɕia1	
務	u6	
劣	lie1	
動	toŋ6	
助	tsʰou5	
努	lou3	
劫	tɕie1	
劫	tʰie1	
勵	li1	
勵	li6	
勁	tɕin5	
勞	lau2	
勢	ʂʅ5	
勃	po1	
勇	ioŋ3	
勉	mian3	
勳	ʂʯən1	
勒	le1	
勘	kʰan1	
募	mo6	
勤	tɕʰin2	
勺	ʂo2	
勾	kou1	
勿	u1	
匀	ʯən2	
包	pau1	
匆	tsʰoŋ1	
匍	pʰu2	~匐
匐	fu2	匍~
化	xua5	溶~
北	pe1	
匠	tɕiaŋ6	
匡	kʰuaŋ1	
匣	ɕia2	
匪	fei3	
匹	pʰi2	
區	tʂʰʯ1	~别
醫	i1	
匾	pian3	
匿	ȵi2	
十	ʂʅ2	
千	tɕʰian1	
升	ʂən1	
午	u3	
卉	xuei5	
半	pan5	
華	xua2	
華	xua5	姓
協	ɕie2	
卑	pei1=	
卑	pi1	~鄙
卒	tsou2	
卓	tʂo2	
單	tan1	
單	ʂan5	姓
賣	mai6	
南	nan2	
博	po1	
卜	pʰu1	
占	tʂan1	~光
占	tʂan5	~领
卡	tɕʰia3	
盧	lou2	
卤	lou3	
卦	kua5	
臥	uo5	
衛	uei6	
卯	mau3	
印	in5	
危	uei1	
即	tɕi1	
卻	tɕʰio1	
卵	nan3	
卵	lo3	此音专指男性生殖器,多作词缀
卷	tʂʯan5	
卸	ɕie6	
卿	tɕʰin1	
廠	tʂʰaŋ3	
厄	ŋe1	
廳	tʰin1	
历	li1	
厲	li6	
壓	ŋa6-	
壓	ia6=	
厭	ian5	
廁	tsʰe1	
厘	li2	
厚	xou6	
原	ʯan2	
廂	ɕiaŋ1	
厥	tʂʯɛ1	
厦	ʂa3=	
厦	ʂʯa3-	偏房
厦	ɕia3	厦门
廚	tʂʰʯ2	
厮	sɿ1	茅~
去	tɕʰi5	来~
去	tʂʰʯ5=	来~
縣	ɕian6	
参	tsʰan1	
参	tsʰən1	~差
参	sən1	人~
又	iou6	
叉	tʂʰa1	
叉	tʂʰa3	~开
及	tɕi1	
友	iou3	
雙	ʂʯaŋ1	
雙	ʂʯaŋ5	~生子
反	fan3	
发	fa1	
叔	ʂou1	
取	tɕʰi3	拿
取	tʂʰʯ3=	拿
受	ʂou6	
變	pian5	
敍	ɕi5	~述
敍	ʂʯ5	记~
叛	pʰan5	
叟	sou5	
疊	tie2	
疊	tie2	重~
口	kʰou3	
古	ku3	
句	tʂʯ5	
另	lin6	
叨	tau1	
叩	kʰou5	
只	tʂʅ1	
叫	tɕiau5	
召	tʂau1	
叮	tin1	
可	ȵin2	
可	kʰo3	
台	tʰai2	
史	ʂʅ3	
右	iou6	
叵	pʰo3	
葉	ie1	
號	xau6	~召
司	sɿ1	
嘆	tʰan5	
嘰	tɕi1	
吁	ʯ1	
吃	tʂʰʅ1	
吃	tɕʰi1	~饭
各	ko1	
吆	iau1	~喝
合	xo2	
吉	tɕi1	
吊	tiau5	
同	tʰoŋ2	
名	min2	
名	fən6	
后	xou6	
吏	li1	
吐	tʰou3	
向	ɕiaŋ5	
嚇	ɕia5=	
嚇	xa5-	~了一跳
嚇	xe1	~人
呂	ʯ3	
君	tʂʯən1	
吝	lin6	
吞	tʰən1	
否	fo3	
含	xan2	
聽	tʰin1	
聽	tʰin5	~任
吭	kʰən1	~声
啓	tɕʰi3	
吳	u2	
吵	tʂʰau3	
吸	ɕi1	
吹	tʂʰʯei1	
吻	uən3	
吼	xou3	
吾	u3	
呆	tai1	
呆	ŋai2	~板
呈	tʂʰən2	
告	kau5	
嘔	ŋou3	
員	ʯan2	
嗆	tɕʰiaŋ5	
呤	in2	
周	tʂou1	
味	uei6	
呸	pʰei3	
呼	xu1	
命	min6	
咂	tsa1	吮吸
咋	tsa3	~办
和	xo2	
和	xu2	~牌
和	xo6	拌
咎	tɕiou1	
詠	ʯən3	
咒	tʂou5	
咔	kʰa3	
嚀	ȵin1	叮~
咨	tsɿ1	
咪	mi5	
咬	ŋau3	
咬	ȵiau3=	
咯	kʰa3	~血
咳	kʰe1	
咳	e1	
咸	xan2	
咸	ɕian2	
哀	ŋai1	
品	pʰin3	
哄	xoŋ3	~骗
哆	to1	
哈	xa1	~气,点头~腰
哈	xo1	~欠
哈	xa3	姓
哉	tsai1	
響	ɕiaŋ3	
哎	ai5	
啞	ia3=	
啞	ŋa3-	~巴
噦	ʯɛ3	干~
噦	ua1	胃的难受感
譁	xua2	
哥	ko1	
哦	o5	
哧	tʂʰʅ1	拟声词:~溜
哨	ʂau5	
哪	la3	
哭	kʰu1	
哮	ɕiau5	
哲	tʂe2	
哺	pʰu3	
哼	xən1	
哽	kən3	
唆	so1	~使
脣	tʂʰʯən2	
唉	ai1	
唐	tʰaŋ2	
嘮	lau2	
喚	xuan5	
唬	xu3	吓~
售	ʂou2=	
售	tʂʰou2-	出~
唯	uei2	
唰	ʂʯa1	
唱	tʂʰaŋ5	
唳	li6	
唾	tʰo5	~沫
唾	tʰou5	~沫
啃	kʰən13	
啄	tʂo2	
商	ʂaŋ1	
啊	a1	
啊	a5	
啤	pʰi2	
啥	ʂa5	
嗇	se1	吝~
囉	lo1	~嗦
嘯	ɕiau1	
啼	tʰi2	
喂	uɛ2	
喂	uei5	
善	ʂan6	~良
喇	la3	~叭
喉	xou2	
喊	xan3	
喘	tʂʰʯai3	
喘	tʂʰʯan3	
喜	ɕi3	
喝	xo1	
喧	ɕian1	~闹
喫	tɕʰi1	
噴	fən5	
噴	pʰən5=	~水,~香
喻	ʯ5	
嘍	lou3	~罗
嗅	ɕiou5	
嗉	sou5	鸟~子
嗑	kʰo1	
嗓	saŋ3	
嗖	sou1	拟声词
嗜	ʂʅ5	
嗝	ke3	饱~
嗣	sɿ6	
嗤	tʂʰʅ1	
嗦	so1	
嗲	ȵia1	撒娇:~巴
嗲	tia3	撒娇的声音或憨态
嗽	sou5	
嘀	ti2	
嘉	tɕia1	
嘘	ʂʯ1	
囑	tʂou2	
嘲	tʂʰau2	
嘴	tsei3	
嘹	liau1	
嘻	ɕi1	
噍	tɕiau5	牛倒~
噎	ie1	
噘	tʂʯɛ2	
噙	tɕʰin2	在嘴里含而不吞
噢	au1	应答
器	tɕʰi5	
噩	ŋo1	
嚇	xe1	
嚎	xau2	
嚐	tʂʰaŋ2	品~
嚐	ʂaŋ2	品~
囂	ɕiau1	
嚥	ian5	
嚴	ȵian2	
嚷	ʐaŋ3	
嚼	tɕiau2	
囊	laŋ1	
囚	tɕʰiou2	
四	sɿ5	
回	xuei2	
因	in1	
团	tʰan2	
囤	tən5	
囥	kʰaŋ3	盖住,罩住
囫	xu2	
園	ʯan2	
困	kʰuən5	
囱	tsʰoŋ1	
圍	uei2	
固	ku5	
國	kuɛ1	
圖	tʰou2	
圓	ʯan2	
圈	tʂʰʯan1	
圈	tʂʯan6	猪~
土	tʰou3	
聖	ʂən5	
在	tsai6	
圪	ke1	
圭	kuei1	
地	ti6	
場	tʂʰaŋ3	~地
場	tʂʰaŋ2	稻~
圾	tɕi1	
址	tʂʅ3	
均	tʂʯən1	
坌	pən6	和物
坍	tʰan1	
坎	kʰan3	
壞	xuai6	
坐	tso6	
坑	kʰən1	
塊	kʰuai3	
堅	tɕian1	
坛	tʰan2	
壩	pa5	平~
塢	u1	
墳	fən2	
墜	tʂʯei5	
坡	pʰo1	
坤	kʰuən1	
坦	tʰan3	
坪	pʰin2	
坯	pʰei1	
坳	ŋau5	
垂	tʂʰʯei2	
壠	loŋ3	
型	ɕin2	
垒	lei3	
垜	to3	
垜	to6	草~
垢	kou3	~痂
墾	kʰən13	
墊	tian6	
垮	kʰua3	
埂	kən5	
埃	ŋai2	
埋	mai2	
埋	man2-	~怨
城	tʂʰən2	
域	ʯ5	
培	pʰei2	
基	tɕi1	
堂	tʰaŋ2	
堆	tei1	
堡	pau3	
堤	tʰi2	河~
堪	kʰan1	
堰	ian5	
堵	tou3	
塋	in2	
塌	tʰa1	
塑	sou5	
塔	tʰa1	
塘	tʰaŋ2	
塞	se1	
塞	sai5	~外
填	tʰian2	
境	tɕin5	
墓	mo6	
牆	tɕʰiaŋ2	
增	tsən1	
墟	ʂʯ1	
墨	me1	
墩	tən1	
壁	pi1	
壕	xau2	
壤	ʐaŋ3	
壩	pa5	
壩	pa5	堤~
士	sɿ6	
壬	ʐən5	
壯	tʂʯaŋ5	
聲	ʂən1	
殼	kʰo1	
壺	xu2	
處	tʂʰʯ3	~理
處	tʂʰʯ5	到~
備	pei5=	
備	pi5	准~
复	fu1	
复	fu2	
夏	ɕia6	
夕	ɕi1	
外	uai6	
夙	sou1	~愿
多	to1	
夜	ie6	
够	kou5	
夥	xo3	
大	ta6	
大	tai6	~夫
天	tʰian1	
太	tʰai5	
夫	fu1	
夭	iau1	
央	iaŋ1	
夯	xaŋ1	~不动,动词
夯	xaŋ3	打~,名词
失	ʂʅ1	
頭	tʰou2	
夷	i1	
夾	ka1-	
夾	tɕia1	
奪	to2	
奇	tɕʰi2	
奈	lai6	
奉	foŋ6	~承
